Country,TotalBan,PartialBan,Comment/Citation
Israel,,√,"A Knesset member (KM) who is a ""controlling shareholder""of a corporation (e.g.,holding 50% or more of stock) must sellor lease the shares within six months of commencement of term; a KM ""having an interest"" in a company (e.g. controlling 5% or more of stock or having the right to appointa director) is required to sell the shares or transfer them to ablind trust until the end of the term.(Ethics Committee Decision 5/18 Regarding Holding ofShares and Prohibition of Serving as a Director in BusinessCompany Ss 5 c, 6 (June 17, 2009), https:/ /perma.cc/8ZLH-YUTE.)"
Kazakhstan,,√,"While members of Parliament are allowed to trade shares, stocks and other securities, they cannot acquire more than 5% of voting shares of a commercial organization.(The Law on Combating Corruption of the Republic ofKazakhstan, No. 410-IV LRK, adopted on Nov.18, 2015, art.13.1(2), https:// perma.cc/WS29-UQMX.)"
Kosovo,√,,"Members of the Parliament ""cannot actively exercise his orher ownership rights over shares or parts of capital of acommercial company"" and must transfer their securities for management to “another trusted person.""(Law on Prevention of Conflict of Interest in the Exercise ofPublic Function of the Republic of Kosovo, No. O4/L-051, inforce since May 12, 2018,art.14, para. 1,art. 16, para. 3,https:/ /perma.cc/NM76-LLJH.)"
Latvia,,√,"Members of the legislature and their relatives are prohibited from acquiring and trading shares and stocks of companies working on government contracts during their term in officeand two years thereafter.(Law on Prevention of Conflict of Interest in Activities ofPublic Officials of the Republic of Latvia,Par Interesu KonfliktaNoversanu Valsts Amatpersonu Darbiba, adopted on Apr. 25,2002,last amended on Jan. 21, 2021,art. 10,https:/ / perma.cc/G8PB-Q7S8, https:/ /perma.cc/M7HJ-PJYM (in English).)"
Poland,,√,"Members of Parliament are required to transfer to a trustshares or stocks of companies with the participation of state or municipalities if they own more than 10% of thesesecurities.(Act on Exercising the Mandate of Deputy and Senator, adopted on May 9,1996,last amended in 2006, No.104, item708, Dz. U. 1996, No. 73,art. 34, para. 4,https:/ /perma.cc/ Z9RH-S4FN.)"
Russia,,√,Ownership of and operations with foreign financialinstruments are prohibited for legislators and their family members. Foreign securities must be eliminated from one's investments before the owner is registered as a candidate forlegislative elections.
,,,"(Federal Law No. 13-FZ of July 5,1999,on the Status ofSenators of the Russian Federation and Status of Members ofthe State Duma of the Federal Assembly of the RussianFederation (last amended Dec.21,2021), Sobranie Zakonodatel'stva Rossiiskoi Federatsi (SZ RF) 1999, No. 28, Item 3466 (official publication), https:/ /perma.cc/Q3Q2-EFWB (in Russian).)"
Slovakia,,√,"Members of the Slovak National Council (legislature) are prohibited during the term of their office from acquiringbearer shares other than by inheritance. Also,within one yearafter leaving office, former legislators cannot be shareholdersof entities if,during their last two years in office, they madedecisions that benefited these entities.(Constitutional Act on the Protection of Public Interest by thePerformance of Offices of Public Officials of the Republic ofSlovakia, No. 357/2004,art. 4(2)e, art. 8(1)c,https:/ / perma.cc/6GX7-6YXP.)"
South Korea,,√,"When the aggregate value of all stocks owned by a member of the National Assembly exceeds 30 million won(approximately US$25,000), the member must sell therelevant stocks or conclude a contract on blind trust of stocks.(Public Service Ethics Act, Act No.3520, Dec. 31,1981,asamended by Act No. 17754, Dec.22, 2020,art. 14-4,https://elaw.klri.re.kr/eng_service/lawView.do?hseq=56279&lang=ENG.)"
Turkmenistan,√,,"While performing their duties, civil servants must transfertheir shares, stocks,and ownership rights into a trust.(Law On Combating Corruption of the Republic ofTurkmenistan, in force since May 5,2016,art. 11, para. 13,art.12, para. 2, https:/ /perma.cc/9Y89-N9F3 (in Russian).)"
Ukraine,,√,"The chairperson of the Verkhovna Rada of Ukraine,his or her first deputy,and the deputy chairperson are required totransfer their securities to a financial institution that willmanage these financial instruments while the owners are inoffice, within one month following the election. Suchcontracts cannot be made with financial institutions wherefamily members of the Verkhovna Rada officials are"
,,,"employed. Provisions restricting the ownership rights ofregular members of the legislature have not been located.(Law of Ukraine on Prevention Corruption, No. 1700-VII,adopted on Oct.14, 2014, last amended on Nov. 17,2021, art. 36, paras. 1, 3, 4, https:/ /perma.cc/RL7M-8GMD (unoficialtranslation).)"
