Exhibit No.,Exhibit Description,Form Exhibit,Filing Date,Herewith
*10.11,"Form of Best Buy Co.,Inc. Long-Term Incentive Program Award Agreement for Directors (2015).",10-Q,10.1,
*10.12,"Form of Best Buy Co.,Inc. Long-Term Incentive Program Award Agreement (2016).",10-Q,10.1,9/4/2015
*10.13,Form of Best Buy Co.. Inc. Long-Term Incentive Program Award Agreement for Directors (2016),10-Q,10.2,6/9/2016 6/9/2016
*10.14,"Form of Best Buy Co., Inc. Long-Term Incentive Program Award Agreement (2017)- Restricted Shares",10-Q,10.1,
*10.15,"Form of Best Buy Co.,Inc. Long-Term Incentive Program Award Agreement (2017)- Restricted Stock Units",10-Q,10.2,6/5/2017
*10.16,"Best Buy Co., Inc. Amended & Restated 2014 Omnibus Incentive Plan",S-8,99,6/5/2017
*10.17,"Formof Best Buy Co.,Inc.Long-Term Incentive Program Award Agreement for U.S. Directors (2017)",10-Q,10.2,6/21/2017
*10.18,"Form of Best Buy Co.,Inc. Long-Term Incentive Program Award Agreement (2018)-Restricted Shares",10-Q,10.1,9/5/2017
*10.19,"Form of Best Buy Co., Inc. Long-Term Incentive Program Award Agreement (2018)-Restricted Stock Units",10-Q,10.2,6/8/2018
*10.20,"Form of Best Buy Co., Inc. Long-Term Incentive Program Award Agreement (2018)- Directors",10-Q,10.1,6/8/2018
*10.21,"Employment Agreement, dated April 13,2019,between Corie Barryand Best Buy Co., Inc.",8-K,10.2,9/10/2018 4/15/2019
*10.22,"Form of Best Buy Co., Inc. Long-Term Incentive Program Award Agreement (2019)-Restricted Shares",10-Q,10.1,6/7/2019
*10.23,"Form of Best Buy Co., Inc. Long-Term Incentive Program Award Agreement (2019)- Restricted Stock Units",10-Q,10.2,6/7/2019
*10.24,"Form of Best Buy Co.,Inc. Long-Term Incentive Program Award Agreement (2019)- Directors",10-Q,10.1,9/6/2019
*10.25,"Form of Best Buy Co., Inc.Long-Term Incentive Program Award Agreement (2020)-Restricted Shares",10-Q,10.2,5/27/2020
*10.26,"Form of Best Buy Co., Inc. Long-Term Incentive Program Award Agreement (2020)- Restricted Stock Units",10-Q,10.3,5/27/2020
*10.27,"Best Buy Co.,Inc. 2020 Omnibus Incentive Plan",10-K,10.32,3/19/2021
*10.28,"Form of Best Buy Co.,Inc.Long-Term Incentive Program Award Agreement (2020)- Directors",10-Q,10.2,8/31/2020
*10.29,"Best Buy Severance Plan and Summary Plan Description (January 31, 2021)",10-K,10.34,3/19/2021
*10.30,Form of Employment Separation and General Release Agreement,10-Q,10.2,6/4/2021
*10.31,"Form of Best Buy Co.,Inc. Long-Term Incentive Program Award Agreement (2021)-Restricted Shares",10-K,10.32,3/18/2022
*10.32,"Form of Best Buy Co.,Inc. Long-Term Incentive Program Award Agreement (2021)-Restricted Stock Units",10-K,10.33,3/18/2022
*10.33,Form of Best Buy Co. Inc. Long-Term Incentive Program Award Agreement (2021)- Directors,10-Q,10.2,8/31/2021
*10.34,"Form of Best Buy Co.,Inc. Long-Term Incentive Program Award Agreement (2022)-Restricted Shares",10-Q,10.1,6/2/2022
*10.35,"Form of Best Buy Co.,Inc. Long-Term Incentive Program Award Agreement (2022)- Restricted Stock Units",10-Q,10.2,
,"Form of Best Buy Co.,Inc. Long-Term Incentive Program Award Agreement (2022)- Directors",,,6/2/2022
*10.36,Subsidiaries of the Registrant,10-Q,10.1,9/8/2022
211,Consent of Deloitte & Touche LLP,,,X
23.1,Cerificationof the Chief Executive Oficer pursuanttoRule13a-14(a)asadopted pursuantto Section 302of theSarbanes-,,,X
311,Oxley Act of 2002 Certfcationofthe Chief Financial OffcerpursuanttoRule13a-14(a)asadoptedpursuant to Section302of the Sarbanes-,,,X
31.2,"Oxley Act of 2002 Certficatonofthe Chief ExecutiveOficerpursuantto18 U.S.C.Section1350,asadopted pursuantto Section 906of the",,,X
32.1 32.2,Sarbanes-Oxley Act of 2002 Certificationofthe Chief Financial Oficerpursuantto18U.S.C.Section 1350asadoptedpursuanttoSection 906of the,,,X
"101 2023,Jaryryvdatedaetshoe","Sarbanes-Oxley Act of 2002 ThefollowingfinancialinformationfromourAnnualReportonForm10-Kforfiscal2023,filedwiththeSEConMarch17 2023formatedinInlineExtensibleBusinessReportingLanguage(iXBRL):(itheconsolidatedbaancesheetsatJanuary 28,2023ieaer 29,2022riesatdatemtsreeiefosedr",,,X
