Exhibit Number,Exhibit Description,Form,Date of First Filing,Exhibit Number,Filed Herewith
10.4,Forms of Non-Employee Director Deferred Stock Unit Grant Notices and Non-Employee Director Deferred Stock Unit Agreements under the 2016 Long-Term Incentive Plan for Non-Employee Directors in Hong Kong. (2),10-Q,4/28/21,10.4,
10.5,"Credit Agreement among QUALCOMM Incorporated, the lenders party thereto, the leter of credit issuers party thereto and Bank of America, N.A. as administrative agent, swing line lender and a leter of credit issuer, dated as of December 8, 2020.",8-K,12/10/2020,10.1,
10.6,Qualcomm Incorporated Non-Executive Officer Change in Control Severance Plan (as amended and restated).,10-Q,7/28/2021,10.7,
10.7,Forms of Non-Employee Director Deferred Stock Unit Grant Notices and Non-Employee Director Deferred Stock Unit Agreements under the 2016 Long-Term Incentive Plan for Non-Employee Directors in Singapore. (2),10-Q,4/28/21,10.8,
10.8,Form of 2016 Long-Term Incentive Plan Non-Employee Director Deferred Stock Unit Grant Notice and Non-Employee Director Deferred Stock Unit Agreement (2018 Form). (2),10-Q,4/25/2018,10.60,
10.9,"Amended and Restated QUALCOMM Incorporated 2001 Employee Stock Purchase Plan, as amended. (2)",10-Q,4/25/2018,10.62,
10.10,Qualcomm Incorporated Executive Officer Change in Control Severance Plan (as amended and restated). (2),10-Q,7/28/2021,10.11,
10.11,Qualcomm Incorporated Executive Officer Severance Plan (as amended and restated). (2),10-Q,7/28/2021,10.12,
10.12,Qualcomm Incorporated 2016 Long-Term Incentive Plan CEO Performance Stock Option Grant Notice and CEO Performance Stock Option Agreement. (2),10-K,11/7/2018,10.59,
10.13,Form of Qualcomm Incorporated 2016 Long-Term Incentive Plan Executive Performance Stock Unit Award Grant Notice and Executive Performance Stock Unit Award Agreement (2018 Form). (2),10-K,11/7/2018,10.60,
10.14,"QUALCOMM Incorporated Non-Qualified Deferred Compensation Plan, as amended and restated effective January 1, 2021. (2)",10-Q,2/3/2021,10.16,
10.15,"Form of Qualcomm Incorporated 2016 Long-Term Incentive Plan Executive Performance Stock Unit Award RTSR Shares Grant Notice and ROIC Shares Grant Notice, and Qualcomm Incorporated 2016 Long-Term Incentive Plan Executive Performance Stock Unit Award Agreement",10-K,11/6/2019,10.29,
10.16,"(September 30, 2019 - September 25, 2022 Performance Period). (2) Qualcomm Incorporated 2021 Director Compensation Plan. (2)",10-K,11/4/2020,10.22,
10.17,Form of 2021 Annual Cash Incentive Plan Performance Unit Agreement,10-Q,2/3/2021,10.19,
(②),,,,,
10.18,Form of Qualcomm Incorporated 2016 Long-Term Incentive Plan Executive Restricted Stock Unit Grant Notice and Executive Restricted Stock Unit Agreement (2020 Form). (2),10-Q,2/3/2021,10.20,
10.19,Form of Qualcomm Incorporated 2016 Long-Term Incentive Plan Executive Performance Stock Unit Award Grant Notice and Executive Performance Stock Unit Award Agreement (2020 Form). (2),10-K,11/4/2020,10.21,
10.20,"Special Advisor Employment Agreement between the Company and Steven M. Mollenkopf dated as of January 4, 2021. (2)",10-Q,4/28/2021,10.23,
10.21,"Investment and Separation Matters Agreement, dated as of October 4, 2021. by and among QUALCOMM Incorporated, SSW HoldCo LP and SSW Merger Sub Corp (1)",8-K,10/4/2021,10.1,
10.22,Form of Qualcomm Incorporated 2016 Long-Term Incentive Plan Executive Performance Stock Unit Award Grant Notices and Executive Performance Stock Unit Award Agreement (2021 Form). (2),,,,X
10.23,Form of Qualcomm Incorporated 2016 Long-Term Incentive Plan Executive Restricted Stock Unit Award Grant Notice and Executive Restricted Stock Unit Award Agreement (2021 Form). (2),,,,X
10.24,Qualcomm Incorporated 2022 Director Compensation Plan. (2),,,,X
21,Subsidiaries of the Company.,,,,X
23.1,Consent of Independent Registered Public Accounting Firm.,,,,X
31.1,Certification pursuant to Section 302 of the Sarbanes-Oxley Act of 2002 for Cristiano R. Amon.,,,,X
31.2,Certification pursuant to Section 302 of the Sarbanes-Oxley Act of 2002 for Akash Palkhiwala.,,,,X
32.1,"Certification pursuant to 18 U.S.C. Section 1350,as adopted pursuant to Section 906 of the Sarbanes-Oxley Act of 2002, for Cristiano R. Amon.",,,,X
32.2,"Certification pursuant to 18 U.S.C. Section 1350, as adopted pursuant to Section 906 of the Sarbanes-Oxley Act of 2002,for Akash Palkhiwala.",,,,X
,101.INSInline XBRL Instance Document.,,,,X
,101.SCH Inline XBRL Taxonomy Extension Schema.,,,,X
,101.CALInline XBRL Taxonomy Extension Calculation Linkbase.,,,,X
,101.LAB Inline XBRL Taxonomy Extension Labels Linkbase.,,,,X
,101.PREInline XBRL Taxonomy Extension Presentation Linkbase.,,,,X
,101.DEF Inline XBRL Taxonomy Extension Definition Linkbase.,,,,X
104 in Exhibit 101).,Cover Page Interactive Data File (formated as Inline XBRL and contained,,,,
