Jurisdiction,Type of Law,Citation,URL
UnitedKingdom,,"Treaty between the Government of the United Kingdom of Great Britain and Northern Ireland and the Government of the French Republic Concerning the Reinforcement of Cooperation for the Coordinated Management of their Shared Border, TS No. 1 (London, Jan. 18, 2018)",https://perma.cc/5XMT-P4TW
UnitedKingdom,,,
UnitedKingdom,,"Treaty Concerning the Construction and Operation by Private Concessionaires of a Channel Fixed Link (Canterbury, Feb. 12, 1986), 1497 U.N.T.S. 25792",https://perma.cc/ZT3R-AX84
UnitedKingdom,,,
UnitedKingdom,,"France/UK/Migration - Joint Declaration by M. Bernard Cazeneuve, Minister of the Interior, and Mrs. Theresa May, Home Secretary of the United Kingdom (Paris, Sept. 20, 2014)",https://perma.cc/8UCE-CXM6
UnitedKingdom,,,
UnitedKingdom,,"Joint Statement on the Common Travel Area, U.K.-Ir.",https://perma.cc/CB47-AP74
UnitedKingdom,,,
UnitedKingdom,,"Republique Francaise and the Home Office, Managing Migratory Flows in Calais: Joint Ministerial Declaration on UK/French Co-operation (Aug. 20, 2015)",https://perma.cc/RAV5-9WSK
UnitedKingdom,,,
UnitedKingdom,,"UK-France Summit, Annex on Migration (Mar. 3, 2016)",https://perma.cc/DHF7-95XK
UnitedKingdom,,,
UnitedKingdom,,"United Kingdom-France Summit Communique (Jan. 18, 2018)",https://perma.cc/4W9U-MHVY
UnitedKingdom,,,
UnitedKingdom,Statute,"Channel Tunnel Act 1987, c. 53",https://perma.cc/L55W-EMW8
UnitedKingdom,,,
UnitedKingdom,,"Town and Country Planning Act 1990, c. 8",https://perma.cc/RZ6G-WUA3
UnitedKingdom,,,
UnitedKingdom,Regulation,"Channel Tunnel (International Arrangements) Order 1993, SI 1993/1813",https://perma.cc/4XLM-U29B
UnitedKingdom,,,
UnitedKingdom,Regulation,"Channel Tunnel (International Arrangements) (Amendment No. 3) Order 2001, SI 2001/1544",https://perma.cc/SQP8-V7YZ
UnitedKingdom,,,
UnitedKingdom,Regulation,"Channel Tunnel (Miscellaneous Provisions) Order 1994, SI 1994/1405",https://perma.cc/6GCX-NBLX
UnitedKingdom,,,
UnitedKingdom,Regulation,"Nationality, Immigration and Asylum Act 2002 (Juxtaposed Controls) Order 2003, SI 2003/2818",https://perma.cc/CRA2-9DPH
UnitedKingdom,,,
UnitedKingdom,Regulation,"Nationality, Immigration and Asylum Act 2002 (Juxtaposed Controls) Order 2003, SI 2003/2818",https://perma.cc/Q5B4-ZNJW
UnitedKingdom,,,
UnitedKingdom,Regulation,"Town and Country Planning (Border Facilities and Infrastructure) (EU Exit) (England) Special Development Order 2020, SI 2020/928",https://perma.cc/XRK8-LBVX
