Jurisdiction,Type of Law,Citation,URL
,,"Treaty Concerning the Construction and Operation byPrivate Concessionaires of a Channel Fixed Link(Canterbury, Feb.12,1986),1497 U.N.T.S.25792",https:/ / perma.cc/ZT3R-AX84
,InternationalAgreement,"France/UK/Migration - Joint Declaration by M. BernardCazeneuve,Minister of the Interior,and Mrs. TheresaMay,Home Secretary of the United Kingdom (Paris,Sept. 20, 2014)",https://perma.cc/8UCE-CXM6
,InternationalAgreement,"Joint Statement on the Common Travel Area, U.K.-Ir.",https:/ /perma.cc/CB47-AP74
,InternationalAgreement,"Republique Frangaise and the Home Office, ManagingMigratory Flows in Calais: Joint Ministerial Declarationon UK/French Co-operation (Aug. 20, 2015)",https:/ / perma.cc/RAV5-9WSK
,InternationalAgreement,"UK-France Summit, Annex on Migration (Mar. 3, 2016)",https:/ /perma.cc/DHF7-95XK
,InternationalAgreement,"United Kingdom-France Summit Communique (Jan. 18,2018)",https:/ / perma.cc/4W9U-MHVY
,Statute,"Channel Tunnel Act 1987, c. 53",https://perma.cc/L55W-EMW8
,,"Town and Country Planning Act 1990, c. 8",https:/ / perma.cc/RZ6G-WUA3
,Regulation,"Channel Tunnel (International Arrangements) Order1993, SI 1993/1813",https://perma.cc/4XLM-U29B
,Regulation,"Channel Tunnel (International Arrangements)(Amendment No. 3) Order 2001, SI 2001/1544",https:// perma.cc/SQP8-V7YZ
,Regulation,"Channel Tunnel (Miscellaneous Provisions) Order 1994,SI 1994/1405",https://perma.cc/6GCX-NBLX
,Regulation,"Nationality, Immigration and Asylum Act 2002(Juxtaposed Controls) Order 2003, SI 2003/2818",https://perma.cc/CRA2-9DPH
,Regulation,"Nationality, Immigration and Asylum Act 2002(Juxtaposed Controls) Order 2003, SI 2003/2818",https:/ /perma.cc/Q5B4-ZNJW
,Regulation,"Town and Country Planning (Border Facilities andInfrastructure) (EU Exit) (England) Special DevelopmentOrder 2020, SI 2020/928",https:// perma.cc/XRK8-LBVX
