"Loans:Commercial loans:Commercial andindustrial- U.s. 252,025 6,526Commercial and industrial- Non-U.S. 71,114 1,448","Loans:Commercial loans:Commercial andindustrial- U.s. 252,025 6,526Commercial and industrial- Non-U.S. 71,114 1,448","Loans:Commercial loans:Commercial andindustrial- U.s. 252,025 6,526Commercial and industrial- Non-U.S. 71,114 1,448","Loans:Commercial loans:Commercial andindustrial- U.s. 252,025 6,526Commercial and industrial- Non-U.S. 71,114 1,448","Loans:Commercial loans:Commercial andindustrial- U.s. 252,025 6,526Commercial and industrial- Non-U.S. 71,114 1,448",,,,,,,,,,,,
"Loans:Commercial loans:Commercial andindustrial- U.s. 252,025 6,526Commercial and industrial- Non-U.S. 71,114 1,448","Loans:Commercial loans:Commercial andindustrial- U.s. 252,025 6,526Commercial and industrial- Non-U.S. 71,114 1,448","Loans:Commercial loans:Commercial andindustrial- U.s. 252,025 6,526Commercial and industrial- Non-U.S. 71,114 1,448","Loans:Commercial loans:Commercial andindustrial- U.s. 252,025 6,526Commercial and industrial- Non-U.S. 71,114 1,448","Loans:Commercial loans:Commercial andindustrial- U.s. 252,025 6,526Commercial and industrial- Non-U.S. 71,114 1,448",2.59,"281,080","7,912",2.82,"284,888","12,107",4.25,,,,,
"Loans:Commercial loans:Commercial andindustrial- U.s. 252,025 6,526Commercial and industrial- Non-U.S. 71,114 1,448","Loans:Commercial loans:Commercial andindustrial- U.s. 252,025 6,526Commercial and industrial- Non-U.S. 71,114 1,448","Loans:Commercial loans:Commercial andindustrial- U.s. 252,025 6,526Commercial and industrial- Non-U.S. 71,114 1,448","Loans:Commercial loans:Commercial andindustrial- U.s. 252,025 6,526Commercial and industrial- Non-U.S. 71,114 1,448","Loans:Commercial loans:Commercial andindustrial- U.s. 252,025 6,526Commercial and industrial- Non-U.S. 71,114 1,448",2.04,"66,915","1,673",2.50,"64,274","2,385",3.71,,,,,
"Real estate mortgage 121,638 3,276","Real estate mortgage 121,638 3,276","Real estate mortgage 121,638 3,276","Real estate mortgage 121,638 3,276","Real estate mortgage 121,638 3,276",2.69,"122,482",3.842,3.14,"121,813","5,356",4.40,,,,,
"Real estate construction 21,589 667Lease financing 15,519 692","Real estate construction 21,589 667Lease financing 15,519 692","Real estate construction 21,589 667Lease financing 15,519 692","Real estate construction 21,589 667Lease financing 15,519 692","Real estate construction 21,589 667Lease financing 15,519 692",3.09,"21,608",760,3.52,"21,18","1,095",5.17,,,,,
"Real estate construction 21,589 667Lease financing 15,519 692","Real estate construction 21,589 667Lease financing 15,519 692","Real estate construction 21,589 667Lease financing 15,519 692","Real estate construction 21,589 667Lease financing 15,519 692","Real estate construction 21,589 667Lease financing 15,519 692",4.46,"17,801 877","17,801 877",4.93,"19,302",957,4.96,,,,,
"Total commercial loans 481,885 12,609","Total commercial loans 481,885 12,609","Total commercial loans 481,885 12,609","Total commercial loans 481,885 12,609","Total commercial loans 481,885 12,609",2.62,"509,886 15,064","509,886 15,064",2.95,"511,460 21,900","511,460 21,900",4.28,,,,,
"Consumer loans:Residential mortgage-first lien 249,862 7,903Residentialmortgage-juniorlien 19,710 818Credit card 35,471 4,086Auto 51,576 2,317Other consumer 25,784 962","Consumer loans:Residential mortgage-first lien 249,862 7,903Residentialmortgage-juniorlien 19,710 818Credit card 35,471 4,086Auto 51,576 2,317Other consumer 25,784 962","Consumer loans:Residential mortgage-first lien 249,862 7,903Residentialmortgage-juniorlien 19,710 818Credit card 35,471 4,086Auto 51,576 2,317Other consumer 25,784 962","Consumer loans:Residential mortgage-first lien 249,862 7,903Residentialmortgage-juniorlien 19,710 818Credit card 35,471 4,086Auto 51,576 2,317Other consumer 25,784 962","Consumer loans:Residential mortgage-first lien 249,862 7,903Residentialmortgage-juniorlien 19,710 818Credit card 35,471 4,086Auto 51,576 2,317Other consumer 25,784 962",,,,,,,,,,,,
"Consumer loans:Residential mortgage-first lien 249,862 7,903Residentialmortgage-juniorlien 19,710 818Credit card 35,471 4,086Auto 51,576 2,317Other consumer 25,784 962","Consumer loans:Residential mortgage-first lien 249,862 7,903Residentialmortgage-juniorlien 19,710 818Credit card 35,471 4,086Auto 51,576 2,317Other consumer 25,784 962","Consumer loans:Residential mortgage-first lien 249,862 7,903Residentialmortgage-juniorlien 19,710 818Credit card 35,471 4,086Auto 51,576 2,317Other consumer 25,784 962","Consumer loans:Residential mortgage-first lien 249,862 7,903Residentialmortgage-juniorlien 19,710 818Credit card 35,471 4,086Auto 51,576 2,317Other consumer 25,784 962","Consumer loans:Residential mortgage-first lien 249,862 7,903Residentialmortgage-juniorlien 19,710 818Credit card 35,471 4,086Auto 51,576 2,317Other consumer 25,784 962",3.16,"288,105","9,661",3.35,"288,059","10,974",3.81,,,,,
"Consumer loans:Residential mortgage-first lien 249,862 7,903Residentialmortgage-juniorlien 19,710 818Credit card 35,471 4,086Auto 51,576 2,317Other consumer 25,784 962","Consumer loans:Residential mortgage-first lien 249,862 7,903Residentialmortgage-juniorlien 19,710 818Credit card 35,471 4,086Auto 51,576 2,317Other consumer 25,784 962","Consumer loans:Residential mortgage-first lien 249,862 7,903Residentialmortgage-juniorlien 19,710 818Credit card 35,471 4,086Auto 51,576 2,317Other consumer 25,784 962","Consumer loans:Residential mortgage-first lien 249,862 7,903Residentialmortgage-juniorlien 19,710 818Credit card 35,471 4,086Auto 51,576 2,317Other consumer 25,784 962","Consumer loans:Residential mortgage-first lien 249,862 7,903Residentialmortgage-juniorlien 19,710 818Credit card 35,471 4,086Auto 51,576 2,317Other consumer 25,784 962",4.15,"26,700","1,185",4.44,"31,989","1,800",5.63,,,,,
"Consumer loans:Residential mortgage-first lien 249,862 7,903Residentialmortgage-juniorlien 19,710 818Credit card 35,471 4,086Auto 51,576 2,317Other consumer 25,784 962","Consumer loans:Residential mortgage-first lien 249,862 7,903Residentialmortgage-juniorlien 19,710 818Credit card 35,471 4,086Auto 51,576 2,317Other consumer 25,784 962","Consumer loans:Residential mortgage-first lien 249,862 7,903Residentialmortgage-juniorlien 19,710 818Credit card 35,471 4,086Auto 51,576 2,317Other consumer 25,784 962","Consumer loans:Residential mortgage-first lien 249,862 7,903Residentialmortgage-juniorlien 19,710 818Credit card 35,471 4,086Auto 51,576 2,317Other consumer 25,784 962","Consumer loans:Residential mortgage-first lien 249,862 7,903Residentialmortgage-juniorlien 19,710 818Credit card 35,471 4,086Auto 51,576 2,317Other consumer 25,784 962",11.52,"37,093","4,315",11.63,"38,865","4,889",12.58,,,,,
"Consumer loans:Residential mortgage-first lien 249,862 7,903Residentialmortgage-juniorlien 19,710 818Credit card 35,471 4,086Auto 51,576 2,317Other consumer 25,784 962","Consumer loans:Residential mortgage-first lien 249,862 7,903Residentialmortgage-juniorlien 19,710 818Credit card 35,471 4,086Auto 51,576 2,317Other consumer 25,784 962","Consumer loans:Residential mortgage-first lien 249,862 7,903Residentialmortgage-juniorlien 19,710 818Credit card 35,471 4,086Auto 51,576 2,317Other consumer 25,784 962","Consumer loans:Residential mortgage-first lien 249,862 7,903Residentialmortgage-juniorlien 19,710 818Credit card 35,471 4,086Auto 51,576 2,317Other consumer 25,784 962","Consumer loans:Residential mortgage-first lien 249,862 7,903Residentialmortgage-juniorlien 19,710 818Credit card 35,471 4,086Auto 51,576 2,317Other consumer 25,784 962",4.49,"48,362","2,379",4.92,"45,901","2,362",5.15,,,,,
"Consumer loans:Residential mortgage-first lien 249,862 7,903Residentialmortgage-juniorlien 19,710 818Credit card 35,471 4,086Auto 51,576 2,317Other consumer 25,784 962","Consumer loans:Residential mortgage-first lien 249,862 7,903Residentialmortgage-juniorlien 19,710 818Credit card 35,471 4,086Auto 51,576 2,317Other consumer 25,784 962","Consumer loans:Residential mortgage-first lien 249,862 7,903Residentialmortgage-juniorlien 19,710 818Credit card 35,471 4,086Auto 51,576 2,317Other consumer 25,784 962","Consumer loans:Residential mortgage-first lien 249,862 7,903Residentialmortgage-juniorlien 19,710 818Credit card 35,471 4,086Auto 51,576 2,317Other consumer 25,784 962","Consumer loans:Residential mortgage-first lien 249,862 7,903Residentialmortgage-juniorlien 19,710 818Credit card 35,471 4,086Auto 51,576 2,317Other consumer 25,784 962",3.73,"31,642","1,719",5.43,"34,682 2,412","34,682 2,412",6.95,,,,,
"Total consumer loans 382,403 16,086","Total consumer loans 382,403 16,086","Total consumer loans 382,403 16,086","Total consumer loans 382,403 16,086","Total consumer loans 382,403 16,086",4.21,"431,902 19,259","431,902 19,259",4.46,"439,496 22,437","439,496 22,437",5.11,,,,,
"Total loans (2) 864,288 28,695Equity securities 31,946 608Other 10,052 6","Total loans (2) 864,288 28,695Equity securities 31,946 608Other 10,052 6","Total loans (2) 864,288 28,695Equity securities 31,946 608Other 10,052 6","Total loans (2) 864,288 28,695Equity securities 31,946 608Other 10,052 6","Total loans (2) 864,288 28,695Equity securities 31,946 608Other 10,052 6",3.32,"941,788 34,323","941,788 34,323",3.64,"950,956 44,337","950,956 44,337",4.66,,,,,
"Total loans (2) 864,288 28,695Equity securities 31,946 608Other 10,052 6","Total loans (2) 864,288 28,695Equity securities 31,946 608Other 10,052 6","Total loans (2) 864,288 28,695Equity securities 31,946 608Other 10,052 6","Total loans (2) 864,288 28,695Equity securities 31,946 608Other 10,052 6","Total loans (2) 864,288 28,695Equity securities 31,946 608Other 10,052 6",1.91,"28,950",557,1.92,"35,930",966,2.69,,,,,
"Total loans (2) 864,288 28,695Equity securities 31,946 608Other 10,052 6","Total loans (2) 864,288 28,695Equity securities 31,946 608Other 10,052 6","Total loans (2) 864,288 28,695Equity securities 31,946 608Other 10,052 6","Total loans (2) 864,288 28,695Equity securities 31,946 608Other 10,052 6","Total loans (2) 864,288 28,695Equity securities 31,946 608Other 10,052 6",6,0.06,"7,505",14,0.18,"5,579",90,1.62,,,,
"Totalinterest-earning assets $1,762,664 40,122Cash and due from banks 24,562 一Goodwill 26,087Other 128,592 1","Totalinterest-earning assets $1,762,664 40,122Cash and due from banks 24,562 一Goodwill 26,087Other 128,592 1","Totalinterest-earning assets $1,762,664 40,122Cash and due from banks 24,562 一Goodwill 26,087Other 128,592 1","Totalinterest-earning assets $1,762,664 40,122Cash and due from banks 24,562 一Goodwill 26,087Other 128,592 1","Totalinterest-earning assets $1,762,664 40,122Cash and due from banks 24,562 一Goodwill 26,087Other 128,592 1","40,122",2.28%,"$1,772,233","48,414",2.73%,"$1,754,462","66,780",,,,,
"Totalinterest-earning assets $1,762,664 40,122Cash and due from banks 24,562 一Goodwill 26,087Other 128,592 1","Totalinterest-earning assets $1,762,664 40,122Cash and due from banks 24,562 一Goodwill 26,087Other 128,592 1","Totalinterest-earning assets $1,762,664 40,122Cash and due from banks 24,562 一Goodwill 26,087Other 128,592 1","Totalinterest-earning assets $1,762,664 40,122Cash and due from banks 24,562 一Goodwill 26,087Other 128,592 1","Totalinterest-earning assets $1,762,664 40,122Cash and due from banks 24,562 一Goodwill 26,087Other 128,592 1",,"21,676",1,,"19,558",一,,,,,,
"Totalinterest-earning assets $1,762,664 40,122Cash and due from banks 24,562 一Goodwill 26,087Other 128,592 1","Totalinterest-earning assets $1,762,664 40,122Cash and due from banks 24,562 一Goodwill 26,087Other 128,592 1","Totalinterest-earning assets $1,762,664 40,122Cash and due from banks 24,562 一Goodwill 26,087Other 128,592 1","Totalinterest-earning assets $1,762,664 40,122Cash and due from banks 24,562 一Goodwill 26,087Other 128,592 1","Totalinterest-earning assets $1,762,664 40,122Cash and due from banks 24,562 一Goodwill 26,087Other 128,592 1",,"26,387",,,"26,409",,,,,,,
"Totalinterest-earning assets $1,762,664 40,122Cash and due from banks 24,562 一Goodwill 26,087Other 128,592 1","Totalinterest-earning assets $1,762,664 40,122Cash and due from banks 24,562 一Goodwill 26,087Other 128,592 1","Totalinterest-earning assets $1,762,664 40,122Cash and due from banks 24,562 一Goodwill 26,087Other 128,592 1","Totalinterest-earning assets $1,762,664 40,122Cash and due from banks 24,562 一Goodwill 26,087Other 128,592 1","Totalinterest-earning assets $1,762,664 40,122Cash and due from banks 24,562 一Goodwill 26,087Other 128,592 1",,"121,413 一","121,413 一",,"111,361 一","111,361 一",,,,,,
"Total noninterest-earning assets $179,241 1","Total noninterest-earning assets $179,241 1","Total noninterest-earning assets $179,241 1","Total noninterest-earning assets $179,241 1","Total noninterest-earning assets $179,241 1",,"169,476 1","169,476 1",,"157,328 1","157,328 1",,,,,,
"Totalassets $1,941,905 40,122","Totalassets $1,941,905 40,122","Totalassets $1,941,905 40,122","Totalassets $1,941,905 40,122","Totalassets $1,941,905 40,122",,"1,941,709","48,414",,"1,911,790 66,780","1,911,790 66,780",,,,,,
"LiabilitiesDeposits:Demand deposits $450,131 127","LiabilitiesDeposits:Demand deposits $450,131 127","LiabilitiesDeposits:Demand deposits $450,131 127","LiabilitiesDeposits:Demand deposits $450,131 127","LiabilitiesDeposits:Demand deposits $450,131 127",,,,,,,,,,,,
"LiabilitiesDeposits:Demand deposits $450,131 127","LiabilitiesDeposits:Demand deposits $450,131 127","LiabilitiesDeposits:Demand deposits $450,131 127","LiabilitiesDeposits:Demand deposits $450,131 127","LiabilitiesDeposits:Demand deposits $450,131 127",Demand deposits,Demand deposits,127,0.03%,"$ 98,182",184,0.19 %,"$ 59,121",789,1.33%,,
"Savings deposits 423,221","Savings deposits 423,221","Savings deposits 423,221","Savings deposits 423,221",124,0.03,"744,226","1,492",0.20,"705,957","4,132",0.59,,,,,
"Time deposits 36,519 122Deposits in non-U.S.offices 28,297 15","Time deposits 36,519 122Deposits in non-U.S.offices 28,297 15","Time deposits 36,519 122Deposits in non-U.S.offices 28,297 15","Time deposits 36,519 122Deposits in non-U.S.offices 28,297 15","Time deposits 36,519 122Deposits in non-U.S.offices 28,297 15",122,0.33,"81,674",892,1.09,"123,634","2,776",,,,,
"Time deposits 36,519 122Deposits in non-U.S.offices 28,297 15","Time deposits 36,519 122Deposits in non-U.S.offices 28,297 15","Time deposits 36,519 122Deposits in non-U.S.offices 28,297 15","Time deposits 36,519 122Deposits in non-U.S.offices 28,297 15","Time deposits 36,519 122Deposits in non-U.S.offices 28,297 15",0.05,"39,260",236,0.60,"53,438 938","53,438 938",1.75,,,,,
"Total interest-bearing deposits 938,168 388Short-term borrowings:Federal funds purchased and securities sold under agreements torepurchase 35,245 8","Total interest-bearing deposits 938,168 388Short-term borrowings:Federal funds purchased and securities sold under agreements torepurchase 35,245 8","Total interest-bearing deposits 938,168 388Short-term borrowings:Federal funds purchased and securities sold under agreements torepurchase 35,245 8","Total interest-bearing deposits 938,168 388Short-term borrowings:Federal funds purchased and securities sold under agreements torepurchase 35,245 8","Total interest-bearing deposits 938,168 388Short-term borrowings:Federal funds purchased and securities sold under agreements torepurchase 35,245 8",0.04,"963,342","2,804",0.29,"942,150 8,635","942,150 8,635",0.92,,,,,
