10.3.3*10.3.4*10.4*10.5*10.5.1*10.5.2*10.5.3*10.610.7*10.8**10.8.1**10.8.2**10.8.3**10.8.4**10.8.5**,Wholesale Corporation,Wholesale Corporation,Wholesale Corporation,Wholesale Corporation,,,11/24/2019,11/24/2019,,12/16/201612/20/201812/23/2019,
10.3.3*10.3.4*10.4*10.5*10.5.1*10.5.2*10.5.3*10.610.7*10.8**10.8.1**10.8.2**10.8.3**10.8.4**10.8.5**,Extension of the Term of the Executive,Extension of the Term of the Executive,Extension of the Term of the Executive,Extension of the Term of the Executive,,,11/24/2019,11/24/2019,,12/16/201612/20/201812/23/2019,
10.3.3*10.3.4*10.4*10.5*10.5.1*10.5.2*10.5.3*10.610.7*10.8**10.8.1**10.8.2**10.8.3**10.8.4**10.8.5**,Extension of the Term of the Executive,Extension of the Term of the Executive,Extension of the Term of the Executive,Extension of the Term of the Executive,,10-Q,11/24/2019,11/24/2019,,12/16/201612/20/201812/23/2019,
10.3.3*10.3.4*10.4*10.5*10.5.1*10.5.2*10.5.3*10.610.7*10.8**10.8.1**10.8.2**10.8.3**10.8.4**10.8.5**,"Employment Agreement,effective January_1,","Employment Agreement,effective January_1,","Employment Agreement,effective January_1,","Employment Agreement,effective January_1,",,,,,,,
10.3.3*10.3.4*10.4*10.5*10.5.1*10.5.2*10.5.3*10.610.7*10.8**10.8.1**10.8.2**10.8.3**10.8.4**10.8.5**,,,,,,,,,,,
10.3.3*10.3.4*10.4*10.5*10.5.1*10.5.2*10.5.3*10.610.7*10.8**10.8.1**10.8.2**10.8.3**10.8.4**10.8.5**,,,,,,,,,,,
10.3.3*10.3.4*10.4*10.5*10.5.1*10.5.2*10.5.3*10.610.7*10.8**10.8.1**10.8.2**10.8.3**10.8.4**10.8.5**,"2020,between W. Craig Jelinek and Costco","2020,between W. Craig Jelinek and Costco","2020,between W. Craig Jelinek and Costco","2020,between W. Craig Jelinek and Costco",,,,,,,
10.3.3*10.3.4*10.4*10.5*10.5.1*10.5.2*10.5.3*10.610.7*10.8**10.8.1**10.8.2**10.8.3**10.8.4**10.8.5**,"2020,between W. Craig Jelinek and Costco","2020,between W. Craig Jelinek and Costco","2020,between W. Craig Jelinek and Costco","2020,between W. Craig Jelinek and Costco",,,,,11/22/2020,11/22/2020,12/16/2020
10.3.3*10.3.4*10.4*10.5*10.5.1*10.5.2*10.5.3*10.610.7*10.8**10.8.1**10.8.2**10.8.3**10.8.4**10.8.5**,Wholesale Corporation,Wholesale Corporation,Wholesale Corporation,Wholesale Corporation,,10-Q,11/22/2020,11/22/2020,11/22/2020,11/22/2020,12/16/2020
10.3.3*10.3.4*10.4*10.5*10.5.1*10.5.2*10.5.3*10.610.7*10.8**10.8.1**10.8.2**10.8.3**10.8.4**10.8.5**,Extension of the Term of the Executive,Extension of the Term of the Executive,Extension of the Term of the Executive,Extension of the Term of the Executive,,10-Q,11/22/2020,11/22/2020,11/22/2020,11/22/2020,12/16/2020
10.3.3*10.3.4*10.4*10.5*10.5.1*10.5.2*10.5.3*10.610.7*10.8**10.8.1**10.8.2**10.8.3**10.8.4**10.8.5**,"Employment Agreement,effective January_1,","Employment Agreement,effective January_1,","Employment Agreement,effective January_1,",,,,,,,,
10.3.3*10.3.4*10.4*10.5*10.5.1*10.5.2*10.5.3*10.610.7*10.8**10.8.1**10.8.2**10.8.3**10.8.4**10.8.5**,"2021,between W. Craig Jelinek and Costco","2021,between W. Craig Jelinek and Costco","2021,between W. Craig Jelinek and Costco",,,,,,,,
10.3.3*10.3.4*10.4*10.5*10.5.1*10.5.2*10.5.3*10.610.7*10.8**10.8.1**10.8.2**10.8.3**10.8.4**10.8.5**,Wholesale Corporation,Wholesale Corporation,Wholesale Corporation,,,,,,,,
10.3.3*10.3.4*10.4*10.5*10.5.1*10.5.2*10.5.3*10.610.7*10.8**10.8.1**10.8.2**10.8.3**10.8.4**10.8.5**,Form of Indemnification Agreement,Form of Indemnification Agreement,Form of Indemnification Agreement,,,14A,,,,12/13/1999,
10.3.3*10.3.4*10.4*10.5*10.5.1*10.5.2*10.5.3*10.610.7*10.8**10.8.1**10.8.2**10.8.3**10.8.4**10.8.5**,Deferred Compensation Plan,Deferred Compensation Plan,Deferred Compensation Plan,,,10-K,9/1/2013,9/1/2013,,10/16/2013,
10.3.3*10.3.4*10.4*10.5*10.5.1*10.5.2*10.5.3*10.610.7*10.8**10.8.1**10.8.2**10.8.3**10.8.4**10.8.5**,"Citibank, N.A. Co-Branded Credit CardAgreement","Citibank, N.A. Co-Branded Credit CardAgreement","Citibank, N.A. Co-Branded Credit CardAgreement",10-Q/A,10-Q/A,10-Q/A,5/10/2015 8/31/2015,5/10/2015 8/31/2015,5/10/2015 8/31/2015,5/10/2015 8/31/2015,
10.3.3*10.3.4*10.4*10.5*10.5.1*10.5.2*10.5.3*10.610.7*10.8**10.8.1**10.8.2**10.8.3**10.8.4**10.8.5**,"First Amendment to Citi,_ N.A. Co-BrandedCredit Card Agreement","First Amendment to Citi,_ N.A. Co-BrandedCredit Card Agreement","First Amendment to Citi,_ N.A. Co-BrandedCredit Card Agreement",,,,,,,,
10.3.3*10.3.4*10.4*10.5*10.5.1*10.5.2*10.5.3*10.610.7*10.8**10.8.1**10.8.2**10.8.3**10.8.4**10.8.5**,"First Amendment to Citi,_ N.A. Co-BrandedCredit Card Agreement","First Amendment to Citi,_ N.A. Co-BrandedCredit Card Agreement","First Amendment to Citi,_ N.A. Co-BrandedCredit Card Agreement",10-Q 11/22/2015 12/17/2015,10-Q 11/22/2015 12/17/2015,10-Q 11/22/2015 12/17/2015,10-Q 11/22/2015 12/17/2015,10-Q 11/22/2015 12/17/2015,10-Q 11/22/2015 12/17/2015,10-Q 11/22/2015 12/17/2015,
10.3.3*10.3.4*10.4*10.5*10.5.1*10.5.2*10.5.3*10.610.7*10.8**10.8.1**10.8.2**10.8.3**10.8.4**10.8.5**,"First Amendment to Citi,_ N.A. Co-BrandedCredit Card Agreement","First Amendment to Citi,_ N.A. Co-BrandedCredit Card Agreement","First Amendment to Citi,_ N.A. Co-BrandedCredit Card Agreement",10-Q 11/22/2015 12/17/2015,10-Q 11/22/2015 12/17/2015,10-Q 11/22/2015 12/17/2015,10-Q 11/22/2015 12/17/2015,10-Q 11/22/2015 12/17/2015,10-Q 11/22/2015 12/17/2015,10-Q 11/22/2015 12/17/2015,dAgreem
10.3.3*10.3.4*10.4*10.5*10.5.1*10.5.2*10.5.3*10.610.7*10.8**10.8.1**10.8.2**10.8.3**10.8.4**10.8.5**,"Second Amendment to Citi, N.A. Co-BrandedCredit Card Agreement","Second Amendment to Citi, N.A. Co-BrandedCredit Card Agreement","Second Amendment to Citi, N.A. Co-BrandedCredit Card Agreement",10-Q 2/14/2016 3/9/2016,10-Q 2/14/2016 3/9/2016,10-Q 2/14/2016 3/9/2016,10-Q 2/14/2016 3/9/2016,10-Q 2/14/2016 3/9/2016,10-Q 2/14/2016 3/9/2016,10-Q 2/14/2016 3/9/2016,
10.3.3*10.3.4*10.4*10.5*10.5.1*10.5.2*10.5.3*10.610.7*10.8**10.8.1**10.8.2**10.8.3**10.8.4**10.8.5**,"Third Amendment to Citi, N.A. Co-Branded","Third Amendment to Citi, N.A. Co-Branded","Third Amendment to Citi, N.A. Co-Branded",10-K 8/28/2016 10/12/2016,10-K 8/28/2016 10/12/2016,10-K 8/28/2016 10/12/2016,10-K 8/28/2016 10/12/2016,10-K 8/28/2016 10/12/2016,10-K 8/28/2016 10/12/2016,10-K 8/28/2016 10/12/2016,
10.3.3*10.3.4*10.4*10.5*10.5.1*10.5.2*10.5.3*10.610.7*10.8**10.8.1**10.8.2**10.8.3**10.8.4**10.8.5**,Credit Card Agreement,Credit Card Agreement,Credit Card Agreement,10-K 8/28/2016 10/12/2016,10-K 8/28/2016 10/12/2016,10-K 8/28/2016 10/12/2016,10-K 8/28/2016 10/12/2016,10-K 8/28/2016 10/12/2016,10-K 8/28/2016 10/12/2016,10-K 8/28/2016 10/12/2016,
10.3.3*10.3.4*10.4*10.5*10.5.1*10.5.2*10.5.3*10.610.7*10.8**10.8.1**10.8.2**10.8.3**10.8.4**10.8.5**,"Fourth Amendment to Citi,N.A. Co-BrandedCredit Card Agreement","Fourth Amendment to Citi,N.A. Co-BrandedCredit Card Agreement","Fourth Amendment to Citi,N.A. Co-BrandedCredit Card Agreement",10-Q 2/18/2018 3/15/2018,10-Q 2/18/2018 3/15/2018,10-Q 2/18/2018 3/15/2018,10-Q 2/18/2018 3/15/2018,10-Q 2/18/2018 3/15/2018,10-Q 2/18/2018 3/15/2018,10-Q 2/18/2018 3/15/2018,
10.3.3*10.3.4*10.4*10.5*10.5.1*10.5.2*10.5.3*10.610.7*10.8**10.8.1**10.8.2**10.8.3**10.8.4**10.8.5**,"Fifth Amendment to Citi, N.A. Co-Branded","Fifth Amendment to Citi, N.A. Co-Branded","Fifth Amendment to Citi, N.A. Co-Branded",10-Q 2/17/2019 3/13/2019,10-Q 2/17/2019 3/13/2019,10-Q 2/17/2019 3/13/2019,10-Q 2/17/2019 3/13/2019,10-Q 2/17/2019 3/13/2019,10-Q 2/17/2019 3/13/2019,10-Q 2/17/2019 3/13/2019,
10.3.3*10.3.4*10.4*10.5*10.5.1*10.5.2*10.5.3*10.610.7*10.8**10.8.1**10.8.2**10.8.3**10.8.4**10.8.5**,Credit Card Agreement,Credit Card Agreement,Credit Card Agreement,,,,,,,,
