Country,Law,Law,Law,Law,Law,Law,Citation,Comment,,,,,,
Country,Law,Law,Law,Law,Law,Law,Citation,Comment,,,,,,
,"from which malice is tobe inferred.(4) where a claimant failsto serve particulars ofmalice in accordancewith subsection (3), he isnot entitled to rely on any allegation of malice in the defamationproceedings.","from which malice is tobe inferred.(4) where a claimant failsto serve particulars ofmalice in accordancewith subsection (3), he isnot entitled to rely on any allegation of malice in the defamationproceedings.","from which malice is tobe inferred.(4) where a claimant failsto serve particulars ofmalice in accordancewith subsection (3), he isnot entitled to rely on any allegation of malice in the defamationproceedings.","from which malice is tobe inferred.(4) where a claimant failsto serve particulars ofmalice in accordancewith subsection (3), he isnot entitled to rely on any allegation of malice in the defamationproceedings.","from which malice is tobe inferred.(4) where a claimant failsto serve particulars ofmalice in accordancewith subsection (3), he isnot entitled to rely on any allegation of malice in the defamationproceedings.","from which malice is tobe inferred.(4) where a claimant failsto serve particulars ofmalice in accordancewith subsection (3), he isnot entitled to rely on any allegation of malice in the defamationproceedings.",,,,,,,,
Cambodia,"Offenses of unauthorizedwearing of Buddhistrobes; theft of Buddhist sacred object; damagingBuddhist religiouspremises or sacredobjects; intentionalviolence againstBuddhist monks, nuns orlaymen; and insult ofBuddhist monks, nuns orlaymen.","Offenses of unauthorizedwearing of Buddhistrobes; theft of Buddhist sacred object; damagingBuddhist religiouspremises or sacredobjects; intentionalviolence againstBuddhist monks, nuns orlaymen; and insult ofBuddhist monks, nuns orlaymen.","Offenses of unauthorizedwearing of Buddhistrobes; theft of Buddhist sacred object; damagingBuddhist religiouspremises or sacredobjects; intentionalviolence againstBuddhist monks, nuns orlaymen; and insult ofBuddhist monks, nuns orlaymen.","Offenses of unauthorizedwearing of Buddhistrobes; theft of Buddhist sacred object; damagingBuddhist religiouspremises or sacredobjects; intentionalviolence againstBuddhist monks, nuns orlaymen; and insult ofBuddhist monks, nuns orlaymen.","Offenses of unauthorizedwearing of Buddhistrobes; theft of Buddhist sacred object; damagingBuddhist religiouspremises or sacredobjects; intentionalviolence againstBuddhist monks, nuns orlaymen; and insult ofBuddhist monks, nuns orlaymen.","Offenses of unauthorizedwearing of Buddhistrobes; theft of Buddhist sacred object; damagingBuddhist religiouspremises or sacredobjects; intentionalviolence againstBuddhist monks, nuns orlaymen; and insult ofBuddhist monks, nuns orlaymen.","Criminal Code,2009,Book 4Offences Against theNation, Title 1Infringements AgainstMajor Institutions ofState, Ch.5 OffenseAgainst State Religion,arts. 508-519,https:/ /www.ajne.org/ sites/default/files/resource/laws/7195/criminal-code-cambodia-en-kh.pdf[https:/ /perma.cc/LKE9-CQ8K].",,,,,,,
Colombia,"Colombian CriminalCode ch. 9, CrimesAgainst Religious Sentiment and Respectfor the Deceased.""Whoever causesdamage to objectsbelonging to a cult, orthe symbols of anylegally permitted religion, or publiclyoffends such cults or their members by reasonof their investiture, will incur a fine.""","Colombian CriminalCode ch. 9, CrimesAgainst Religious Sentiment and Respectfor the Deceased.""Whoever causesdamage to objectsbelonging to a cult, orthe symbols of anylegally permitted religion, or publiclyoffends such cults or their members by reasonof their investiture, will incur a fine.""","Colombian CriminalCode ch. 9, CrimesAgainst Religious Sentiment and Respectfor the Deceased.""Whoever causesdamage to objectsbelonging to a cult, orthe symbols of anylegally permitted religion, or publiclyoffends such cults or their members by reasonof their investiture, will incur a fine.""","Colombian CriminalCode ch. 9, CrimesAgainst Religious Sentiment and Respectfor the Deceased.""Whoever causesdamage to objectsbelonging to a cult, orthe symbols of anylegally permitted religion, or publiclyoffends such cults or their members by reasonof their investiture, will incur a fine.""","Colombian CriminalCode ch. 9, CrimesAgainst Religious Sentiment and Respectfor the Deceased.""Whoever causesdamage to objectsbelonging to a cult, orthe symbols of anylegally permitted religion, or publiclyoffends such cults or their members by reasonof their investiture, will incur a fine.""","Colombian CriminalCode ch. 9, CrimesAgainst Religious Sentiment and Respectfor the Deceased.""Whoever causesdamage to objectsbelonging to a cult, orthe symbols of anylegally permitted religion, or publiclyoffends such cults or their members by reasonof their investiture, will incur a fine.""","Codigo Penal deColombia, L. 599/00,Julio 24, 2000, DiarioOficial, https:/ / perma.cc/ A7PA-PS76.Id. art. 203.",There have been noamendments to art.203.,,,,,,
Country,Law,Law,Law,Law,Law,Law,Citation,Comment,,,,,,
,"""Violation of religiousfreedom. Whoever bymeans of violence forcesanother to perform areligious act, or preventshim from participating ina ceremony of the samenature, will incur a prison term of sixteen(16) to thirty-six (36)months.""","""Violation of religiousfreedom. Whoever bymeans of violence forcesanother to perform areligious act, or preventshim from participating ina ceremony of the samenature, will incur a prison term of sixteen(16) to thirty-six (36)months.""","""Violation of religiousfreedom. Whoever bymeans of violence forcesanother to perform areligious act, or preventshim from participating ina ceremony of the samenature, will incur a prison term of sixteen(16) to thirty-six (36)months.""","""Violation of religiousfreedom. Whoever bymeans of violence forcesanother to perform areligious act, or preventshim from participating ina ceremony of the samenature, will incur a prison term of sixteen(16) to thirty-six (36)months.""","""Violation of religiousfreedom. Whoever bymeans of violence forcesanother to perform areligious act, or preventshim from participating ina ceremony of the samenature, will incur a prison term of sixteen(16) to thirty-six (36)months.""","""Violation of religiousfreedom. Whoever bymeans of violence forcesanother to perform areligious act, or preventshim from participating ina ceremony of the samenature, will incur a prison term of sixteen(16) to thirty-six (36)months.""",Id. art. 201.,"A 2004 amendmentto art. 201 increasedthe possible prisonterm for violation ofreligious freedom,which had been oneto two years, to 16 to36 months.",,,,,,
El Salvador,"The law punishes withimprisonment from sixmonths to two years anyone who in any wayprevents, interrupts ordisturbs the free exerciseof a religion or publiclyoffends religious feelingsor beliefs, throughactions that mock thedogmas of any religionthat has proselytes in ElSalvador, makingapologetics contrary toreligious traditions andcustoms, or destroyingor causing damage toobjects intended forworship.Penalties are increasedwhen such conduct iscommitted with publicityor repeatedly.Incarceration can be forup to eight years whenthe conduct is carried outboth repeatedly and withpublicity.","The law punishes withimprisonment from sixmonths to two years anyone who in any wayprevents, interrupts ordisturbs the free exerciseof a religion or publiclyoffends religious feelingsor beliefs, throughactions that mock thedogmas of any religionthat has proselytes in ElSalvador, makingapologetics contrary toreligious traditions andcustoms, or destroyingor causing damage toobjects intended forworship.Penalties are increasedwhen such conduct iscommitted with publicityor repeatedly.Incarceration can be forup to eight years whenthe conduct is carried outboth repeatedly and withpublicity.","The law punishes withimprisonment from sixmonths to two years anyone who in any wayprevents, interrupts ordisturbs the free exerciseof a religion or publiclyoffends religious feelingsor beliefs, throughactions that mock thedogmas of any religionthat has proselytes in ElSalvador, makingapologetics contrary toreligious traditions andcustoms, or destroyingor causing damage toobjects intended forworship.Penalties are increasedwhen such conduct iscommitted with publicityor repeatedly.Incarceration can be forup to eight years whenthe conduct is carried outboth repeatedly and withpublicity.","The law punishes withimprisonment from sixmonths to two years anyone who in any wayprevents, interrupts ordisturbs the free exerciseof a religion or publiclyoffends religious feelingsor beliefs, throughactions that mock thedogmas of any religionthat has proselytes in ElSalvador, makingapologetics contrary toreligious traditions andcustoms, or destroyingor causing damage toobjects intended forworship.Penalties are increasedwhen such conduct iscommitted with publicityor repeatedly.Incarceration can be forup to eight years whenthe conduct is carried outboth repeatedly and withpublicity.","The law punishes withimprisonment from sixmonths to two years anyone who in any wayprevents, interrupts ordisturbs the free exerciseof a religion or publiclyoffends religious feelingsor beliefs, throughactions that mock thedogmas of any religionthat has proselytes in ElSalvador, makingapologetics contrary toreligious traditions andcustoms, or destroyingor causing damage toobjects intended forworship.Penalties are increasedwhen such conduct iscommitted with publicityor repeatedly.Incarceration can be forup to eight years whenthe conduct is carried outboth repeatedly and withpublicity.","The law punishes withimprisonment from sixmonths to two years anyone who in any wayprevents, interrupts ordisturbs the free exerciseof a religion or publiclyoffends religious feelingsor beliefs, throughactions that mock thedogmas of any religionthat has proselytes in ElSalvador, makingapologetics contrary toreligious traditions andcustoms, or destroyingor causing damage toobjects intended forworship.Penalties are increasedwhen such conduct iscommitted with publicityor repeatedly.Incarceration can be forup to eight years whenthe conduct is carried outboth repeatedly and withpublicity.","C6digo Penal, DecretoNo. 1030 (Apr. 30,1997),art. 296,https:/ / perma.cc/6VU6-ZVRD.",,,,,,,
Fiji,"Offense of ""sacrilege"" -indictable offense (triablesummarily), punishableby 14 years ofimprisonment, of","Offense of ""sacrilege"" -indictable offense (triablesummarily), punishableby 14 years ofimprisonment, of","Offense of ""sacrilege"" -indictable offense (triablesummarily), punishableby 14 years ofimprisonment, of","Offense of ""sacrilege"" -indictable offense (triablesummarily), punishableby 14 years ofimprisonment, of","Offense of ""sacrilege"" -indictable offense (triablesummarily), punishableby 14 years ofimprisonment, of","Offense of ""sacrilege"" -indictable offense (triablesummarily), punishableby 14 years ofimprisonment, of","Crimes Act 2009 (No. 4of 2009),as amended, s305,https:/ /www.laws.gov.fj",The Crimes Act 2009 repealed the PenalCode.,,,,,,
Country,Law,Law,Law,Law,Law,Law,Citation,Comment,,,,,,
,"breaking and entering aplace of worship andcommitting any offense in that place; or breaking out of a place of worshiphaving committed anoffense in that place; orentering any place of worship and committing""any act of intentionaldisrespect in that place ofworship.""","breaking and entering aplace of worship andcommitting any offense in that place; or breaking out of a place of worshiphaving committed anoffense in that place; orentering any place of worship and committing""any act of intentionaldisrespect in that place ofworship.""","breaking and entering aplace of worship andcommitting any offense in that place; or breaking out of a place of worshiphaving committed anoffense in that place; orentering any place of worship and committing""any act of intentionaldisrespect in that place ofworship.""","breaking and entering aplace of worship andcommitting any offense in that place; or breaking out of a place of worshiphaving committed anoffense in that place; orentering any place of worship and committing""any act of intentionaldisrespect in that place ofworship.""","breaking and entering aplace of worship andcommitting any offense in that place; or breaking out of a place of worshiphaving committed anoffense in that place; orentering any place of worship and committing""any act of intentionaldisrespect in that place ofworship.""","breaking and entering aplace of worship andcommitting any offense in that place; or breaking out of a place of worshiphaving committed anoffense in that place; orentering any place of worship and committing""any act of intentionaldisrespect in that place ofworship.""",/Acts/DisplayAct/3164#.,,,,,,,
Guatemala,"The law punishes withimprisonment for up to one year those whointerrupt the celebration of a religious ceremonyor perform acts incontempt or offense ofthe worship or of objectsintended for worship.The law punishes withimprisonment the theft(12 years) and robbery(20 years) of objectsdestined for worship,whether or not the objectis sacred, such as theBlessed Sacrament, holyoils, or holy images, among others, includingbibles or any other similar object of highreligious, temporal orhistorical content,regardless of whether ornot the actions arecarried out in placesintended for worship.The law also punisheswith imprisonment of 10years those whoknowingly acquire,","The law punishes withimprisonment for up to one year those whointerrupt the celebration of a religious ceremonyor perform acts incontempt or offense ofthe worship or of objectsintended for worship.The law punishes withimprisonment the theft(12 years) and robbery(20 years) of objectsdestined for worship,whether or not the objectis sacred, such as theBlessed Sacrament, holyoils, or holy images, among others, includingbibles or any other similar object of highreligious, temporal orhistorical content,regardless of whether ornot the actions arecarried out in placesintended for worship.The law also punisheswith imprisonment of 10years those whoknowingly acquire,","The law punishes withimprisonment for up to one year those whointerrupt the celebration of a religious ceremonyor perform acts incontempt or offense ofthe worship or of objectsintended for worship.The law punishes withimprisonment the theft(12 years) and robbery(20 years) of objectsdestined for worship,whether or not the objectis sacred, such as theBlessed Sacrament, holyoils, or holy images, among others, includingbibles or any other similar object of highreligious, temporal orhistorical content,regardless of whether ornot the actions arecarried out in placesintended for worship.The law also punisheswith imprisonment of 10years those whoknowingly acquire,","The law punishes withimprisonment for up to one year those whointerrupt the celebration of a religious ceremonyor perform acts incontempt or offense ofthe worship or of objectsintended for worship.The law punishes withimprisonment the theft(12 years) and robbery(20 years) of objectsdestined for worship,whether or not the objectis sacred, such as theBlessed Sacrament, holyoils, or holy images, among others, includingbibles or any other similar object of highreligious, temporal orhistorical content,regardless of whether ornot the actions arecarried out in placesintended for worship.The law also punisheswith imprisonment of 10years those whoknowingly acquire,","The law punishes withimprisonment for up to one year those whointerrupt the celebration of a religious ceremonyor perform acts incontempt or offense ofthe worship or of objectsintended for worship.The law punishes withimprisonment the theft(12 years) and robbery(20 years) of objectsdestined for worship,whether or not the objectis sacred, such as theBlessed Sacrament, holyoils, or holy images, among others, includingbibles or any other similar object of highreligious, temporal orhistorical content,regardless of whether ornot the actions arecarried out in placesintended for worship.The law also punisheswith imprisonment of 10years those whoknowingly acquire,","The law punishes withimprisonment for up to one year those whointerrupt the celebration of a religious ceremonyor perform acts incontempt or offense ofthe worship or of objectsintended for worship.The law punishes withimprisonment the theft(12 years) and robbery(20 years) of objectsdestined for worship,whether or not the objectis sacred, such as theBlessed Sacrament, holyoils, or holy images, among others, includingbibles or any other similar object of highreligious, temporal orhistorical content,regardless of whether ornot the actions arecarried out in placesintended for worship.The law also punisheswith imprisonment of 10years those whoknowingly acquire,","C6digo Penal, DecretoNo. 17-73 (July 5,1973),art. 224,https:/ /perma.cc/63HV-YXLB.Article 255-Bis (OnSacrilegious Acts)(added by Decreto No.36-94 (Apr. 26,1994), art.1, https:/ / perma.cc/H9KJ-BB2Z).",,,,,,,
