Appropriation / Program(dollars inmillions),Appropriation / Program(dollars inmillions),Prior Year,,,,,2020,2020,2021 Request,,,,,
"Diplomatic ProgramsOngoing OperationsWorldwide Security ProtectionWorldwide Security Protection (Rescission/transfer of prior year balances)Worldwide Security ProtectionCapital Investment FundConsular and Border Security Programs (FeeFunded,nonappropriated)Embassy Security, Construction,& MaintenanceOngoing OperationsWorldwide Security UpgradesWorldwide Security Upgrades (Rescission of prioryear balances)Other Administration of Foreign AffairsOffice of Inspector GeneralEducational and Cultural Exchange ProgramsRepresentation ExpensesProtection ofForeign Missions and fficialsEmergencies in the Diplomatic andConsular ServiceRepatriation Loans Program AccountPayment to theAmerican Institutein Taiwan","Diplomatic ProgramsOngoing OperationsWorldwide Security ProtectionWorldwide Security Protection (Rescission/transfer of prior year balances)Worldwide Security ProtectionCapital Investment FundConsular and Border Security Programs (FeeFunded,nonappropriated)Embassy Security, Construction,& MaintenanceOngoing OperationsWorldwide Security UpgradesWorldwide Security Upgrades (Rescission of prioryear balances)Other Administration of Foreign AffairsOffice of Inspector GeneralEducational and Cultural Exchange ProgramsRepresentation ExpensesProtection ofForeign Missions and fficialsEmergencies in the Diplomatic andConsular ServiceRepatriation Loans Program AccountPayment to theAmerican Institutein Taiwan",1,1,(250.0),(250.0),(250.0),1,(250.0),1,,,,,
"Diplomatic ProgramsOngoing OperationsWorldwide Security ProtectionWorldwide Security Protection (Rescission/transfer of prior year balances)Worldwide Security ProtectionCapital Investment FundConsular and Border Security Programs (FeeFunded,nonappropriated)Embassy Security, Construction,& MaintenanceOngoing OperationsWorldwide Security UpgradesWorldwide Security Upgrades (Rescission of prioryear balances)Other Administration of Foreign AffairsOffice of Inspector GeneralEducational and Cultural Exchange ProgramsRepresentation ExpensesProtection ofForeign Missions and fficialsEmergencies in the Diplomatic andConsular ServiceRepatriation Loans Program AccountPayment to theAmerican Institutein Taiwan","Diplomatic ProgramsOngoing OperationsWorldwide Security ProtectionWorldwide Security Protection (Rescission/transfer of prior year balances)Worldwide Security ProtectionCapital Investment FundConsular and Border Security Programs (FeeFunded,nonappropriated)Embassy Security, Construction,& MaintenanceOngoing OperationsWorldwide Security UpgradesWorldwide Security Upgrades (Rescission of prioryear balances)Other Administration of Foreign AffairsOffice of Inspector GeneralEducational and Cultural Exchange ProgramsRepresentation ExpensesProtection ofForeign Missions and fficialsEmergencies in the Diplomatic andConsular ServiceRepatriation Loans Program AccountPayment to theAmerican Institutein Taiwan",一,一,1,1,1,,1,1,,,,,
"Diplomatic ProgramsOngoing OperationsWorldwide Security ProtectionWorldwide Security Protection (Rescission/transfer of prior year balances)Worldwide Security ProtectionCapital Investment FundConsular and Border Security Programs (FeeFunded,nonappropriated)Embassy Security, Construction,& MaintenanceOngoing OperationsWorldwide Security UpgradesWorldwide Security Upgrades (Rescission of prioryear balances)Other Administration of Foreign AffairsOffice of Inspector GeneralEducational and Cultural Exchange ProgramsRepresentation ExpensesProtection ofForeign Missions and fficialsEmergencies in the Diplomatic andConsular ServiceRepatriation Loans Program AccountPayment to theAmerican Institutein Taiwan","Diplomatic ProgramsOngoing OperationsWorldwide Security ProtectionWorldwide Security Protection (Rescission/transfer of prior year balances)Worldwide Security ProtectionCapital Investment FundConsular and Border Security Programs (FeeFunded,nonappropriated)Embassy Security, Construction,& MaintenanceOngoing OperationsWorldwide Security UpgradesWorldwide Security Upgrades (Rescission of prioryear balances)Other Administration of Foreign AffairsOffice of Inspector GeneralEducational and Cultural Exchange ProgramsRepresentation ExpensesProtection ofForeign Missions and fficialsEmergencies in the Diplomatic andConsular ServiceRepatriation Loans Program AccountPayment to theAmerican Institutein Taiwan",0.8,139.5,1,1,139.5,1,139.5,256.7,,,,,
"Diplomatic ProgramsOngoing OperationsWorldwide Security ProtectionWorldwide Security Protection (Rescission/transfer of prior year balances)Worldwide Security ProtectionCapital Investment FundConsular and Border Security Programs (FeeFunded,nonappropriated)Embassy Security, Construction,& MaintenanceOngoing OperationsWorldwide Security UpgradesWorldwide Security Upgrades (Rescission of prioryear balances)Other Administration of Foreign AffairsOffice of Inspector GeneralEducational and Cultural Exchange ProgramsRepresentation ExpensesProtection ofForeign Missions and fficialsEmergencies in the Diplomatic andConsular ServiceRepatriation Loans Program AccountPayment to theAmerican Institutein Taiwan","Diplomatic ProgramsOngoing OperationsWorldwide Security ProtectionWorldwide Security Protection (Rescission/transfer of prior year balances)Worldwide Security ProtectionCapital Investment FundConsular and Border Security Programs (FeeFunded,nonappropriated)Embassy Security, Construction,& MaintenanceOngoing OperationsWorldwide Security UpgradesWorldwide Security Upgrades (Rescission of prioryear balances)Other Administration of Foreign AffairsOffice of Inspector GeneralEducational and Cultural Exchange ProgramsRepresentation ExpensesProtection ofForeign Missions and fficialsEmergencies in the Diplomatic andConsular ServiceRepatriation Loans Program AccountPayment to theAmerican Institutein Taiwan","1,652.0","3,746.9",1,1,"3,746.9",274.0,4020.9,"3,073.0",,,,,
"Diplomatic ProgramsOngoing OperationsWorldwide Security ProtectionWorldwide Security Protection (Rescission/transfer of prior year balances)Worldwide Security ProtectionCapital Investment FundConsular and Border Security Programs (FeeFunded,nonappropriated)Embassy Security, Construction,& MaintenanceOngoing OperationsWorldwide Security UpgradesWorldwide Security Upgrades (Rescission of prioryear balances)Other Administration of Foreign AffairsOffice of Inspector GeneralEducational and Cultural Exchange ProgramsRepresentation ExpensesProtection ofForeign Missions and fficialsEmergencies in the Diplomatic andConsular ServiceRepatriation Loans Program AccountPayment to theAmerican Institutein Taiwan","Diplomatic ProgramsOngoing OperationsWorldwide Security ProtectionWorldwide Security Protection (Rescission/transfer of prior year balances)Worldwide Security ProtectionCapital Investment FundConsular and Border Security Programs (FeeFunded,nonappropriated)Embassy Security, Construction,& MaintenanceOngoing OperationsWorldwide Security UpgradesWorldwide Security Upgrades (Rescission of prioryear balances)Other Administration of Foreign AffairsOffice of Inspector GeneralEducational and Cultural Exchange ProgramsRepresentation ExpensesProtection ofForeign Missions and fficialsEmergencies in the Diplomatic andConsular ServiceRepatriation Loans Program AccountPayment to theAmerican Institutein Taiwan","8,242.7","1,551.4",,181.6,"1,733.0",1,"1,733.0","1,683.8",,,,,
"Diplomatic ProgramsOngoing OperationsWorldwide Security ProtectionWorldwide Security Protection (Rescission/transfer of prior year balances)Worldwide Security ProtectionCapital Investment FundConsular and Border Security Programs (FeeFunded,nonappropriated)Embassy Security, Construction,& MaintenanceOngoing OperationsWorldwide Security UpgradesWorldwide Security Upgrades (Rescission of prioryear balances)Other Administration of Foreign AffairsOffice of Inspector GeneralEducational and Cultural Exchange ProgramsRepresentation ExpensesProtection ofForeign Missions and fficialsEmergencies in the Diplomatic andConsular ServiceRepatriation Loans Program AccountPayment to theAmerican Institutein Taiwan","Diplomatic ProgramsOngoing OperationsWorldwide Security ProtectionWorldwide Security Protection (Rescission/transfer of prior year balances)Worldwide Security ProtectionCapital Investment FundConsular and Border Security Programs (FeeFunded,nonappropriated)Embassy Security, Construction,& MaintenanceOngoing OperationsWorldwide Security UpgradesWorldwide Security Upgrades (Rescission of prioryear balances)Other Administration of Foreign AffairsOffice of Inspector GeneralEducational and Cultural Exchange ProgramsRepresentation ExpensesProtection ofForeign Missions and fficialsEmergencies in the Diplomatic andConsular ServiceRepatriation Loans Program AccountPayment to theAmerican Institutein Taiwan",1,769.8,,一,769.8,,769.8,742.1,,,,,
"Diplomatic ProgramsOngoing OperationsWorldwide Security ProtectionWorldwide Security Protection (Rescission/transfer of prior year balances)Worldwide Security ProtectionCapital Investment FundConsular and Border Security Programs (FeeFunded,nonappropriated)Embassy Security, Construction,& MaintenanceOngoing OperationsWorldwide Security UpgradesWorldwide Security Upgrades (Rescission of prioryear balances)Other Administration of Foreign AffairsOffice of Inspector GeneralEducational and Cultural Exchange ProgramsRepresentation ExpensesProtection ofForeign Missions and fficialsEmergencies in the Diplomatic andConsular ServiceRepatriation Loans Program AccountPayment to theAmerican Institutein Taiwan","Diplomatic ProgramsOngoing OperationsWorldwide Security ProtectionWorldwide Security Protection (Rescission/transfer of prior year balances)Worldwide Security ProtectionCapital Investment FundConsular and Border Security Programs (FeeFunded,nonappropriated)Embassy Security, Construction,& MaintenanceOngoing OperationsWorldwide Security UpgradesWorldwide Security Upgrades (Rescission of prioryear balances)Other Administration of Foreign AffairsOffice of Inspector GeneralEducational and Cultural Exchange ProgramsRepresentation ExpensesProtection ofForeign Missions and fficialsEmergencies in the Diplomatic andConsular ServiceRepatriation Loans Program AccountPayment to theAmerican Institutein Taiwan","8,242.7",781.6,,424.1,"1,205.7",,"1,205.7",941.7,,,,,
"Diplomatic ProgramsOngoing OperationsWorldwide Security ProtectionWorldwide Security Protection (Rescission/transfer of prior year balances)Worldwide Security ProtectionCapital Investment FundConsular and Border Security Programs (FeeFunded,nonappropriated)Embassy Security, Construction,& MaintenanceOngoing OperationsWorldwide Security UpgradesWorldwide Security Upgrades (Rescission of prioryear balances)Other Administration of Foreign AffairsOffice of Inspector GeneralEducational and Cultural Exchange ProgramsRepresentation ExpensesProtection ofForeign Missions and fficialsEmergencies in the Diplomatic andConsular ServiceRepatriation Loans Program AccountPayment to theAmerican Institutein Taiwan","Diplomatic ProgramsOngoing OperationsWorldwide Security ProtectionWorldwide Security Protection (Rescission/transfer of prior year balances)Worldwide Security ProtectionCapital Investment FundConsular and Border Security Programs (FeeFunded,nonappropriated)Embassy Security, Construction,& MaintenanceOngoing OperationsWorldwide Security UpgradesWorldwide Security Upgrades (Rescission of prioryear balances)Other Administration of Foreign AffairsOffice of Inspector GeneralEducational and Cultural Exchange ProgramsRepresentation ExpensesProtection ofForeign Missions and fficialsEmergencies in the Diplomatic andConsular ServiceRepatriation Loans Program AccountPayment to theAmerican Institutein Taiwan",,,,,,,(242.5),,,,,,
"Diplomatic ProgramsOngoing OperationsWorldwide Security ProtectionWorldwide Security Protection (Rescission/transfer of prior year balances)Worldwide Security ProtectionCapital Investment FundConsular and Border Security Programs (FeeFunded,nonappropriated)Embassy Security, Construction,& MaintenanceOngoing OperationsWorldwide Security UpgradesWorldwide Security Upgrades (Rescission of prioryear balances)Other Administration of Foreign AffairsOffice of Inspector GeneralEducational and Cultural Exchange ProgramsRepresentation ExpensesProtection ofForeign Missions and fficialsEmergencies in the Diplomatic andConsular ServiceRepatriation Loans Program AccountPayment to theAmerican Institutein Taiwan","Diplomatic ProgramsOngoing OperationsWorldwide Security ProtectionWorldwide Security Protection (Rescission/transfer of prior year balances)Worldwide Security ProtectionCapital Investment FundConsular and Border Security Programs (FeeFunded,nonappropriated)Embassy Security, Construction,& MaintenanceOngoing OperationsWorldwide Security UpgradesWorldwide Security Upgrades (Rescission of prioryear balances)Other Administration of Foreign AffairsOffice of Inspector GeneralEducational and Cultural Exchange ProgramsRepresentation ExpensesProtection ofForeign Missions and fficialsEmergencies in the Diplomatic andConsular ServiceRepatriation Loans Program AccountPayment to theAmerican Institutein Taiwan",1,1,,(242.5),(242.5),,(242.5),,,,,,
"Diplomatic ProgramsOngoing OperationsWorldwide Security ProtectionWorldwide Security Protection (Rescission/transfer of prior year balances)Worldwide Security ProtectionCapital Investment FundConsular and Border Security Programs (FeeFunded,nonappropriated)Embassy Security, Construction,& MaintenanceOngoing OperationsWorldwide Security UpgradesWorldwide Security Upgrades (Rescission of prioryear balances)Other Administration of Foreign AffairsOffice of Inspector GeneralEducational and Cultural Exchange ProgramsRepresentation ExpensesProtection ofForeign Missions and fficialsEmergencies in the Diplomatic andConsular ServiceRepatriation Loans Program AccountPayment to theAmerican Institutein Taiwan","Diplomatic ProgramsOngoing OperationsWorldwide Security ProtectionWorldwide Security Protection (Rescission/transfer of prior year balances)Worldwide Security ProtectionCapital Investment FundConsular and Border Security Programs (FeeFunded,nonappropriated)Embassy Security, Construction,& MaintenanceOngoing OperationsWorldwide Security UpgradesWorldwide Security Upgrades (Rescission of prioryear balances)Other Administration of Foreign AffairsOffice of Inspector GeneralEducational and Cultural Exchange ProgramsRepresentation ExpensesProtection ofForeign Missions and fficialsEmergencies in the Diplomatic andConsular ServiceRepatriation Loans Program AccountPayment to theAmerican Institutein Taiwan",1,1,,(242.5),(242.5),,(242.5),1,,,,,
"Diplomatic ProgramsOngoing OperationsWorldwide Security ProtectionWorldwide Security Protection (Rescission/transfer of prior year balances)Worldwide Security ProtectionCapital Investment FundConsular and Border Security Programs (FeeFunded,nonappropriated)Embassy Security, Construction,& MaintenanceOngoing OperationsWorldwide Security UpgradesWorldwide Security Upgrades (Rescission of prioryear balances)Other Administration of Foreign AffairsOffice of Inspector GeneralEducational and Cultural Exchange ProgramsRepresentation ExpensesProtection ofForeign Missions and fficialsEmergencies in the Diplomatic andConsular ServiceRepatriation Loans Program AccountPayment to theAmerican Institutein Taiwan","Diplomatic ProgramsOngoing OperationsWorldwide Security ProtectionWorldwide Security Protection (Rescission/transfer of prior year balances)Worldwide Security ProtectionCapital Investment FundConsular and Border Security Programs (FeeFunded,nonappropriated)Embassy Security, Construction,& MaintenanceOngoing OperationsWorldwide Security UpgradesWorldwide Security Upgrades (Rescission of prioryear balances)Other Administration of Foreign AffairsOffice of Inspector GeneralEducational and Cultural Exchange ProgramsRepresentation ExpensesProtection ofForeign Missions and fficialsEmergencies in the Diplomatic andConsular ServiceRepatriation Loans Program AccountPayment to theAmerican Institutein Taiwan",325.9,"1,160.8",,54.9,"1,215.7",5.0,"1,220.7",520.2,,,,,
"Diplomatic ProgramsOngoing OperationsWorldwide Security ProtectionWorldwide Security Protection (Rescission/transfer of prior year balances)Worldwide Security ProtectionCapital Investment FundConsular and Border Security Programs (FeeFunded,nonappropriated)Embassy Security, Construction,& MaintenanceOngoing OperationsWorldwide Security UpgradesWorldwide Security Upgrades (Rescission of prioryear balances)Other Administration of Foreign AffairsOffice of Inspector GeneralEducational and Cultural Exchange ProgramsRepresentation ExpensesProtection ofForeign Missions and fficialsEmergencies in the Diplomatic andConsular ServiceRepatriation Loans Program AccountPayment to theAmerican Institutein Taiwan","Diplomatic ProgramsOngoing OperationsWorldwide Security ProtectionWorldwide Security Protection (Rescission/transfer of prior year balances)Worldwide Security ProtectionCapital Investment FundConsular and Border Security Programs (FeeFunded,nonappropriated)Embassy Security, Construction,& MaintenanceOngoing OperationsWorldwide Security UpgradesWorldwide Security Upgrades (Rescission of prioryear balances)Other Administration of Foreign AffairsOffice of Inspector GeneralEducational and Cultural Exchange ProgramsRepresentation ExpensesProtection ofForeign Missions and fficialsEmergencies in the Diplomatic andConsular ServiceRepatriation Loans Program AccountPayment to theAmerican Institutein Taiwan",9.1,90.8,,54.9,145.7,1,145.7,141.4,,,,,
"Diplomatic ProgramsOngoing OperationsWorldwide Security ProtectionWorldwide Security Protection (Rescission/transfer of prior year balances)Worldwide Security ProtectionCapital Investment FundConsular and Border Security Programs (FeeFunded,nonappropriated)Embassy Security, Construction,& MaintenanceOngoing OperationsWorldwide Security UpgradesWorldwide Security Upgrades (Rescission of prioryear balances)Other Administration of Foreign AffairsOffice of Inspector GeneralEducational and Cultural Exchange ProgramsRepresentation ExpensesProtection ofForeign Missions and fficialsEmergencies in the Diplomatic andConsular ServiceRepatriation Loans Program AccountPayment to theAmerican Institutein Taiwan","Diplomatic ProgramsOngoing OperationsWorldwide Security ProtectionWorldwide Security Protection (Rescission/transfer of prior year balances)Worldwide Security ProtectionCapital Investment FundConsular and Border Security Programs (FeeFunded,nonappropriated)Embassy Security, Construction,& MaintenanceOngoing OperationsWorldwide Security UpgradesWorldwide Security Upgrades (Rescission of prioryear balances)Other Administration of Foreign AffairsOffice of Inspector GeneralEducational and Cultural Exchange ProgramsRepresentation ExpensesProtection ofForeign Missions and fficialsEmergencies in the Diplomatic andConsular ServiceRepatriation Loans Program AccountPayment to theAmerican Institutein Taiwan",53.3,730.7,,1,730.7,5.0,735.7,310.0,,,,,
"Diplomatic ProgramsOngoing OperationsWorldwide Security ProtectionWorldwide Security Protection (Rescission/transfer of prior year balances)Worldwide Security ProtectionCapital Investment FundConsular and Border Security Programs (FeeFunded,nonappropriated)Embassy Security, Construction,& MaintenanceOngoing OperationsWorldwide Security UpgradesWorldwide Security Upgrades (Rescission of prioryear balances)Other Administration of Foreign AffairsOffice of Inspector GeneralEducational and Cultural Exchange ProgramsRepresentation ExpensesProtection ofForeign Missions and fficialsEmergencies in the Diplomatic andConsular ServiceRepatriation Loans Program AccountPayment to theAmerican Institutein Taiwan","Diplomatic ProgramsOngoing OperationsWorldwide Security ProtectionWorldwide Security Protection (Rescission/transfer of prior year balances)Worldwide Security ProtectionCapital Investment FundConsular and Border Security Programs (FeeFunded,nonappropriated)Embassy Security, Construction,& MaintenanceOngoing OperationsWorldwide Security UpgradesWorldwide Security Upgrades (Rescission of prioryear balances)Other Administration of Foreign AffairsOffice of Inspector GeneralEducational and Cultural Exchange ProgramsRepresentation ExpensesProtection ofForeign Missions and fficialsEmergencies in the Diplomatic andConsular ServiceRepatriation Loans Program AccountPayment to theAmerican Institutein Taiwan",1,7.2,,,7.2,,7.2,7.4,,,,,
"Diplomatic ProgramsOngoing OperationsWorldwide Security ProtectionWorldwide Security Protection (Rescission/transfer of prior year balances)Worldwide Security ProtectionCapital Investment FundConsular and Border Security Programs (FeeFunded,nonappropriated)Embassy Security, Construction,& MaintenanceOngoing OperationsWorldwide Security UpgradesWorldwide Security Upgrades (Rescission of prioryear balances)Other Administration of Foreign AffairsOffice of Inspector GeneralEducational and Cultural Exchange ProgramsRepresentation ExpensesProtection ofForeign Missions and fficialsEmergencies in the Diplomatic andConsular ServiceRepatriation Loans Program AccountPayment to theAmerican Institutein Taiwan","Diplomatic ProgramsOngoing OperationsWorldwide Security ProtectionWorldwide Security Protection (Rescission/transfer of prior year balances)Worldwide Security ProtectionCapital Investment FundConsular and Border Security Programs (FeeFunded,nonappropriated)Embassy Security, Construction,& MaintenanceOngoing OperationsWorldwide Security UpgradesWorldwide Security Upgrades (Rescission of prioryear balances)Other Administration of Foreign AffairsOffice of Inspector GeneralEducational and Cultural Exchange ProgramsRepresentation ExpensesProtection ofForeign Missions and fficialsEmergencies in the Diplomatic andConsular ServiceRepatriation Loans Program AccountPayment to theAmerican Institutein Taiwan",1.3,30.9,,,30.9,,30.9,25.9,,,,,
"Diplomatic ProgramsOngoing OperationsWorldwide Security ProtectionWorldwide Security Protection (Rescission/transfer of prior year balances)Worldwide Security ProtectionCapital Investment FundConsular and Border Security Programs (FeeFunded,nonappropriated)Embassy Security, Construction,& MaintenanceOngoing OperationsWorldwide Security UpgradesWorldwide Security Upgrades (Rescission of prioryear balances)Other Administration of Foreign AffairsOffice of Inspector GeneralEducational and Cultural Exchange ProgramsRepresentation ExpensesProtection ofForeign Missions and fficialsEmergencies in the Diplomatic andConsular ServiceRepatriation Loans Program AccountPayment to theAmerican Institutein Taiwan","Diplomatic ProgramsOngoing OperationsWorldwide Security ProtectionWorldwide Security Protection (Rescission/transfer of prior year balances)Worldwide Security ProtectionCapital Investment FundConsular and Border Security Programs (FeeFunded,nonappropriated)Embassy Security, Construction,& MaintenanceOngoing OperationsWorldwide Security UpgradesWorldwide Security Upgrades (Rescission of prioryear balances)Other Administration of Foreign AffairsOffice of Inspector GeneralEducational and Cultural Exchange ProgramsRepresentation ExpensesProtection ofForeign Missions and fficialsEmergencies in the Diplomatic andConsular ServiceRepatriation Loans Program AccountPayment to theAmerican Institutein Taiwan",262.2,267.9,267.9,267.9,267.9,,267.9,7.9,,,,,
"Diplomatic ProgramsOngoing OperationsWorldwide Security ProtectionWorldwide Security Protection (Rescission/transfer of prior year balances)Worldwide Security ProtectionCapital Investment FundConsular and Border Security Programs (FeeFunded,nonappropriated)Embassy Security, Construction,& MaintenanceOngoing OperationsWorldwide Security UpgradesWorldwide Security Upgrades (Rescission of prioryear balances)Other Administration of Foreign AffairsOffice of Inspector GeneralEducational and Cultural Exchange ProgramsRepresentation ExpensesProtection ofForeign Missions and fficialsEmergencies in the Diplomatic andConsular ServiceRepatriation Loans Program AccountPayment to theAmerican Institutein Taiwan","Diplomatic ProgramsOngoing OperationsWorldwide Security ProtectionWorldwide Security Protection (Rescission/transfer of prior year balances)Worldwide Security ProtectionCapital Investment FundConsular and Border Security Programs (FeeFunded,nonappropriated)Embassy Security, Construction,& MaintenanceOngoing OperationsWorldwide Security UpgradesWorldwide Security Upgrades (Rescission of prioryear balances)Other Administration of Foreign AffairsOffice of Inspector GeneralEducational and Cultural Exchange ProgramsRepresentation ExpensesProtection ofForeign Missions and fficialsEmergencies in the Diplomatic andConsular ServiceRepatriation Loans Program AccountPayment to theAmerican Institutein Taiwan",1,1.3,1.3,,1.3,,1.3,1.3,,,,,
