Jurisdiction,Type of Law,Citation,Link
Egypt,Statute,"Law No. 199 of 2020, al-Jaridah al-Rasmiyah, vol. 39duplicate, Sept. 30, 2020",https://perma.cc/A66U-CQ29
Egypt,Statute,"Law No. 26 of 2020, al-Jaridah al-Rasmiyah, vol. 19 annex,May 7, 2020",https:// perma.cc/WF34-KY6P
Egypt,Statute,"Law No. 3 of 2022, al-Jaridah al-Rasmiyah, vol. 3 Duplicate(h), Jan. 26, 2022",https://perma.cc/Y8PQ-946H
France,Statute,General Tax Law,https://perma.cc/U3AT-6B9M
France,Statute,Labor Code,https://perma.cc/R5TM-2LRD
France,Statute,"Law No. 2022-1726 of Dec. 30, 2022",https:/ / perma.cc/EHR4-HNMP
France,Statute,Social Security Code,https://perma.cc/7ZT7-CNFJ
,Decree,"Decree 2022-968 of June 30,2022",https://perma.cc/4YXR-A4SV
Germany,Constitution,"Grundgesetz [GG], May 23, 1949, BGBl. I at 1, as amended","https://perma.cc/VXH5-RMHK (original),https://perma.cc/G64E-HNP9 (English translation,updated through June 28,2022)"
Germany,Statute,"Einkommensteuergesetz [EstG], Oct. 8, 2009,Bundesgesetzblatt [BGBl.] I at 3366, 3862, as amended",https:// perma.cc/J4J9-CEFC
Germany,Statute,"Forschungszulagengesetz [FZulG], Dec. 14, 2019, BGBl. I at2763,as amended",https://perma.cc/Q9W5-GRWX
Germany,Statute,"Gewerbesteuergesetz [GewStG], Oct. 15, 2002, BGBl. I at4167,as amended",https:// perma.cc/US8V-C4NQ
Germany,Statute,"Korperschaftsteuergesetz [KStG], Oct. 15,2002, BGBl. I at4144, as amended",https://perma.cc/Z263-8MEW
Germany,Statute,"Solidaritatszuschlaggesetz 1995 [SolZG 1995], Oct. 15,2002, BGBl.IS.4130, as amended",https://perma.cc/EWM4-UJGJ
Greece,Statute,"Income Tax Code, Law 4172/2013, E.K.E.D.2013, A:167, asamended",https://perma.cc/3G7P-9FBE
Greece,Statute,"Law 1676/1986, E.K.E.D.1986, A:204, as amended",https://perma.cc/ESJ3-GAM5
Greece,Statute,"Law 2166/1993, E.K.E.D.1993, A:137",https://perma.cc/5EP7-L8Z8
Greece,Statute,"Law 4399/2016, E.K.E.D. 2016, A:117",https://perma.cc/9M7L-XQ2E
Greece,Statute,"Law 4864/2021, E.K.E.D.2021, A:237",https://perma.cc/4Z9G-L5EM
Greece,LegislativeDecree,"Legislative Decree 1297/1972, E.K.E.D. 1972, A:217",https://perma.cc/SG4D-6XQV
India,Statute,"Finance (No. 2) Act,2004 (No.23 of 2004)",https://perma.cc/73N6-Q8DQ
India,Statute,"Finance Act, 2020 (No. 12 of 2020)",https://perma.cc/ZU5R-8J9C
India,Statute,"Income Tax Act, No. 43 of 1961",https://perma.cc/S9EA-N98Q
Iran,Statute,"Direct Taxes Act, July 22, 2015",https://perma.cc/4SB4-L6GB
Iran,Statute,"Foreign Investment Promotion and Protection Act, Mar.10,2002",https:/ /perma.cc/M6AP-BA49
Iran,Statute,"Value Added Tax Act, May 23, 2021",https:// perma.cc/6GNU-889S
Israel,Statute,"Eilat Free Trade Zone Law (Tax Exemptions and Rebates), 5745-1985, SH 5745 No.1156 p. 204, as amended, up-to- date version at Nevo Legal Database",https:// perma.cc/G6E5-CC3H
Israel,Statute,"Encouragement of Capital Investments in AgricultureLaw, 5741-1980,as amended, SH 5741 No. 996 p. 56; NevoLegal Database",https://perma.cc/3E8S-F5LR
Israel,Statute,"Encouragement of Capital Investments Law,5719-1959, SH 5719 No. 293 p. 234, as amended",https://perma.cc/RM4Q-DP35
Israel,Statute,"Encouragement of Investments (Capital-IntensiveCompanies) Law, 5750-1990, SH 5719 No. 1324 p.170",https:/ /perma.cc/F56W-UX8P
Israel,Statute,"Income Tax Ordinance, Dine Medinat Yisrael No. 6 p.120, as amended",https:// perma.cc/Q8QD-4LLG
Japan,Statute,"Act on Special Measures Concerning Taxation (SpecialMeasures Act), Act No. 26 of 1957, as amended",https:/ / perma.cc/2H4R-7792
Japan,Statute,"Corporate Tax Act, Act No. 28 of 1947, as amended",https://perma.cc/JP2U-VNCA
Japan,Statute,"Income Tax Act,Act No. 33 of 1965,as amended",https://perma.cc/3XE2-7G3U
Japan,Statute,"Local Tax Act, Act No. 226 of 1950, as amended",https://perma.cc/5HQU-2JHY
Kenya,Statute,"Income Tax Act No. 16 of 1973 (Jan. 1, 1974)",https://perma.cc/E63V-KACX
Mexico,Statute,"Ley del Impuesto sobre la Renta,as amended, DiarioOficial de la Federaci6n [D.O.], Dec.11, 2013",https://perma.cc/2BPZ-DZSK
Portugal,Statute,"Lei No. 2/2014, de 16 de Janeiro,and amended by Lei No.20/2023, de 17 de Maio,art. 46(1)",https://perma.cc/9WT6-XV9F
Portugal,LegislativeDecree,"Decreto-Lei No. 162/2014, de 31 de Dezembro, as amended by Lei No.21/2023,de 25 de Maio",https:/ /perma.cc/SPU5-HQLK
Portugal,LegislativeDecree,"Decreto-Lei No.215/89,as amended by Lei No.21/2023,de 25 de Maio",https://perma.cc/SY2J-NS6L
Portugal,LegislativeDecree,"Decreto-Lei 442-A/88, de 30 de Novembro, as amended byLei No.21/2023, de 25 de Maio",https://perma.cc/XT34-DDHD
Portugal,LegislativeDecree,"Decreto-Lei No. 500/80, de 20 de Outubro",https://perma.cc/E59F-GWDC
RussianFederation,Treaty,Treaty on Eurasian Economic Union,https://perma.cc/HUF8-T2ZA
RussianFederation,Federal Law,Law on Amendments to Parts One and Two of the TaxCode of the Russian Federation in Part of Stimulating theImplementation of Regional Investment Projects in theTerritories of the Far Eastern Federal District and Individual Constituent Components of the RussianFederation,https://perma.cc/5EN8-HUVD
RussianFederation,Federal Law,Law on Amendments to Part Two of the Tax Code of the Russian Federation and Certain Legislative Acts of theRussian Federation,https:/ /perma.cc/TL5R-MSV9
RussianFederation,Federal Law,Law on Capital Investments,https://perma.cc/ST65-XKGY
RussianFederation,Federal Law,Law on Free Port of Vladivistok,https://perma.cc/YR64-P3W7
,,Law on Industrial Policy,https:/ / perma.cc/7R44-G4UU
,,Law on Innovative Science and Technology Centers and on Amendments to Certain Legislative Acts of the RussianFederation,https://perma.cc/CV8B-6HYB
,,Law on Mortgages,https://perma.cc/K2LE-NGHN
,,Law on Personal Retirement Investments,https://perma.cc/WW5Y-RGVP
,,Law on Production Sharing Agreements,https://perma.cc/L29L-Q889
,,Law on Protection and Attraction of Capital Investments,https://perma.cc/7YUG-3QPW
,,Law on Securities Market,https://perma.cc/ST65-XKGY
,,Law on the Skolkovo Innovation Center,https:/ /perma.cc/SG68-SBL5
,,Law on Special Economic Zones,https:/ /perma.cc/Y297-LM2K
,,Law on Territories of Advanced Social and EconomicDevelopment,https://perma.cc/X9GU-NY2V
,Decree of thePresident,Decree on Additional Temporary Economic Measures toEnsure the Financial Stability of the Russian Federation,https://perma.cc/FD7G-26FB
,Regulation,"Government Regulation on the List of Foreign States andTerritories Committing Unfriendly Actions Against theRussian Federation, Russian Legal Entities and Individuals",https://perma.cc/8YMA-V53X
,Tax Code,Tax Code,https://perma.cc/GNH5-3UNJ
,Supreme CourtReview,Review of Judicial Practices for Resolution of DisputesRelated to Protection of Foreign Investors,https://perma.cc/ZFD9-RV8N
,AdministrativeGuidance,Ministry of Finance Letter on Application of the ReducedCorporate Income Tax Rate and Reduced Rates of,https://perma.cc/B24R-HXRX
,,Insurance Premiums Established for Organizations Operating in the Field of Information Technology,
South Korea,Statute,"Corporate Tax Act, Act No. 5581, Dec. 28,1998, asamended",https://perma.cc/36EW-EF7R
South Korea,Statute,"Income Tax Act, Act No. 4803, Dec.22,1994,as amended",https://perma.cc/2Y2Q-WMEG
South Korea,Statute,"Local Tax Act, Act No. 10221, Mar. 31, 2010, as amended",https://perma.cc/36EW-EF7R
South Korea,Statute,"Securities and Exchange Tax Act, Act No. 3104, Dec. 5,1978, as amended",https:// perma.cc/TLD9-YVN8
Sweden,Statute,Income Tax Act (Inkomstskattelagen (SFS 1999:1229),https:// perma.cc/J2RZ-L5MP
Taiwan,Statute,Income Tax Act,https://perma.cc/6M76-R5XY
Taiwan,Regulation,Act for Development of Small and Medium Enterprises,https://perma.cc/4EDS-XXCR
Taiwan,Regulation,International Airport Park Development Act,https://perma.cc/B2YZ-ZV7Y
Taiwan,Regulation,Statute for Industrial Innovation,https://perma.cc/V8JG-L7DF
Turkey,Statute,"Gelir Vergisi Kanunu, Law No.193, Official Gazette No.10700, Jan. 6,1960",https://perma.cc/R2YP-H5S5
Turkey,Statute,"Kurumlar Vergisi Kanunu, Law No. 5520, Official GazetteNo. 26205, June 13,2006",https://perma.cc/D6XL-ZXE8
Turkey,Statute,"Vergi Usul Kanunu, Law No. 213, O.G. Nos. 10703-705,Jan. 10-12, 1961",https://perma.cc/3658-YD7E
UnitedKingdom,Statute,"Finance Act 2016, c. 24",https:/ /perma.cc/26GS-DSSB
UnitedKingdom,Statute,"Finance Act 2023, c. 1",https://perma.cc/ZX69-JDZD
,,Income Tax Act 2007,https://perma.cc/P5EK-94LH
,,"Income Tax (Earnings and Pensions) Act 2003, c. 1",https://perma.cc/3XFP-EVV5
,,"Taxation of Chargeable Gains Act 1992, c.12",https://perma.cc/3JLE-Z7BW
United States,Statute,26 U.S.C. $ 11,https:/ /perma.cc/PUG5-Y8X5
United States,Statute,26 U.S.C. S 404,https://perma.cc/TV6H-3PV2
United States,Statute,26 U.S.C. $ 1031,https:/ /perma.cc/XTR9-JDAK
United States,Statute,26 U.S.C. $ 1042,https://perma.cc/CJG2-H8KS
United States,Statute,26 U.S.C. $ 1211,https://perma.cc/MR5P-WKRN
United States,Statute,26 U.S.C. $ 1411,https:/ /perma.cc/P6H3-Q4P3
United States,Statute,26 U.S.C. s 4975,https:/ /perma.cc/WGA5-P6P2
