Organizations,"102.3 1,409.7","102.3 1,409.7","102.3 1,409.7","102.3 1,409.7",96.2,96.2,96.2,96.2,96.2,96.2,"1,505.9","1,505.9","1,505.9","1,608.2","1,662.9 1,662.9","1,662.9 1,662.9","1,662.9 1,662.9"
2.Contributions for InternationalPeacekeeping Activities,739.6,739.6,750.2,750.2,706.0,706.0,706.0,706.0,706.0,706.0,"1,456.2","1,456.2","1,456.2","2,195.8","1,928.6","1,928.6","1,928.6"
c. International Commissions,142.1,142.1,176.6,176.6,,,,,,,,,176.6,318.7,176.6 176.6,176.6 176.6,176.6 176.6
1.International Boundary and Water,,,,,,,,,,,,,49.8,49.8,52.0 52.0,52.0 52.0,52.0 52.0
Commission-Salaries and Expenses2.International Boundary and Water,,,49.8,49.8,,,,,,,,,49.8,49.8,52.0 52.0,52.0 52.0,52.0 52.0
2.International Boundary and WaterCommission-Construction,142.0,142.0,49.0 49.0,49.0 49.0,49.0 49.0,49.0 49.0,49.0 49.0,49.0 49.0,49.0 49.0,49.0 49.0,49.0 49.0,49.0 49.0,49.0 49.0,191.0,46.8 46.8,46.8 46.8,46.8 46.8
3. American Sections,0.1,0.1,15.0,15.0,,,,,,,,,15.0,15.1,15.0 15.0,15.0 15.0,15.0 15.0
a. North American Development Bank,,,1.9,1.9,,,,,,,,,1.9,1.9,1.9 1.9,1.9 1.9,1.9 1.9
b.International Joint Commission,0.1,0.1,10.8,10.8,,,,,,,,,10.8,10.9,10.8 10.8,10.8 10.8,10.8 10.8
c.International Boundary Commission,,,2.3,2.3,,,,,,,,,2.3,2.3,2.3 2.3,2.3 2.3,2.3 2.3
4.International Fisheries Commissions,,,62.8,62.8,,,,,,,,,62.8,62.8,62.8 62.8,62.8 62.8,62.8 62.8
d. Related Programs,0.9,0.9,339.7,339.7,,,,,,,,,339.7,340.6,339.7 339.7,339.7 339.7,339.7 339.7
1.The Asia Foundation,,,20.0,20.0,,,,,,,,,20.0,20.0,20.0 20.0,20.0 20.0,20.0 20.0
2.National Endowment for Democracy,0.9,0.9,300.0,300.0,,,,,,,,,300.0,300.9,300.0 300.0,300.0 300.0,300.0 300.0
3. East-West Center,一,一,19.7,19.7,,,,,,,,,19.7,19.7 19.7 19.7,19.7 19.7 19.7,19.7 19.7 19.7,19.7 19.7 19.7
e. Special and Trust Funds,15.6 3.1,15.6 3.1,15.6 3.1,15.6 3.1,,,,,,,,,3.1,18.7 1.2 1.2,18.7 1.2 1.2,18.7 1.2 1.2,18.7 1.2 1.2
1.Center for Middle Eastern-WesternDialogue,11.6 0.2,11.6 0.2,11.6 0.2,11.6 0.2,,,,,,,,,0.2,11.8 0.2 0.2,11.8 0.2 0.2,11.8 0.2 0.2,11.8 0.2 0.2
2.Eisenhower Exchange Fellowship Program,一,一,0.1,0.1,,,,,,,,,0.1,0.1,0.2 0.2,0.2 0.2,0.2 0.2
3. Israeli Arab Scholarship rogram,0.4,0.4,0.1,0.1,,,,,,,,,0.1,0.5,0.1 0.1,0.1 0.1,0.1 0.1
4.International Chancery Center5.Foreign ServiceRetirementand Disability,3.6 2.7 2.7,3.6 2.7 2.7,3.6 2.7 2.7,3.6 2.7 2.7,3.6 2.7 2.7,3.6 2.7 2.7,3.6 2.7 2.7,3.6 2.7 2.7,3.6 2.7 2.7,3.6 2.7 2.7,3.6 2.7 2.7,3.6 2.7 2.7,3.6 2.7 2.7,6.3 0.7 0.7,6.3 0.7 0.7,6.3 0.7 0.7,6.3 0.7 0.7
Fund (non-add)3,,,,,,,,,,,,,,,,,
Fund (non-add)3,158.9 158.9,158.9 158.9,158.9 158.9,158.9 158.9,158.9 158.9,158.9 158.9,158.9 158.9,158.9 158.9,158.9 158.9,158.9 158.9,158.9 158.9,158.9 158.9,158.9 158.9,158.9 158.9 158.9,158.9 158.9 158.9,158.9 158.9 158.9,158.9 158.9 158.9
