Adoption of new accounting pronouncement,Adoption of new accounting pronouncement,Adoption of new accounting pronouncement,Adoption of new accounting pronouncement,Adoption of new accounting pronouncement,,(388),(388),(388),(388),,,
"Other comprehensive income, net","Other comprehensive income, net","Other comprehensive income, net","Other comprehensive income, net","Other comprehensive income, net","1,000",,,"19 1,019","19 1,019",,,
Acquisition of common stock,Acquisition of common stock,Acquisition of common stock,Acquisition of common stock,Acquisition of common stock,,"(24,728)","(24,728)","(24,728)","(24,728)",,,
Transactions with noncontrolling interests,Transactions with noncontrolling interests,Transactions with noncontrolling interests,Transactions with noncontrolling interests,Transactions with noncontrolling interests,(32),,,"3.,649 3,617","3.,649 3,617",,,
"Balance December 31, 2020","Balance December 31, 2020","Balance December 31, 2020","Balance December 31, 2020","Balance December 31, 2020","35,634","(4,243）444,626 (32,853)","(4,243）444,626 (32,853)","8,172 451,336","8,172 451,336",,,
Net earnings,Net earnings,Net earnings,Net earnings,Net earnings,,"89,795",,"1,012",90.807,,,
"Other comprehensive income, net","Other comprehensive income, net","Other comprehensive income, net","Other comprehensive income, net","Other comprehensive income, net",216,,18,18,234,,,
Acquisition of common stock,Acquisition of common stock,Acquisition of common stock,Acquisition of common stock,Acquisition of common stock,,,"(26,942)","(26,942)","(26,942)",,,
Transactions with noncontrolling interests,Transactions with noncontrolling interests,Transactions with noncontrolling interests,Transactions with noncontrolling interests,Transactions with noncontrolling interests,(34),(471),(471),(471),(505),,,
"Balance December 31, 2021","Balance December 31, 2021","Balance December 31, 2021","Balance December 31, 2021","Balance December 31, 2021","$ 35,600 $","$534,421","$(59,795) $ 8,731","$(59,795) $ 8,731","$514,930",,,
