Jurisdiction,Type of Law,Citation,URL
Chile,Regulation,"Decreto No.114 de 22 de noviembre de 2010,Reglamento de la Ley No. 20.120, sobre la Investigaci6n Cientifica en el Ser Humano",https:/ /perma.cc/4FBX-7QGN
Costa Rica,Statute,Ley No. 9234 de 2014. Ley Reguladora deInvestigacion Biomedica,https:// perma.cc/NAN4-SM52
Costa Rica,Executive Decree,Decreto Ejecutivo No. 339061-S de 2018.Reglamento a la Ley Reguladora de InvestigaciónBiomedica,https://perma.cc/THY5-F8X2
Costa Rica,Executive Decree,Decreto Ejecutivo No.39986-S de 2016. Autorizaci6n para las Terapias Regenerativas conCélulas Madre Adultas,https:/ / perma.cc/KDX8-PTVP
Costa Rica,Executive Decree,Decreto Ejecutivo No. 40884-S de 2018.Reglamento Orgánico del Consejo Nacional deInvestigacion en Salud (CONIS),https://perma.cc/H7QP-ESSP
Costa Rica,Executive Decree,Decreto Ejecutivo No. 35244 de 2009. Reglamento del Sistema Nacional de Farmacovigilancia,https:/ / perma.cc/3HCR-JYQR
Costa Rica,Executive Decree,Decreto Ejecutivo No. 39417 de 2015. Reglamentode Buenas Practicas de Farmacovigilancia,https:/ /perma.cc/Q5A7-WWMP
El Salvador,Legislative Decree,Decreto No. 234 de 2013. Ley de DesarrolloCientifico y Tecnologico,https://perma.cc/Q3Q8-XK6P
El Salvador,Legislative Decree,Decreto No. 302 de 2019. Ley del Sistema Nacional Integrado de Salud,https://perma.cc/HQU8-E75Q
El Salvador,Legislative Decree,"Decreto No. 348 DE 2022. Ley Especial sobreTransplante de CElulas, Tejidos y OrganosHumanos",https:/ / perma.cc/2H6Q-XJ57
Mexico,Statute,"Ley General de Salud, as amended through 2023,arts. 17-bis, 96,97,100,D.O.F.,Feb.7,1984",https:/ / perma.cc/SSN7-2MCY
Mexico,Regulation,"Reglamento de la Ley General de Salud en Materiade Investigacion para la Salud, as amended, arts. 2,5-A(I), 16,20, & 21, D.O.F., Jan. 6,1987",https:/ / perma.cc/62SS-9JZ7
Panama,Statute,"Ley 84 de 2019 que Regula y Promueve la Investigaci6n para la Salud y Establece Su Rectoriay Gobernanza, y Dicta Otras Disposiciones, GacetaOficial, May 16, 2019",https://perma.cc/L76V-AXEG
Panama,Executive Decree,"Decreto Ejecutivo N° 179 que Reglamenta laInvestigacion con Tejidos y Celulas de Origen Humano en la Republica de Panama, GacetaOficial, June 13, 2018",https:// perma.cc/YC5P-JHU5
