&Transportation,"20,224",23%,"4,871",51%,"11,77024%",24%,"11,323",15%,15%,15%,"48,188",23%,"1% 48,188","1% 48,188","1% 48,188","1% 48,188","1% 48,188","1% 48,188","1% 48,188",88,23%
Financial Products,,,,,,,,,,,,,,,,,,,,,
Segment,"1,935",1%,265,3%,402,3%,471,1%,1%,1%,"3,0731",1%,,1% 3.073,1% 3.073,1% 3.073,1% 3.073,1% 3.073,1% 3.073,1%,
Corporate Items,,,,,,,,,,,,,,,,,,,,,
and Eliminations,(136),,（50),,(35),,(69）,,,,(290),,,(290）,(290）,(290）,(290）,(290）,(290）,,
Financial Products,,,,,,,,,,,,,,,,,,,,2%,
Revenues,"1,799",3%,215,1%,367,4%,402,1%,1%,1%,"2,783",2%,,1% 2.783,1% 2.783,1% 2.783,1% 2.783,1% 2.783,1% 2.783,2%,
Consolidated,,,,,,,,,,,,,,,,,,,,,
Sales and,,,,,,,,,,,,,,,,,,,,,
Revenues,"$22,023",21%,"$5,086",48%,"$12,137",23%,"$11,725",14%,14%,14%,"$50,971",22%$,,二1%$50.97122%,二1%$50.97122%,二1%$50.97122%,二1%$50.97122%,二1%$50.97122%,二1%$50.97122%,22%,
2020,,,,,,,,,,,,,,,,,,,,,
Construction,,,,,,,,,,,,,,,,,,,,,
Industries,"$7,365",,"$1,031",,"$3,466",,"$5,014",,,,"$16,876",,$42,"$16,918","$16,918","$16,918","$16,918","$16,918","$16,918",,
Resource,,,,,,,,,,,,,460,"7,906","7,906","7,906","7,906","7,906","7,906",,
Industries,2.286,,"1,253",,"1,570",,2.337,,,,"7,446",,460,"7,906","7,906","7,906","7,906","7,906","7,906",,
Energy&,,,,,,,,,,,,,,,,,,,,,
Transportation,6.843,,932,,"4,448",,"2,441",,,,"14,664",,2.806,"17,470","17,470","17,470","17,470","17,470","17,470",,
All O0ther Segment,27,,4,,26,,56,,,,113,,354,467,467,467,467,467,467,,
Corporate Items,,,,,,,,,,,,,,,,,,,,,
and Eliminations,(62）,,（4）,,（6）,（6）,（5),,,,（77）,,"(3,662)","(3,739)","(3,739)","(3,739)","(3,739)","(3,739)","(3,739)",,
"Machinery, Energy",,,,,,,,,,,"39,022",,,"39,022","39,022","39,022","39,022","39,022","39,022",,
& Transportation,"16,459",,"3,216",,"9,504",,"9,843",,,,"39,022",,,"39,022","39,022","39,022","39,022","39,022","39,022",,
Financial Products,,,,,,,,,,,,,,,,,,,,,
Segment,"1,930",,257,257,392,392,465,465,465,,,"3,0441",,一,一,一,,,,,
Corporate Items,,,,,,,,,,,,,,,,,,,(318),(318),
and Eliminations,(175),,(41),(41),(38),(38),(64),,,,(318),,一,,,,,,(318),(318),
Financial Products,,,,,,,401,,,,"2,726",,,,,,"2,726","2,726","2,726",,
Revenues,"1,755",,216,,354,354,401,,,,"2,726",,,,,,"2,726","2,726","2,726",,
ConsolidatedSales and,,,,,,,,,,,,,,,,,,,,,
Revenues,"$ 18,214",,"$3,432",,$9.858,,"$10,244",,,,"$ 41,748",$,$,,,,"$41,748","$41,748","$41,748",,
1,1,Energy&,Transportationof $351,Transportationof $351,IncludesrevenuesfromachineryEegy&ansportationof51millonnd362millonin021andespectively.,IncludesrevenuesfromachineryEegy&ansportationof51millonnd362millonin021andespectively.,IncludesrevenuesfromachineryEegy&ansportationof51millonnd362millonin021andespectively.,IncludesrevenuesfromachineryEegy&ansportationof51millonnd362millonin021andespectively.,IncludesrevenuesfromachineryEegy&ansportationof51millonnd362millonin021andespectively.,IncludesrevenuesfromachineryEegy&ansportationof51millonnd362millonin021andespectively.,IncludesrevenuesfromachineryEegy&ansportationof51millonnd362millonin021andespectively.,,,,,,,,,,
