"December 31,2021(Millions of dollars)","December 31,2021(Millions of dollars)","December 31,2021(Millions of dollars)","December 31,2021(Millions of dollars)",,,,Net Amount,Net Amount,Net Amount,Gross Amounts Not Offset in theStatement of Financial PositionCash,Gross Amounts Not Offset in theStatement of Financial PositionCash,,,,,,,,
"December 31,2021(Millions of dollars)","December 31,2021(Millions of dollars)","December 31,2021(Millions of dollars)","December 31,2021(Millions of dollars)",,,,Net Amount,Net Amount,Net Amount,Gross Amounts Not Offset in theStatement of Financial PositionCash,Gross Amounts Not Offset in theStatement of Financial PositionCash,,,,,,,,
"December 31,2021(Millions of dollars)","December 31,2021(Millions of dollars)","December 31,2021(Millions of dollars)","December 31,2021(Millions of dollars)",,,Gross,of Liabilities,,,Gross Amounts Not Offset in theStatement of Financial PositionCash,Gross Amounts Not Offset in theStatement of Financial PositionCash,,,,,,,,
"December 31,2021(Millions of dollars)","December 31,2021(Millions of dollars)","December 31,2021(Millions of dollars)","December 31,2021(Millions of dollars)",,,Amounts,Presented,Cash,Cash,Cash,Gross Amounts Not Offset in theStatement of Financial PositionCash,,,,,,,,
"December 31,2021(Millions of dollars)","December 31,2021(Millions of dollars)","December 31,2021(Millions of dollars)","December 31,2021(Millions of dollars)",,,Offset in the,in the,Cash,Cash,Cash,Gross Amounts Not Offset in theStatement of Financial PositionCash,,,,,,,,
"December 31,2021(Millions of dollars)","December 31,2021(Millions of dollars)","December 31,2021(Millions of dollars)","December 31,2021(Millions of dollars)",Gross Amount,Gross Amount,Statement,Statement,Cash,Cash,Cash,Gross Amounts Not Offset in theStatement of Financial PositionCash,,,,,,,,
"December 31,2021(Millions of dollars)","December 31,2021(Millions of dollars)","December 31,2021(Millions of dollars)","December 31,2021(Millions of dollars)",of Recognized,of Recognized,of Financial,of Financial,Financial,Financial,Collateral,Gross Amounts Not Offset in theStatement of Financial PositionCash,Net Amount,,,,,,,
(Millions of dollars)Derivatives,(Millions of dollars)Derivatives,(Millions of dollars)Derivatives,(Millions of dollars)Derivatives,Liabilities,Liabilities,Position,Position,Instruments,Instruments,Pledged,of Liabilities,,,,,,,,
"Machinery, Energy & Transportation","Machinery, Energy & Transportation","Machinery, Energy & Transportation","Machinery, Energy & Transportation",$ (47) $,$ (47) $,,$ (47) $,47 $,47 $,,$,,,,,,,,
Financial Products,Financial Products,Financial Products,Financial Products,(83),(83),,(83),67,67,,(16),,,,,,,,
Total,Total,Total,Total,$ (130),$ (130),$,$ (130),$ 114,$ 114,$,$ (16),,,,,,,,
"December 31,2020","December 31,2020","December 31,2020","December 31,2020",,,,,Gross Amounts Not Offset in the,Gross Amounts Not Offset in the,Gross Amounts Not Offset in the,,,,,,,,,
"December 31,2020","December 31,2020","December 31,2020","December 31,2020",,,,,Gross Amounts Not Offset in the,Gross Amounts Not Offset in the,Gross Amounts Not Offset in the,,,,,,,,,
"December 31,2020","December 31,2020","December 31,2020","December 31,2020",,,,,Net Amount,Net Amount,Net Amount,Cash,Cash,,,,,,,
"December 31,2020","December 31,2020","December 31,2020","December 31,2020",,,,,,,,,,,,,,,,
"December 31,2020","December 31,2020","December 31,2020","December 31,2020",,,Gross,of Assets,Net Amount,Net Amount,Net Amount,Cash,Cash,,,Cash,,,,
"December 31,2020","December 31,2020","December 31,2020","December 31,2020",,,Amounts,Presented,,,,,,,,,,,,
"December 31,2020","December 31,2020","December 31,2020","December 31,2020",,,,Offset in the,,,in the,Cash,Cash,,,,,,,
"December 31,2020","December 31,2020","December 31,2020","December 31,2020",Gross Amount,Gross Amount,Statement,Statement,Statement,Statement,,,,,,,,,,
"December 31,2020","December 31,2020","December 31,2020","December 31,2020",of Recognized,of Recognized,of Financial,of Financial Financial,of Financial Financial,of Financial Financial,Collateral,Cash,Cash,Net Amount,,,,,,
(Millions of dollars),(Millions of dollars),(Millions of dollars),(Millions of dollars),Assets,Assets,Position Position Instruments Received,Position Position Instruments Received,Position Position Instruments Received,Position Position Instruments Received,Position Position Instruments Received,Cash,Cash,of Assets,,,,,,
Derivatives,Derivatives,Derivatives,Derivatives,,,Position Position Instruments Received,Position Position Instruments Received,Position Position Instruments Received,Position Position Instruments Received,Position Position Instruments Received,Cash,Cash,of Assets,,,,,,
"Machinery, Energy & Transportation","Machinery, Energy & Transportation","Machinery, Energy & Transportation","Machinery, Energy & Transportation",$ 196$,$ 196$,,$ 196$,(38) $,(38) $,(38) $,$ 158,,,,,,,,
Financial Products,Financial Products,Financial Products,Financial Products,85,85,,85,（57),（57),（57),28,,,,,,,,
Total,Total,Total,Total,$ 281,$ 281,$,$ 281,$ (95)$,$ (95)$,$ (95)$,$ 186,,,,,,,,
"December 31,2020","December 31,2020","December 31,2020","December 31,2020",Gross,Gross,Amounts,Net Amount of Liabilities Presented,Gross Amounts Not Off set in the Statement of Financial Position,Gross Amounts Not Off set in the Statement of Financial Position,Gross Amounts Not Off set in the Statement of Financial Position,,,,,,,,,
(Millions of dollars),Gross Amount of Recognized Liabilities,Offset in the Statement of Financial Position,in the Statement of Financial Position,Financial Instruments,Cash Collateral Pledged,Net Amount of Liabilities,Net Amount of Liabilities,Net Amount of Liabilities,Net Amount of Liabilities,Net Amount of Liabilities,Net Amount of Liabilities,Net Amount of Liabilities,Net Amount of Liabilities,Net Amount of Liabilities,Net Amount of Liabilities,Net Amount of Liabilities,Net Amount of Liabilities,Net Amount of Liabilities,Net Amount of Liabilities
Derivatives,,,,(38) $,,,,,,,,,,,,,,,
"Machinery, Energy & Transportation",,,,,,,,,,,,,,,,,,,
Financial Products,,(38) $,,,,,,,,,,,,,,,,,
Total,,,,,,(203) (203),(203) (203),(203) (203),(203) (203),(203) (203),(203) (203),(203) (203),(203) (203),(203) (203),(203) (203),(203) (203),(203) (203),(203) (203),(203) (203)
