and Eliminations,(17),,,,,,(7),(7),(24),,"(1,239)","(1,239)","(1,263)",,,,,,,,,,,,,
"Machinery,Energy&",,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation,"5,402",29%,"1,377 40%",40%,"3,26124%",24%,"3,057",9%,"13,097",24%,11%,11%,"13,09724%",24%,,,,,,,,,,,,
Financial Products,,,,,,,,,,,,,,7764%,,,,,,,,,,,,
Segment,493,6%,70,9%,101,7%,112,(7%),7761,4%,11%,11%,776,7764%,,,,,,,,,,,,
Corporate Items,,,,,,,,,,,,,,,,,,,,,,,,,,
and Eliminations,(37),,(15),,（9）,,(14),,（75）,,,,（75）,,,,,,,,,,,,,
Financial Products,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenues,456,8%,55,2%,92,9210%,98,98 (6%),701,5%,11%,11%,7015%,7015%,,,,,,,,,,,,
Consolidated,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales and,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenues,$,27%,"$1,432",38%,"$3,353",24%,"24% $3,155",9%,"$13,798",23%$,"-_-% $13,798_23%","-_-% $13,798_23%","$13,798",23%,,,,,,,,,,,,
Fourth Quarter 2020,,,,,,,,,,,,,,,,,,,,,,,,,,
Construction,,,,,,,,,,,,,,,,,,,,,,,,,,
Industries,"$1,895",,$324,,$848,,"$1,417",,"$4,484",,$24,,"$4,508",,,,,,,,,,,,,
Resource,,,,,,,,,,,,,,,,,,,,,,,,,,
Industries,596,,394,,412,,651,651,"2,053",,127,,"2,180",,,,,,,,,,,,,
Energy&,,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation,"1,705",,265,,"1,353",,707,707,"4,030",,781,,"4,811",,,,,,,,,,,,,
All O0ther Segment,5,,,,9,,18,18,32,,105,,137,,,,,,,,,,,,,
Corporate Items,,,,,,,,,,,,,,,,,,,,,,,,,,
and Eliminations,(27),,1,,(2),,（1),（1),(29),,"(1,037)",,"(1,066)",,,,,,,,,,,,,
"Machinery, Energy &",,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation,"4,174",,984,,"2,620",,"2,792",,"10,570",,,,"10,570",,,,,,,,,,,,,
Financial Products,,,,,,,,,,,,,,,,,,,,,,,,,,
Segment,464,,64,,94,,121,121,7431,,,,743,,,,,,,,,,,,,
Corporate Items,,,,,,,,,,,,,(78),,,,,,,,,,,,,
and Eliminations,(41),,(10),,(10),,(17),(17),(78),,一,,(78),,,,,,,,,,,,,
Financial Products,423,423,54,54,,,,104,104,665,,,,665,,,,,,,,,,,,
Revenues,423,423,54,54,84,,,104,104,665,,,,665,,,,,,,,,,,,
ConsolidatedSales and,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenues,"$ 4,597",,"$1,038",,"$ 2,704",,"$2,896","$2,896","$ 11,235",,$,,"$ 11,235",,,,,,,,,,,,,
"1Includes revenues from Machinery,Energy&Tra","1Includes revenues from Machinery,Energy&Tra","1Includes revenues from Machinery,Energy&Tra",nsportation of $88 n,nsportation of $88 n,illion for b,oth the thre,e months ended Dece,e months ended Dece,"nber31,2",and 2020.,,,,,,,,,,,,,,,,
