"Fontane Solar I, LLC Fotovoltaica GI 4, S.de R.L.de C.V.",Delaware Mexico
"Maxwell Technologies Korea Co., Ltd.",Republic of Kore
"Maxwell Technologies Shanghai Trading Co., Ltd.",China
"Maxwell Technologies Shenzhen Trading Co., Ltd.",China
"Megalodon Solar, LLC",Delaware
MML Acquisition Corp.,Delaware
"Monte Rosa Solar I, LLC",Delaware
"Mound Solar Manager V,LLC",Delaware
"Mound Solar Manager VI,LLC",Delaware
"Mound Solar Manager X,LLC",
,Delaware
"Mound Solar Manager XI,LLC",Delaware
"Mound Solar Manager XII,LLC",Delaware
"Mound Solar Master Tenant IX, LLC",Delaware
"Mound Solar Master Tenant V,LLC",California
"Mound Solar Master Tenant VI,LLC",Delaware
"Mound Solar Master Tenant VII,LLC",Delaware
"Mound Solar Master Tenant VII,LLC Mound Solar MT Manager IX,LLC Mound Solar MT Manager VII, LLC Mound Solar MT Manager VIII,LLC Mound Solar Owner IX, LLC Mound Solar Owner Manager IX, LLC Mound Solar Owner Manager VII, LLC Mound Solar Owner Manager VIII, LLC Mound Solar Owner V,LLC Mound Solar Owner VI, LLC Mound Solar Owner VII, LLC Mound Solar Owner VIII, LLC Mound Solar Partnership X, LLC Mound Solar Partnership XI, LLC Mound Solar Partnership XII,LLC MS SolarCity 2008,LLC MS SolarCity Commercial 2008,LLC MS SolarCity Residential 20o8,LLC NBA SolarCity AFB,LLC NBA SolarCity Commercial I,LLC NBA SolarCity Solar Phoenix, LLC Northern Nevada Research Co.,LLC Oranje Solar I, LLC Oranje Solar Manager I, LLC Paramount Energy Fund I Lessee, LLC Paramount Energy Fund I Lessor,LLC PEF IMM,LLC Perbix Machine Company, Inc. Presidio Solar I, LLC Presidio Solar II, LLC Presidio Solar III, LLC Pukana La Solar I, LLC R9 Solar 1,LLC Roadster Automobile Sales and Service (Beijing) Co., Ltd. Roadster Finland Oy SA VPP Holding Trust SA VPP Project Trust Sequoia Pacific Holdings,LLC Sequoia Pacific Manager I,LLC Sequoia Pacific Solar I, LLC Sequoia SolarCity Owner I, LLC Servicios de Technologia Y Admninstracion Ilioss, S.A.de C.V. Sierra Solar Power(Hong Kong) Limited SiiLion, Inc. Silevo, LLC Solar Aquarium Holdings,LLC Solar Energy of America 1,LLC Solar Energy of America Manager 1, LLC Solar Explorer,LLC Solar Gezellig Holdings,LLC Solar House I, LLC Solar House II, LLC Solar House III, LLC Solar House IV,LLC",Delaware Delaware Delaware Delaware Delaware Delaware Delaware Delaware California Delaware Delaware Delaware Delaware Delaware Delaware Delaware Delaware Delaware California California California Nevada Delaware Delaware Delaware Delaware Delaware Minnesota Delaware Delaware Delaware Delaware Delaware China Finland Australia Australia Delaware Delaware Delaware Delaware Mexico Hong Kong Delaware Delaware Delaware Delaware Delaware Delaware Delaware Delaware Delaware Delaware Delaware Delaware
"Solar Integrated Manager I, LLC Solar Integrated Manager IV-A,LLC Solar Integrated Manager V, LLC Solar Integrated Manager VI, LLC Solar Services Company,LLC Solar Ulysses Manager I,LLC Solar Ulysses Manager II,LLC Solar Voyager,LLC Solar Warehouse Manager I,LLC Solar Warehouse Manager II,LLC Solar Warehouse Manager III,LLC Solar Warehouse Manager IV, LLC SolarCity Alpine Holdings, LLC SolarCity Amphitheatre Holdings,LLC SolarCity Arbor Holdings,LLC SolarCity Arches Holdings,LLC SolarCity AU Holdings,LLC SolarCity Cruyff Holdings,LLC SolarCity Electrical,LC SolarCity Electrical New York Corporation SolarCity Finance Company, LLC SolarCity Finance Holdings,LLC SolarCity Foxborough Holdings,LLC SolarCity FTE Series 1,LLC SolarCity FTE Series 2,LLC SolarCity Fund Holdings,LLC SolarCity Grand Canyon Holdings,LLC SolarCity Holdings 2008,LLC SolarCity International,Inc. SolarCity Leviathan Holdings, LLC SolarCity LMC Series I, LLC SolarCity LMC Series II, LLC SolarCity LMC Series II,LLC SolarCity LMC Series IV,LLC SolarCity LMC Series V,LLC SolarCity Mid-Atlantic Holdings, LLC SolarCity Nitro Holdings,LLC SolarCity Orange Holdings,LLC SolarCity Series Holdings I, LLC SolarCity Series Holdings II, LLC SolarCity Series Holdings IV,LLC SolarCity Steep Holdings,LLC SolarCity Ulu Holdings,LLC SolarCity Village Holdings,LLC SolarRock, LLC SolarStrong, LLC Sparrowhawk Solar I, LLC SREC Holdings,LLC TALT Holdings, LLC TALT TBM Holdings, LLC TBM Partnership II, LLC TEO Engineering, Inc. TES 2017-1, LLC TES 2017-2, LLC TES 2018-K2,LLC TES Holdings 2017-1, LLC TES Holdings 2018-K2,LLC",Delaware Delaware Delaware Delaware Delaware Delaware Delaware Delaware Delaware Delaware Delaware Delaware Delaware Delaware Delaware Delaware Delaware Delaware Delaware Delaware Delaware Delaware Delaware Delaware Delaware Delaware Delaware Delaware Delaware Delaware Delaware Delaware Delaware Delaware Delaware Delaware Delaware Delaware Delaware Delaware Delaware Delaware Delaware Delaware Delaware Delaware Delaware Delaware Delaware Delaware Delaware California Delaware Delaware Delaware Delaware Delaware Delaware
