Exhibit IncorporatedbyReferenceNumber Exhibit Description Form FileNo. Exhibit Filing Date,Exhibit IncorporatedbyReferenceNumber Exhibit Description Form FileNo. Exhibit Filing Date,Exhibit IncorporatedbyReferenceNumber Exhibit Description Form FileNo. Exhibit Filing Date,Exhibit IncorporatedbyReferenceNumber Exhibit Description Form FileNo. Exhibit Filing Date,Exhibit IncorporatedbyReferenceNumber Exhibit Description Form FileNo. Exhibit Filing Date,Exhibit IncorporatedbyReferenceNumber Exhibit Description Form FileNo. Exhibit Filing Date,Exhibit IncorporatedbyReferenceNumber Exhibit Description Form FileNo. Exhibit Filing Date,Exhibit IncorporatedbyReferenceNumber Exhibit Description Form FileNo. Exhibit Filing Date,Exhibit IncorporatedbyReferenceNumber Exhibit Description Form FileNo. Exhibit Filing Date,Exhibit IncorporatedbyReferenceNumber Exhibit Description Form FileNo. Exhibit Filing Date,Exhibit IncorporatedbyReferenceNumber Exhibit Description Form FileNo. Exhibit Filing Date,Exhibit IncorporatedbyReferenceNumber Exhibit Description Form FileNo. Exhibit Filing Date,Filed,,,,,,,
4.3,4.3,4.3,4.3,stock named therein.,,,,,,,,,,,,,,,
4.3,4.3,4.3,4.3,Amendment to Fifth Amended and Restated Investors',S-1/A,333-164593,333-164593,,4.2A,4.2A,"May 27,2010",,,,,,,,
,,,,"Rights Agreement, dated as of May 20, 2010,between",,,,,,,,,,,,,,,
,,,,Registrant and certain holders of the Registrant's capital,,,,,,,,,,,,,,,
,,,,Registrant and certain holders of the Registrant's capital,,,,,,,"May 27,2010",,,,,,,,
,,,,stock named therein.,,,,4.2B,4.2B,4.2B,"May 27,2010",,,,,,,,
4.4,4.4,,,,,Amendment to Fifth Amended and Restated Investors',Amendment to Fifth Amended and Restated Investors',Amendment to Fifth Amended and Restated Investors',Amendment to Fifth Amended and Restated Investors',Amendment to Fifth Amended and Restated Investors',Amendment to Fifth Amended and Restated Investors',,S-1/A,,,,,,
,,,,"Rights Agreement between Registrant, Toyota Motor",,,,4.2B,4.2B,4.2B,"May 27,2010",,,,,,,,
,,,,Corporation and certain holders of the Registrant's,,,,4.2B,4.2B,4.2B,,,,,,,,,
,,,,Corporation and certain holders of the Registrant's,,,,4.2B,4.2B,4.2B,,,,,,,,,
,,,,capital stock named therein.,,,,4.2B,4.2B,4.2B,4.2C,4.2C,4.2C,,,,,,
,,,,Amendment to Fifth Amended and Restated Investor's,S-1/A,333-164593,333-164593,,,,,,,,,,,,
,,,,"Rights Agreement, dated as of June 14, 2010,between",,333-164593,333-164593,,,,,,,,,,,,
,,,,Registrant and certain holders of the Registrant's capital,,333-164593,333-164593,,,,,,,,,,,,
,,,,stock named therein.,,001-34756,001-34756,4.1,4.1,4.1,4.2C,4.2C,4.2C,,,,,,
,,,,"Amendment to Fifth Amended and Restated Investor'sRights Agreement, dated as of November 2, 2010,",8-K,001-34756,001-34756,4.1,4.1,4.1,4.2C,4.2C,4.2C,001-34756333-174466,001-34756333-174466,,,,
,,,,,8-K,333-174466,333-174466,4.2E,4.2E,,4.2C,4.2C,4.2C,001-34756333-174466,001-34756333-174466,,,,
,,,,between Registrant and certain holders of the,8-K,333-174466,333-174466,4.2E,4.2E,,,,,,,,,,
,,,,Registrant's capital stock named therein.,,333-174466,333-174466,4.2E,4.2E,,,,,,,,,,
,,,,"Waiver to Fifth Amended and Restated Investor's RightsS-1/AAgreement, dated as of May 22, 2011, between",,333-174466,333-174466,4.2E,4.2E,,,,,,,,,,
,,,,Registrant and certain holders of the Registrant's capital,,,,,,,,,,,,,,,
,,,,stock named therein.,,,,,,,,,,,,,,,
,,,,"Amendment to Fifth Amended and Restated Investor'sRights Agreement, dated as of May 30, 2011, between",,,,,,,,,,,,,,,
,,,,Registrant and certain holders of the Registrant's capital,,,,,,,,,,,,,,,
,,,,stock named therein.,,001-34756,001-34756,,,,,,,,,,,,
,,,,"Sixth Amendment to Fifth Amended and RestatedInvestors' Rights Agreement, dated as of May 15, 2013",8-K,001-34756,001-34756,,,,,,,,,,,,
,,,,"among the Registrant, the Elon Musk Revocable Trust",,,,,,,,,,,,,,,
,,,,"dated July 22, 20o3 and certain other holders of the",,,,,,,,,,,,,,,
