SECTIONSECTION1.DEFINITIONS AND ACCOUNTING TERMS,SECTIONSECTION1.DEFINITIONS AND ACCOUNTING TERMS,Page 1
Collateralized Letters of Credit SECTIONSECTION 8. REPRESENTATIONS AND WARRANTIES,Collateralized Letters of Credit SECTIONSECTION 8. REPRESENTATIONS AND WARRANTIES,102130
,,102130
8.01.,Company Status,102130
8.02.,Power and Authority,103131
8.03.,No Violation,103131
8.04.,Approvals,103131
8.05.,Financial Statements; Financial Condition; Undisclosed Liabilities,103131
8.06.,Litigation,104132
8.07.,True and Complete Disclosure,104132
8.08.,Use of Proceeds;Margin Regulations,104132
8.09.,Tax Returns and Payments,105132
8.10.,Compliance with ERISA,105133
8.11.,Security Documents,106134
8.12.,Properties[Reserved],107135
8.13.,[Reserved],107135
8.14.,Subsidiaries,107135
8.15.,"Compliance with Statutes,etc",107136
8.16.,Investment Company Act,108136
8.17.,Environmental Matters,108136
8.18.,Employment and Labor Relations,108137
8.19.,"Intellectual Property,etc",109137
8.20.,I Indebtedness[Reserved],109138
8.21.,Insurance[Reserved],109138
8.22.,Borrowing Base Calculation,109138
,,109138
8.23.,Anti-Corruption Laws and Sanctions,
8.24.,No Default,110138
8.25. SECTIONSECTION 9. AFFIRMATIVE COVENANTS,Fiscal Unity,110138 110138
9.01.,Information Covenants,110139
9.02.,"Books,Records and Inspections",114143
9.03.,Maintenance of Property; Insurance,114143
9.04.,Existence;Franchises,115144
9.05.,"Compliance with Laws,etc",115144
9.06.,Compliance with Environmental Laws,115144
9.07.,ERISA,116145
9.08.,[Reserved],117146
9.09.,Performance of Obligations[Reserved],117 146
9.10.,Payment of Taxes,117146
9.11.,Use of Proceeds,
9.12.,,118147
9.13.,Additional Security; Further Assurances; Post-Closing Matters; Additional Borrowers; etcl,118147
9.14.,Information Regarding Collateral COMI,121150 121151
SECTIONSECTION 10. NEGATIVE COVENANTS,SECTIONSECTION 10. NEGATIVE COVENANTS,121151
10.01. Liens,10.01. Liens,
10.02.,Fundamental Changes,121152
10.03.,Dividends,125156
10.04.,Indebtedness,126156
10.05.,[Reserved],127158
10.06.,Transactions with Affiliates,132164 132164
10.07.,Fixed Charge Coverage Ratio,133165
10.08.,"Modifications of Certain Agreements;Limitations on Voluntary Payments,etc.",133166
10.09.,,
10.10.,Limitation on Certain Restrictions on Subsidiaries,135167
10.11.,Limitations on Certain Issuances of Equity Interests,136168
10.12.,"No Additional Accounts,etc",136168
10.13.,Use of Proceeds,136169
10.14.,Fiscal Unity,136169
SECTIONSECTION 11. EVENTS OF DEFAULT,SolarCity,169
,,136170
11.01. Payments,11.01. Payments,136170
11.02.,"Representations,etc.",137171
11.03.,Covenants,137171
11.04.,Default Under Other Agreements,137171
11.05.,"Bankruptcy, etc!",137171
11.06.,ERISA,138172
11.07.,[Reserved],138172
11.08.,Security Documents,138172
11.09.,Guaranties,139172
11.10.,Judgments,139173
ii,ii,
11.11.,Change of Control,139173
11.12.,Intercreditor Agreement,139173
11.13. SECTIONSECTION,Convertible Notes Maturity Default,139174 140174
12.THE ADMINISTRATIVE AGENT AND THE COLLATERAL AGENT,12.THE ADMINISTRATIVE AGENT AND THE COLLATERAL AGENT,12.THE ADMINISTRATIVE AGENT AND THE COLLATERAL AGENT
12.01.,Appointment,140174
12.02.,Nature of Duties,140175
12.03.,Lack of Reliance on the Administrative Agent,141175
12.04.,Certain Rights of the Agents,141175
12.05.,Reliance,141176
12.06.,Indemnification,142176
12.07.,The Administrative Agent in its Individual Capacity,1421 176
12.08.,Holders,142176
12.09.,Resignation by the Administrative Agent,142177
12.10.,Collateral Matters,143177
12.11.,Delivery of Information,144179
12.12.,,
12.13.,Dutch Parallel Debt,145179
12.14.,Real Property Appraisal Certain ERISA Matters,180 180
SECTIONSECTION 13.MISCELLANEOUS,SECTIONSECTION 13.MISCELLANEOUS,SECTIONSECTION 13.MISCELLANEOUS
,,145181
13.01.,"Payment of Expenses,etc.",146181
13.02.,Right of Setoff Notices,147183
13.03. 13.04.,Foreign Taxes,148183
13.0413.05.,Benefit of Agreement; Assignments;Participations,184
13.0513.06.,No Waiver; Remedies Cumulative,149185 151187
13.0613.07.,Payments Pro Rata,152188
13.0713.08.,Calculations; Computations,152188
13.0813.09.,GOVERNING LAW; SUBMISSION TO JURISDICTION; VENUE; WAIVER OF JURY TRIAL,
13.0913.10.,Counterparts,153189
13.1013.11.,,154190
13.1113.12.,Effectiveness,155191
13.1213.13.,Headings Descriptive Amendment or Waiver;etc,155191
13.1313.14.,,155191
13.1413.15.,Survival,158193
13.1513.16.,Domicile of Loans,158194
13.1613.17.,Register,158194
13.1713.18.,Confidentiality,158194
,No Fiduciary Duty,159195
13.1813.19. 13.1913.20.,Patriot Act,160196
13.2013.21.,Waiver of Sovereign Immunity Judgment Currency,160196
13.2113.22.,,160196
13.2213.23.,OTHER LIENS ON COLLATERAL; TERMS OF INTERCREDITOR AGREEMENT; ETC.,161197
,Interest Rate Limitation,161197
13.24.,MIRE Events,198
13.25.,Acknowledgment and Consent to Bail-In of Affected Financial Institutions,198
13.26.,Acknowledgment Regarding Any Supported QFCs,198
TIONSECTION14.NATURE OF OBLIGATIONS,,162199
14.01.,,162199
14.02.,Nature of Obligations,162200
14.03.,Independent Obligation,162200
14.04.,Authorization,163200
14.05.,Reliance Contribution; Subrogation,163200
14.06.,Waiver,163201
14.07.,Limitation on Dutch Borrower Obligations,164201
14.08.,Rights and Obligations,164201
