Exhibit ProvidedNo. Exhibit Description Herewith,Exhibit ProvidedNo. Exhibit Description Herewith,Exhibit ProvidedNo. Exhibit Description Herewith,Exhibit ProvidedNo. Exhibit Description Herewith,Exhibit ProvidedNo. Exhibit Description Herewith,Exhibit ProvidedNo. Exhibit Description Herewith,IncorporatedbyReference,IncorporatedbyReference,IncorporatedbyReference,,,,,,
,"parties party thereto, and Wells FargoBank,National Association,asAdministrative Agent, SwinglineLender","parties party thereto, and Wells FargoBank,National Association,asAdministrative Agent, SwinglineLender","parties party thereto, and Wells FargoBank,National Association,asAdministrative Agent, SwinglineLender","parties party thereto, and Wells FargoBank,National Association,asAdministrative Agent, SwinglineLender","parties party thereto, and Wells FargoBank,National Association,asAdministrative Agent, SwinglineLender","parties party thereto, and Wells FargoBank,National Association,asAdministrative Agent, SwinglineLender","parties party thereto, and Wells FargoBank,National Association,asAdministrative Agent, SwinglineLender",,,,,,,
,"parties party thereto, and Wells FargoBank,National Association,asAdministrative Agent, SwinglineLender","parties party thereto, and Wells FargoBank,National Association,asAdministrative Agent, SwinglineLender","parties party thereto, and Wells FargoBank,National Association,asAdministrative Agent, SwinglineLender","parties party thereto, and Wells FargoBank,National Association,asAdministrative Agent, SwinglineLender","parties party thereto, and Wells FargoBank,National Association,asAdministrative Agent, SwinglineLender","parties party thereto, and Wells FargoBank,National Association,asAdministrative Agent, SwinglineLender","parties party thereto, and Wells FargoBank,National Association,asAdministrative Agent, SwinglineLender",,,,,,,
,"parties party thereto, and Wells FargoBank,National Association,asAdministrative Agent, SwinglineLender","parties party thereto, and Wells FargoBank,National Association,asAdministrative Agent, SwinglineLender","parties party thereto, and Wells FargoBank,National Association,asAdministrative Agent, SwinglineLender","parties party thereto, and Wells FargoBank,National Association,asAdministrative Agent, SwinglineLender","parties party thereto, and Wells FargoBank,National Association,asAdministrative Agent, SwinglineLender","parties party thereto, and Wells FargoBank,National Association,asAdministrative Agent, SwinglineLender","parties party thereto, and Wells FargoBank,National Association,asAdministrative Agent, SwinglineLender",,,,,,,
,and an Issuing Lender.,and an Issuing Lender.,and an Issuing Lender.,and an Issuing Lender.,and an Issuing Lender.,and an Issuing Lender.,and an Issuing Lender.,,,,,,,
10.26,"Amended and Restated Credit Agreement,","Amended and Restated Credit Agreement,","Amended and Restated Credit Agreement,","Amended and Restated Credit Agreement,","Amended and Restated Credit Agreement,","Amended and Restated Credit Agreement,","Amended and Restated Credit Agreement,",,,,,,,
10.26,"Amended and Restated Credit Agreement,","Amended and Restated Credit Agreement,","Amended and Restated Credit Agreement,","Amended and Restated Credit Agreement,","Amended and Restated Credit Agreement,","Amended and Restated Credit Agreement,","Amended and Restated Credit Agreement,",,,,,,,
,"dated as of April 30, 2018,among the",,,,,,,,,,,,,
,"Company, the lenders and other parties",,,,,,,,,,,,,
,"Company, the lenders and other parties",,,,,,,,,,,,,
,"party thereto,and Bank of America, N.A.,",,,,,,,,,,,,,
,as Administrative Agent.,,,,,,,,,,,,,001-32224
10.27,"Credit Agreement, dated as of April 30,",,,,,,,,,,,,,
,"2018,among the Company, the lenders",,,,,,,,,,,,,
,"and other parties party thereto,and Bankof America,N.A.,as Administrative","and other parties party thereto,and Bankof America,N.A.,as Administrative","and other parties party thereto,and Bankof America,N.A.,as Administrative","and other parties party thereto,and Bankof America,N.A.,as Administrative","and other parties party thereto,and Bankof America,N.A.,as Administrative","and other parties party thereto,and Bankof America,N.A.,as Administrative","and other parties party thereto,and Bankof America,N.A.,as Administrative",,,,,,,
,"and other parties party thereto,and Bankof America,N.A.,as Administrative","and other parties party thereto,and Bankof America,N.A.,as Administrative","and other parties party thereto,and Bankof America,N.A.,as Administrative","and other parties party thereto,and Bankof America,N.A.,as Administrative","and other parties party thereto,and Bankof America,N.A.,as Administrative","and other parties party thereto,and Bankof America,N.A.,as Administrative","and other parties party thereto,and Bankof America,N.A.,as Administrative",,,,,,,
,Agent.,Agent.,Agent.,Agent.,Agent.,8-K,8-K,001-32224,,,,,,
"10.28 Settlement Agreement betweensalesforce.com, inc.and BNP Paribas,dated June 12,2018 8-K001-32224 10.1 6/15/201810.29 Settlement Agreement between salesforce.com, inc.and Bank of America,N.A., dated June 12, 2018 8-K001-32224 10.26/15/201810.30 Settlement Agreement between salesforce.com, inc.and MorganStanley & Co.International plc,datedJune 12,2018 8-K001-3222410.36/15/2018","10.28 Settlement Agreement betweensalesforce.com, inc.and BNP Paribas,dated June 12,2018 8-K001-32224 10.1 6/15/201810.29 Settlement Agreement between salesforce.com, inc.and Bank of America,N.A., dated June 12, 2018 8-K001-32224 10.26/15/201810.30 Settlement Agreement between salesforce.com, inc.and MorganStanley & Co.International plc,datedJune 12,2018 8-K001-3222410.36/15/2018","10.28 Settlement Agreement betweensalesforce.com, inc.and BNP Paribas,dated June 12,2018 8-K001-32224 10.1 6/15/201810.29 Settlement Agreement between salesforce.com, inc.and Bank of America,N.A., dated June 12, 2018 8-K001-32224 10.26/15/201810.30 Settlement Agreement between salesforce.com, inc.and MorganStanley & Co.International plc,datedJune 12,2018 8-K001-3222410.36/15/2018","10.28 Settlement Agreement betweensalesforce.com, inc.and BNP Paribas,dated June 12,2018 8-K001-32224 10.1 6/15/201810.29 Settlement Agreement between salesforce.com, inc.and Bank of America,N.A., dated June 12, 2018 8-K001-32224 10.26/15/201810.30 Settlement Agreement between salesforce.com, inc.and MorganStanley & Co.International plc,datedJune 12,2018 8-K001-3222410.36/15/2018","10.28 Settlement Agreement betweensalesforce.com, inc.and BNP Paribas,dated June 12,2018 8-K001-32224 10.1 6/15/201810.29 Settlement Agreement between salesforce.com, inc.and Bank of America,N.A., dated June 12, 2018 8-K001-32224 10.26/15/201810.30 Settlement Agreement between salesforce.com, inc.and MorganStanley & Co.International plc,datedJune 12,2018 8-K001-3222410.36/15/2018","10.28 Settlement Agreement betweensalesforce.com, inc.and BNP Paribas,dated June 12,2018 8-K001-32224 10.1 6/15/201810.29 Settlement Agreement between salesforce.com, inc.and Bank of America,N.A., dated June 12, 2018 8-K001-32224 10.26/15/201810.30 Settlement Agreement between salesforce.com, inc.and MorganStanley & Co.International plc,datedJune 12,2018 8-K001-3222410.36/15/2018","10.28 Settlement Agreement betweensalesforce.com, inc.and BNP Paribas,dated June 12,2018 8-K001-32224 10.1 6/15/201810.29 Settlement Agreement between salesforce.com, inc.and Bank of America,N.A., dated June 12, 2018 8-K001-32224 10.26/15/201810.30 Settlement Agreement between salesforce.com, inc.and MorganStanley & Co.International plc,datedJune 12,2018 8-K001-3222410.36/15/2018","10.28 Settlement Agreement betweensalesforce.com, inc.and BNP Paribas,dated June 12,2018 8-K001-32224 10.1 6/15/201810.29 Settlement Agreement between salesforce.com, inc.and Bank of America,N.A., dated June 12, 2018 8-K001-32224 10.26/15/201810.30 Settlement Agreement between salesforce.com, inc.and MorganStanley & Co.International plc,datedJune 12,2018 8-K001-3222410.36/15/2018","10.28 Settlement Agreement betweensalesforce.com, inc.and BNP Paribas,dated June 12,2018 8-K001-32224 10.1 6/15/201810.29 Settlement Agreement between salesforce.com, inc.and Bank of America,N.A., dated June 12, 2018 8-K001-32224 10.26/15/201810.30 Settlement Agreement between salesforce.com, inc.and MorganStanley & Co.International plc,datedJune 12,2018 8-K001-3222410.36/15/2018",,,,,,
"10.28 Settlement Agreement betweensalesforce.com, inc.and BNP Paribas,dated June 12,2018 8-K001-32224 10.1 6/15/201810.29 Settlement Agreement between salesforce.com, inc.and Bank of America,N.A., dated June 12, 2018 8-K001-32224 10.26/15/201810.30 Settlement Agreement between salesforce.com, inc.and MorganStanley & Co.International plc,datedJune 12,2018 8-K001-3222410.36/15/2018","10.28 Settlement Agreement betweensalesforce.com, inc.and BNP Paribas,dated June 12,2018 8-K001-32224 10.1 6/15/201810.29 Settlement Agreement between salesforce.com, inc.and Bank of America,N.A., dated June 12, 2018 8-K001-32224 10.26/15/201810.30 Settlement Agreement between salesforce.com, inc.and MorganStanley & Co.International plc,datedJune 12,2018 8-K001-3222410.36/15/2018","10.28 Settlement Agreement betweensalesforce.com, inc.and BNP Paribas,dated June 12,2018 8-K001-32224 10.1 6/15/201810.29 Settlement Agreement between salesforce.com, inc.and Bank of America,N.A., dated June 12, 2018 8-K001-32224 10.26/15/201810.30 Settlement Agreement between salesforce.com, inc.and MorganStanley & Co.International plc,datedJune 12,2018 8-K001-3222410.36/15/2018","10.28 Settlement Agreement betweensalesforce.com, inc.and BNP Paribas,dated June 12,2018 8-K001-32224 10.1 6/15/201810.29 Settlement Agreement between salesforce.com, inc.and Bank of America,N.A., dated June 12, 2018 8-K001-32224 10.26/15/201810.30 Settlement Agreement between salesforce.com, inc.and MorganStanley & Co.International plc,datedJune 12,2018 8-K001-3222410.36/15/2018","10.28 Settlement Agreement betweensalesforce.com, inc.and BNP Paribas,dated June 12,2018 8-K001-32224 10.1 6/15/201810.29 Settlement Agreement between salesforce.com, inc.and Bank of America,N.A., dated June 12, 2018 8-K001-32224 10.26/15/201810.30 Settlement Agreement between salesforce.com, inc.and MorganStanley & Co.International plc,datedJune 12,2018 8-K001-3222410.36/15/2018","10.28 Settlement Agreement betweensalesforce.com, inc.and BNP Paribas,dated June 12,2018 8-K001-32224 10.1 6/15/201810.29 Settlement Agreement between salesforce.com, inc.and Bank of America,N.A., dated June 12, 2018 8-K001-32224 10.26/15/201810.30 Settlement Agreement between salesforce.com, inc.and MorganStanley & Co.International plc,datedJune 12,2018 8-K001-3222410.36/15/2018","10.28 Settlement Agreement betweensalesforce.com, inc.and BNP Paribas,dated June 12,2018 8-K001-32224 10.1 6/15/201810.29 Settlement Agreement between salesforce.com, inc.and Bank of America,N.A., dated June 12, 2018 8-K001-32224 10.26/15/201810.30 Settlement Agreement between salesforce.com, inc.and MorganStanley & Co.International plc,datedJune 12,2018 8-K001-3222410.36/15/2018","10.28 Settlement Agreement betweensalesforce.com, inc.and BNP Paribas,dated June 12,2018 8-K001-32224 10.1 6/15/201810.29 Settlement Agreement between salesforce.com, inc.and Bank of America,N.A., dated June 12, 2018 8-K001-32224 10.26/15/201810.30 Settlement Agreement between salesforce.com, inc.and MorganStanley & Co.International plc,datedJune 12,2018 8-K001-3222410.36/15/2018","10.28 Settlement Agreement betweensalesforce.com, inc.and BNP Paribas,dated June 12,2018 8-K001-32224 10.1 6/15/201810.29 Settlement Agreement between salesforce.com, inc.and Bank of America,N.A., dated June 12, 2018 8-K001-32224 10.26/15/201810.30 Settlement Agreement between salesforce.com, inc.and MorganStanley & Co.International plc,datedJune 12,2018 8-K001-3222410.36/15/2018",,,,,,
"10.28 Settlement Agreement betweensalesforce.com, inc.and BNP Paribas,dated June 12,2018 8-K001-32224 10.1 6/15/201810.29 Settlement Agreement between salesforce.com, inc.and Bank of America,N.A., dated June 12, 2018 8-K001-32224 10.26/15/201810.30 Settlement Agreement between salesforce.com, inc.and MorganStanley & Co.International plc,datedJune 12,2018 8-K001-3222410.36/15/2018","10.28 Settlement Agreement betweensalesforce.com, inc.and BNP Paribas,dated June 12,2018 8-K001-32224 10.1 6/15/201810.29 Settlement Agreement between salesforce.com, inc.and Bank of America,N.A., dated June 12, 2018 8-K001-32224 10.26/15/201810.30 Settlement Agreement between salesforce.com, inc.and MorganStanley & Co.International plc,datedJune 12,2018 8-K001-3222410.36/15/2018","10.28 Settlement Agreement betweensalesforce.com, inc.and BNP Paribas,dated June 12,2018 8-K001-32224 10.1 6/15/201810.29 Settlement Agreement between salesforce.com, inc.and Bank of America,N.A., dated June 12, 2018 8-K001-32224 10.26/15/201810.30 Settlement Agreement between salesforce.com, inc.and MorganStanley & Co.International plc,datedJune 12,2018 8-K001-3222410.36/15/2018","10.28 Settlement Agreement betweensalesforce.com, inc.and BNP Paribas,dated June 12,2018 8-K001-32224 10.1 6/15/201810.29 Settlement Agreement between salesforce.com, inc.and Bank of America,N.A., dated June 12, 2018 8-K001-32224 10.26/15/201810.30 Settlement Agreement between salesforce.com, inc.and MorganStanley & Co.International plc,datedJune 12,2018 8-K001-3222410.36/15/2018","10.28 Settlement Agreement betweensalesforce.com, inc.and BNP Paribas,dated June 12,2018 8-K001-32224 10.1 6/15/201810.29 Settlement Agreement between salesforce.com, inc.and Bank of America,N.A., dated June 12, 2018 8-K001-32224 10.26/15/201810.30 Settlement Agreement between salesforce.com, inc.and MorganStanley & Co.International plc,datedJune 12,2018 8-K001-3222410.36/15/2018","10.28 Settlement Agreement betweensalesforce.com, inc.and BNP Paribas,dated June 12,2018 8-K001-32224 10.1 6/15/201810.29 Settlement Agreement between salesforce.com, inc.and Bank of America,N.A., dated June 12, 2018 8-K001-32224 10.26/15/201810.30 Settlement Agreement between salesforce.com, inc.and MorganStanley & Co.International plc,datedJune 12,2018 8-K001-3222410.36/15/2018","10.28 Settlement Agreement betweensalesforce.com, inc.and BNP Paribas,dated June 12,2018 8-K001-32224 10.1 6/15/201810.29 Settlement Agreement between salesforce.com, inc.and Bank of America,N.A., dated June 12, 2018 8-K001-32224 10.26/15/201810.30 Settlement Agreement between salesforce.com, inc.and MorganStanley & Co.International plc,datedJune 12,2018 8-K001-3222410.36/15/2018","10.28 Settlement Agreement betweensalesforce.com, inc.and BNP Paribas,dated June 12,2018 8-K001-32224 10.1 6/15/201810.29 Settlement Agreement between salesforce.com, inc.and Bank of America,N.A., dated June 12, 2018 8-K001-32224 10.26/15/201810.30 Settlement Agreement between salesforce.com, inc.and MorganStanley & Co.International plc,datedJune 12,2018 8-K001-3222410.36/15/2018","10.28 Settlement Agreement betweensalesforce.com, inc.and BNP Paribas,dated June 12,2018 8-K001-32224 10.1 6/15/201810.29 Settlement Agreement between salesforce.com, inc.and Bank of America,N.A., dated June 12, 2018 8-K001-32224 10.26/15/201810.30 Settlement Agreement between salesforce.com, inc.and MorganStanley & Co.International plc,datedJune 12,2018 8-K001-3222410.36/15/2018",,,,,,
"10.28 Settlement Agreement betweensalesforce.com, inc.and BNP Paribas,dated June 12,2018 8-K001-32224 10.1 6/15/201810.29 Settlement Agreement between salesforce.com, inc.and Bank of America,N.A., dated June 12, 2018 8-K001-32224 10.26/15/201810.30 Settlement Agreement between salesforce.com, inc.and MorganStanley & Co.International plc,datedJune 12,2018 8-K001-3222410.36/15/2018","10.28 Settlement Agreement betweensalesforce.com, inc.and BNP Paribas,dated June 12,2018 8-K001-32224 10.1 6/15/201810.29 Settlement Agreement between salesforce.com, inc.and Bank of America,N.A., dated June 12, 2018 8-K001-32224 10.26/15/201810.30 Settlement Agreement between salesforce.com, inc.and MorganStanley & Co.International plc,datedJune 12,2018 8-K001-3222410.36/15/2018","10.28 Settlement Agreement betweensalesforce.com, inc.and BNP Paribas,dated June 12,2018 8-K001-32224 10.1 6/15/201810.29 Settlement Agreement between salesforce.com, inc.and Bank of America,N.A., dated June 12, 2018 8-K001-32224 10.26/15/201810.30 Settlement Agreement between salesforce.com, inc.and MorganStanley & Co.International plc,datedJune 12,2018 8-K001-3222410.36/15/2018","10.28 Settlement Agreement betweensalesforce.com, inc.and BNP Paribas,dated June 12,2018 8-K001-32224 10.1 6/15/201810.29 Settlement Agreement between salesforce.com, inc.and Bank of America,N.A., dated June 12, 2018 8-K001-32224 10.26/15/201810.30 Settlement Agreement between salesforce.com, inc.and MorganStanley & Co.International plc,datedJune 12,2018 8-K001-3222410.36/15/2018","10.28 Settlement Agreement betweensalesforce.com, inc.and BNP Paribas,dated June 12,2018 8-K001-32224 10.1 6/15/201810.29 Settlement Agreement between salesforce.com, inc.and Bank of America,N.A., dated June 12, 2018 8-K001-32224 10.26/15/201810.30 Settlement Agreement between salesforce.com, inc.and MorganStanley & Co.International plc,datedJune 12,2018 8-K001-3222410.36/15/2018","10.28 Settlement Agreement betweensalesforce.com, inc.and BNP Paribas,dated June 12,2018 8-K001-32224 10.1 6/15/201810.29 Settlement Agreement between salesforce.com, inc.and Bank of America,N.A., dated June 12, 2018 8-K001-32224 10.26/15/201810.30 Settlement Agreement between salesforce.com, inc.and MorganStanley & Co.International plc,datedJune 12,2018 8-K001-3222410.36/15/2018","10.28 Settlement Agreement betweensalesforce.com, inc.and BNP Paribas,dated June 12,2018 8-K001-32224 10.1 6/15/201810.29 Settlement Agreement between salesforce.com, inc.and Bank of America,N.A., dated June 12, 2018 8-K001-32224 10.26/15/201810.30 Settlement Agreement between salesforce.com, inc.and MorganStanley & Co.International plc,datedJune 12,2018 8-K001-3222410.36/15/2018","10.28 Settlement Agreement betweensalesforce.com, inc.and BNP Paribas,dated June 12,2018 8-K001-32224 10.1 6/15/201810.29 Settlement Agreement between salesforce.com, inc.and Bank of America,N.A., dated June 12, 2018 8-K001-32224 10.26/15/201810.30 Settlement Agreement between salesforce.com, inc.and MorganStanley & Co.International plc,datedJune 12,2018 8-K001-3222410.36/15/2018","10.28 Settlement Agreement betweensalesforce.com, inc.and BNP Paribas,dated June 12,2018 8-K001-32224 10.1 6/15/201810.29 Settlement Agreement between salesforce.com, inc.and Bank of America,N.A., dated June 12, 2018 8-K001-32224 10.26/15/201810.30 Settlement Agreement between salesforce.com, inc.and MorganStanley & Co.International plc,datedJune 12,2018 8-K001-3222410.36/15/2018",10.29,,,,,
"10.28 Settlement Agreement betweensalesforce.com, inc.and BNP Paribas,dated June 12,2018 8-K001-32224 10.1 6/15/201810.29 Settlement Agreement between salesforce.com, inc.and Bank of America,N.A., dated June 12, 2018 8-K001-32224 10.26/15/201810.30 Settlement Agreement between salesforce.com, inc.and MorganStanley & Co.International plc,datedJune 12,2018 8-K001-3222410.36/15/2018","10.28 Settlement Agreement betweensalesforce.com, inc.and BNP Paribas,dated June 12,2018 8-K001-32224 10.1 6/15/201810.29 Settlement Agreement between salesforce.com, inc.and Bank of America,N.A., dated June 12, 2018 8-K001-32224 10.26/15/201810.30 Settlement Agreement between salesforce.com, inc.and MorganStanley & Co.International plc,datedJune 12,2018 8-K001-3222410.36/15/2018","10.28 Settlement Agreement betweensalesforce.com, inc.and BNP Paribas,dated June 12,2018 8-K001-32224 10.1 6/15/201810.29 Settlement Agreement between salesforce.com, inc.and Bank of America,N.A., dated June 12, 2018 8-K001-32224 10.26/15/201810.30 Settlement Agreement between salesforce.com, inc.and MorganStanley & Co.International plc,datedJune 12,2018 8-K001-3222410.36/15/2018","10.28 Settlement Agreement betweensalesforce.com, inc.and BNP Paribas,dated June 12,2018 8-K001-32224 10.1 6/15/201810.29 Settlement Agreement between salesforce.com, inc.and Bank of America,N.A., dated June 12, 2018 8-K001-32224 10.26/15/201810.30 Settlement Agreement between salesforce.com, inc.and MorganStanley & Co.International plc,datedJune 12,2018 8-K001-3222410.36/15/2018","10.28 Settlement Agreement betweensalesforce.com, inc.and BNP Paribas,dated June 12,2018 8-K001-32224 10.1 6/15/201810.29 Settlement Agreement between salesforce.com, inc.and Bank of America,N.A., dated June 12, 2018 8-K001-32224 10.26/15/201810.30 Settlement Agreement between salesforce.com, inc.and MorganStanley & Co.International plc,datedJune 12,2018 8-K001-3222410.36/15/2018","10.28 Settlement Agreement betweensalesforce.com, inc.and BNP Paribas,dated June 12,2018 8-K001-32224 10.1 6/15/201810.29 Settlement Agreement between salesforce.com, inc.and Bank of America,N.A., dated June 12, 2018 8-K001-32224 10.26/15/201810.30 Settlement Agreement between salesforce.com, inc.and MorganStanley & Co.International plc,datedJune 12,2018 8-K001-3222410.36/15/2018","10.28 Settlement Agreement betweensalesforce.com, inc.and BNP Paribas,dated June 12,2018 8-K001-32224 10.1 6/15/201810.29 Settlement Agreement between salesforce.com, inc.and Bank of America,N.A., dated June 12, 2018 8-K001-32224 10.26/15/201810.30 Settlement Agreement between salesforce.com, inc.and MorganStanley & Co.International plc,datedJune 12,2018 8-K001-3222410.36/15/2018","10.28 Settlement Agreement betweensalesforce.com, inc.and BNP Paribas,dated June 12,2018 8-K001-32224 10.1 6/15/201810.29 Settlement Agreement between salesforce.com, inc.and Bank of America,N.A., dated June 12, 2018 8-K001-32224 10.26/15/201810.30 Settlement Agreement between salesforce.com, inc.and MorganStanley & Co.International plc,datedJune 12,2018 8-K001-3222410.36/15/2018","10.28 Settlement Agreement betweensalesforce.com, inc.and BNP Paribas,dated June 12,2018 8-K001-32224 10.1 6/15/201810.29 Settlement Agreement between salesforce.com, inc.and Bank of America,N.A., dated June 12, 2018 8-K001-32224 10.26/15/201810.30 Settlement Agreement between salesforce.com, inc.and MorganStanley & Co.International plc,datedJune 12,2018 8-K001-3222410.36/15/2018",,,,,,
"10.28 Settlement Agreement betweensalesforce.com, inc.and BNP Paribas,dated June 12,2018 8-K001-32224 10.1 6/15/201810.29 Settlement Agreement between salesforce.com, inc.and Bank of America,N.A., dated June 12, 2018 8-K001-32224 10.26/15/201810.30 Settlement Agreement between salesforce.com, inc.and MorganStanley & Co.International plc,datedJune 12,2018 8-K001-3222410.36/15/2018","10.28 Settlement Agreement betweensalesforce.com, inc.and BNP Paribas,dated June 12,2018 8-K001-32224 10.1 6/15/201810.29 Settlement Agreement between salesforce.com, inc.and Bank of America,N.A., dated June 12, 2018 8-K001-32224 10.26/15/201810.30 Settlement Agreement between salesforce.com, inc.and MorganStanley & Co.International plc,datedJune 12,2018 8-K001-3222410.36/15/2018","10.28 Settlement Agreement betweensalesforce.com, inc.and BNP Paribas,dated June 12,2018 8-K001-32224 10.1 6/15/201810.29 Settlement Agreement between salesforce.com, inc.and Bank of America,N.A., dated June 12, 2018 8-K001-32224 10.26/15/201810.30 Settlement Agreement between salesforce.com, inc.and MorganStanley & Co.International plc,datedJune 12,2018 8-K001-3222410.36/15/2018","10.28 Settlement Agreement betweensalesforce.com, inc.and BNP Paribas,dated June 12,2018 8-K001-32224 10.1 6/15/201810.29 Settlement Agreement between salesforce.com, inc.and Bank of America,N.A., dated June 12, 2018 8-K001-32224 10.26/15/201810.30 Settlement Agreement between salesforce.com, inc.and MorganStanley & Co.International plc,datedJune 12,2018 8-K001-3222410.36/15/2018","10.28 Settlement Agreement betweensalesforce.com, inc.and BNP Paribas,dated June 12,2018 8-K001-32224 10.1 6/15/201810.29 Settlement Agreement between salesforce.com, inc.and Bank of America,N.A., dated June 12, 2018 8-K001-32224 10.26/15/201810.30 Settlement Agreement between salesforce.com, inc.and MorganStanley & Co.International plc,datedJune 12,2018 8-K001-3222410.36/15/2018","10.28 Settlement Agreement betweensalesforce.com, inc.and BNP Paribas,dated June 12,2018 8-K001-32224 10.1 6/15/201810.29 Settlement Agreement between salesforce.com, inc.and Bank of America,N.A., dated June 12, 2018 8-K001-32224 10.26/15/201810.30 Settlement Agreement between salesforce.com, inc.and MorganStanley & Co.International plc,datedJune 12,2018 8-K001-3222410.36/15/2018","10.28 Settlement Agreement betweensalesforce.com, inc.and BNP Paribas,dated June 12,2018 8-K001-32224 10.1 6/15/201810.29 Settlement Agreement between salesforce.com, inc.and Bank of America,N.A., dated June 12, 2018 8-K001-32224 10.26/15/201810.30 Settlement Agreement between salesforce.com, inc.and MorganStanley & Co.International plc,datedJune 12,2018 8-K001-3222410.36/15/2018","10.28 Settlement Agreement betweensalesforce.com, inc.and BNP Paribas,dated June 12,2018 8-K001-32224 10.1 6/15/201810.29 Settlement Agreement between salesforce.com, inc.and Bank of America,N.A., dated June 12, 2018 8-K001-32224 10.26/15/201810.30 Settlement Agreement between salesforce.com, inc.and MorganStanley & Co.International plc,datedJune 12,2018 8-K001-3222410.36/15/2018","10.28 Settlement Agreement betweensalesforce.com, inc.and BNP Paribas,dated June 12,2018 8-K001-32224 10.1 6/15/201810.29 Settlement Agreement between salesforce.com, inc.and Bank of America,N.A., dated June 12, 2018 8-K001-32224 10.26/15/201810.30 Settlement Agreement between salesforce.com, inc.and MorganStanley & Co.International plc,datedJune 12,2018 8-K001-3222410.36/15/2018",10.30,,,,,
