Model,Avoiding Rep.,Engage,Fluency,Humanness,Inquisitive,Interesting,Listening,Make Sense
,Specificity-controlled CT 4,2.82 ± 0.10,2.80 ± 0.13,3.44 ± 0.14,2.32 ± 0.13,2.51 ± 0.12,2.78 ± 0.15,"3.09 ± 0.13,3.46 ± 0.13"
,Specificity-controlled CT 7,2.81 ± 0.12,2.91 ± 0.13,3.43 ± 0.11,2.45 ± 0.10,2.49 ± 0.11,2.81 ± 0.12,"3.15 ± 0.12,3.55 ± 0.11"
,Specificity-controlled CT 9,2.80 ± 0.13,2.78 ± 0.10,3.41 ± 0.12,2.35 ± 0.13,2.28 ± 0.11,2.79 ± 0.11,"2.91 ± 0.11,3.51 ± 0.12"
Specificity control (WD),Specificity-controlled WD -10,2.76 ± 0.11,2.41 ± 0.12,3.19 ± 0.12,2.15 ± 0.11,2.28 ± 0.13,2.35 ± 0.12,"2.89 ± 0.11,3.28 ± 0.12"
,Specificity-controlled WD -4,2.83 ± 0.10,2.76 ± 0.12,3.37 ± 0.10,2.36 ± 0.11,2.46 ± 0.11,2.62 ± 0.12,"3.14 ± 0.09,3.52 ± 0.11"
,Specificity-controlled WD 4,2.84 ± 0.10,2.96 ± 0.12,3.45 ± 0.13,2.44 ± 0.12,2.56 ± 0.09,2.94 ± 0.11,"3.20 ± 0.10,3.54 ± 0.11"
,Specificity-controlled WD 6,2.81 ± 0.09,2.91 ± 0.10,3.34 ± 0.09,2.31 ± 0.11,2.53 ± 0.12,2.93 ± 0.12,"3.09 ± 0.10,3.41 ± 0.12"
,Specificity-controlled WD 8,2.70 ± 0.11,2.39 ± 0.12,2.54 ± 0.12,1.80 ± 0.13,2.00 ± 0.10,2.49 ± 0.12,"2.47 ± 0.10,2.87 ± 0.11"
Response-related control (WD),Response-related controlled WD -10,2.77 ± 0.12,2.45 ± 0.12,3.26 ± 0.11,1.96 ± 0.10,2.31 ± 0.12,2.47 ± 0.12,"2.73 ± 0.11,3.12 ± 0.12"
,Response-related controlled WD 0,2.87 ± 0.12,2.97 ± 0.11,3.55 ± 0.09,2.62 ± 0.11,2.48 ± 0.10,2.88 ± 0.12,"3.21 ± 0.09,3.70 ± 0.10"
,Response-related controlled WD 5,2.79 ± 0.10,2.83 ± 0.09,3.35 ± 0.12,2.40 ± 0.12,2.51 ± 0.13,2.80 ± 0.13,"3.13 ± 0.12,3.41 ± 0.12"
,Response-related controlled WD 10,2.74 ± 0.11,2.42 ± 0.12,2.93 ± 0.11,1.95 ± 0.12,2.20 ± 0.12,2.56 ± 0.12,"2.90 ± 0.12,3.12 ± 0.10"
,Response-related controlled WD 13,2.63 ± 0.12,2.06 ± 0.11,2.40 ± 0.09,1.74 ± 0.11,2.07 ± 0.11,2.25 ± 0.12,"2.49 ± 0.14,2.63 ± 0.10"
