Country,Country,Majority ofVotes Cast,Majority of All Members,Majority of All Members,Majority of All Members,Majority of All Members,Supermajority Requirements,Citation,,,,
,,,imposing,,,,,"Two-thirds majority of all members Constitution of Republic of required to change number of Cyprus arts. 45(2), 62(1),deputies in House of 67(1), 78(1)-(2), 182(3),Representatives and to pass other https:/ /perma.cc/UQ6F- constitutional amendments. Y6AK.(Technically, two-thirds of deputieselected by Greek and Turkishcommunities, respectively,are required for both types oflegislation, however, Turkishdeputies are not elected since 1963events, so this requirement is notobserved.) Three-quarters of allmembers required to indict president or vice-president ofRepublic of Cyprus for treason.",,,,
,,,taxes require,,,,,"Two-thirds majority of all members Constitution of Republic of required to change number of Cyprus arts. 45(2), 62(1),deputies in House of 67(1), 78(1)-(2), 182(3),Representatives and to pass other https:/ /perma.cc/UQ6F- constitutional amendments. Y6AK.(Technically, two-thirds of deputieselected by Greek and Turkishcommunities, respectively,are required for both types oflegislation, however, Turkishdeputies are not elected since 1963events, so this requirement is notobserved.) Three-quarters of allmembers required to indict president or vice-president ofRepublic of Cyprus for treason.",,,,
,,simple,,,,,"Two-thirds majority of all members Constitution of Republic of required to change number of Cyprus arts. 45(2), 62(1),deputies in House of 67(1), 78(1)-(2), 182(3),Representatives and to pass other https:/ /perma.cc/UQ6F- constitutional amendments. Y6AK.(Technically, two-thirds of deputieselected by Greek and Turkishcommunities, respectively,are required for both types oflegislation, however, Turkishdeputies are not elected since 1963events, so this requirement is notobserved.) Three-quarters of allmembers required to indict president or vice-president ofRepublic of Cyprus for treason.","Two-thirds majority of all members Constitution of Republic of required to change number of Cyprus arts. 45(2), 62(1),deputies in House of 67(1), 78(1)-(2), 182(3),Representatives and to pass other https:/ /perma.cc/UQ6F- constitutional amendments. Y6AK.(Technically, two-thirds of deputieselected by Greek and Turkishcommunities, respectively,are required for both types oflegislation, however, Turkishdeputies are not elected since 1963events, so this requirement is notobserved.) Three-quarters of allmembers required to indict president or vice-president ofRepublic of Cyprus for treason.",,,,
,,majority of,,,,,"Two-thirds majority of all members Constitution of Republic of required to change number of Cyprus arts. 45(2), 62(1),deputies in House of 67(1), 78(1)-(2), 182(3),Representatives and to pass other https:/ /perma.cc/UQ6F- constitutional amendments. Y6AK.(Technically, two-thirds of deputieselected by Greek and Turkishcommunities, respectively,are required for both types oflegislation, however, Turkishdeputies are not elected since 1963events, so this requirement is notobserved.) Three-quarters of allmembers required to indict president or vice-president ofRepublic of Cyprus for treason.","Two-thirds majority of all members Constitution of Republic of required to change number of Cyprus arts. 45(2), 62(1),deputies in House of 67(1), 78(1)-(2), 182(3),Representatives and to pass other https:/ /perma.cc/UQ6F- constitutional amendments. Y6AK.(Technically, two-thirds of deputieselected by Greek and Turkishcommunities, respectively,are required for both types oflegislation, however, Turkishdeputies are not elected since 1963events, so this requirement is notobserved.) Three-quarters of allmembers required to indict president or vice-president ofRepublic of Cyprus for treason.",,,,
,,deputies,,,,,"Two-thirds majority of all members Constitution of Republic of required to change number of Cyprus arts. 45(2), 62(1),deputies in House of 67(1), 78(1)-(2), 182(3),Representatives and to pass other https:/ /perma.cc/UQ6F- constitutional amendments. Y6AK.(Technically, two-thirds of deputieselected by Greek and Turkishcommunities, respectively,are required for both types oflegislation, however, Turkishdeputies are not elected since 1963events, so this requirement is notobserved.) Three-quarters of allmembers required to indict president or vice-president ofRepublic of Cyprus for treason.","Two-thirds majority of all members Constitution of Republic of required to change number of Cyprus arts. 45(2), 62(1),deputies in House of 67(1), 78(1)-(2), 182(3),Representatives and to pass other https:/ /perma.cc/UQ6F- constitutional amendments. Y6AK.(Technically, two-thirds of deputieselected by Greek and Turkishcommunities, respectively,are required for both types oflegislation, however, Turkishdeputies are not elected since 1963events, so this requirement is notobserved.) Three-quarters of allmembers required to indict president or vice-president ofRepublic of Cyprus for treason.",,,,
,,elected by,,,,,"Two-thirds majority of all members Constitution of Republic of required to change number of Cyprus arts. 45(2), 62(1),deputies in House of 67(1), 78(1)-(2), 182(3),Representatives and to pass other https:/ /perma.cc/UQ6F- constitutional amendments. Y6AK.(Technically, two-thirds of deputieselected by Greek and Turkishcommunities, respectively,are required for both types oflegislation, however, Turkishdeputies are not elected since 1963events, so this requirement is notobserved.) Three-quarters of allmembers required to indict president or vice-president ofRepublic of Cyprus for treason.","Two-thirds majority of all members Constitution of Republic of required to change number of Cyprus arts. 45(2), 62(1),deputies in House of 67(1), 78(1)-(2), 182(3),Representatives and to pass other https:/ /perma.cc/UQ6F- constitutional amendments. Y6AK.(Technically, two-thirds of deputieselected by Greek and Turkishcommunities, respectively,are required for both types oflegislation, however, Turkishdeputies are not elected since 1963events, so this requirement is notobserved.) Three-quarters of allmembers required to indict president or vice-president ofRepublic of Cyprus for treason.",,,,
,,Greek and,,,,,"Two-thirds majority of all members Constitution of Republic of required to change number of Cyprus arts. 45(2), 62(1),deputies in House of 67(1), 78(1)-(2), 182(3),Representatives and to pass other https:/ /perma.cc/UQ6F- constitutional amendments. Y6AK.(Technically, two-thirds of deputieselected by Greek and Turkishcommunities, respectively,are required for both types oflegislation, however, Turkishdeputies are not elected since 1963events, so this requirement is notobserved.) Three-quarters of allmembers required to indict president or vice-president ofRepublic of Cyprus for treason.","Two-thirds majority of all members Constitution of Republic of required to change number of Cyprus arts. 45(2), 62(1),deputies in House of 67(1), 78(1)-(2), 182(3),Representatives and to pass other https:/ /perma.cc/UQ6F- constitutional amendments. Y6AK.(Technically, two-thirds of deputieselected by Greek and Turkishcommunities, respectively,are required for both types oflegislation, however, Turkishdeputies are not elected since 1963events, so this requirement is notobserved.) Three-quarters of allmembers required to indict president or vice-president ofRepublic of Cyprus for treason.",,,,
,,Turkish,,,,,"Two-thirds majority of all members Constitution of Republic of required to change number of Cyprus arts. 45(2), 62(1),deputies in House of 67(1), 78(1)-(2), 182(3),Representatives and to pass other https:/ /perma.cc/UQ6F- constitutional amendments. Y6AK.(Technically, two-thirds of deputieselected by Greek and Turkishcommunities, respectively,are required for both types oflegislation, however, Turkishdeputies are not elected since 1963events, so this requirement is notobserved.) Three-quarters of allmembers required to indict president or vice-president ofRepublic of Cyprus for treason.","Two-thirds majority of all members Constitution of Republic of required to change number of Cyprus arts. 45(2), 62(1),deputies in House of 67(1), 78(1)-(2), 182(3),Representatives and to pass other https:/ /perma.cc/UQ6F- constitutional amendments. Y6AK.(Technically, two-thirds of deputieselected by Greek and Turkishcommunities, respectively,are required for both types oflegislation, however, Turkishdeputies are not elected since 1963events, so this requirement is notobserved.) Three-quarters of allmembers required to indict president or vice-president ofRepublic of Cyprus for treason.",,,,
,,"communities,",,,,,"Two-thirds majority of all members Constitution of Republic of required to change number of Cyprus arts. 45(2), 62(1),deputies in House of 67(1), 78(1)-(2), 182(3),Representatives and to pass other https:/ /perma.cc/UQ6F- constitutional amendments. Y6AK.(Technically, two-thirds of deputieselected by Greek and Turkishcommunities, respectively,are required for both types oflegislation, however, Turkishdeputies are not elected since 1963events, so this requirement is notobserved.) Three-quarters of allmembers required to indict president or vice-president ofRepublic of Cyprus for treason.","Two-thirds majority of all members Constitution of Republic of required to change number of Cyprus arts. 45(2), 62(1),deputies in House of 67(1), 78(1)-(2), 182(3),Representatives and to pass other https:/ /perma.cc/UQ6F- constitutional amendments. Y6AK.(Technically, two-thirds of deputieselected by Greek and Turkishcommunities, respectively,are required for both types oflegislation, however, Turkishdeputies are not elected since 1963events, so this requirement is notobserved.) Three-quarters of allmembers required to indict president or vice-president ofRepublic of Cyprus for treason.",,,,
,,"respectively,who participatedin vote,however,Turkishdeputies arenot electedsince 1963events, so this requirement",,,,,"Two-thirds majority of all members Constitution of Republic of required to change number of Cyprus arts. 45(2), 62(1),deputies in House of 67(1), 78(1)-(2), 182(3),Representatives and to pass other https:/ /perma.cc/UQ6F- constitutional amendments. Y6AK.(Technically, two-thirds of deputieselected by Greek and Turkishcommunities, respectively,are required for both types oflegislation, however, Turkishdeputies are not elected since 1963events, so this requirement is notobserved.) Three-quarters of allmembers required to indict president or vice-president ofRepublic of Cyprus for treason.","Two-thirds majority of all members Constitution of Republic of required to change number of Cyprus arts. 45(2), 62(1),deputies in House of 67(1), 78(1)-(2), 182(3),Representatives and to pass other https:/ /perma.cc/UQ6F- constitutional amendments. Y6AK.(Technically, two-thirds of deputieselected by Greek and Turkishcommunities, respectively,are required for both types oflegislation, however, Turkishdeputies are not elected since 1963events, so this requirement is notobserved.) Three-quarters of allmembers required to indict president or vice-president ofRepublic of Cyprus for treason.",,,,
