Country,Majority ofVotes Cast,Majority of All Members,Supermajority Requirements,Citation
Sri Lanka,Yes,,"Under Sri Lanka's Constitution, constitutional amendment bills become law “if the number of votescast in favour thereof amounts to not less than two-thirds of thewhole number of Members (including those not present)."" If Supreme Court finds bill or any provision within it inconsistentwith Constitution, article 84 allows"" special majority"" procedure oftwo-thirds vote of whole number of members to pass bills that are inconsistent with Constitution.","Constitution of Democratic Socialist Republic of SriLanka arts. 72(1), 82(5), 84(2),121, 123, https:/ / perma.cc/3AA5-H2B3."
Sri Lanka,Yes,,"Under Sri Lanka's Constitution, constitutional amendment bills become law “if the number of votescast in favour thereof amounts to not less than two-thirds of thewhole number of Members (including those not present)."" If Supreme Court finds bill or any provision within it inconsistentwith Constitution, article 84 allows"" special majority"" procedure oftwo-thirds vote of whole number of members to pass bills that are inconsistent with Constitution.","Constitution of Democratic Socialist Republic of SriLanka arts. 72(1), 82(5), 84(2),121, 123, https:/ / perma.cc/3AA5-H2B3."
Suriname,Yes,No,Two-thirds majority of votes cast required for constitutionalamendments; amendments tocertain provisions of the ElectoralAct; and bills related to the organization of the People'sAssembly or to holding ofplebiscite.,"Constitution of the Republic of Suriname art. 60; art. 71,para. 2; art. 83, paras. 2, 3;art. 181, para. 2, https:/ /perma.cc/WV6P-4WQN (original),https:/ /perma.cc/94FQ-D8ZC (English translation)."
Sweden,Yes,No,Constitutional amendments require two votes adopted by a five-sixths majority with a nationalelection to Parliament in between.,"Instrument of Government, 3kap. 2 $, 8 kap 14 S,https:/ / perma.cc/K7NN-462R; Riksdag Act, 6 kap. 3 & 4 Ss,https:/ / perma.cc/K7M5- 2M3J (in Swedish), https:/ / perma.cc/W3RB-"
,,,,2X5Y (unofficial English translation).
Switzerland,"Yes,in bothchambers. Inaddition,certain laws are subject to a referendumof the Swiss people andthe Swisscantons(states), which require a majority vote.","Yes, for provisions on subsidies, guarantee credits, or spending ceilings that involve new expenditures over certain amounts, andfor increases in overallexpenditures.",None,"Federal Constitution of theSwiss Confederation art. 142;art. 159, paras. 2, 3,https://perma.cc/78V2-HZVR (original),https://perma.cc/C3U8-BBEF (English translation)."
Taiwan,Yes,No,"Three-fourths majority of members present at meeting attended bythree-fourths of total members ofLegislative Yuan required to passconstitutional amendments or alteration of Republic of China'sterritory, followed by referendum.","Law Governing LegislativeYuan's Power art. 6,https:/ / perma.cc/4C65- 82HA; Additional Articles ofConstitution of Republic ofChina arts. 4, 12, https:/ / perma.cc/WJ5B-F7TB (in Chinese), https:/ /perma.cc/V8SN- AFKP (English translation)."
Timor Leste,Yes,Yes for overriding a presidential veto of regularbills.,Two-thirds majority of members present required to override apresidential veto of bills on certainmatters; two-thirds majority of all members required to approve areferendum and constitutional reviews and amendments.,"Constitution of theDemocratic Republic of EastTimor arts. 66(2),88(2), 95,155(1),"
,,,,https://perma.cc/7SC8-F7CM.
Trinidad and Tobago,Yes,No,"Two-thirds majority of al members of each house required for certain constitutional amendments, and for extension of state of emergency; three-fourths majority of all members of the House and two- thirds of the Senate required to amend certain constitutional provisions, including those on the electoral system.","Constitution of the Republic of Trinidad and Tobago Ss 10,36, 54, 59, https:/ / perma.cc/GN8L-7B7G."
Tunisia,Yes,Yes for passing organiclaws.,None,"Constitution of the TunisianRepublic art. 64,https:/ /perma.cc/A5YX-UHG3."
United Kingdom,Yes,No,None,"Erskine May, ParliamentaryPractice: Putting of Question atClose of Debate, 20.60, https:/ /perma.cc/JJE5-8BFM."
Uruguay,Yes,"Yes, for laws on participation of the State in commercial or industrialactivities, the Central Bank, public higher education institutions, expropriation,taxation referenda, the civilservice, voting public debt, war, international treaties,prohibitions for Members ofCongress, the commercial","Two-thirds majority of membersrequired for laws on elections, political parties, creation of publicentities,and constitutional reform.Three-fifths majority required forlaws allowing private capital in government-owned companies, tooverride a presidential veto,and appointment of board members of public companies.","Regulations of the House ofRepresentatives art. 92,https:/ / perma.cc/9TMD-9BV5; Constitution of theOriental Republic of Uruguayarts. 60, 77.2, 77.7, 77.12, 79,85.6, 85.7, 87,126, 138, 174,185,187,188, 189, 192, 196,199,203,231,271,298,301,304, 331.d,"
