Derivative liabilities (4),"1,443","1,443","1,443",254,254,944,944,,"(1,282)",(202),"125 2,304213","125 2,304213","125 2,304213","125 2,304213",,,,,,,
Derivative liabilities (4),"1,443","1,443","1,443",254,254,944,944,"1,697","(1,282)",(202),"125 2,304213","125 2,304213","125 2,304213","125 2,304213",,,,,,,
Long-term debt (5),"50,263","50,263","50,263",125,125,4,4,"50,392",,,"(4,890)","(4,890)","45,502","45,502",,,,,,,
Long-term obligations to equity companies (6),,,,,,"3,530","3,530","3,530",,,(277),(277),"3,253","3,253",,,,,,,
Other long-term financial liabilities （7),,,,,,964,964,964,,44,44,44,44,44,,,,,,,
Other long-term financial liabilities （7),,,,,,,,"At December 31,2019","At December 31,2019",44,44,44,,,,,,,,,
,,,,Fair Value,Fair Value,Fair Value,Fair Value,(million,(millions of dollars),,,,,,,,,,,,
,,,,,Fair Value,Fair Value,Fair Value,,,,Total Gross,Effect of,Effect of,Differencein Carrying,Differencein Carrying,Net,Net,,,,
,,,Level 1,Level 1,Level 1,Level 2,Level 2,,,,Total Gross,Effect of,Effect of,Differencein Carrying,Differencein Carrying,Net,Net,,ng,,
,Level3,Level3,Level 1,Level 1,Level 1,Level 2,Level 2,Assets&Liabilities,Counterparty,CollateralNetting,Value andFair Value,Value andFair Value,CarryingValue,CarryingValue,,,,,,,
,Level3,Level3,Level 1,Level 1,Level 1,Level 2,Level 2,Assets&Liabilities,Netting,CollateralNetting,Value andFair Value,Value andFair Value,CarryingValue,CarryingValue,,,,,,,
Assets,,,,,,,,,,,,,,,,,,,,,
Derivative assets (l)Advances to/receivables from equity,533,533,533,102,102,,,635,(463),(70),,,102,102,,,,,,,
Advances to/receivables from equitycompanies (2)(6),1,1,1,"1,941","1,941","6,729","6,729","8,670",,,(128),(128),"8,542","8,542",,,,,,,
Other long-term financial assets (3)Liabilities,"1,145568","1,145568","1,145568",97470,97470,97470,97470,"2,119",,,44,44,"2,163","2,163",,,,,,,
Other long-term financial assets (3)Liabilities,"1,145568","1,145568","1,145568",97470,97470,97470,97470,,,,,,,,,,,,,,
Other long-term financial assets (3)Liabilities,"1,145568","1,145568","1,145568",97470,97470,97470,97470,,,,,,,,,,,,,,
Derivative liabilities (4),"1,145568","1,145568","1,145568",97470,97470,97470,97470,,,638,(463),(105),,,70,70,,,,,
Long-term debt (5),"25,652","25,652","25,652",134,134,3,3,"25,789",,,"(1,117)","(1,117)","24,672","24,672",,,,,,,
Long-term obligations to equity companies (6),,,,,,"4,245","4,245","4,245",,,(257),(257),"3,988","3,988",,,,,,,
Other long-term financial liabilities (7),,,,"1,042","1,042","1,042","1,042","1,042",,16,16,16,"1,058","1,058",,,,,,,
