,AF17 Actions to identifyand mitigate businesspractices that affect codecompliance,AF17 Actions to identifyand mitigate businesspractices that affect codecompliance,AF17 Actions to identifyand mitigate businesspractices that affect codecompliance,AF17 Actions to identifyand mitigate businesspractices that affect codecompliance,"336,342-344, 512",,,,,,,,,,,
GRI Standard,Disclosure,Disclosure,Disclosure,Disclosure,"Page number(s), URL and/or direct answer",Omissions,Omissions,Omissions,Omissions,Omissions,External Assurance,External Assurance,Global Compact principle,,,
OTHER DISCLOSURES: EMPLOYMENT AF24 Policy on the use,OTHER DISCLOSURES: EMPLOYMENT AF24 Policy on the use,"194-195,261,330,367- 369","194-195,261,330,367- 369",,,,,,,,,,,,,
,"and selection of labour brokers,including adherence to relevant ILO Conventions","and selection of labour brokers,including adherence to relevant ILO Conventions","and selection of labour brokers,including adherence to relevant ILO Conventions","and selection of labour brokers,including adherence to relevant ILO Conventions",Inditex analyses and controls compliance with its Sustainability Strategy by its suppliers by means of a specific Code of Conduct for Manufacturers and Suppliers compliance programme.,,,,,,,,,,,
VALUE CREATION,VALUE CREATION,,,,,,,,,,,,,,,
,GRI 103: MANAGEMENT APPROACH 2016 103-1 Explanation of the material topic and its,GRI 103: MANAGEMENT APPROACH 2016 103-1 Explanation of the material topic and its,GRI 103: MANAGEMENT APPROACH 2016 103-1 Explanation of the material topic and its,GRI 103: MANAGEMENT APPROACH 2016 103-1 Explanation of the material topic and its,"225-227,536-539",,,,,,,,,,,
,Boundary 103-2 The management approach and its components,Boundary 103-2 The management approach and its components,Boundary 103-2 The management approach and its components,Boundary 103-2 The management approach and its components,"190,229-234,399-402, 419-426",,,,,,,,,,,
GRI 201: ECONOMIC PERFORMANCE 2016,103-3 Evaluation of the management approach,103-3 Evaluation of the management approach,103-3 Evaluation of the management approach,103-3 Evaluation of the management approach,"147-152,229-234,399- 402,419-426 522-524,419-426",,,,,,,,,,,
,201-1 Direct economic value generated and distributed,201-1 Direct economic value generated and distributed,201-1 Direct economic value generated and distributed,201-1 Direct economic value generated and distributed,"In the 2021 financial year, the direct economic value generated by the Inditex Group was: 27,716 million euros (composed of the Group's income); The economic value distributed was made up,among others,of personnel expenses (4,179 million euros),taxes on profits (734 million euros)， dividends paid to shareholders (2,180 million euros) and the investment in the community (63.5 million euros) the economic value retained would be the difference between that generated and that",,,,,,,,,,,
,201-2 Financial implications and other risks and opportunities due to climate change,201-2 Financial implications and other risks and opportunities due to climate change,201-2 Financial implications and other risks and opportunities due to climate change,201-2 Financial implications and other risks and opportunities due to climate change,"distributed. 181-182,190,479-480, 489-492 The Risk Management and Control Policy sets down the basic principles,key risk factors and general management and control framework for the risks to",,,,,,,,,,,
GRI Standard,Disclosure,Disclosure,Disclosure,Disclosure,"Page number(s), URL and/or direct answer",Omissions,Omissions,Omissions,Omissions,Omissions,ExternalAssurance,ExternalAssurance,Global Compactprinciple,,,
,,,,,which the Group is exposed.That policy applies to the,,,,,,,,,,,
,,,,,which the Group is exposed.That policy applies to the,,,,,,,,,,,
,,,,,entire Group and is the basis,,,,,,,,,,,
,,,,,of the enterprise risk,,,,,,,,,,,
,,,,,,management system.,management system.,management system.,management system.,management system.,management system.,,,,,
,,,,,Framed by that Risk,,,,,,,,,,,
,,,,,,,Management and Control,,,,,,,,,
,,,,,"Policy,the various businessunits act as the first line ofdefence in the managementand control of the variousrisks to which the Group isexposed,including thoserelated with climate.Climate conditions influencethe availabilityand price ofthe raw materials used inthe Group's productiveprocesses,among otherfactors.Furthermore, pronounced changes inclimate cycles can affectdemand patterns.",,,,,,,,,,,
,201-3 Defined benefitplan obligations and otherretirement plans,201-3 Defined benefitplan obligations and otherretirement plans,201-3 Defined benefitplan obligations and otherretirement plans,201-3 Defined benefitplan obligations and otherretirement plans,"186,448-449",,,,,,,,,,,
,201-4 Financialassistance received fromgovernment,201-4 Financialassistance received fromgovernment,201-4 Financialassistance received fromgovernment,201-4 Financialassistance received fromgovernment,"251,422",,,,,,,√Pg.143-145,√Pg.143-145,,,
GRI 203: INDIRECT ECONOMIC IMPACTS 2016,GRI 203: INDIRECT ECONOMIC IMPACTS 2016,GRI 203: INDIRECT ECONOMIC IMPACTS 2016,GRI 203: INDIRECT ECONOMIC IMPACTS 2016,GRI 203: INDIRECT ECONOMIC IMPACTS 2016,GRI 203: INDIRECT ECONOMIC IMPACTS 2016,GRI 203: INDIRECT ECONOMIC IMPACTS 2016,GRI 203: INDIRECT ECONOMIC IMPACTS 2016,GRI 203: INDIRECT ECONOMIC IMPACTS 2016,GRI 203: INDIRECT ECONOMIC IMPACTS 2016,GRI 203: INDIRECT ECONOMIC IMPACTS 2016,GRI 203: INDIRECT ECONOMIC IMPACTS 2016,GRI 203: INDIRECT ECONOMIC IMPACTS 2016,GRI 203: INDIRECT ECONOMIC IMPACTS 2016,,,
,203-1 Infrastructureinvestments and servicessupported,203-1 Infrastructureinvestments and servicessupported,203-1 Infrastructureinvestments and servicessupported,203-1 Infrastructureinvestments and servicessupported,"159-160,522-524",,,,,,,,,,,
,203-2 Significant indirecteconomic impacts,203-2 Significant indirecteconomic impacts,203-2 Significant indirecteconomic impacts,203-2 Significant indirecteconomic impacts,412-418,,,,,,,,,,,
GRI 207: TAX 2019,GRI 207: TAX 2019,GRI 207: TAX 2019,GRI 207: TAX 2019,GRI 207: TAX 2019,GRI 207: TAX 2019,GRI 207: TAX 2019,GRI 207: TAX 2019,GRI 207: TAX 2019,GRI 207: TAX 2019,GRI 207: TAX 2019,GRI 207: TAX 2019,GRI 207: TAX 2019,GRI 207: TAX 2019,,,
,207-1 Approach to tax,207-1 Approach to tax,207-1 Approach to tax,207-1 Approach to tax,"419-427The information regarding the Group's Tax Strategyand Tax Policy is availableat the corporate web pageof Inditex, How we dobusiness section, Ourcommitment to people -Our Tax Contributionheading.",,,,,,,,,,,
