SDGS,Targets,COLLABORATING TO HAVEA POSITIVE IMPACT,Main indicator or related content(2016 GRI version if not stated otherwise)
12 AND PRODUCNON8,12.8,"Collaborating with our customers,the force drivingtransformation",Number of enquiries received by the variouscustomer service channels
13 UINNE0,13.1,Collaborating so our suppliers grow,GRI308-1
13 UINNE0,13.1,Collaborating to safeguard the planet,GRI 305-5; GRI302-1
13 UINNE0,13.1,Collaborating to generate value in the community,GRI 203-2
13 UINNE0,13.1,Responsible risk management,GRI201-2
14 EONA,14.1,Collaborating to transform through sustainablemanagement of our products,Actions within the framework of thecommitment to Zero Discharge ofHazardous Chemicals by 2020
14 EONA,14.3,Collaborating to safeguard the planet,GRI305-1
14 EONA,14.3,Collaborating to generate value in the community,GRI203-2
15 NLAVD,15.1,Collaborating to transform through sustainablemanagement of our products,Projects with recycled raw materials withless impacts
15 NLAVD,15.1,Collaborating to safeguard the planet,GRI304-2
15 NLAVD,15.2,Collaborating to generate value in the community,GRI203-2
16 FAESTEINSTITUMIONS兴山,16.3,Collaborating to generate value in the community,GRI203-2
16 FAESTEINSTITUMIONS兴山,16.3,"Good governance,corporate ethics culture andsolid compliance architecture",Grievance mechanisms
16 FAESTEINSTITUMIONS兴山,16.5,"Good governance, corporate ethics culture andsolid compliance architecture",GRI 205-1
16 FAESTEINSTITUMIONS兴山,16.7,"Collaborating with our shareholders,allies intransformation",Requests attended by the shareholder'soffice
16 FAESTEINSTITUMIONS兴山,16.7,"Good governance, corporate ethics culture andsolid compliance architecture",GRI 102-24
17PARTESES田,17.3,Collaborating to generate value in the community,GRI 203-2
17PARTESES田,17.16,"Collaborating with our people,the engine of thattransformation",Cooperation relationship with internationalentities
17PARTESES田,17.16,Collaborating to transform through sustainablemanagement of our products,Cooperation relationship with internationalentities
17PARTESES田,17.16,Collaborating so our suppliers grow,Cooperation relationship with internationalentities
17PARTESES田,17.16,Collaborating to safeguard the planet,Cooperation relationship with internationalentities
17PARTESES田,17.16,Collaborating to generate value in the community,GRI 203-2
17PARTESES田,17.16,"Good governance,corporate ethics culture andsolid compliance architecture",Cooperation relationship with internationalentities
17PARTESES田,17.17,Collaborating so our suppliers grow,Public-private partnerships
17PARTESES田,17.17,Collaborating to generate value in the community,GRI 203-2
