"Entity, S.A.",Location,Full Consol.,31-jan,2020,Format
Zara Commercial (Shanghai),Co Ltd. 100.00%    Shanghai - China 31-dec              Zara              Retail sales,,,,
Zara Commercial (Beijing),Co Ltd. 100.00%    Beijing - China 31-dec              Zara              Retail sales,,,,
Zara Macau,Ltd.            100.00%      Macao SAR          31-dec              Zara              Retail sales,,,,
Zara Polska,Sp. Z.o.o.     100.00%      Warsaw - Poland   31-dec              Zara              Retail sales,,,,
"JSC ""Zara CIS""              100.00%      Moscow - Russia   31-dec              Zara              Retail sales",,,,,
Zara Deutschland,GmbH      100.00%      Hamburg - Germany 31-jan              Zara              Holding company,,,,
INDITEX ROMANIA,S.R.L.     100.00%      Bucharest - Romania 31-dec              Multi-concept      Retail sales,,,,
INDITEX UKRAINE LLC         100.00%      Kiev - Ukraine    31-dec              Multi-concept      Retail sales,,,,,
INDITEX SLOVAKIA,S.R.O.    100.00%      Bratislava - Slovakia 31-dec              Multi-concept      Retail sales,,,,
ITX Taiwan B.V. Zara Taiwan Branch 100.00%    Taipei - Taiwan 31-jan              Zara              Retail sales,,,,,
ITX Croatia,Ltd.           100.00%      Zagreb - Croatia 31-jan              Multi-concept      Retail sales,,,,
Zara Retail Korea,Co Ltd.   80.00%       Seoul - South Korea 31-jan              Zara              Retail sales,,,,
Zara Bulgaria Ltd           100.00%      Sofia - Bulgaria 31-dec              Zara              Retail sales,,,,,
Zara Diseño,S.L.           100.00%      A Coruña - Spain 31-jan              Zara              Design,,,,
Zara Management,B.V.       100.00%      Amsterdam - Netherlands 31-jan              Zara              Holding company,,,,
Zara Retail NZ Limited       100.00%      Auckland - New Zealand 31-jan              Zara              Retail sales,,,,,
