305-1 Direct (Scope 1)GHG emissions,305-1 Direct (Scope 1)GHG emissions,305-1 Direct (Scope 1)GHG emissions,305-1 Direct (Scope 1)GHG emissions,305-1 Direct (Scope 1)GHG emissions,"380-381,518-521","380-381,518-521",,√Pg.143-145,Principles 7and8,,,
305-6 Emissions ofozone-depletingsubstances (ODS),305-6 Emissions ofozone-depletingsubstances (ODS),305-6 Emissions ofozone-depletingsubstances (ODS),305-6 Emissions ofozone-depletingsubstances (ODS),305-6 Emissions ofozone-depletingsubstances (ODS),the Group has unlocked,the Group has unlocked,,,,,,
305-6 Emissions ofozone-depletingsubstances (ODS),305-6 Emissions ofozone-depletingsubstances (ODS),305-6 Emissions ofozone-depletingsubstances (ODS),305-6 Emissions ofozone-depletingsubstances (ODS),305-6 Emissions ofozone-depletingsubstances (ODS),"significant savings inelectricity,particularly in its HVAC systems,as the","significant savings inelectricity,particularly in its HVAC systems,as the",,,,,,
305-6 Emissions ofozone-depletingsubstances (ODS),305-6 Emissions ofozone-depletingsubstances (ODS),305-6 Emissions ofozone-depletingsubstances (ODS),305-6 Emissions ofozone-depletingsubstances (ODS),305-6 Emissions ofozone-depletingsubstances (ODS),ecoefficient devices,ecoefficient devices,,,,,,
305-6 Emissions ofozone-depletingsubstances (ODS),305-6 Emissions ofozone-depletingsubstances (ODS),305-6 Emissions ofozone-depletingsubstances (ODS),305-6 Emissions ofozone-depletingsubstances (ODS),305-6 Emissions ofozone-depletingsubstances (ODS),installed deliver energy,installed deliver energy,,,,,,
305-6 Emissions ofozone-depletingsubstances (ODS),305-6 Emissions ofozone-depletingsubstances (ODS),305-6 Emissions ofozone-depletingsubstances (ODS),305-6 Emissions ofozone-depletingsubstances (ODS),305-6 Emissions ofozone-depletingsubstances (ODS),performance and efficiency,performance and efficiency,,,,,,
305-6 Emissions ofozone-depletingsubstances (ODS),305-6 Emissions ofozone-depletingsubstances (ODS),305-6 Emissions ofozone-depletingsubstances (ODS),305-6 Emissions ofozone-depletingsubstances (ODS),305-6 Emissions ofozone-depletingsubstances (ODS),,,,,,,,
305-6 Emissions ofozone-depletingsubstances (ODS),305-6 Emissions ofozone-depletingsubstances (ODS),305-6 Emissions ofozone-depletingsubstances (ODS),305-6 Emissions ofozone-depletingsubstances (ODS),305-6 Emissions ofozone-depletingsubstances (ODS),,,,,,,,
305-6 Emissions ofozone-depletingsubstances (ODS),305-6 Emissions ofozone-depletingsubstances (ODS),305-6 Emissions ofozone-depletingsubstances (ODS),305-6 Emissions ofozone-depletingsubstances (ODS),305-6 Emissions ofozone-depletingsubstances (ODS),,,,,,,improvements of at least,improvements of at least
305-6 Emissions ofozone-depletingsubstances (ODS),305-6 Emissions ofozone-depletingsubstances (ODS),305-6 Emissions ofozone-depletingsubstances (ODS),305-6 Emissions ofozone-depletingsubstances (ODS),305-6 Emissions ofozone-depletingsubstances (ODS),,20% compared to,20% compared to,,,,,
305-6 Emissions ofozone-depletingsubstances (ODS),305-6 Emissions ofozone-depletingsubstances (ODS),305-6 Emissions ofozone-depletingsubstances (ODS),305-6 Emissions ofozone-depletingsubstances (ODS),305-6 Emissions ofozone-depletingsubstances (ODS),"conventional equipment.Those specific energyefficiency initiatives,","conventional equipment.Those specific energyefficiency initiatives,",,,,,,
305-6 Emissions ofozone-depletingsubstances (ODS),305-6 Emissions ofozone-depletingsubstances (ODS),305-6 Emissions ofozone-depletingsubstances (ODS),305-6 Emissions ofozone-depletingsubstances (ODS),305-6 Emissions ofozone-depletingsubstances (ODS),"coupled with materialisationof our strategic commitmentto renewable energy, have","coupled with materialisationof our strategic commitmentto renewable energy, have",,,,coupled with materialisation,,
305-6 Emissions ofozone-depletingsubstances (ODS),305-6 Emissions ofozone-depletingsubstances (ODS),305-6 Emissions ofozone-depletingsubstances (ODS),305-6 Emissions ofozone-depletingsubstances (ODS),305-6 Emissions ofozone-depletingsubstances (ODS),driven a reduction in theGHG emissions associatedwith our business activities.,driven a reduction in theGHG emissions associatedwith our business activities.,,,,,,
