Index of the contents required by ACT11/2018120,Index of the contents required by ACT11/2018120,Index of the contents required by ACT11/2018120,Index of the contents required by ACT11/2018120
FIGHTAGAINSTCORRUPTIONAND BRIBERY,FIGHTAGAINSTCORRUPTIONAND BRIBERY,FIGHTAGAINSTCORRUPTIONAND BRIBERY,FIGHTAGAINSTCORRUPTIONAND BRIBERY
"Management approach:description and results of policies relating to these issues,as well as the main risks relatedto these issues related to the group's activities",Material,428-447,GRI 102-15GRI103-2
Measures adopted to preventcorruption and bribery,Material,430-447,GRI 103-2GRI 102-16GRI 102-17GRI 205-1 to 205-3
Measures to combat moneylaundering,Material,430-447,GRI 103-2GRI 102-16GRI 102-17GRI 205-1 to 205-3
Contributions to foundationsand non-profit entities,Material,"212-222,401-405,562",GRI 102-13GRI 201-1 withregard tocommunityinvestmentGRI 415-1
INFORMATION ON THE COMPANY,INFORMATION ON THE COMPANY,INFORMATION ON THE COMPANY,INFORMATION ON THE COMPANY
"Management approach:description and results ofpolicies relating to these issues,as well as the main risks relatedto these issues related to thegroup's activities",Material,"174-178,185-187,213-222,277-280,331-340,375-376,398-426",GRI 102-15GRI 103-2
Company commitments to sustainable development,Company commitments to sustainable development,Company commitments to sustainable development,Company commitments to sustainable development
The impact of the company'sactivity on employment andlocal development,Material,398-418,GRI 103-2GRI 203-2
The impact of the company'sactivity on local populationsand on the territory,Material,"327,345-369,398-418",GRI 103-2GRI 413-1GRI 413-2
Relations maintained with localcommunity actors and themodalities of dialogue with them,Material,"207-222,345-369,398-418",GRI 102-43GRI 413-1
Partnership or sponsorshipactions,Material,"213-222,345-369,398-418, 522-524",GRI 103-2GRI 201-1 withregard tocommunityinvestment
Subcontracting and suppliers,Subcontracting and suppliers,Subcontracting and suppliers,Subcontracting and suppliers
"Inclusion of social,genderequality and environmentalmatters in the procurementpolicy",Material,"303-304,329-330,334-344","GRI 103-2GRI308-1GRI 414-1AF6,AF7"
Consideration of its social andenvironmental responsibility inrelations with suppliers andsubcontractors,Material,"303-304,334-344",GRI 102-9GRI308-1GRI 414-1
Monitoring and audit systemsand their results,Material,"337-344,511-514","GRI 102-9GRI 308-2GRI 414-2AF2,AF3, AF8,AF12, AF13,AF14,AF16"
Consumers,Consumers,Consumers,Consumers
Measures for consumer healthand safety,Material,"280,308-310",GRI 103-2GRI 416-1
"Claims systems,complaintsreceived and their resolution",Material,278-279,GRI 103-2GRI 418-1
Tax information,Tax information,Tax information,Tax information
The benefits obtained countryby country,Material,420,GRI103-2GRI 207-4 (2019)
Tax on profits paid,Material,421-426,GRI 103-2GRI 207-4 (2019)
Public subsidies received,Material,"251,422",GRI 201-4
Regulation EU (2020/852) - Taxonomy,Regulation EU (2020/852) - Taxonomy,Regulation EU (2020/852) - Taxonomy,Regulation EU (2020/852) - Taxonomy
Requirements of the Regulation,Material,525-528,Inditex's ownmethodologydeveloped basedon the article 8 of the EuropeanTaxonomy
