GRIStandard,"Disclosure Page number(s), URL and/or direct answer","Disclosure Page number(s), URL and/or direct answer",Omissions,ExternalAssurance,Global Compactprinciple,Global Compactprinciple,Global Compactprinciple,Global Compactprinciple,Global Compactprinciple,Global Compactprinciple,Global Compactprinciple,Global Compactprinciple,Global Compactprinciple,,,,
,102-43 Approach tostakeholder engagement,102-43 Approach tostakeholder engagement,102-43 Approach tostakeholder engagement,102-43 Approach tostakeholder engagement,"208-209,223-224",,,,,,,,,,,,
,102-44 Key topics andconcerns raised,102-44 Key topics andconcerns raised,102-44 Key topics andconcerns raised,102-44 Key topics andconcerns raised,"225-227,536",,,,,,,,,,,,
REPORTING PRACTICE,REPORTING PRACTICE,REPORTING PRACTICE,,,,,,,,,,,,,,,
,102-45 Entities includedin the consolidatedfinancial statements,102-45 Entities includedin the consolidatedfinancial statements,102-45 Entities includedin the consolidatedfinancial statements,102-45 Entities includedin the consolidatedfinancial statements,114-120,,,,,,,,,,,,
,102-46 Defining reportcontent and topicBoundaries,102-46 Defining reportcontent and topicBoundaries,102-46 Defining reportcontent and topicBoundaries,102-46 Defining reportcontent and topicBoundaries,"225-227,536-539",,,,,,,,,,,,
,102-47 List of materialtopics,102-47 List of materialtopics,102-47 List of materialtopics,102-47 List of materialtopics,"225-227,536-539",,,,,,,,,,,,
,102-48 Restatements ofinformation,102-48 Restatements ofinformation,102-48 Restatements ofinformation,102-48 Restatements ofinformation,"159-161,328In respect of informationpresented fora differenttime horizon or covering adifferent entity than inprevious reporting periods,the nuances of suchchanges are disclosedalongside the indicator inquestion.",,,,,,,,,,,,
,102-49 Changes inreporting,102-49 Changes inreporting,102-49 Changes inreporting,102-49 Changes inreporting,"223-225,482-486",,,,,,,,,,,,
,102-50 Reporting period,102-50 Reporting period,102-50 Reporting period,102-50 Reporting period,"The Annual Reportprovides an account ofInditex Group's economic,social and environmentalperformance duringfinancial year 2021,whichruns from 1 February 2021to 31 January 2022.",,,,,,,,,,,,
,102-51 Date of mostrecent report,102-51 Date of mostrecent report,102-51 Date of mostrecent report,102-51 Date of mostrecent report,Jun-21,,,,,,,,,,,,
,102-52 Reporting cycle,102-52 Reporting cycle,102-52 Reporting cycle,102-52 Reporting cycle,Annual,,,,,,,,,,,,
GRI Standard,Disclosure,Disclosure,Disclosure,Disclosure,"Page number(s), URLand/or direct answer",Omissions,Omissions,Omissions,ExternalAssurance,Global Compactprinciple,,,,,,,
,102-53 Contact point for,102-53 Contact point for,102-53 Contact point for,102-53 Contact point for,282Contact Details,,,,,,,,,,,,
,questions regarding the,questions regarding the,questions regarding the,questions regarding the,282Contact Details,,,,,,,,,,,,
,report,report,report,report,Shareholders office,,,,,,,,,,,,
,,,,,accionistas@inditex.comPhone: +34 901330 212,,,,,,,,,,,,
,,,,,accionistas@inditex.comPhone: +34 901330 212,,,,,,,,,,,,
,,,,,Fax: +34 981185 365,,,,,,,,,,,,
,,,,,,,,,,,Investors RelationsDepartmentr.inversores@inditex.comPhone: +34 981 185 364Fax: +34 981 185 365,,,,,,
,,,,,,,,,,,Investors RelationsDepartmentr.inversores@inditex.comPhone: +34 981 185 364Fax: +34 981 185 365,,,,,,
,,,,,,,,,,,Investors RelationsDepartmentr.inversores@inditex.comPhone: +34 981 185 364Fax: +34 981 185 365,,,,,,
,,,,,,,,,,,Investors RelationsDepartmentr.inversores@inditex.comPhone: +34 981 185 364Fax: +34 981 185 365,,,,,,
,,,,,,,,,,,Investors RelationsDepartmentr.inversores@inditex.comPhone: +34 981 185 364Fax: +34 981 185 365,,Communication and,,,,
,,,,,,,,,"Corporate Affairs Divisioncomunicacion@inditex.comPhone: +34 981 185 400Fax: +34 981 185 544Inditex S.A.Edificio InditexAvda.de la Diputacion,s/n15143 Arteixo,A Coruna,Spain+34 981 185 400",,,,,,,,
,102-54 Claims ofreporting in accordancewith the GRI Standards,102-54 Claims ofreporting in accordancewith the GRI Standards,102-54 Claims ofreporting in accordancewith the GRI Standards,102-54 Claims ofreporting in accordancewith the GRI Standards,,,,This report was prepared in accordance with the GRIStandards -Comprehensive option.,"Corporate Affairs Divisioncomunicacion@inditex.comPhone: +34 981 185 400Fax: +34 981 185 544Inditex S.A.Edificio InditexAvda.de la Diputacion,s/n15143 Arteixo,A Coruna,Spain+34 981 185 400",,,,,,,,
,102-55 GRI content index,102-55 GRI content index,102-55 GRI content index,102-55 GRI content index,552-593,,,,,,,,,,,,
,102-56 Externalassurance,102-56 Externalassurance,102-56 Externalassurance,102-56 Externalassurance,"142-145,536",,,,,,,,,,,,
