"Industria de Diseno Textil,S.A.",Parent,A Coruna- Spain,Full Consol.,31-jan,-,Parent
"Zara Monaco, SAM",100.00%,Monte Carlo- Monaco,Full Consol.,31-jan,Zara,Retail sales
"Zara Commercial (Shanghai),Co Ltd.",100.00%,Shanghai - China,Full Consol.,31-dec,Zara,Retail sales
"Zara Commercial (Beijing),CoLtd. Zara Macau, Ltd.",100.00%,Beijing - China,Full Consol.,31-dec,Zara,Retail sales
"Zara Polska, Sp. Zo.0.",100.00%,Macao SAR,Full Consol.,31-dec,Zara,Retail sales
"JSC ""Zara CIS""",100.00% 100.00%,Warsaw - Poland,Full Consol.,31-jan,Zara,Retail sales
"Zara Deutschland, GmbH",100.00%,Moscow- Russia,Full Consol.,31-dec,Zara,Retail sales
"INDITEX ROMANIA, S.R.L.",100.00%,Hamburg- Germany Bucharest- Romania,Full Consol.,31-jan 31-dec,Zara,Holding company
INDITEX UKRAINE LLC,100.00%,Kiev-Ukraine,Full Consol. Full Consol.,,Multi-concept,Retailsales
"INDITEX SLOVAKIA,S.R.O.",100.00%,,,31-dec,Multi-concept,Retail sales
ITX Taiwan B.V.Zara Taiwan Branch,100.00%,Bratislava- Slovakia,Full Consol.,31-jan,Multi-concept,Retail sales
"ITX Croatia, Ltd.",100.00%,Taipei- Taiwan,Full Consol.,31-jan,Zara,Retail sales
"Zara Retail Korea,CoLtd.",80.00%,Zagreb- Croatia,Full Consol.,31-jan,Multi-concept,Retail sales
Zara Bulgaria Ltd,100.00%,Seoul- South Korea,Full Consol.,31-jan 31-dec,Zara Zara,Retail sales Retail sales
"Zara Diseno, S.L.",100.00%,Sofia - Bulgaria A Coruna- Spain,Full Consol. Full Consol.,,,
Company,Effective % of ownership,Location,Consolidation method,Reporting date,Concept,Line of business
KG ZARA Deutschland B.V.& Co.,100.00%,Hamburg- Germany,Full Consol.,31-jan,Zara,Retail sales
"Zara Retail South Africa (Propietary), LTD.",90.00%,Johannesburg- South,Full Consol.,31-jan,Zara,Retail sales
Group Zara Australia Pty. Ltd.,100.00%,Sydney - Australia,Full Consol.,31-jan,Zara,Retailsales
"_Limited Liability Company ""ZARA BLR""",100.00%,Minsk - Belarus,Full Consol.,31-dec,Zara,Retailsales
"ITXS, D.0.0",100.00%,Ljubljana - Slovenia,Full Consol.,31-jan,Multi-concept,Retail sales
"ITX Financien, B.V.",100.00%,Amsterdam - Netherlands,Full Consol.,31-jan,Multi-concept,Financial services
"ITX Taiwan, B.V.",100.00%,Amsterdam -Netherlands,Full Consol.,31-jan,Zara,Holding company
ITX BH D.0.0.,100.00%,Sarajevo - Bosnia,Full Consol.,31-dec,Multi-concept,Retail sales
ITX RS DO0 BEOGRAD,100.00%,Belgrade-Serbia,Full Consol.,31-jan,Multi-concept,Retailsales
"Nikole Diseno, S.L.",100.00%,A Coruna - Spain,Full Consol.,31-jan,Zara,Design
"Inditex Montenegro,D.O.0.Podgorica",100.00%,Podgorica- Montenegro,Full Consol.,31-dec,Multi-concept,Retailsales
"Inditex Vastgoed Korea,Ltd.",100.00%,Seoul- South Korea,Full Consol.,31-jan,Zara,Real estate
Inditex Trent Retail India Private Ltd,51.00%,Gurgaon - India,Full Consol.,31-Mar,Zara,Retail sales
"Kiddy's Class Espana,S.A.",100.00%,A Coruna- Spain,Full Consol.,31-jan,Zara,Retail sales
"ITX Finland,0Y",100.00%,Helsinki - Finland,Full Consol.,31-jan,Multi-concept,Retailsales
"Retail Group Kazakhstan,LLP",100.00%,Almaty - Kazakhstan,Full Consol.,31-dec,Zara,Retail sales
"ITX FinancienIII, B.V.",100.00%,Amsterdam -Netherlands,Full Consol.,31-jan,Multi-concept,Financial services
ITX Albania SHPK,100.00%,Tirana - Albania,Full Consol.,31-dec,Multi-concept,Retail sales
"Zara Fashion (Shanghai) Co.,Ltd.",100.00%,Shanghai - China,Full Consol.,31-dec,Zara,Retail sales
"Oysho Espania,S.A.",100.00%,Barcelona - Spain,Full Consol.,31-jan,Oysho,Retailsales
"Oysho Mexico, S.A. de C.V.",100.00%,Mexico City - Mexico,FullConsol. Full Consol.,31-dec,Oysho,Retailsales
Oysho Giyim Ithalat Ihracat Ve Ticaret Ltd.,100.00%,Istanbul - Turkey,Full Consol.,31-jan,Oysho,Retail sales
"Oysho Polska,Sp zo.0 Oysho CIs, Ltd.",100.00%,Warsaw- Poland Moscow-Russia,Full Consol.,31-jan 31-dec,Oysho,Retail sales
"Oysho France, S.A.R.L.",100.00%,Paris-France,Full Consol.,31-jan,Oysho Oysho,Retailsales
"Oysho MAGYARORSZAG, KFT",100.00% 100.00%,Budapest - Hungary,Full Consol.,31-jan,Oysho,Retail sales
"Oysho Diseno,S.L",100.00%,Barcelona - Spain,Full Consol.,31-jan,Oysho,Retail sales
"Oysho Bulgaria, Ltd",100.00%,Sofia - Bulgaria,Full Consol.,31-dec,Oysho,Design Retail sales
"OyshoCommercial&Trading (Shangai) Co,Ltd.",100.00%,Shanghai - China,Full Consol.,31-dec,Oysho,Retail sales
"Oysho Korea, Ltd",100.00%,Seoul- South Korea,Full Consol.,31-jan,Oysho,Retail sales
Oysho Macau， Ltd,100.00%,Macao SAR,Full Consol.,31-dec,Oysho,Retailsales
"Oysho Kazakhstan,LLP",100.00%,Almaty- Kazakhstan,Full Consol.,31-dec,Oysho,Retail sales
Oysho Hong Kong Ltd,100.00%,Hong Kong SAR,Full Consol.,31-jan,Oysho,Retail sales
"Oysho Belgique, S.A.",100.00%,Brussels- Belgium,Full Consol.,31-jan,Oysho,Retail sales
"_Limited Liability Company ""OYSHO BLR""",100.00%,Minsk-Belarus,Full Consol.,31-dec,Oysho,Retail sales
Oysho Suisse SARL,100.00%,Fribourg- Switzerland,Full Consol.,31-jan,Oysho,Retail sales
"Grupo Massimo Dutti, S.A.",100.00%,Barcelona -Spain,Full Consol.,31-jan,Massimo Dutti,Retail sales
Massimo Dutti Givim Ithalat Ih.Ve Tic. Ltd.,100.00%,Istanbul - Turkey,Full Consol.,31-jan,Massimo Dutti,Retail sales
"Massimo DuttiFrance,S.A.R.L",100.00%,Paris-France,Full Consol.,31-jan,Massimo Dutti,Retailsales
"Massimo Dutti UK,Ltd.",100.00%,London - UK,Full Consol.,31-jan,Massimo Dutti,Dormant
"Massimo Dutti Suisse,S.A.R.L.",100.00%,Fribourg-Switzerland,Full Consol.,31-jan,Massimo Dutti,Retail sales
"Massimo Dutti USA, INC.",100.00%,New York- USA,Full Consol.,31-jan,Massimo Dutti,Retailsales
LLC Massimo Dutti,100.00%,Moscow - Russia,Full Consol.,31-dec,Massimo Dutti,Retail sales
"Massimo Dutti Deutschland,GmbH",100.00%,Hamburg-Germany,Full Consol.,31-jan,Massimo Dutti,Holding company
"Massimo Dutti Mexico,S.A.de C.V.",100.00%,Mexico City - Mexico,Full Consol.,31-dec,Massimo Dutti,Retailsales
"Massimo Dutti, S.A.",100.00%,A Coruna -Spain,Full Consol.,31-jan,Massimo Dutti,Dormant
"Massimo Dutti Hong Kong, Ltd.",100.00%,Hong Kong SAR,Full Consol.,31-jan,Massimo Dutti,Retail sales
"Massimo Dutti Polska,Sp z.0.o",100.00%,Warsaw- Poland,Full Consol.,31-jan,Massimo Dutti,Retail sales
Massimo Dutti Macau Ltd.,100.00%,Macao SAR,Full Consol.,31-dec,Massimo Dutti,Retail sales
"Massimo Dutti Commercial Beijing Co, Ltd.",100.00%,Beijing - China,Full Consol.,31-dec,Massimo Dutti,Retail sales
"Massimo Dutti Bulgaria, Ltd",100.00%,Sofia - Bulgaria,Full Consol.,31-dec,Massimo Dutti,Retail sales
"Massimo Dutti Korea, Ltd",100.00%,Seoul - South Korea,Full Consol.,31-jan,Massimo Dutti,Retail sales
"Massimo Dutti Diseno,S.L.",100.00%,Barcelona - Spain,Full Consol.,31-jan,Massimo Dutti,Design
"Massimo Dutti Commercial Shangai CO,Ltd",100.00%,Shanghai - China,Full Consol.,31-dec,Massimo Dutti,Retail sales
"Massimo Dutti Osterreich Clothing, GMBH",100.00%,Vienna - Austria,Full Consol.,31-jan 31-dec,Massimo Dutti Massimo Dutti,Retailsales Retail sales
"_Limited Liability Company ""MASSIMO DUTTI BLR"" ITX Taiwan B.V. Massimo Dutt Taiwan Branch",100.00% 100.00%,Minsk - Belarus Taipei - Taiwan,Full Consol. Full Consol.,,,
"Master Retail Kazakhstan,LP",100.00%,Almaty - Kazakhstan,Full Consol.,31-dec,Massimo Dutti,Retail sales
Massimo DuttiI India Private Ltd,51.00%,Gurgaon - India,Full Consol.,31-Mar,Massimo Dutti,Retail sales
"Pull& Bear Espana, S.A.",100.00%,A Coruna -Spain,Full Consol.,31-jan,Pull&Bear,Retailsales
Pull& Bear Giyim Ith.Ihrac.VeTic.Ltd.,100.00%,Istanbul - Turkey,Full Consol.,31-jan,Pull& Bear,Retail sales
"Pull& Bear Mexico,S.A.de C.V.",100.00%,Mexico City - Mexico,Full Consol.,31-dec,Pull& Bear,Retailsales
"Pull & Bear Belgique, S.A.",100.00%,Brussels-Belgium,Full Consol.,31-jan,Pull& Bear,Retail sales
"Pull& BearFrance,S.A.R.L.",100.00%,Paris-France,Full Consol.,31-jan,Pull& Bear,Retail sales
Pull& Bear Magyarorszag Kft.,100.00%,Budapest- Hungary,Full Consol.,31-jan,Pull & Bear,Retail sales
"Pull& BearPolska,Sp zo.0",100.00%,Warsaw- Poland,Full Consol.,31-jan,Pull&Bear,Retail sales
"Pull & Bear CIS, Ltd.",100.00%,Moscow- Russia,Full Consol.,31-dec,Pull & Bear,Retail sales
Pull& Bear Uk Limited,100.00%,London - UK,Full Consol.,31-jan,Pull&Bear,Dormant
"Pull& Bear Commercial BeijingCo,Ltd",100.00%,Beijing- China,Full Consol.,31-dec,Pull& Bear,Retail sales
"Pull& Bear Bulgaria, Ltd",100.00%,Sofia - Bulgaria,Full Consol.,31-dec,Pull & Bear,Retail sales
Pull& Bear Hong Kong Ltd,100.00%,Hong KongSAR,Full Consol.,31-jan,Pull& Bear,Retail sales
"Pull& Bear Diseno, S.L.",100.00%,A Coruna-Spain,Full Consol.,31-jan,Pull & Bear,Design
"Pull& Bear Osterreich Clothing, Gmbh",100.00%,Vienna - Austria,Full Consol.,31-jan,Pull& Bear,Retail sales
"Pull& Bear Korea, Ltd",100.00%,Seoul - South Korea,Full Consol.,31-jan,Pull & Bear,Retail sales
"_Limited Liability Company ""PULL AND BEAR BLR""",100.00%,Minsk - Belarus,Full Consol.,31-dec,Pull& Bear,Retail sales
ITX Taiwan B.V. Pull& Bear Taiwan Branch,100.00%,Taipei - Taiwan,Full Consol.,31-jan,Pull & Bear,Retail sales
"Plataforma Cabanillas,S.A",100.00%,A Coruna - Spain,Full Consol.,31-jan,Pull& Bear,Logistics
P&BGmbh,100.00%,Hamburg- Germany,Full Consol.,31-jan,Pull& Bear,Holding company
Pull& Bear Deutschland BV& CO,100.00%,Hamburg- Germany,Full Consol.,31-jan,Pull& Bear,Retail sales
"Pro Retail Kazakhstan,LLP",100.00%,Almaty - Kazakhstan,Full Consol.,31-dec,Pull& Bear,Retail sales
"Pull& Bear Suisse,SARL",100.00%,Fribourg- Switzerland,Full Consol.,31-jan,Pull & Bear,Retail sales
"Uterque Cis, Ltd",100.00%,Moscow-Russia,Full Consol.,31-dec,Uterque,Retail sales
Uterque Giyim Limited,100.00%,Istanbul - Turkey,Full Consol.,31-jan,Uterque,Retail sales
Uterque Mexico S.A.de C.V.,100.00%,Mexico City - Mexico,Full Consol.,31-dec,Uterque,Retail sales
"""ITX KOSOVO"" L.L.C.",100.00%,Pristina,Full Consol.,31-dec,Multi-concept,Retail sales
"ITX Finance Asia,LTD Inditex USA, LLC",100.00%,Hong Kong SAR,Full Consol.,31-jan,Zara,Financial services
Uterque Polska SP.Z0.0.,100.00%,New York- USA Warsaw-Poland,Full Consol. Full Consol.,31-jan,Multi-concept,Holding company
Uterque Kazakhstan LLP,100.00%,Almaty - Kazakhstan,Full Consol.,31-jan,Uterque,Retailsales
Bershka BSK Espana S.A.,100.00%,,Full Consol.,31-dec,Uterque,Retail sales
"Bershka Mexico,S.A.de CV",100.00%,Barcelona - Spain,Full Consol.,31-jan 31-dec,Bershka Bershka,Retailsales
Bershka Giyim Ithalat Ihracat Ve Tic.Ltd.,100.00%,Mexico City - Mexico Istanbul - Turkey,Full Consol.,31-jan,Bershka,Retail sales
"Bershka Belgique, S.A.",100.00%,,Full Consol.,31-jan,,Retail sales
"Bershka France,S.A.R.L.",100.00% 100.00%,Brussels - Belgium Paris-France,Full Consol.,,Bershka Bershka,Retail sales
"Bershka Suisse, S.A.R.L.",100.00%,Fribourg- Switzerland,Full Consol.,31-jan 31-jan,Bershka,Retailsales
"Bershka U.K., Ltd.",100.00%,London- UK,Full Consol.,,Bershka,Retail sales
Bershka Polska Sp Z0.0.,100.00%,,Full Consol.,31-jan,,Dormant
Bershka Magyaroszag Kft.,100.00%,Warsaw- Poland Budapest- Hungary,Full Consol.,31-jan,Bershka Bershka,Retailsales
"Bershka Cis, Ltd",,,Full Consol.,31-jan,,Retail sales
Bershka Osterreich Clothing GmbH,100.00% 100.00%,Moscow- Russia,Full Consol.,31-dec,Bershka,Retailsales
Bershka Hong Kong Limited,,Vienna - Austria,,31-jan,Bershka,Retail sales
"Bershka Commercial Beijing Co,Ltd",100.00% 100.00%,Hong Kong SAR,Full Consol. Full Consol.,31-jan,Bershka,Retail sales
"Bershka Bulgaria, Ltd",100.00%,Beijing - China,,31-dec,Bershka,Retail sales
"Bershka Korea, Ltd",100.00%,Sofia- Bulgaria Seoul - South Korea,Full Consol. Full Consol.,31-dec,Bershka,Retail sales
"Bershka Diseno, S.L.",100.00%,Barcelona - Spain,Full Consol.,31-jan,Bershka,Retail sales
"BSKE,GMBH",100.00%,Hamburg- Germany,Full Consol.,31-jan,Bershka,Design
Bershka Deutschland B.V.& CO. KG,100.00%,Hamburg- Germany,,31-jan,Bershka,Holding company
"Best Retail Kazakhstan, LLP",100.00%,,Full Consol.,31-jan,Bershka,Retail sales
"Bershka Commercial (Shanghai) Co,Ltd",,Almaty - Kazakhstan,Full Consol.,31-dec,Bershka,Retail sales
Bershka USA INC,100.00%,Shanghai - China,Full Consol.,31-dec,Bershka,Retailsales
,100.00%,NewYork - USA,Full Consol.,31-jan,Bershka,Retail sales
"_Limited Liability Company""BK GARMENTS BLR""",100.00%,Minsk - Belarus,Full Consol.,31-dec 31-jan,Bershka Bershka,Retail sales Retail sales
"ITX Taiwan B.V.Bershka Taiwan Branch Stradivarius Espana, S.A.",100.00% 100.00%,Taipei - Taiwan Barcelona - Spain,Full Consol. Full Consol.,,,
"Stradivarius France, S.A.R.L.",100.00%,Paris-France,Full Consol.,31-jan,Stradivarius,Retail sales
Stradivarius Magyaroszag Kft.,100.00%,Budapest - Hungary,Full Consol.,31-jan,Stradivarius,Retail sales
"Stradivarius Commercial Shangai Co,Ltd",100.00%,Shanghai - China,Full Consol.,31-dec,Stradivarius,Retailsales
Stradivarius BulgariaLtd,100.00%,Sofia- Bulgaria,Full Consol.,31-dec,Stradivarius,Retail sales
"Stradivarius Diseno, S.L.",100.00%,Barcelona - Spain,Full Consol.,31-jan,Stradivarius,Design
"Stradivarius Korea, Ltd",100.00%,Seoul- South Korea,Full Consol.,31-jan,Stradivarius,Retailsales
"Stradivarius Hong Kong,Ltd",100.00%,Hong Kong SAR,Full Consol.,31-jan,Stradivarius,Retail sales
"Stradivarius Mexico,S.A.de C.V.",100.00%,Mexico City - Mexico,Full Consol.,31-dec,Stradivarius,Retail sales
Stradivarius UK LIMITED,100.00%,London - UK,Full Consol.,31-jan,Stradivarius,Dormant
"Stradivarius Belgique, S.A.",100.00%,Brussels - Belgium,Full Consol.,31-jan,Stradivarius,Retailsales
"Limited Liabilty Company ""STRADIVARIUS BLR""",100.00%,Minsk -Belarus,Full Consol.,31-dec,Stradivarius,Retail sales
"Spanish RetailKazakhstan,LP",100.00%,Almaty- Kazakhstan,Full Consol.,31-dec,Stradivarius,Retail sales
"ITX Trading, S.A.",100.00%,Fribourg-Switzerland,Full Consol.,31-jan,Multi-concept,Buyer
"Zara Home Espania, S.A.",100.00%,A Coruna-Spain,Full Consol.,31-jan,Zara Home,Retail sales
"Zara Home U.K., Ltd.",100.00%,London- UK,Full Consol.,31-jan,Zara Home,Dormant
"Zara Home Mexico,S.A.de C.V.",100.00%,Mexico City - Mexico,Full Consol.,31-dec,Zara Home,Retail sales
Zara Home Giyim Ithalat Ihracat Ve Ticaret Ltd.,100.00%,Istanbul - Turkey,Full Consol.,31-jan,Zara Home,Retail sales
"Zara Home Francia,S.AR.L",100.00%,Paris-France,Full Consol.,31-jan,Zara Home,Retail sales
"Zara Home CIS, Ltd.",100.00%,Moscow-Russia,FullConsol.,31-dec,Zara Home,Retailsales
"Zara Home Polska, Sp z0.0",100.00%,Warsaw- Poland,Full Consol.,31-jan,Zara Home,Retail sales
"Zara Home Diseno, S.L",100.00%,A Coruna-Spain,Full Consol.,31-jan,Zara Home,Design
Zara Home Deutschland B.V.& Co. KG,100.00%,Hamburg- Germany,Full Consol.,31-jan,Zara Home,Retailsales
"ZHE, Gmbh",100.00%,Hamburg- Germany,Full Consol.,31-jan,Zara Home,Holding company
"Zara Home Brasil Produtos para o Lar, Ltda.",100.00%,Sao Paulo - Brazil,Full Consol.,31-dec,Zara Home,Retail sales
"Zara Home Belgique, S.A",100.00%,Brussels - Belgium,Full Consol.,31-jan,Zara Home,Retailsales
"ZaraHomeCommercial&Trading (Shangai)Co.,Ltd.",100.00%,Shanghai - China,Full Consol.,31-dec,Zara Home,Retail sales
Zara Home Macao SUL,100.00%,Macao SAR,Full Consol. Full Consol.,31-dec,Zara Home,Retail sales
"Zara Home Kazakhstan,LLP",100.00%,Almaty - Kazakhstan,Full Consol.,31-dec,Zara Home,Retailsales
"Zara Home Hong Kong Ltd G. Zara Home Uruguay, S.A.",100.00%,Hong Kong SAR,Full Consol.,31-jan,Zara Home,Dormant
Zara Home Suisse SARL,100.00% 100.00%,Montevideo - Uruguay,Full Consol.,31-jan,Zara Home,Retail sales
Zara Home Chile SPA,100.00%,Fribourg-Switzerland Santiago de Chile- Chile,Full Consol.,31-jan,Zara Home,Retail sales
Zara Home Australia Pty Ltd,100.00%,Sydney - Australia,Full Consol.,31-dec,Zara Home,Retailsales
Zara Home Magyarorszag KFT.,100.00%,Budapest - Hungary,Full Consol.,31-jan,Zara Home,Retail sales
Zara Home Korea LIMITED,100.00%,Seoul - South Korea,Full Consol.,31-jan,Zara Home,Retail sales
Zara Home Bulgaria EOOD,100.00%,Sofia - Bulgaria,Full Consol.,31-jan 31-dec,Zara Home,Retailsales
"_Limited Liability Company""ZARA HOME BLR""",100.00%,Minsk - Belarus,Full Consol.,31-dec,Zara Home,Retail sales
ITX Taiwan B.V. Zara Home Taiwan Branch,100.00%,Taipei - Taiwan,Full Consol.,31-jan,Zara Home Zara Home,Retail sales
"Zara Logistica, S.A.",100.00%,A Coruna-Spain,Full Consol.,31-jan,Zara,Retail sales
"Plataforma Europa, S.A.",100.00%,Zaragoza - Spain,Full Consol.,31-jan,Zara,Logistics
"Plataforma Logistica Leon, S.A.",100.00%,Le6n -Spain,Full Consol.,31-jan,Zara,Logistics
PlataformaLogisticaeco.A,100.00%,Madrid - Spain,Full Consol.,31-jan,Multi-concept,Logistics
"Pull & Bear Logistica, S.A.",100.00%,A Coruna- Spain,Full Consol.,31-jan,Pull& Bear,Logistics
"Massimo DuttiLogistica, S.A.",100.00%,Barcelona - Spain,Full Consol.,31-jan,Massimo Dutti,Logistics
"Bershka Logistica,S.A.",100.00%,Barcelona - Spain,Full Consol.,31-jan,Bershka,Logistics
"Oysho Logistica, S.A.",100.00%,Barcelona - Spain,FullConsol.,31-jan,Oysho,Logistics
"Stradivarius Logistica,S.A.",100.00%,Barcelona -Spain,Full Consol.,31-jan,Stradivarius,Logistics
"Zara Home Logistica, S.A.",100.00%,A Coruna - Spain,Full Consol.,31-jan,Zara Home,Logistics
"Inditex Logistica, S.A.",100.00%,A Coruna - Spain,Full Consol.,31-jan,Zara,Logistics
"Nueva comercializadora global XXI,S.A. DEC.V.",100.00%,Mexico City- Mexico,Full Consol.,31-dec,Multi-concept,Logistics Logistics
"Corporacion de Servicios XXI,S.A.de C.V.",100.00%,Mexico City-Mexico,Full Consol.,31-dec,Multi-concept,Services
"Goa-Invest, S.A.",100.00%,A Coruna- Spain,Full Consol.,31-jan,Multi-concept,Construction
Goa-Invest Deutschland GMBH,100.00%,Hamburg- Germany,Full Consol.,31-jan,Multi-concept,
"Zara Vastgoed, B.V.",100.00%,Amsterdam - Netherlands,Full Consol.,31-jan,Zara,Construction
ITX Global Solutions LIMITED,100.00%,,Full Consol.,31-jan,Multi-concept,Real estate Services
SNC Zara France Immobiliere,100.00%,Hong Kong SAR Paris-France Paris-France,Full Consol.,,,
"Lefties Espana,S,A,",100.00%,A Coruna- Spain,Full Consol.,31-jan,Zara,Realestate
"Born,S.A",100.00%,Palma de Mallorca -Spain,Full Consol.,31-jan,Zara,Realestate
LFT RUS Ltd,100.00%,Moscow- Russia,Full Consol.,31-dec,Zara,Retail sales
"Lelystad Platform, B.V.",100.00%,Amsterdam - Netherlands,Full Consol.,31-jan,Multi-concept,Logistics
"Robustae Mexico,S.A DE C.V.",100.00%,Mexico City - Mexico,Full Consol.,31-dec,Zara,Retail sales
"Inditex,S.A",100.00%,A Coruna - Spain,Full Consol.,31-jan,Zara,Dormant
"Zara Holding II, B.V",100.00%,Amsterdam - Netherlands,Full Consol.,31-jan,Multi-concept,Holding company
"Zara,S.A",100.00%,A Coruna- Spain,Full Consol.,31-jan,Zara,Dormant
"Zara,S.A",100.00%,Buenos Aires-Argentina,Full Consol.,31-jan,Zara,Dormant
"Fashion LogisticForwarders,S.A.",100.00%,A Coruna- Spain,Full Consol.,31-jan,Multi-concept,Logistics
"ITX Asia Pacific Enterprise Management, Co.,Ltd",100.00%,Shanghai - China,Full Consol.,31-dec,Multi-concept,Buyer
"FSF New York, LLC",100.00%,New York- USA,Full Consol.,31-jan,Zara,Real estate
"FSF Soho,LLC",100.00%,New York - USA,Full Consol.,31-jan,Zara,Real estate
"ITX USA,LLC",100.00%,New York - USA,Full Consol.,31-jan,Multi-concept,Retail sales
"Fashion Retail, S.A.",100.00%,A Coruna - Spain,Full Consol.,31-jan,Multi-concept,Retail sales
ITXR Macedonaia Dooel Skopje ITX E-commerce (Shanghai) Co. Ltd,100.00%,Skopje-North Macedonia Rep.,Full Consol.,31-dec,Multi-concept,Retail sales
ITX TRYFIN B.V.,100.00%,Shanghai - China,Full Consol.,31-dec,Multi-concept,Retail sales
"ITX RUBFIN, B.V.",100.00%,Amsterdam -Netherlands,Full Consol. Full Consol.,31-jan,Multi-concept,Financial services
ITX Korea LIMITED,100.00% 100.00%,Amsterdam - Netherlands Seoul - South Korea,Full Consol.,31-jan,Multi-concept,Financial services
ITX Services India Private Ltd,100.00%,Gurgaon - India,Full Consol.,31-jan 31-mar,Multi-concept,Retail sales
"InditexFrance,S.A.R.L.",100.00%,Paris-France,Full Consol.,31-jan,Multi-concept Multi-concept,Buyer
,100.00%,Amsterdam - Netherlands,Full Consol.,31-jan,,Dormant
ITXMerken， B.V.,100.00%,Vienna - Austria,Full Consol.,31-jan,Multi-concept Zara Home,Services
