"GRI Page number(s), URLDisclosure and/or direct answerStandard","GRI Page number(s), URLDisclosure and/or direct answerStandard","GRI Page number(s), URLDisclosure and/or direct answerStandard","GRI Page number(s), URLDisclosure and/or direct answerStandard","GRI Page number(s), URLDisclosure and/or direct answerStandard","GRI Page number(s), URLDisclosure and/or direct answerStandard",Omissions,Omissions,Omissions,Omissions,Omissions,ExternalAssurance,ExternalAssurance,Global Compactprinciple,,,
GRI 3O8: SUPPLIER ENVIRONMENTAL ASSESSMENT 2016,GRI 3O8: SUPPLIER ENVIRONMENTAL ASSESSMENT 2016,GRI 3O8: SUPPLIER ENVIRONMENTAL ASSESSMENT 2016,GRI 3O8: SUPPLIER ENVIRONMENTAL ASSESSMENT 2016,GRI 3O8: SUPPLIER ENVIRONMENTAL ASSESSMENT 2016,GRI 3O8: SUPPLIER ENVIRONMENTAL ASSESSMENT 2016,GRI 3O8: SUPPLIER ENVIRONMENTAL ASSESSMENT 2016,GRI 3O8: SUPPLIER ENVIRONMENTAL ASSESSMENT 2016,GRI 3O8: SUPPLIER ENVIRONMENTAL ASSESSMENT 2016,GRI 3O8: SUPPLIER ENVIRONMENTAL ASSESSMENT 2016,GRI 3O8: SUPPLIER ENVIRONMENTAL ASSESSMENT 2016,GRI 3O8: SUPPLIER ENVIRONMENTAL ASSESSMENT 2016,GRI 3O8: SUPPLIER ENVIRONMENTAL ASSESSMENT 2016,GRI 3O8: SUPPLIER ENVIRONMENTAL ASSESSMENT 2016,,,
,308-1 New suppliers thatwere screened usingenvironmental criteria,308-1 New suppliers thatwere screened usingenvironmental criteria,"159,340-344, 511-514","159,340-344, 511-514","159,340-344, 511-514",,,,,,the waste directedto disposal in its proprietary storeswith the level ofdetail required.Inditex has anumber of projectsunderway with theaim of being able to comply with thisdisclosurerequirement by2023.,√Pg.143-145,√Pg.143-145,√Pg.143-145,√Pg.143-145,Principle 8
,308-2 Negativeenvironmental impacts in the supply chain andactions taken,308-2 Negativeenvironmental impacts in the supply chain andactions taken,"334,336,339-341,407-411","334,336,339-341,407-411","334,336,339-341,407-411",,,,,,the waste directedto disposal in its proprietary storeswith the level ofdetail required.Inditex has anumber of projectsunderway with theaim of being able to comply with thisdisclosurerequirement by2023.,√Pg.143-145,√Pg.143-145,√Pg.143-145,√Pg.143-145,Principle8
GRI Standard,Disclosure,Disclosure,"Page number(s), URL and/or direct answer","Page number(s), URL and/or direct answer","Page number(s), URL and/or direct answer",Omissions,Omissions,Omissions,Omissions,Omissions,External Assurance,External Assurance,√Pg.143-145,Global Compact principle,,
PROTECTION OF NATURAL RESOURCES GRI 103: MANAGEMENT APPROACH 2016,PROTECTION OF NATURAL RESOURCES GRI 103: MANAGEMENT APPROACH 2016,PROTECTION OF NATURAL RESOURCES GRI 103: MANAGEMENT APPROACH 2016,PROTECTION OF NATURAL RESOURCES GRI 103: MANAGEMENT APPROACH 2016,PROTECTION OF NATURAL RESOURCES GRI 103: MANAGEMENT APPROACH 2016,PROTECTION OF NATURAL RESOURCES GRI 103: MANAGEMENT APPROACH 2016,PROTECTION OF NATURAL RESOURCES GRI 103: MANAGEMENT APPROACH 2016,PROTECTION OF NATURAL RESOURCES GRI 103: MANAGEMENT APPROACH 2016,PROTECTION OF NATURAL RESOURCES GRI 103: MANAGEMENT APPROACH 2016,PROTECTION OF NATURAL RESOURCES GRI 103: MANAGEMENT APPROACH 2016,PROTECTION OF NATURAL RESOURCES GRI 103: MANAGEMENT APPROACH 2016,PROTECTION OF NATURAL RESOURCES GRI 103: MANAGEMENT APPROACH 2016,PROTECTION OF NATURAL RESOURCES GRI 103: MANAGEMENT APPROACH 2016,PROTECTION OF NATURAL RESOURCES GRI 103: MANAGEMENT APPROACH 2016,PROTECTION OF NATURAL RESOURCES GRI 103: MANAGEMENT APPROACH 2016,PROTECTION OF NATURAL RESOURCES GRI 103: MANAGEMENT APPROACH 2016,
,103-1 Explanation of the material topic and its Boundary 103-2 The management approach and its,103-1 Explanation of the material topic and its Boundary 103-2 The management approach and its,"225-227,536-539 181-187,190,295,299- 308,391-394","225-227,536-539 181-187,190,295,299- 308,391-394","225-227,536-539 181-187,190,295,299- 308,391-394",,,,,,,,√Pg.143-145,,,
,components,components,"In its Code of Conduct, Inditex pledges to minimise the environmental impact of its products in respect of their entire life cycle. Inditex's Biodiversity Policy (available at the corporate web page of Inditex, How we do business section, Our Commitment to the Environment - Biodiversity heading) sets down its biodiversity protection and conservation targets, which it defined following the principles established in the United Nations Convention on Biological Diversity and acknowledging the Work of the International Union for Conservation of Nature (IUCN).To guarantee application of this strategy， these principles are layered into the master plans of each of the key areas comprising the business model. The Inditex Group applies responsible production standards in relation to the use of products of animal origin. Inditex has a dedicated animal welfare policy and a Biodiversity Strategy,both available at the corporate web page of Inditex, How we do business section, Our Commitment to the Environment - Biodiversity and Our Commitment to","In its Code of Conduct, Inditex pledges to minimise the environmental impact of its products in respect of their entire life cycle. Inditex's Biodiversity Policy (available at the corporate web page of Inditex, How we do business section, Our Commitment to the Environment - Biodiversity heading) sets down its biodiversity protection and conservation targets, which it defined following the principles established in the United Nations Convention on Biological Diversity and acknowledging the Work of the International Union for Conservation of Nature (IUCN).To guarantee application of this strategy， these principles are layered into the master plans of each of the key areas comprising the business model. The Inditex Group applies responsible production standards in relation to the use of products of animal origin. Inditex has a dedicated animal welfare policy and a Biodiversity Strategy,both available at the corporate web page of Inditex, How we do business section, Our Commitment to the Environment - Biodiversity and Our Commitment to","In its Code of Conduct, Inditex pledges to minimise the environmental impact of its products in respect of their entire life cycle. Inditex's Biodiversity Policy (available at the corporate web page of Inditex, How we do business section, Our Commitment to the Environment - Biodiversity heading) sets down its biodiversity protection and conservation targets, which it defined following the principles established in the United Nations Convention on Biological Diversity and acknowledging the Work of the International Union for Conservation of Nature (IUCN).To guarantee application of this strategy， these principles are layered into the master plans of each of the key areas comprising the business model. The Inditex Group applies responsible production standards in relation to the use of products of animal origin. Inditex has a dedicated animal welfare policy and a Biodiversity Strategy,both available at the corporate web page of Inditex, How we do business section, Our Commitment to the Environment - Biodiversity and Our Commitment to",,,,,,,,,,,
GRI Standard,"Disclosure Page number(s), URL and/or direct answer","Disclosure Page number(s), URL and/or direct answer",Omissions,ExternalAssurance,Global Compactprinciple,Global Compactprinciple,Global Compactprinciple,Global Compactprinciple,Global Compactprinciple,Global Compactprinciple,Global Compactprinciple,Global Compactprinciple,Global Compactprinciple,Global Compactprinciple,Global Compactprinciple,
,,,"the Loop - Sustainablematerials headings, whichestablishes managementcriteria for the entire valuechain.","the Loop - Sustainablematerials headings, whichestablishes managementcriteria for the entire valuechain.","the Loop - Sustainablematerials headings, whichestablishes managementcriteria for the entire valuechain.",,,,,,,,,,,
,103-3 Evaluation of themanagement approach,103-3 Evaluation of themanagement approach,"185-187,190,295,300-307,391-394Inditex's commitment toenvironmentalresponsibility includesethical standards for theuse of animal-basedproducts.Furtherinformation is available at the corporate web page ofInditex, How we dobusiness section, OurCommitment to theEnvironment - Closing the Loop - SustainableMaterials - Animal Welfareheading.","185-187,190,295,300-307,391-394Inditex's commitment toenvironmentalresponsibility includesethical standards for theuse of animal-basedproducts.Furtherinformation is available at the corporate web page ofInditex, How we dobusiness section, OurCommitment to theEnvironment - Closing the Loop - SustainableMaterials - Animal Welfareheading.","185-187,190,295,300-307,391-394Inditex's commitment toenvironmentalresponsibility includesethical standards for theuse of animal-basedproducts.Furtherinformation is available at the corporate web page ofInditex, How we dobusiness section, OurCommitment to theEnvironment - Closing the Loop - SustainableMaterials - Animal Welfareheading.",,,,,,,,,,,
GRI 304: BIODIVERSITY 2016,GRI 304: BIODIVERSITY 2016,GRI 304: BIODIVERSITY 2016,GRI 304: BIODIVERSITY 2016,GRI 304: BIODIVERSITY 2016,GRI 304: BIODIVERSITY 2016,GRI 304: BIODIVERSITY 2016,GRI 304: BIODIVERSITY 2016,GRI 304: BIODIVERSITY 2016,GRI 304: BIODIVERSITY 2016,GRI 304: BIODIVERSITY 2016,GRI 304: BIODIVERSITY 2016,GRI 304: BIODIVERSITY 2016,GRI 304: BIODIVERSITY 2016,GRI 304: BIODIVERSITY 2016,GRI 304: BIODIVERSITY 2016,
,"304-1 Operational sitesowned,leased,managed in,or adjacent to,protectedareas and areas of highbiodiversityvalue outsideprotected areas","304-1 Operational sitesowned,leased,managed in,or adjacent to,protectedareas and areas of highbiodiversityvalue outsideprotected areas",,,,"Not applicable.The sites owned by Inditex are neitheradjacent to norlocated within protected areas orareas of highbiodiversity value, so that its activitiesdo not have a significant impacton biodiversity.","Not applicable.The sites owned by Inditex are neitheradjacent to norlocated within protected areas orareas of highbiodiversity value, so that its activitiesdo not have a significant impacton biodiversity.","Not applicable.The sites owned by Inditex are neitheradjacent to norlocated within protected areas orareas of highbiodiversity value, so that its activitiesdo not have a significant impacton biodiversity.","Not applicable.The sites owned by Inditex are neitheradjacent to norlocated within protected areas orareas of highbiodiversity value, so that its activitiesdo not have a significant impacton biodiversity.","Not applicable.The sites owned by Inditex are neitheradjacent to norlocated within protected areas orareas of highbiodiversity value, so that its activitiesdo not have a significant impacton biodiversity.",,,Principle 8,,,
,"304-2 Significant impactsof activities,products,andservices on biodiversity","304-2 Significant impactsof activities,products,andservices on biodiversity","294-296,299-307,380-382,386,388,391-394","294-296,299-307,380-382,386,388,391-394","294-296,299-307,380-382,386,388,391-394",,,,,,,,Principle 8,,,
,304-3 Habitats protectedor restored,304-3 Habitats protectedor restored,"Inditex is commited toprotecting and nurturingbiodiversity by means ofresponsible and sustainablemanagement of naturalresources.For further information,referto the Group's BiodiversityStrategy and Forest ProductPolicy,available at the corporate web page ofInditex, How we do businesssection, Our Commitment tothe Environment-Biodiversity heading.","Inditex is commited toprotecting and nurturingbiodiversity by means ofresponsible and sustainablemanagement of naturalresources.For further information,referto the Group's BiodiversityStrategy and Forest ProductPolicy,available at the corporate web page ofInditex, How we do businesssection, Our Commitment tothe Environment-Biodiversity heading.","Inditex is commited toprotecting and nurturingbiodiversity by means ofresponsible and sustainablemanagement of naturalresources.For further information,referto the Group's BiodiversityStrategy and Forest ProductPolicy,available at the corporate web page ofInditex, How we do businesssection, Our Commitment tothe Environment-Biodiversity heading.","Not applicable.Inditex's business is to distributefashion garments(clothing, footwearand accessories) and home textiles,which it procuresas finishedproducts from its suppliers; as aresult there are nohabitats protectedor restored as aresult of itsbusiness activities.","Not applicable.Inditex's business is to distributefashion garments(clothing, footwearand accessories) and home textiles,which it procuresas finishedproducts from its suppliers; as aresult there are nohabitats protectedor restored as aresult of itsbusiness activities.","Not applicable.Inditex's business is to distributefashion garments(clothing, footwearand accessories) and home textiles,which it procuresas finishedproducts from its suppliers; as aresult there are nohabitats protectedor restored as aresult of itsbusiness activities.","Not applicable.Inditex's business is to distributefashion garments(clothing, footwearand accessories) and home textiles,which it procuresas finishedproducts from its suppliers; as aresult there are nohabitats protectedor restored as aresult of itsbusiness activities.","Not applicable.Inditex's business is to distributefashion garments(clothing, footwearand accessories) and home textiles,which it procuresas finishedproducts from its suppliers; as aresult there are nohabitats protectedor restored as aresult of itsbusiness activities.",,,Principle 8,,,
GRI Standard,Disclosure,Disclosure,"Page number(s), URL and/or direct answer","Page number(s), URL and/or direct answer","Page number(s), URL and/or direct answer","Omissions ""Not applicable.","Omissions ""Not applicable.","Omissions ""Not applicable.","Omissions ""Not applicable.","Omissions ""Not applicable.",External Assurance,External Assurance,Global Compact principle,,,
,304-4 IUCN Red List species and national conservation list species with habitats in areas affected by operations,304-4 IUCN Red List species and national conservation list species with habitats in areas affected by operations,"Inditex is committed to protecting and nurturing biodiversity by means of responsible and sustainable management of natural resources. For further information, refer to the Group's Biodiversity Strategy and Forest Product Policy, available at the corporate web page of Inditex, How we do business section, Our Commitment to the Environment - Biodiversity heading.","Inditex is committed to protecting and nurturing biodiversity by means of responsible and sustainable management of natural resources. For further information, refer to the Group's Biodiversity Strategy and Forest Product Policy, available at the corporate web page of Inditex, How we do business section, Our Commitment to the Environment - Biodiversity heading.","Inditex is committed to protecting and nurturing biodiversity by means of responsible and sustainable management of natural resources. For further information, refer to the Group's Biodiversity Strategy and Forest Product Policy, available at the corporate web page of Inditex, How we do business section, Our Commitment to the Environment - Biodiversity heading.","Inditex's business is to distribute fashion garments (clothing,footwear and accessories) and home textiles, which it procures as finished products from its suppliers;as a result, the organisation's operations have no direct impact on any habitats. As for its suppliers, the Company has a number of programmes (e.g., The List by Inditex, Green to Wear, etc.） designed to drive environmental sustainability across its supply chain.""","Inditex's business is to distribute fashion garments (clothing,footwear and accessories) and home textiles, which it procures as finished products from its suppliers;as a result, the organisation's operations have no direct impact on any habitats. As for its suppliers, the Company has a number of programmes (e.g., The List by Inditex, Green to Wear, etc.） designed to drive environmental sustainability across its supply chain.""","Inditex's business is to distribute fashion garments (clothing,footwear and accessories) and home textiles, which it procures as finished products from its suppliers;as a result, the organisation's operations have no direct impact on any habitats. As for its suppliers, the Company has a number of programmes (e.g., The List by Inditex, Green to Wear, etc.） designed to drive environmental sustainability across its supply chain.""","Inditex's business is to distribute fashion garments (clothing,footwear and accessories) and home textiles, which it procures as finished products from its suppliers;as a result, the organisation's operations have no direct impact on any habitats. As for its suppliers, the Company has a number of programmes (e.g., The List by Inditex, Green to Wear, etc.） designed to drive environmental sustainability across its supply chain.""","Inditex's business is to distribute fashion garments (clothing,footwear and accessories) and home textiles, which it procures as finished products from its suppliers;as a result, the organisation's operations have no direct impact on any habitats. As for its suppliers, the Company has a number of programmes (e.g., The List by Inditex, Green to Wear, etc.） designed to drive environmental sustainability across its supply chain.""",,,Principle 8,,,
