,,,,Pseudoephedri,Pseudoephedri,Pseudoephedri
Eritrea,0,0,0,0,0,0
Estonia,3,5,1,500,0,0
Ethiopia,"1,000",,,100,0,
Faroe Islands,0,0,0,0,0,0
Falkland Islands (Malvinas),0,1,0,1,0i,0
Fiji,,1,,,0i,
Finland,4,50,0,450,0,1
France,1,10,32 000,500,0,0
Gambia,0,0,0,0,0,0
Georgia,1,1,1,1,1,1
Germany,400,,5000,,1,7
Ghana,4 500,300,3 000,200,0,0
Greece,100,0,500,0,0,0
Greenland,0,0,0,0,0,0
Guatemala,0,,P,P,0,0
Guinea,36,,,,0i,
Guinea-Bissau,0,0,0,0,0,0
Guyana,120,50,120,30,0,0
Haiti,200,1,350,11,0,0
Honduras,P,P 1050 e,P,P,0,0
Hungary,900,0,31,0,0,1800
Iceland,0,0,0,0,0,0
India,702 507,112 729,269 350,193 801,0,0
Indonesia,13 000,0,52 000,6 200,0,0
Iran (Islamic Republic of),2,1,17 000,1,1,1
Iraq,3000,100,14 000,10 000,0,P h
Ireland,150,4,1,1164,0,0
Israel,248,6 075,20 582,164,0i,
Italy,100,100,10 000,30 000,0,0
Jamaica,70,150,550,300,0,0
Japan,5000,,12 000,,0i,
Jordan,130,,38 000,,0,P
Kazakhstan,0,1,0,1,1,1
Kenya,1500,2000,1500,2000,0,0
Kyrgyzstan,0,0,0,100 000,0,0
Lao People's Democratic,,,,,,
Republic,0,0,1000,130,0,0
Latvia,10,4,50,200,0,0
Lebanon,60,3,550,900,0,0
Lithuania,1,1,1,700,1,1
Luxembourg,1,0,0,0,0,0
Madagascar,0,153,0,174,0,0
Malawi,1000,,,,0i,
Malaysia,44,5,3 660,3 017,0,0
Maldives,0,1,0,0,0,0
Mali,P,P,P,P,P,P
Malta,0,220,0,220,0,0
Mauritius,0,0,0,0,0,0
Mexico,P(150) f,Pf,P,P,0,1
Monaco,0,0,0,0,0,0
Mongolia,0,0,0,0,0,0
Montenegro,0,2,0,205,0,0
Montserrat,0,0,0,1,0,0
Morocco,41,16,2 971,0,0,0
Mozambique,3,,,,0i,
Myanmar,15,11,0,0,0,0
Namibia,0,0,0,0,0,0
Nepal,,1,5000,,0i,
Netherlands,300,50,650,0,0,1
New Zealand,50,0,1000,,0,3
Nicaragua,Pg,Pg,P,P,0,0
Nigeria,9 650,500,5823,15 000,0,O
Norfolk Island,0,0,0,0,0,0
Norway,10,0,1,1,1,1
Oman,1,3,228,443,0i,
Pakistan,12 000,,48 000,500,0i,
Panama,0,5,200,200,0,
Papua New Guinea,1,,200,,0,0
Paraguay,0,0,2 500,0,0,0
Peru,45,0,2 524,1078,0,0
Philippines,46,0,149,0,0,0
Poland,310,100,7 500,3000,3,4
Portugal,8,0,665,0,0,0
Qatar,0,0,0,80,0,0
Republic of Korea,28 897,,27 544,,1,1
Republic of Moldova,0,8,0,600,0,0
Romania,225,,2295,,0,1
Russian Federation,1500,,,,0i,
Rwanda,,10,,10,2,2
Saint Helena,0,1,0,1,0,0
Saint Lucia,0,6,0,15,0,0
Saint Vincent and the,,,,,,
Grenadines,0,,0,,0,0
Sao Tome and Principe,0,0,0,0,0,0
Saudi Arabia,1,0,12 000,0,0,0
Senegal,123,1,0,510,0,0
Seychelles,,1,,1,0i,
Serbia,1.8,1,205,351,0,1
Singapore,7000,45,25000,2800,1,1
Slovakia,20,6,1,1,0,0
Slovenia,374,,250,,0,0
Solomon Islands,0,1,0,1,0,0
South Africa,1071,2 630,3001,887 112,0,0
Spain,227,,8284,,0,13 79
Sri Lanka,0,0,0,0,0,0
Sudan,0,50,1500,3000,0,
Sweden,190,160,1,1,1,11
Switzerland,2 000,,85000,,50,5
Syrian Arab Republic,1000,,50 000,,0i,
Tajikistan,38,,,,0i,
Thailand,15,0,2 601,0,0,1
Trinidad and Tobago,,,,,0i,0
Tristan da Cunha,0,0,0,0,0,0
Tunisia,1,15,3 000,1,0,30
Turkey,250,0,55 000,7 000,0,0
Turkmenistan,0,0,0,0,0,0
Uganda,150,35,3 000,200,0,0
Ukraine,0,56,23,0,0,0
United Arab Emirates,0,0,1533,3 894,0,0
United Kingdom,64 448,1011,25 460,1683,8,1
United Republic of,,,,,,
Tanzania,100,1500,2 000,200,0i,
United States of America,4 860,,186 000,,0i,47 183
Uruguay,15,0,0,0,0,0
Uzbekistan,0,0,0,,0,0
Venezuela (Bolivarian,,,,,,
Rep. of),60,500,2 425,500,0,0
Yemen,75,75,3000,2 000,0i,
Zambia,50,25,50,100,0i,
Zimbabwe,25,1,400,50,0,0
