AMOUNT OF GAIN (LOSS) RECOGNIZED IN INCOME ON DERIVATIVES,YEAR ENDED MAY 31,2021,2020,2019,LOCATION OF GAIN (LOSS) RECOGNIZED IN INCOME ON DERIVATIVES,Dollars in millions,Derivatives not designated as hedging instruments:,Foreign exchange forwards and options,"Other (income) expense, net",Embedded derivatives,"Other (income) expense, net"
AMOUNT OF GAIN (LOSS) RECOGNIZED IN INCOME ON DERIVATIVES,Foreign exchange forwards and options,Embedded derivatives,"Other (income) expense, net","Other (income) expense, net",Dollars in millions,Derivatives not designated as hedging instruments:,Foreign exchange forwards and options,Embedded derivatives,"Other (income) expense, net","Other (income) expense, net","YEAR ENDED MAY 31,2021,2020,2019,2021,2020,2019,2021,2020,2019"
AMOUNT OF GAIN (LOSS) RECOGNIZED IN INCOME ON DERIVATIVES,Foreign exchange forwards and options,Embedded derivatives,"Other (income) expense, net","Other (income) expense, net",Dollars in millions,Derivatives not designated as hedging instruments:,Foreign exchange forwards and options,Embedded derivatives,"Other (income) expense, net","Other (income) expense, net","YEAR ENDED MAY 31,2021,2020,2019,2021,2020,2019,2021,2020,2019"
AMOUNT OF GAIN (LOSS) RECOGNIZED IN INCOME ON DERIVATIVES,Foreign exchange forwards and options,Embedded derivatives,"Other (income) expense, net","Other (income) expense, net",Dollars in millions,Derivatives not designated as hedging instruments:,Foreign exchange forwards and options,Embedded derivatives,"Other (income) expense, net","Other (income) expense, net","YEAR ENDED MAY 31,2021,2020,2019,2021,2020,2019,2021,2020,2019"
AMOUNT OF GAIN (LOSS) RECOGNIZED IN INCOME ON DERIVATIVES,Foreign exchange forwards and options,Embedded derivatives,"Other (income) expense, net","Other (income) expense, net",Dollars in millions,Derivatives not designated as hedging instruments:,Foreign exchange forwards and options,Embedded derivatives,"Other (income) expense, net","Other (income) expense, net","YEAR ENDED MAY 31,2021,2020,2019,2021,2020,2019,2021,2020,2019"
AMOUNT OF GAIN (LOSS) RECOGNIZED IN INCOME ON DERIVATIVES,Foreign exchange forwards and options,Embedded derivatives,"Other (income) expense, net","Other (income) expense, net",Dollars in millions,Derivatives not designated as hedging instruments:,Foreign exchange forwards and options,Embedded derivatives,"Other (income) expense, net","Other (income) expense, net","YEAR ENDED MAY 31,2021,2020,2019,2021,2020,2019,2021,2020,2019"
AMOUNT OF GAIN (LOSS) RECOGNIZED IN INCOME ON DERIVATIVES,Foreign exchange forwards and options,Embedded derivatives,"Other (income) expense, net","Other (income) expense, net",Dollars in millions,Derivatives not designated as hedging instruments:,Foreign exchange forwards and options,Embedded derivatives,"Other (income) expense, net","Other (income) expense, net","YEAR ENDED MAY 31,2021,2020,2019,2021,2020,2019,2021,2020,2019"
AMOUNT OF GAIN (LOSS) RECOGNIZED IN INCOME ON DERIVATIVES,Foreign exchange forwards and options,Embedded derivatives,"Other (income) expense, net","Other (income) expense, net",Dollars in millions,Derivatives not designated as hedging instruments:,Foreign exchange forwards and options,Embedded derivatives,"Other (income) expense, net","Other (income) expense, net","YEAR ENDED MAY 31,2021,2020,2019,2021,2020,2019,2021,2020,2019"
AMOUNT OF GAIN (LOSS) RECOGNIZED IN INCOME ON DERIVATIVES,Foreign exchange forwards and options,Embedded derivatives,"Other (income) expense, net","Other (income) expense, net",Dollars in millions,Derivatives not designated as hedging instruments:,Foreign exchange forwards and options,Embedded derivatives,"Other (income) expense, net","Other (income) expense, net","YEAR ENDED MAY 31,2021,2020,2019,2021,2020,2019,2021,2020,2019"
AMOUNT OF GAIN (LOSS) RECOGNIZED IN INCOME ON DERIVATIVES,Foreign exchange forwards and options,Embedded derivatives,"Other (income) expense, net","Other (income) expense, net",Dollars in millions,Derivatives not designated as hedging instruments:,Foreign exchange forwards and options,Embedded derivatives,"Other (income) expense, net","Other (income) expense, net","YEAR ENDED MAY 31,2021,2020,2019,2021,2020,2019,2021,2020,2019"
AMOUNT OF GAIN (LOSS) RECOGNIZED IN INCOME ON DERIVATIVES,Foreign exchange forwards and options,Embedded derivatives,"Other (income) expense, net","Other (income) expense, net",Dollars in millions,Derivatives not designated as hedging instruments:,Foreign exchange forwards and options,Embedded derivatives,"Other (income) expense, net","Other (income) expense, net","YEAR ENDED MAY 31,2021,2020,2019,2021,2020,2019,2021,2020,2019"
AMOUNT OF GAIN (LOSS) RECOGNIZED IN INCOME ON DERIVATIVES,Foreign exchange forwards and options,Embedded derivatives,"Other (income) expense, net","Other (income) expense, net",Dollars in millions,Derivatives not designated as hedging instruments:,Foreign exchange forwards and options,Embedded derivatives,"Other (income) expense, net","Other (income) expense, net","YEAR ENDED MAY 31,2021,2020,2019,2021,2020,2019,2021,2020,2019"
AMOUNT OF GAIN (LOSS) RECOGNIZED IN INCOME ON DERIVATIVES,Foreign exchange forwards and options,Embedded derivatives,"Other (income) expense, net","Other (income) expense, net",Dollars in millions,Derivatives not designated as hedging instruments:,Foreign exchange forwards and options,Embedded derivatives,"Other (income) expense, net","Other (income) expense, net","YEAR ENDED MAY 31,2021,2020,2019,2021,2020,2019,2021,2020,2019"
AMOUNT OF GAIN (LOSS) RECOGNIZED IN INCOME ON DERIVATIVES,Foreign exchange forwards and options,Embedded derivatives,"Other (income) expense, net","Other (income) expense, net",Dollars in millions,Derivatives not designated as hedging instruments:,Foreign exchange forwards and options,Embedded derivatives,"Other (income) expense, net","Other (income) expense, net","YEAR ENDED MAY 31,2021,2020,2019,2021,2020,2019,2021,2020,2019"
AMOUNT OF GAIN (LOSS) RECOGNIZED IN INCOME ON DERIVATIVES,Foreign exchange forwards and options,Embedded derivatives,"Other (income) expense, net","Other (income) expense, net",Dollars in millions,Derivatives not designated as hedging instruments:,Foreign exchange forwards and options,Embedded derivatives,"Other (income) expense, net","Other (income) expense, net","YEAR ENDED MAY 31,2021,2020,2019,2021,2020,2019,2021,2020,2019"
AMOUNT OF GAIN (LOSS) RECOGNIZED IN INCOME ON DERIVATIVES,Foreign exchange forwards and options,Embedded derivatives,"Other (income) expense, net","Other (income) expense, net",Dollars in millions,Derivatives not designated as hedging instruments:,Foreign exchange forwards and options,Embedded derivatives,"Other (income) expense, net","Other (income) expense, net","YEAR ENDED MAY 31,2021,2020,2019,2021,2020,2019,2021,2020,2019"
AMOUNT OF GAIN (LOSS) RECOGNIZED IN INCOME ON DERIVATIVES,Foreign exchange forwards and options,Embedded derivatives,"Other (income) expense, net","Other (income) expense, net",Dollars in millions,Derivatives not designated as hedging instruments:,Foreign exchange forwards and options,Embedded derivatives,"Other (income) expense, net","Other (income) expense, net","YEAR ENDED MAY 31,2021,2020,2019,2021,2020,2019,2021,2020,2019"
AMOUNT OF GAIN (LOSS) RECOGNIZED IN INCOME ON DERIVATIVES,Foreign exchange forwards and options,Embedded derivatives,"Other (income) expense, net","Other (income) expense, net",Dollars in millions,Derivatives not designated as hedging instruments:,Foreign exchange forwards and options,Embedded derivatives,"Other (income) expense, net","Other (income) expense, net","YEAR ENDED MAY 31,2021,2020,2019,2021,2020,2019,2021,2020,2019"
AMOUNT OF GAIN (LOSS) RECOGNIZED IN INCOME ON DERIVAT,,,,,,,,,,,
