Operations:RevenueGross profit .Income before income taxes Net income.Net income per share:.Basic...Diluted..Shares used to compute basic net income per share...,Operations:RevenueGross profit .Income before income taxes Net income.Net income per share:.Basic...Diluted..Shares used to compute basic net income per share...,Operations:RevenueGross profit .Income before income taxes Net income.Net income per share:.Basic...Diluted..Shares used to compute basic net income per share...,Operations:RevenueGross profit .Income before income taxes Net income.Net income per share:.Basic...Diluted..Shares used to compute basic net income per share...,Operations:RevenueGross profit .Income before income taxes Net income.Net income per share:.Basic...Diluted..Shares used to compute basic net income per share...,"498,764","497,867","501,372","494,731","497,469",,,,,
"Shares used to compute diluted net income per shareCash dividends declared per common shareFinancial position:(1)Cash, cash equivalents and short-term investments .. $ 3,988,084Working capital(2).Total assets.","Shares used to compute diluted net income per shareCash dividends declared per common shareFinancial position:(1)Cash, cash equivalents and short-term investments .. $ 3,988,084Working capital(2).Total assets.","Shares used to compute diluted net income per shareCash dividends declared per common shareFinancial position:(1)Cash, cash equivalents and short-term investments .. $ 3,988,084Working capital(2).Total assets.","Shares used to compute diluted net income per shareCash dividends declared per common shareFinancial position:(1)Cash, cash equivalents and short-term investments .. $ 3,988,084Working capital(2).Total assets.","Shares used to compute diluted net income per shareCash dividends declared per common shareFinancial position:(1)Cash, cash equivalents and short-term investments .. $ 3,988,084Working capital(2).Total assets.","507,164","508,480","513,476","502,721","503,921",,,,,
"Shares used to compute diluted net income per shareCash dividends declared per common shareFinancial position:(1)Cash, cash equivalents and short-term investments .. $ 3,988,084Working capital(2).Total assets.","Shares used to compute diluted net income per shareCash dividends declared per common shareFinancial position:(1)Cash, cash equivalents and short-term investments .. $ 3,988,084Working capital(2).Total assets.","Shares used to compute diluted net income per shareCash dividends declared per common shareFinancial position:(1)Cash, cash equivalents and short-term investments .. $ 3,988,084Working capital(2).Total assets.","Shares used to compute diluted net income per shareCash dividends declared per common shareFinancial position:(1)Cash, cash equivalents and short-term investments .. $ 3,988,084Working capital(2).Total assets.","Shares used to compute diluted net income per shareCash dividends declared per common shareFinancial position:(1)Cash, cash equivalents and short-term investments .. $ 3,988,084Working capital(2).Total assets.",$,$,$,$,$,,,,,
"Shares used to compute diluted net income per shareCash dividends declared per common shareFinancial position:(1)Cash, cash equivalents and short-term investments .. $ 3,988,084Working capital(2).Total assets.","Shares used to compute diluted net income per shareCash dividends declared per common shareFinancial position:(1)Cash, cash equivalents and short-term investments .. $ 3,988,084Working capital(2).Total assets.","Shares used to compute diluted net income per shareCash dividends declared per common shareFinancial position:(1)Cash, cash equivalents and short-term investments .. $ 3,988,084Working capital(2).Total assets.","Shares used to compute diluted net income per shareCash dividends declared per common shareFinancial position:(1)Cash, cash equivalents and short-term investments .. $ 3,988,084Working capital(2).Total assets.","Shares used to compute diluted net income per shareCash dividends declared per common shareFinancial position:(1)Cash, cash equivalents and short-term investments .. $ 3,988,084Working capital(2).Total assets.",,,,,,,,,,
"Shares used to compute diluted net income per shareCash dividends declared per common shareFinancial position:(1)Cash, cash equivalents and short-term investments .. $ 3,988,084Working capital(2).Total assets.","Shares used to compute diluted net income per shareCash dividends declared per common shareFinancial position:(1)Cash, cash equivalents and short-term investments .. $ 3,988,084Working capital(2).Total assets.","Shares used to compute diluted net income per shareCash dividends declared per common shareFinancial position:(1)Cash, cash equivalents and short-term investments .. $ 3,988,084Working capital(2).Total assets.","Shares used to compute diluted net income per shareCash dividends declared per common shareFinancial position:(1)Cash, cash equivalents and short-term investments .. $ 3,988,084Working capital(2).Total assets.","Shares used to compute diluted net income per shareCash dividends declared per common shareFinancial position:(1)Cash, cash equivalents and short-term investments .. $ 3,988,084Working capital(2).Total assets.","$3,988,084","$3,739,491","$3,173,752","$3,538,353","$2,911,692",,,,,
"Shares used to compute diluted net income per shareCash dividends declared per common shareFinancial position:(1)Cash, cash equivalents and short-term investments .. $ 3,988,084Working capital(2).Total assets.","Shares used to compute diluted net income per shareCash dividends declared per common shareFinancial position:(1)Cash, cash equivalents and short-term investments .. $ 3,988,084Working capital(2).Total assets.","Shares used to compute diluted net income per shareCash dividends declared per common shareFinancial position:(1)Cash, cash equivalents and short-term investments .. $ 3,988,084Working capital(2).Total assets.","Shares used to compute diluted net income per shareCash dividends declared per common shareFinancial position:(1)Cash, cash equivalents and short-term investments .. $ 3,988,084Working capital(2).Total assets.","Shares used to compute diluted net income per shareCash dividends declared per common shareFinancial position:(1)Cash, cash equivalents and short-term investments .. $ 3,988,084Working capital(2).Total assets.","$2,608,336","$2,107,893","$2,520,281","$3,125,314","$2,520,672",,,,,
"Shares used to compute diluted net income per shareCash dividends declared per common shareFinancial position:(1)Cash, cash equivalents and short-term investments .. $ 3,988,084Working capital(2).Total assets.","Shares used to compute diluted net income per shareCash dividends declared per common shareFinancial position:(1)Cash, cash equivalents and short-term investments .. $ 3,988,084Working capital(2).Total assets.","Shares used to compute diluted net income per shareCash dividends declared per common shareFinancial position:(1)Cash, cash equivalents and short-term investments .. $ 3,988,084Working capital(2).Total assets.","Shares used to compute diluted net income per shareCash dividends declared per common shareFinancial position:(1)Cash, cash equivalents and short-term investments .. $ 3,988,084Working capital(2).Total assets.","Shares used to compute diluted net income per shareCash dividends declared per common shareFinancial position:(1)Cash, cash equivalents and short-term investments .. $ 3,988,084Working capital(2).Total assets.","$11,726,472","$10,785,829","$10,380,298","$10,040,229","$8,991,183",,,,,
"Debt and capital lease obligations, non-current..Stockholders’equity.","Debt and capital lease obligations, non-current..Stockholders’equity.","Debt and capital lease obligations, non-current..Stockholders’equity.","Debt and capital lease obligations, non-current..Stockholders’equity.","Debt and capital lease obligations, non-current..Stockholders’equity.","$ 1,907,231","$ 911,086","$1,499,297","$1,496,938","$1,505,096",,,,,
"Debt and capital lease obligations, non-current..Stockholders’equity.","Debt and capital lease obligations, non-current..Stockholders’equity.","Debt and capital lease obligations, non-current..Stockholders’equity.","Debt and capital lease obligations, non-current..Stockholders’equity.","Debt and capital lease obligations, non-current..Stockholders’equity.","$ 7,001,580","$ 6,775,905","$6,724,634","$6,665,182","$5,783,113",,,,,
Additional data:Worldwide employees.,Additional data:Worldwide employees.,Additional data:Worldwide employees.,Additional data:Worldwide employees.,Additional data:Worldwide employees.,,,,,,,,,,
Additional data:Worldwide employees.,Additional data:Worldwide employees.,Additional data:Worldwide employees.,Additional data:Worldwide employees.,Additional data:Worldwide employees.,"13,893","12,499","11,847","11,144","9,925",,,,,
