United States of America,Philippines,Joint operations (c),Country of incorporation
BHP Foreign Holdings Inc.,BHP Petroleum (Foreign Exploration Holdings) LLC,BHP Petroleum (Foreign Exploration Holdings) LLC,Australia
BHP Foreign Holdings Inc.,BHP Petroleum (Mexico Holdings) LLC,BHP Petroleum (Mexico Holdings) LLC,Australia
BHP Foreign Holdings Inc.,BHP Petroleum (North America) LLC,BHP Petroleum (North America) LLC,Australia
BHP Foreign Holdings Inc.,BHP Resolution Holdings LLC,BHP Resolution Holdings LLC,Australia
BHP Foreign Holdings Inc.,BHP Resources Inc.,BHP Resources Inc.,Australia
BHP Foreign Holdings Inc.,Broken Hill Proprietary (USA) Inc.,Broken Hill Proprietary (USA) Inc.,Australia
BHP Foreign Holdings Inc.,Hamilton Brothers Petroleum Corporation,Hamilton Brothers Petroleum Corporation,Australia
BHP Foreign Holdings Inc.,Hamilton Oil Company Inc.,Hamilton Oil Company Inc.,Australia
BHP Foreign Holdings Inc.,Rio Algom Mining LLC,Rio Algom Mining LLC,Australia
BHP Foreign Holdings Inc.,WMC (Argentina) Inc.,WMC (Argentina) Inc.,Australia
BHP Foreign Holdings Inc.,WMC Corporate Services Inc.,WMC Corporate Services Inc.,Australia
Subsidiaries where effective interest is less than 100 per cent (b),Country of incorporation,Australia,"Canada,Japan,Liberia,Mexico"
Country of incorporation,Australia,Canada,"Japan,Liberia,Mexico,Australia"
Registered office address,"125 St Georges Terrace, Perth, WA 6000, Australia","Suite 1500, 1874 Scarth Street, Regina, SK, S4P 4E9, Canada","1-8-3 Marunouchi, Chiyoda-ku, Tokyo, Japan,80 Broad Street, Monrovia, Liberia,Av. Ejercito Nacional #769, Torre B, Piso 3, Colonia Granada, Delegación Miguel Hidalgo, Ciudad de Mexico, 11520, Mexico,Australia"
Company Name,BHP Iron Ore (Jimblebar) Pty Ltd (85%) (g)(h)(a),BHP SaskPower Carbon Capture and Storage (CCS) Knowledge Centre Inc. (50%) (i),"BMA Japan KK (50%),Blue Ocean Bulk Shipping Limited (50%),Trion (60%) (j),Australia"
"Level 14, 480 Queen Street, Brisbane, QLD 4000, Australia","Level 14, 480 Queen Street, Brisbane, QLD 4000, Australia","Level 14, 480 Queen Street, Brisbane, QLD 4000, Australia","Level 14, 480 Queen Street, Brisbane, QLD 4000, Australia,Level 14, 480 Queen Street, Brisbane, QLD 4000, Australia,Level 14, 480 Queen Street, Brisbane, QLD 4000, Australia,Australia"
BHP Mitsui Coal Pty Ltd (80%) (i),BHP Mitsui Coal Pty Ltd (80%) (i),BHP Mitsui Coal Pty Ltd (80%) (i),"BHP Mitsui Coal Pty Ltd (80%) (i),BHP Mitsui Coal Pty Ltd (80%) (i),BHP Mitsui Coal Pty Ltd (80%) (i),Australia"
Red Mountain Infrastructure Pty Ltd (80%),Red Mountain Infrastructure Pty Ltd (80%),Red Mountain Infrastructure Pty Ltd (80%),"Red Mountain Infrastructure Pty Ltd (80%),Red Mountain Infrastructure Pty Ltd (80%),Red Mountain Infrastructure Pty Ltd (80%),Australia"
Country of incorporation,Australia,Brazil,"Chile,Brazil,Chile,Brazil"
Registered office address,"Rua Paraíba, 1122, 5° andar, Belo Horizonte, MG, 30130-918, Brazil","Cerro El Plomo 6000, Piso 15, Las Condes, Santiago, Chile","Cerro El Plomo 6000, Piso 15, Las Condes, Santiago, Chile,Cerro El Plomo 6000, Piso 15, Las Condes, Santiago, Chile,Cerro El Plomo 6000, Piso 15, Las Condes, Santiago, Chile,Cerro El Plomo 6000, Piso 15, Las Condes, Santiago, Chile"
Company Name,Consórcio Santos Luz de Imóveis Ltda (90%),Kelti S.A. (57.5%),"Minera Escondida Ltda (57.5%) (j),Consórcio Santos Luz de Imóveis Ltda (90%),Kelti S.A. (57.5%),Minera Escondida Ltda (57.5%) (j)"
