Smelteroperation,Smelteroperation,between 2025,Leinster,mineralisation,Contracts expire,Contracts expire,Contracts expire,Contracts expire,,
Rocky's Reward,Rocky's Reward,and 2040,underground,associated with,in December,in December,in December,in December,,
,,Renewals,ceased,metamorphosed,2038,2038,2038,2038,,
open-pit mine,open-pit mine,Renewals,ceased,metamorphosed,2038,2038,2038,2038,,
of principalmineral lease inaccordance withState Agreementratified by theNickel (Agnew)Agreement Act1974,of principalmineral lease inaccordance withState Agreementratified by theNickel (Agnew)Agreement Act1974,of principalmineral lease inaccordance withState Agreementratified by theNickel (Agnew)Agreement Act1974,of principal,operations,ultramafic lava flows,ultramafic lava flows,ultramafic lava flows,Natural gas,,
of principalmineral lease inaccordance withState Agreementratified by theNickel (Agnew)Agreement Act1974,of principalmineral lease inaccordance withState Agreementratified by theNickel (Agnew)Agreement Act1974,of principalmineral lease inaccordance withState Agreementratified by theNickel (Agnew)Agreement Act1974,mineral lease in,in 2013 and,and intrusions,,,,,
of principalmineral lease inaccordance withState Agreementratified by theNickel (Agnew)Agreement Act1974,of principalmineral lease inaccordance withState Agreementratified by theNickel (Agnew)Agreement Act1974,of principalmineral lease inaccordance withState Agreementratified by theNickel (Agnew)Agreement Act1974,accordance with,recommenced,,,,,,
of principalmineral lease inaccordance withState Agreementratified by theNickel (Agnew)Agreement Act1974,of principalmineral lease inaccordance withState Agreementratified by theNickel (Agnew)Agreement Act1974,of principalmineral lease inaccordance withState Agreementratified by theNickel (Agnew)Agreement Act1974,State Agreement,operations in,,under separatelong-term,under separatelong-term,under separatelong-term,under separatelong-term,
of principalmineral lease inaccordance withState Agreementratified by theNickel (Agnew)Agreement Act1974,of principalmineral lease inaccordance withState Agreementratified by theNickel (Agnew)Agreement Act1974,of principalmineral lease inaccordance withState Agreementratified by theNickel (Agnew)Agreement Act1974,ratified by the,2016 with Venus,2016 with Venus,under separatelong-term,under separatelong-term,under separatelong-term,under separatelong-term,
of principalmineral lease inaccordance withState Agreementratified by theNickel (Agnew)Agreement Act1974,of principalmineral lease inaccordance withState Agreementratified by theNickel (Agnew)Agreement Act1974,of principalmineral lease inaccordance withState Agreementratified by theNickel (Agnew)Agreement Act1974,Nickel (Agnew),sub-level cave,,contracts,contracts,contracts,contracts,
of principalmineral lease inaccordance withState Agreementratified by theNickel (Agnew)Agreement Act1974,of principalmineral lease inaccordance withState Agreementratified by theNickel (Agnew)Agreement Act1974,of principalmineral lease inaccordance withState Agreementratified by theNickel (Agnew)Agreement Act1974,Agreement Act,now in operation,now in operationand B11 blockcave developingits undercut andfirst draw points,now in operationand B11 blockcave developingits undercut andfirst draw points,now in operationand B11 blockcave developingits undercut andfirst draw points,now in operationand B11 blockcave developingits undercut andfirst draw points,now in operationand B11 blockcave developingits undercut andfirst draw points,
of principalmineral lease inaccordance withState Agreementratified by theNickel (Agnew)Agreement Act1974,of principalmineral lease inaccordance withState Agreementratified by theNickel (Agnew)Agreement Act1974,of principalmineral lease inaccordance withState Agreementratified by theNickel (Agnew)Agreement Act1974,1974,,,,,,,
of principalmineral lease inaccordance withState Agreementratified by theNickel (Agnew)Agreement Act1974,of principalmineral lease inaccordance withState Agreementratified by theNickel (Agnew)Agreement Act1974,of principalmineral lease inaccordance withState Agreementratified by theNickel (Agnew)Agreement Act1974,,,now in operationand B11 blockcave developingits undercut andfirst draw points,now in operationand B11 blockcave developingits undercut andfirst draw points,now in operationand B11 blockcave developingits undercut andfirst draw points,now in operationand B11 blockcave developingits undercut andfirst draw points,now in operationand B11 blockcave developingits undercut andfirst draw points,
of principalmineral lease inaccordance withState Agreementratified by theNickel (Agnew)Agreement Act1974,of principalmineral lease inaccordance withState Agreementratified by theNickel (Agnew)Agreement Act1974,of principalmineral lease inaccordance withState Agreementratified by theNickel (Agnew)Agreement Act1974,,,now in operationand B11 blockcave developingits undercut andfirst draw points,now in operationand B11 blockcave developingits undercut andfirst draw points,now in operationand B11 blockcave developingits undercut andfirst draw points,now in operationand B11 blockcave developingits undercut andfirst draw points,now in operationand B11 blockcave developingits undercut andfirst draw points,
