Country of incorporationArgentina,Country of incorporationArgentina,Country of incorporationArgentina,Australia,,,
,BHP Towage Services (Iron Kestrel) Pty Ltd,BHP Towage Services (Iron Kestrel) Pty Ltd,BHP Towage Services (Iron Kestrel) Pty Ltd,,,
BHP Towage Services (Iron Osprey) Pty Ltd,,,BHP FreightPtyLtd 0)(),,,
BHP Towage Services (Iron Whistler) Pty Ltd,,,,,,
BHP Towage Services (Iron Whistler) Pty Ltd,,,,,,
BHP Towage Services (Iron Whistler) Pty Ltd,,,BHP Group Operations PtyLtd ((ω),,,
BHP Towage Services (Mallna) Pty Ltd,,,BHP Innovation PtyLtd(0(t),,,
BHP Towage Services (Mount Florance) Pty Ltd,,,BHP Lonsdale Investments Pty Ltd 0)(0),,,
BHP Towage Services (RT Atlantis) Pty Ltd,,,BHP Manganese Australia Pty Ltd,,,
BHP Towage Services (RT Clerke) Pty Ltd,,,BHP Marine & General Insurances Pty Ltd(),,,
BHP Towage Services (RT Darwin) Pty Ltd,,,BHP Minerals Holdings ProprietaryLimited 00(ω),,,
,BHP Towage Services (RT Discovery) Pty Ltd,BHP Towage Services (RT Discovery) Pty Ltd,BHP Towage Services (RT Discovery) Pty Ltd,,,
,,,BHP Nickel West Pty Ltd(0(𝜔),,,
BHP Towage Services (RT Endeavour) Pty Ltd,,,BHP Nickel West Pty Ltd(0(𝜔),,,
BHP Towage Services (RT Enterprise) Pty Ltd,,,,,,
BHP Towage Services (RT Enterprise) Pty Ltd,,,,,,
BHP Towage Services (RT Enterprise) Pty Ltd,,,BHP Olympic Dam Corporation Pty Ltd @(),,,
BHP Towage Services (RT Imperieuse) Pty Ltd,,,BHP Pty Ltd,,,
,,,BHP Shared Business Services Pty Ltd (),,,
BHP Towage Services (RT Inspiration) Pty Ltd,,,BHP Shared Business Services Pty Ltd (),,,
BHP Towage Services (RT Rotation) Pty Ltd,,,,,,
BHP Towage Services (RT Rotation) Pty Ltd,,,,,,
BHP Towage Services (RT Rotation) Pty Ltd,,,BHP SSM Indonesia Holdings Pty Ltd (),,,
BHP Towage Services (RT Sensation) Pty Ltd,,,,,,
BHP Towage Services (RT Sensation) Pty Ltd,,,BHP SSM International Pty Ltd,,,
BHP Towage Services (RT Tough) Pty Ltd,,,BHP Titanium Minerals PtyLtd ((),,,
BHP WAIO Pty Ltd @(ω),,,BHP Western Mining Resources International Pty Ltd,,,
Pilbara Gas Pty Limited (t),,,BHP Yakabindie Nickel Pty Ltd,,,
Billiton Australia FinancePtyLtdUnited Iron Pty LtdThe Broken HillProprietaryCompanyPty Ltd ()(()WMC Finance (USA) Limited,Billiton Australia FinancePtyLtdUnited Iron Pty LtdThe Broken HillProprietaryCompanyPty Ltd ()(()WMC Finance (USA) Limited,Billiton Australia FinancePtyLtdUnited Iron Pty LtdThe Broken HillProprietaryCompanyPty Ltd ()(()WMC Finance (USA) Limited,Billiton Australia FinancePtyLtdUnited Iron Pty LtdThe Broken HillProprietaryCompanyPty Ltd ()(()WMC Finance (USA) Limited,,,
Billiton Australia FinancePtyLtdUnited Iron Pty LtdThe Broken HillProprietaryCompanyPty Ltd ()(()WMC Finance (USA) Limited,Billiton Australia FinancePtyLtdUnited Iron Pty LtdThe Broken HillProprietaryCompanyPty Ltd ()(()WMC Finance (USA) Limited,Billiton Australia FinancePtyLtdUnited Iron Pty LtdThe Broken HillProprietaryCompanyPty Ltd ()(()WMC Finance (USA) Limited,Billiton Australia FinancePtyLtdUnited Iron Pty LtdThe Broken HillProprietaryCompanyPty Ltd ()(()WMC Finance (USA) Limited,,,The Broken HillProprietaryCompanyPty Ltd ()(()
