"Mine typeTitle,leases &mineralisation Facilities, useMine&location Means of access Ownership Operator oroptions History style Power source &conditionNew South Wales Energy CoalMt Arthur Coal","Mine typeTitle,leases &mineralisation Facilities, useMine&location Means of access Ownership Operator oroptions History style Power source &conditionNew South Wales Energy CoalMt Arthur Coal","Mine typeTitle,leases &mineralisation Facilities, useMine&location Means of access Ownership Operator oroptions History style Power source &conditionNew South Wales Energy CoalMt Arthur Coal","Mine typeTitle,leases &mineralisation Facilities, useMine&location Means of access Ownership Operator oroptions History style Power source &conditionNew South Wales Energy CoalMt Arthur Coal","Mine typeTitle,leases &mineralisation Facilities, useMine&location Means of access Ownership Operator oroptions History style Power source &conditionNew South Wales Energy CoalMt Arthur Coal","Mine typeTitle,leases &mineralisation Facilities, useMine&location Means of access Ownership Operator oroptions History style Power source &conditionNew South Wales Energy CoalMt Arthur Coal","Mine typeTitle,leases &mineralisation Facilities, useMine&location Means of access Ownership Operator oroptions History style Power source &conditionNew South Wales Energy CoalMt Arthur Coal","Mine typeTitle,leases &mineralisation Facilities, useMine&location Means of access Ownership Operator oroptions History style Power source &conditionNew South Wales Energy CoalMt Arthur Coal","Mine typeTitle,leases &mineralisation Facilities, useMine&location Means of access Ownership Operator oroptions History style Power source &conditionNew South Wales Energy CoalMt Arthur Coal",,,,,
"of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port",,,,beyond 30 June,limited to 32Mtpa,,,
"of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port",,,,beyond 30 June,limited to 32Mtpa,,,
"of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port",2026,Domestic sales,,,,,,
"of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port",,,,,MAC holds 10,,,
"of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port",,2 sub leases and,,,,,,
"of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port",3 exploration,,,,,,,
"of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port",licences,,,,,,,
"of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port",,Stations has been,Stations has been,,,,,
"of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port",MAC's primary,Stations has beendecommissioned,Stations has beendecommissioned,,,,,
"of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port",exploration licence,Stations has beendecommissioned,Stations has beendecommissioned,,,,,
"of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port",(EL5965)was,Stations has beendecommissioned,Stations has beendecommissioned,,,,,
"of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port",renewed in fullin,Stations has beendecommissioned,Stations has beendecommissioned,,,,,
"of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port",December 2020 for,Stations has beendecommissioned,Stations has beendecommissioned,,,,,
"of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port",a further term until,Stations has beendecommissioned,Stations has beendecommissioned,,,,,
"of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port",July 2026,Stations has beendecommissioned,Stations has beendecommissioned,,,,,
"of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port",MAC's primary,Stations has beendecommissioned,Stations has beendecommissioned,,,,,
"of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port",Mining Lease (ML,Stations has beendecommissioned,Stations has beendecommissioned,,,,,
"of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port",1487) will expire,Stations has beendecommissioned,Stations has beendecommissioned,,,,,
"of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port",in June 2022. A,Stations has beendecommissioned,Stations has beendecommissioned,,,,,
"of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port",renewal application,Stations has beendecommissioned,Stations has beendecommissioned,,,,,
"of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port",was submitted inApril2021 seeking a,Stations has beendecommissioned,Stations has beendecommissioned,,,,,
"of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port","of Newcastle, transported byNew South third-party rail toWales, AustraliaNewcastle port",further 21years,Stations has beendecommissioned,Stations has beendecommissioned,,,,,
