financialstatementsourkowledgetadinteourseofthditotherwiseappearstoemateralystated.Ifwedetfysuch materialincosistesppretateralsatemntseidttetrtreateraatemtial statementsthemseles.fasedonteorkeaveperforedeocdethattreisaterialmtatementoftetrifotion,financialstatementsourkowledgetadinteourseofthditotherwiseappearstoemateralystated.Ifwedetfysuch materialincosistesppretateralsatemntseidttetrtreateraatemtial statementsthemseles.fasedonteorkeaveperforedeocdethattreisaterialmtatementoftetrifotion,financialstatementsourkowledgetadinteourseofthditotherwiseappearstoemateralystated.Ifwedetfysuch materialincosistesppretateralsatemntseidttetrtreateraatemtial statementsthemseles.fasedonteorkeaveperforedeocdethattreisaterialmtatementoftetrifotion,financialstatementsourkowledgetadinteourseofthditotherwiseappearstoemateralystated.Ifwedetfysuch materialincosistesppretateralsatemntseidttetrtreateraatemtial statementsthemseles.fasedonteorkeaveperforedeocdethattreisaterialmtatementoftetrifotion,financialstatementsourkowledgetadinteourseofthditotherwiseappearstoemateralystated.Ifwedetfysuch materialincosistesppretateralsatemntseidttetrtreateraatemtial statementsthemseles.fasedonteorkeaveperforedeocdethattreisaterialmtatementoftetrifotion,financialstatementsourkowledgetadinteourseofthditotherwiseappearstoemateralystated.Ifwedetfysuch materialincosistesppretateralsatemntseidttetrtreateraatemtial statementsthemseles.fasedonteorkeaveperforedeocdethattreisaterialmtatementoftetrifotion,
we are required to report that fact.,we are required to report that fact.,we are required to report that fact.,we are required to report that fact.,we are required to report that fact.,,
We have nothing to report in this regard. 8. Opinions on the Remuneration Report,We have nothing to report in this regard. 8. Opinions on the Remuneration Report,We have nothing to report in this regard. 8. Opinions on the Remuneration Report,We have nothing to report in this regard. 8. Opinions on the Remuneration Report,We have nothing to report in this regard. 8. Opinions on the Remuneration Report,We have nothing to report in this regard. 8. Opinions on the Remuneration Report,
8.1 EY Australia's opinion on the Remuneration Report EYAustraliahasauditedtheRemuneratioReporticuddinsctio22oftheAnualReprtfortheyearended3OJune2O1.Tedirectorsof,8.1 EY Australia's opinion on the Remuneration Report EYAustraliahasauditedtheRemuneratioReporticuddinsctio22oftheAnualReprtfortheyearended3OJune2O1.Tedirectorsof,8.1 EY Australia's opinion on the Remuneration Report EYAustraliahasauditedtheRemuneratioReporticuddinsctio22oftheAnualReprtfortheyearended3OJune2O1.Tedirectorsof,8.1 EY Australia's opinion on the Remuneration Report EYAustraliahasauditedtheRemuneratioReporticuddinsctio22oftheAnualReprtfortheyearended3OJune2O1.Tedirectorsof,8.1 EY Australia's opinion on the Remuneration Report EYAustraliahasauditedtheRemuneratioReporticuddinsctio22oftheAnualReprtfortheyearended3OJune2O1.Tedirectorsof,,
theCompanyareresposibleforthepreparationdpresentatioofthemuneratioeportinaccordanceithsectioOOAoftAstrala CorporationsAct2OEYAustraliasesposibiltistexprssanopinononteRemunerationReportasedonouruditconductedin,theCompanyareresposibleforthepreparationdpresentatioofthemuneratioeportinaccordanceithsectioOOAoftAstrala CorporationsAct2OEYAustraliasesposibiltistexprssanopinononteRemunerationReportasedonouruditconductedin,theCompanyareresposibleforthepreparationdpresentatioofthemuneratioeportinaccordanceithsectioOOAoftAstrala CorporationsAct2OEYAustraliasesposibiltistexprssanopinononteRemunerationReportasedonouruditconductedin,theCompanyareresposibleforthepreparationdpresentatioofthemuneratioeportinaccordanceithsectioOOAoftAstrala CorporationsAct2OEYAustraliasesposibiltistexprssanopinononteRemunerationReportasedonouruditconductedin,theCompanyareresposibleforthepreparationdpresentatioofthemuneratioeportinaccordanceithsectioOOAoftAstrala CorporationsAct2OEYAustraliasesposibiltistexprssanopinononteRemunerationReportasedonouruditconductedin,theCompanyareresposibleforthepreparationdpresentatioofthemuneratioeportinaccordanceithsectioOOAoftAstrala CorporationsAct2OEYAustraliasesposibiltistexprssanopinononteRemunerationReportasedonouruditconductedin,
accordance with Australian Auditing Standards. InEYAustralasopintheRemunerationReportofBGroupLmitedfortheyearended3OJune2complieswithsection3OAofthe,accordance with Australian Auditing Standards. InEYAustralasopintheRemunerationReportofBGroupLmitedfortheyearended3OJune2complieswithsection3OAofthe,accordance with Australian Auditing Standards. InEYAustralasopintheRemunerationReportofBGroupLmitedfortheyearended3OJune2complieswithsection3OAofthe,accordance with Australian Auditing Standards. InEYAustralasopintheRemunerationReportofBGroupLmitedfortheyearended3OJune2complieswithsection3OAofthe,accordance with Australian Auditing Standards. InEYAustralasopintheRemunerationReportofBGroupLmitedfortheyearended3OJune2complieswithsection3OAofthe,,
Australian Corporations Act 2001.,Australian Corporations Act 2001.,Australian Corporations Act 2001.,Australian Corporations Act 2001.,Australian Corporations Act 2001.,Australian Corporations Act 2001.,
"8.2 EY UK's opinion on the part of the Remuneration Report to be audited InEYUK'sopiteartoftemnratioeportpresribdytUompaescOtoditedetutiectite Annual Report,has been properly prepared inaccordance withtheUK Companies Act 2OO6.This coversthe following:","8.2 EY UK's opinion on the part of the Remuneration Report to be audited InEYUK'sopiteartoftemnratioeportpresribdytUompaescOtoditedetutiectite Annual Report,has been properly prepared inaccordance withtheUK Companies Act 2OO6.This coversthe following:","8.2 EY UK's opinion on the part of the Remuneration Report to be audited InEYUK'sopiteartoftemnratioeportpresribdytUompaescOtoditedetutiectite Annual Report,has been properly prepared inaccordance withtheUK Companies Act 2OO6.This coversthe following:","8.2 EY UK's opinion on the part of the Remuneration Report to be audited InEYUK'sopiteartoftemnratioeportpresribdytUompaescOtoditedetutiectite Annual Report,has been properly prepared inaccordance withtheUK Companies Act 2OO6.This coversthe following:","8.2 EY UK's opinion on the part of the Remuneration Report to be audited InEYUK'sopiteartoftemnratioeportpresribdytUompaescOtoditedetutiectite Annual Report,has been properly prepared inaccordance withtheUK Companies Act 2OO6.This coversthe following:",,
thesingletotalfigureforremuneratioofeachdirectorassetoutinsection2.23(separatediscosureforChiefExecutiveOfierand,thesingletotalfigureforremuneratioofeachdirectorassetoutinsection2.23(separatediscosureforChiefExecutiveOfierand,thesingletotalfigureforremuneratioofeachdirectorassetoutinsection2.23(separatediscosureforChiefExecutiveOfierand,thesingletotalfigureforremuneratioofeachdirectorassetoutinsection2.23(separatediscosureforChiefExecutiveOfierand,,,
Non-Executive Directors),Non-Executive Directors),Non-Executive Directors),Non-Executive Directors),,,
"details ofthe taxable benefits,assetout in thenotes to the single totalfigureforremuneration of each director CashandDeferedPlan(CDPandLong-TerncentivePlan‘LTI)performancetargetsandFY2O21CDPperformanceoutcomesandL performance outcomes,respectively","details ofthe taxable benefits,assetout in thenotes to the single totalfigureforremuneration of each director CashandDeferedPlan(CDPandLong-TerncentivePlan‘LTI)performancetargetsandFY2O21CDPperformanceoutcomesandL performance outcomes,respectively","details ofthe taxable benefits,assetout in thenotes to the single totalfigureforremuneration of each director CashandDeferedPlan(CDPandLong-TerncentivePlan‘LTI)performancetargetsandFY2O21CDPperformanceoutcomesandL performance outcomes,respectively","details ofthe taxable benefits,assetout in thenotes to the single totalfigureforremuneration of each director CashandDeferedPlan(CDPandLong-TerncentivePlan‘LTI)performancetargetsandFY2O21CDPperformanceoutcomesandL performance outcomes,respectively",,,
