Mejllones JX Nippon Mining plant in 2015 supergeneand Metals 10% enrichedCopper Inaugurationconcentrate JECO 2 Ltd 2.5% of Escondida porphyry copper SpA (100%,Mejllones JX Nippon Mining plant in 2015 supergeneand Metals 10% enrichedCopper Inaugurationconcentrate JECO 2 Ltd 2.5% of Escondida porphyry copper SpA (100%,Mejllones JX Nippon Mining plant in 2015 supergeneand Metals 10% enrichedCopper Inaugurationconcentrate JECO 2 Ltd 2.5% of Escondida porphyry copper SpA (100%,Mejllones JX Nippon Mining plant in 2015 supergeneand Metals 10% enrichedCopper Inaugurationconcentrate JECO 2 Ltd 2.5% of Escondida porphyry copper SpA (100%,Mejllones JX Nippon Mining plant in 2015 supergeneand Metals 10% enrichedCopper Inaugurationconcentrate JECO 2 Ltd 2.5% of Escondida porphyry copper SpA (100%,Mejllones JX Nippon Mining plant in 2015 supergeneand Metals 10% enrichedCopper Inaugurationconcentrate JECO 2 Ltd 2.5% of Escondida porphyry copper SpA (100%,Mejllones JX Nippon Mining plant in 2015 supergeneand Metals 10% enrichedCopper Inaugurationconcentrate JECO 2 Ltd 2.5% of Escondida porphyry copper SpA (100%,Mejllones JX Nippon Mining plant in 2015 supergeneand Metals 10% enrichedCopper Inaugurationconcentrate JECO 2 Ltd 2.5% of Escondida porphyry copper SpA (100%,Mejllones JX Nippon Mining plant in 2015 supergeneand Metals 10% enrichedCopper Inaugurationconcentrate JECO 2 Ltd 2.5% of Escondida porphyry copper SpA (100%,Mejllones JX Nippon Mining plant in 2015 supergeneand Metals 10% enrichedCopper Inaugurationconcentrate JECO 2 Ltd 2.5% of Escondida porphyry copper SpA (100%,Mejllones JX Nippon Mining plant in 2015 supergeneand Metals 10% enrichedCopper Inaugurationconcentrate JECO 2 Ltd 2.5% of Escondida porphyry copper SpA (100%,external vendors,external vendors,external vendors,from sulphide,,,,,,,,,,
Mejllones JX Nippon Mining plant in 2015 supergeneand Metals 10% enrichedCopper Inaugurationconcentrate JECO 2 Ltd 2.5% of Escondida porphyry copper SpA (100%,Mejllones JX Nippon Mining plant in 2015 supergeneand Metals 10% enrichedCopper Inaugurationconcentrate JECO 2 Ltd 2.5% of Escondida porphyry copper SpA (100%,Mejllones JX Nippon Mining plant in 2015 supergeneand Metals 10% enrichedCopper Inaugurationconcentrate JECO 2 Ltd 2.5% of Escondida porphyry copper SpA (100%,Mejllones JX Nippon Mining plant in 2015 supergeneand Metals 10% enrichedCopper Inaugurationconcentrate JECO 2 Ltd 2.5% of Escondida porphyry copper SpA (100%,Mejllones JX Nippon Mining plant in 2015 supergeneand Metals 10% enrichedCopper Inaugurationconcentrate JECO 2 Ltd 2.5% of Escondida porphyry copper SpA (100%,Mejllones JX Nippon Mining plant in 2015 supergeneand Metals 10% enrichedCopper Inaugurationconcentrate JECO 2 Ltd 2.5% of Escondida porphyry copper SpA (100%,Mejllones JX Nippon Mining plant in 2015 supergeneand Metals 10% enrichedCopper Inaugurationconcentrate JECO 2 Ltd 2.5% of Escondida porphyry copper SpA (100%,Mejllones JX Nippon Mining plant in 2015 supergeneand Metals 10% enrichedCopper Inaugurationconcentrate JECO 2 Ltd 2.5% of Escondida porphyry copper SpA (100%,Mejllones JX Nippon Mining plant in 2015 supergeneand Metals 10% enrichedCopper Inaugurationconcentrate JECO 2 Ltd 2.5% of Escondida porphyry copper SpA (100%,Mejllones JX Nippon Mining plant in 2015 supergeneand Metals 10% enrichedCopper Inaugurationconcentrate JECO 2 Ltd 2.5% of Escondida porphyry copper SpA (100%,Mejllones JX Nippon Mining plant in 2015 supergeneand Metals 10% enrichedCopper Inaugurationconcentrate JECO 2 Ltd 2.5% of Escondida porphyry copper SpA (100%,and Tamakaya,and Tamakaya,and Tamakaya,ore by flotation,,,,,,,,,,
Mejllones JX Nippon Mining plant in 2015 supergeneand Metals 10% enrichedCopper Inaugurationconcentrate JECO 2 Ltd 2.5% of Escondida porphyry copper SpA (100%,Mejllones JX Nippon Mining plant in 2015 supergeneand Metals 10% enrichedCopper Inaugurationconcentrate JECO 2 Ltd 2.5% of Escondida porphyry copper SpA (100%,Mejllones JX Nippon Mining plant in 2015 supergeneand Metals 10% enrichedCopper Inaugurationconcentrate JECO 2 Ltd 2.5% of Escondida porphyry copper SpA (100%,Mejllones JX Nippon Mining plant in 2015 supergeneand Metals 10% enrichedCopper Inaugurationconcentrate JECO 2 Ltd 2.5% of Escondida porphyry copper SpA (100%,Mejllones JX Nippon Mining plant in 2015 supergeneand Metals 10% enrichedCopper Inaugurationconcentrate JECO 2 Ltd 2.5% of Escondida porphyry copper SpA (100%,Mejllones JX Nippon Mining plant in 2015 supergeneand Metals 10% enrichedCopper Inaugurationconcentrate JECO 2 Ltd 2.5% of Escondida porphyry copper SpA (100%,Mejllones JX Nippon Mining plant in 2015 supergeneand Metals 10% enrichedCopper Inaugurationconcentrate JECO 2 Ltd 2.5% of Escondida porphyry copper SpA (100%,Mejllones JX Nippon Mining plant in 2015 supergeneand Metals 10% enrichedCopper Inaugurationconcentrate JECO 2 Ltd 2.5% of Escondida porphyry copper SpA (100%,Mejllones JX Nippon Mining plant in 2015 supergeneand Metals 10% enrichedCopper Inaugurationconcentrate JECO 2 Ltd 2.5% of Escondida porphyry copper SpA (100%,Mejllones JX Nippon Mining plant in 2015 supergeneand Metals 10% enrichedCopper Inaugurationconcentrate JECO 2 Ltd 2.5% of Escondida porphyry copper SpA (100%,Mejllones JX Nippon Mining plant in 2015 supergeneand Metals 10% enrichedCopper Inaugurationconcentrate JECO 2 Ltd 2.5% of Escondida porphyry copper SpA (100%,Copperconcentrate JECO 2 Ltd 2.5%,Copperconcentrate JECO 2 Ltd 2.5%,Copperconcentrate JECO 2 Ltd 2.5%,Copperconcentrate JECO 2 Ltd 2.5%,Copperconcentrate JECO 2 Ltd 2.5%,Copperconcentrate JECO 2 Ltd 2.5%,Copperconcentrate JECO 2 Ltd 2.5%,of Escondida,of Escondida,of Escondida,SpA(100%,SpA(100%,SpA(100%,extraction
,transported,transported,transported,transported,transported,transported,transported,Water Supply deposits,Water Supply deposits,Water Supply deposits,"owned by BHP),","owned by BHP),","owned by BHP),",process(by-,,,,,,,,,,
,by Escondida-,by Escondida-,by Escondida-,by Escondida-,by Escondida-,by Escondida-,by Escondida-,desalination,desalination,desalination,which generates,which generates,which generates,products:gold,,,,,,,,,,
,owned pipelines plant (CY2018),owned pipelines plant (CY2018),owned pipelines plant (CY2018),owned pipelines plant (CY2018),owned pipelines plant (CY2018),owned pipelines plant (CY2018),owned pipelines plant (CY2018),owned pipelines plant (CY2018),owned pipelines plant (CY2018),owned pipelines plant (CY2018),powerfromthe,powerfromthe,powerfromthe,and silver),,,,,,,,,,
,to its Coloso port and its extension,to its Coloso port and its extension,to its Coloso port and its extension,to its Coloso port and its extension,to its Coloso port and its extension,to its Coloso port and its extension,to its Coloso port and its extension,to its Coloso port and its extension,to its Coloso port and its extension,to its Coloso port and its extension,Kelar gas-fired,Kelar gas-fired,Kelar gas-fired,2 solvent,,,,,,,,,,
facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,facilities (CY2019),,,,,,,,,,
facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,Renewable,Renewable,Renewable,electrowinning,,,,,,,
facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,power,power,power,plants produce,,,,,,,
facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,agreements,agreements,agreements,copper cathode,,,,,,,
facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,,,,signed in FY2020,signed in FY2020,signed in FY2020,Nominal capacity:,,,,
facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,,,,,with supply to,with supply to,with supply to,153.7Mtpa,,,
facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,,,,,,commence in,commence in,commence in,(nominal milling,,
facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,facilities (CY2019) power plantRenewablepoweragreementssigned in FY2020with supply tocommence inFY2022,,,,FY2022,FY2022,FY2022,capacity)and,,,,
