Registered offices 111,Registered offices 111
169,"NairobiKenya00800 PlotNo.89-90 Mbezi Industrial Area Box347,DaresSalaam"
,"City,Tanzania,UnitedRepublicofTanzania"
170 171,"3avenuedelOpera,Paris,France,75001 37 avenue Henri Lafleur,Noumea,New Caledonia,BPK3"
172,"98849 Room1303,106 Feng Ze Dong Road,Nansha District,"
173,"Guangzhou,Guangdong, China Flat209,Hedge Fund Centreof Qianhai Shenzhen-Hong Kong"
174,"Fund Town No.128 Guiwan Five Road,Qianhai Shenzhen- Hong Kong Cooperation Zone,Shenzhen,China 17F,HSBCBuding，ShanghaiifcCenturyAvenue,udong"
175,"Shanghai, China HSBC Building 7267Olaya -Al Murrooj,Riyadh,Saudi Arabia,"
176,12283-2255 CT Corporation System 1200 South Pine Island Road
,"Plantationrtdeic c/o Trident Trust Company Trident Chambers,PO Box146,"
177,"Tortola,British VirginIslands"
178,"Office705,Level8,Tower2AlFatanCurrencyHouse,DIFC P.O.Box 506553,Dubai,UAE"
179,"Jayla Place Wickhams Cayl,POBox 3190,Road Town,British Virgin Islands"
180,"32rue du Champ de Tir,Nantes,France,44300"
181,"Ernst-Schneider-Platz1,uesseldorf,Germany21"
182,"AlAmir Abdulaziz IbnMossaad Ibn Jalawi Street,Riyadh, Saudi Arabia"
183,"Offce Block ABayStudios Business Park,Fabian Way"
,"Swansea,Wales,United Kingdom,SA1 8QB"
