- 101% to 110%,,,20,,,,,,,,,,,
,45,5.4,,1.5,1,,,,,,,,,
- 111% to 120%,10,11.1,1,4.8,一,一,一,一,一,一,一,一,一,一
- greater than 120%,21,9.0,2,3.0,,,,,,,,,,
- collateral valueon B,69,,20,,1,,,,,,,,,
Total,"7,163",1.0,"1,964",1.0,"1,117",,,,,,,,,
Stage 3,,,,,,二,二,二,二,二,二,二,二,二
Fully collateralised,"2,725",9.0,"1,177",9.9,44,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
LTVratio:,,,,,,,,,,,,,,
- less than 50% - 51% to 60%,"1,337",7.1,711,78,39,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
-61% to 70%,410 358,7.0,159,10.0,3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
-71% to 80%,309,7.9,136 100,10.6,,二,二,二,二,二,二,二,二,二
-81% to 90%,178,13.4,,18.9,,1,1,1,1,1,1,1,1,1
- 91% to 100%,,13.8,47,12.3,1,,,,,,,,,
Partially collateralised (C):,133,21.8,24,26.3,,,,,,,,,,
,371,47.6,25,27.3,,,,,,,,,,
LTV ratio:,,,,,,,,,,,,,,
-101% to 110%,97,36.4,11,19.1,,1,1,1,1,1,1,1,1,1
111% to 120% 1,62,37.8,6,22.7,,1,1,1,1,1,1,1,1,1
-greater than 120%,212,55.6,8,42.0,1,1,1,1,1,1,1,1,1,1
- collateral value on C,305,,24,,1,,,,,,,,,
Total,"3,096",13.7,"1,202",10.3,44,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
At 31 Dec 2019,"338,153",0.2,"147,264",0.1,"87,494",,,,,,,,,
