North America,"53,386","53,386","53,386","53,386","14,491","14,491","14,491","9,292","9,292","62,678",(637),(637),(637),(637),7(176)（4),7(176)（4),7(176)（4),(3)(2)(4),(3)(2)(4),"(160)(1,021)(340)",(73),(73),(73),(23),(23),(660),,,,,,,,,,,,,,
-Us,"30,425","30,425","30,425","30,425","7,722","7,722","7,722","7,708","7,708","38,133",(367),(367),(367),(367),7(176)（4),(38),(38),(38),(3),(3),(370)(252)(38),,,,,,,,,,,,,,,,,,,
-Canada,"22,361","22,361","22,361","22,361","6,645","6,645","6,645","1,440","1,440","23,801",(243),(243),(243),(243),(27)(8),(27)(8),(27)(8),(9)(11),(9)(11),,,,,,,,,,,,,,,,,,,,,
-other,600,600,600,600,124,124,124,144,144,744,(27),(27),(27),(27),(27)(8),(27)(8),(27)(8),(9)(11),(9)(11),,,,,,,,,,,,,,,,,,,,,
Latin America,"12,031","12,031","12,031","12,031","1,833","1,833","1,833","1,096","1,096","13,127",(661),(661),(661),(661),(113),(113),(113),(10),(10),(671),(370)(252)(38),,,,,,,,,,,,,,,,,,,
-Mexico,"10,244","10,244","10,244","10,244","1,8321","1,8321","1,8321","1,08313","1,08313","11,3271,800",(589),(589),(589),(589),(113)1,(113)1,(113)1,(10)一,(10)一,(599)(72),(370)(252)(38),,,,,,,,,,,,,,,,,,,
-other,"1,787","1,787","1,787","1,787","1,8321","1,8321","1,8321","1,08313","1,08313","11,3271,800",(72),(72),(72),(72),(113)1,(113)1,(113)1,(10)一,(10)一,(599)(72),,,,,,,,,,,,,,,,,,,,
At31Dec 2020,"527,088","527,088","527,088","527,088","127,027","127,027","127,027","64,580","64,580","591,668","(9,494)","(9,494)","(9,494)","(9,494)","(1,167)","(1,167)","(1,167)",(265),(265),"(9,759)",,,,,,,,,,,,,,,,,,,,
Europe,"175,215","175,215","175,215","175,215","26,587","26,587","26,587","26,497","26,497","201,712","(2,304)","(2,304)","(2,304)","(2,304)",(354),(354),(354),(81),(81),"(2,385)",,,,,,,,,,,,,,,,,,,,
- UK,"126,760","126,760","126,760","126,760","18,941","18,941","18,941","18,545","18,545","145,305","(1,629)","(1,629)","(1,629)","(1,629)",(303(28,(303(28,(303(28,(26)(52),(26)(52),"(1,655(475)",,,,,,,,,,,,,,,,,,,,
-France,"27,885","27,885","27,885","27,885","5,643","5,643","5,643","4,899","4,899","32,784",(423),(423),(423),(423),(303(28,(303(28,(303(28,(26)(52),(26)(52),"(1,655(475)",,,,,,,,,,,,,,,,,,,,
-Germany,"9,771","9,771","9,771","9,771",390,390,390,"1,743","1,743","11,514",(60),(60),(60),(60),,,1,1(3),1(3),(60)(1)(194),,,,,,,,,,,,,,,,,,,,
-Switzerland,"1,535","1,535","1,535","1,535",554,554,554,406,406,"1,941",(1),(1),(1),(1),,,,1(3),1(3),(60)(1)(194),,,,,,,,,,,,,,,,,,,,
-other,"9,264","9,264","9,264","9,264","1,059","1,059","1,059",904,904,"10,168",(191),(191),(191),(191),(23,(23,(23,1(3),1(3),(60)(1)(194),,,,,,,,,,,,,,,,,,,,
Asia,"267,709","267,709","267,709","267,709","85,556","85,556","85,556","32,157","32,157","299,866","(1,449)","(1,449)","(1,449)","(1,449)",（94）,（94）,（94）,(52),(52),"(1,501)",,,,,,,,,,,,,,,,,,,,
-Hong Kong,"168,380","168,380","168,380","168,380","67,856","67,856","67,856","19,776","19,776","188,156",（750),（750),（750),（750),（51,（51,（51,（40）,（40）,（790,,,,,,,,,,,,,,,,,,,,
-Australia,"11,428","11,428","11,428","11,428","1,993","1,993","1,993","1,743","1,743","13,171",（70),（70),（70),（70),（3,（3,（3,1,1,（70,,,,,,,,,,,,,,,,,,,,
- India,"6,657","6,657","6,657","6,657","1,565","1,565","1,565","2,622","2,622","9,279",(49),(49),(49),(49),3,3,3,(1)(2),(1)(2),(50)(224),,,,,,,,,,,,,,,,,,,,
-Indonesia,"4,346","4,346","4,346","4,346",63,63,63,353,353,"4,699",(222),(222),(222),(222),(1）,(1）,(1）,(1)(2),(1)(2),(50)(224),,(224),,,,,,,,,,,,,,,,,,
mainland China,"26,594","26,594","26,594","26,594","5,304","5,304","5,304","5,911","5,911","32,505",(198),(198),(198),(198),(29),(29),(29),(8),(8),(206),,,,,,,,,,,,,,,,,,,,
-Malaysia,"6,914","6,914","6,914","6,914","1,597","1,597","1,597",230,230,"7,144",(40),(40),(40),(40),(2)(2,(2)(2,(2)(2,1(1),1(1),(40)(60)(2)(59),,,,,,,,,,,,,,,,,,,,
-Singapore,"19,986","19,986","19,986","19,986","5,235","5,235","5,235",618,618,"20,604",,,(60),(60),(2)(2,(2)(2,(2)(2,1(1),1(1),(40)(60)(2)(59),,,,,,,,,,,,,,,,,,,,
-Taiwan,"6,384","6,384","6,384","6,384",28,28,28,82,82,"6,466",(2)(58),(2)(58),(2)(58),(2)(58),(2),(2),(2),1(1),1(1),(40)(60)(2)(59),,1,,,,,,,,,,,,,,,,,,
-other,"17,020","17,020","17,020","17,020","1,915","1,915","1,915",822,822,"17,842",(2)(58),(2)(58),(2)(58),(2)(58),,,,1(1),1(1),(40)(60)(2)(59),,,,,,,,,,,,,,,,,,,,
-other,"17,020","17,020","17,020","17,020","1,915","1,915","1,915",822,822,"17,842",(2)(58),(2)(58),(2)(58),(2)(58),3,3,3,1(1),1(1),(40)(60)(2)(59),,,,,,,,,,,,,,,,,,,,
"Middle East and North Africa (excludingSaudi Arabia) 23,447 1,816 288 23,735","Middle East and North Africa (excludingSaudi Arabia) 23,447 1,816 288 23,735","Middle East and North Africa (excludingSaudi Arabia) 23,447 1,816 288 23,735","Middle East and North Africa (excludingSaudi Arabia) 23,447 1,816 288 23,735","Middle East and North Africa (excludingSaudi Arabia) 23,447 1,816 288 23,735","Middle East and North Africa (excludingSaudi Arabia) 23,447 1,816 288 23,735","Middle East and North Africa (excludingSaudi Arabia) 23,447 1,816 288 23,735","Middle East and North Africa (excludingSaudi Arabia) 23,447 1,816 288 23,735","Middle East and North Africa (excludingSaudi Arabia) 23,447 1,816 288 23,735","Middle East and North Africa (excludingSaudi Arabia) 23,447 1,816 288 23,735","Middle East and North Africa (excludingSaudi Arabia) 23,447 1,816 288 23,735","(1,087) (181) (13） (1,100)","(1,087) (181) (13） (1,100)","(1,087) (181) (13） (1,100)","(1,087) (181) (13） (1,100)","(1,087) (181) (13） (1,100)","(1,087) (181) (13） (1,100)","(1,087) (181) (13） (1,100)","(1,087) (181) (13） (1,100)","(1,087) (181) (13） (1,100)","(1,087) (181) (13） (1,100)",,,,,,,,,,,,,,,,,,,,
-Egypt,"1,889","1,889","1,889","1,889","351,695","351,695","351,695",16122,16122,"1,90513,819",(132)(683),(132)(683),(132)(683),(132)(683),1(179),1(179),1(179),（3(7),（3(7),(135)(690),,,,,,,,,,,,,,,,,,,,
- UAE,"13,697","13,697","13,697","13,697","351,695","351,695","351,695",16122,16122,"1,90513,819",(132)(683),(132)(683),(132)(683),(132)(683),1(179),1(179),1(179),（3(7),（3(7),(135)(690),,,,,,,,,,,,,,,,,,,,
-other,"7,861","7,861","7,861","7,861",86,86,86,150,150,"8,011",(272),(272),(272),(272),(2,(2,(2,(3,(3,(275),,,,,,,,,,,,,,,,,,,,
North America,"59,680","59,680","59,680","59,680","15,128","15,128","15,128","10,078","10,078","69,758",(274),(274),(274),(274),（43,（43,（43,(11),(11),(285),,,,,,,,,,,,,,,,,,,,
-US,"34,477","34,477","34,477","34,477","8,282","8,282","8,282","8,975","8,975","43,452",(116),(116),(116),(116),（14,（14,（14,(2）(4),(2）(4),(118(140),,,,,,,,,,,,,,,,,,,,
-Canada,"24,427","24,427","24,427","24,427","6,556","6,556","6,556",979,979,"25,406",(136),(136),(136),(136),（10,（10,（10,(2）(4),(2）(4),(118(140),,,,,,,,,,,,,,,,,,,,
-other,776,776,776,776,290,290,290,124,124,900,(22),(22),(22),(22),（19,（19,（19,(5),(5),(27,,,,,,,,,,,,,,,,,,,,
Latin America,"14,448","14,448","14,448","14,448","1,665","1,665","1,665","1,685","1,685","16,133",(324),(324),(324),(324),（8）,（8）,（8）,（3,（3,(327),,,,,,,,,,,,,,,,,,,,
-Mexico,12.352,12.352,12.352,12.352,"1,6641","1,6641","1,6641","1,62560","1,62560","13,9772,156",(221),(221),(221),(221),81,81,81,31,31,(224(103),,,,,,,,,,,,,,,,,,,,
-other,"2,096","2,096","2,096","2,096","1,6641","1,6641","1,6641","1,62560","1,62560","13,9772,156",(103),(103),(103),(103),81,81,81,31,31,(224(103),,,,,,,,,,,,,,,,,,,,
"At 31Dec 2019 540,499 130,752 70,705","At 31Dec 2019 540,499 130,752 70,705","At 31Dec 2019 540,499 130,752 70,705","At 31Dec 2019 540,499 130,752 70,705","At 31Dec 2019 540,499 130,752 70,705","At 31Dec 2019 540,499 130,752 70,705","At 31Dec 2019 540,499 130,752 70,705","At 31Dec 2019 540,499 130,752 70,705","At 31Dec 2019 540,499 130,752 70,705","At 31Dec 2019 540,499 130,752 70,705","611,204 (5,438)","611,204 (5,438)","611,204 (5,438)","611,204 (5,438)","611,204 (5,438)",(680）,(680）,(680）,(160),(160),"(5,598)",,,,,,,,,,,,,,,,,,,,
