,As at 31-Mar-21,As at 31-Mar-21,As at 31-Mar-21,As at 31-Mar-21,As at 31-Mar-21,As at 31-Mar-21,As at 31-Mar-21,As at 31-Mar-21,As at 31-Mar-20,,,,
(i) Cashcredits，overdraftsandloansrepayableondemand,,,,,,,,,,,,,
(i) Cashcredits，overdraftsandloansrepayableondemand,,,,,,,,"2,559,778,239","2,559,778,239","2,559,778,239","2,559,778,239","2,340,489,951",
(i)y Term loans,"8,947,629,194","8,947,629,194","8,947,629,194","8,947,629,194","8,947,629,194","8,947,629,194","8,947,629,194","8,947,629,194","7,708,386,622",,,,
Total,"11,852,835,198","11,852,835,198","11,852,835,198","11,852,835,198","11,852,835,198","11,852,835,198","11,852,835,198","11,852,835,198","10,436,708,771",,,,
,"11,852,835,198","11,852,835,198","11,852,835,198","11,852,835,198","11,852,835,198","11,852,835,198","11,852,835,198","11,852,835,198",,,,,
B(i) Secured by tangible assets*,,,,,"8,000,686,039","8,000,686,039","8,000,686,039","8,000,686,039","7,174,666,685",,,,
(ii) Covered by bank/government guarantees,,,"393,758,3903,458,390,769","393,758,3903,458,390,769","393,758,3903,458,390,769","393,758,3903,458,390,769","393,758,3903,458,390,769","393,758,3903,458,390,769","201,580,178",,,,
(ii) Unsecured,,,"393,758,3903,458,390,769","393,758,3903,458,390,769","393,758,3903,458,390,769","393,758,3903,458,390,769","393,758,3903,458,390,769","393,758,3903,458,390,769","3,060,461,908",,,,
Total,,,,,"11,852,835,198","11,852,835,198","11,852,835,198","11,852,835,198","10,436,708,771",,,,
* Including advances against book debts,,,,,,,,,,,,,
