1,(2),(2),(3),（4),(5),(5),(6),（7) （8),
,Development,Development,Training and,,"Chattisgarh Bilaspur, Korba, Raipur","Chattisgarh Bilaspur, Korba, Raipur",0.78,No TISS CSR00003475,
,Program,Program,Livelihood,,"Chattisgarh Bilaspur, Korba, Raipur","Chattisgarh Bilaspur, Korba, Raipur",0.78,No TISS CSR00003475,
,,,Enhancement (i),,"Chattisgarh Bilaspur, Korba, Raipur","Chattisgarh Bilaspur, Korba, Raipur",0.78,No TISS CSR00003475,
13,13 Skil Traing,13 Skil Traing,Vocational,Yes,Uttarakhand Roorkee Haridwar,Uttarakhand Roorkee Haridwar,1.63,No Ambuja NACementFoundation,
,Program for Youth,Program for Youth,Training and,,Uttarakhand Roorkee Haridwar,Uttarakhand Roorkee Haridwar,1.63,No Ambuja NACementFoundation,
,,,LivelihoodEnhancement (i),,Uttarakhand Roorkee Haridwar,Uttarakhand Roorkee Haridwar,1.63,No Ambuja NACementFoundation,
14,Sill Training,Sill Training,Vocational,Yes,Karnataka Bangalore,Karnataka Bangalore,1.62,No End Poverty CSR00000314,
,Program for Youth,Program for Youth,Training and,,Karnataka Bangalore,Karnataka Bangalore,1.62,No End Poverty CSR00000314,
,,,LivelihoodEnhancement(i),,Karnataka Bangalore,Karnataka Bangalore,1.62,No End Poverty CSR00000314,
,15Skil Training,15Skil Training,Vocational,Yes,"Bihar, Maharashtra, Rajasthan,Muzzafarpur,Ranchi,agpur,","Bihar, Maharashtra, Rajasthan,Muzzafarpur,Ranchi,agpur,",0.27,0.27 No Head CSR00000919Held HighFoundation,
,Program for Youth,Program for Youth,Training and,,"Jharkhand,Karnataka Jaipur, Bidar","Jharkhand,Karnataka Jaipur, Bidar",,0.27 No Head CSR00000919Held HighFoundation,
,,,LivelihoodEnhancement (ii),,"Jharkhand,Karnataka Jaipur, Bidar","Jharkhand,Karnataka Jaipur, Bidar",,0.27 No Head CSR00000919Held HighFoundation,
