Opening balance,,,,"26,647,72422,916,842","26,647,72422,916,842","26,647,72422,916,842","26,647,72422,916,842","26,647,72422,916,842","26,647,72422,916,842","26,647,72422,916,842","26,647,72422,916,842","15,409,264",,,
Additions during the year,,,"11,238,460","26,647,72422,916,842","26,647,72422,916,842","26,647,72422,916,842","26,647,72422,916,842","26,647,72422,916,842","26,647,72422,916,842","26,647,72422,916,842","26,647,72422,916,842",,,,
Total,,"49,564,566","49,564,566","49,564,566","49,564,566","49,564,566","49,564,566","49,564,566","49,564,566","49,564,566","26,647,724",,,,
,,"49,564,566","49,564,566","49,564,566","49,564,566","49,564,566","49,564,566","49,564,566","49,564,566","49,564,566",,,,,
VIll Investment reserve,,,,,,,,,,,,,,,
Opening balance,,,,"616,645","616,645","616,645","616,645","616,645","616,645","616,645","616,645",,,,
Additions during the year,,,,"616,645","616,645","616,645","616,645","616,645","616,645","616,645","616,645",,,,
Total,,"616,645","616,645","616,645","616,645","616,645","616,645","616,645","616,645","616,645",,,,,
VIll Investment fluctuation reserve,,,,,,,"19,070,000","19,070,000","19,070,000","19,070,000","19,070,000",,,,
Opening balance,,,,,,"7,730,000","19,070,000","19,070,000","19,070,000","19,070,000","19,070,000",,,,
Additions during the year,,,,,"17,120,000","17,120,000","17,120,000","17,120,000","17,120,000","17,120,000","17,120,000","11,340,000",,,
Total,"36,190,000","36,190,000","36,190,000","36,190,000","36,190,000","36,190,000","36,190,000","36,190,000","36,190,000","36,190,000",,,,,
,"36,190,000","36,190,000","36,190,000","36,190,000","36,190,000","36,190,000","36,190,000","36,190,000","36,190,000","36,190,000",,,,,
IX Foreign currency translation account,"36,190,000","36,190,000","36,190,000","36,190,000","36,190,000","36,190,000","36,190,000","36,190,000","36,190,000","36,190,000",,,,,
Opening balance,,,,,,,,,,,,,,,
Opening balance,,,,,,,,,,,,,,,
Opening balance,,,,,,"3,238,634","3,238,634","3,238,634","3,238,634","3,238,634","3,238,634","3,238,634","1,098,743",,
Additions/(deductions) during the year,,"(1,418,252)","(1,418,252)","(1,418,252)","(1,418,252)","(1,418,252)","(1,418,252)","(1,418,252)","(1,418,252)","(1,418,252)","2,139,891",,,,
Total,,"1,820,382","1,820,382","1,820,382","1,820,382","1,820,382","1,820,382","1,820,382","1,820,382","1,820,382","3,238,634",,,,
Total,,"2,092,589,110","2,092,589,110","2,092,589,110","2,092,589,110","2,092,589,110","2,092,589,110","2,092,589,110","2,092,589,110","2,092,589,110","1,758,103,766",,,,
