1 (2),1 (2),(3),(3),（4）,（4）,,（5),(6,（7),（7),（8),（9),（9),(10),(11),(11),,,,,
14 Skill Training,14 Skill Training,Vocational,Vocational,Yes,Yes,Chandigarh,Chandigarh,1 year,2.58,2.58,2.58,NA,NA,No,,,NA,NA,No,Friends Union,CSR00000051
Youth,Youth,Livelihood,Livelihood,,,,,,,,,NA,NA,No,,,,,,,CSR00000051
Youth,Youth,Livelihood,Livelihood,,,,,,,,,,,,for EnergizingLives,,,,,,
,,Enhancement(i),Enhancement(i),,,,,,,,,,,,for EnergizingLives,,,,,,
,,Enhancement(i),Enhancement(i),(i),,,,,,,,,,,for EnergizingLives,,,,,,
,,Enhancement(i),Enhancement(i),(i),,,,,,,,,,,for EnergizingLives,,,,,,
15SkilTraining,15SkilTraining,Vocational,Vocational,,Yes,Uttar Pradesh,Lucknow,1 year,0.80,0.80,0.80,NA,NA,,No,Ambuja Cement NAFoundation,,,,,
Program for,Program for,Training and,Training and,,,,Lucknow,1 year,0.80,0.80,0.80,NA,NA,,,,,,,,
Youth,Youth,Livelihood,Livelihood,,,,Lucknow,1 year,0.80,0.80,0.80,NA,NA,,,,,,,,
Youth,Youth,Livelihood,Livelihood,,,,Lucknow,1 year,0.80,0.80,0.80,NA,NA,,,,,,,,
,,Enhancement(i),Enhancement(i),,,,Lucknow,1 year,0.80,0.80,,,,,,,,,,,
16Sil Training,16Sil Training,Vocational,Vocational,Yes,Yes,Karnataka,Hubli and Dharwad,1 year,2.83,2.83,2.83,NA,NA,No,No,Ambuja Cement NAFoundation,,DeshpandeFoundation,CSR00001646,,
Program for,Program for,Training and,Training and,,,Karnataka,Hubli and Dharwad,1 year,2.83,2.83,2.83,NA,NA,No,No,Ambuja Cement NAFoundation,,DeshpandeFoundation,CSR00001646,,
Youth,Youth,,,,,Karnataka,Hubli and Dharwad,1 year,2.83,2.83,2.83,NA,NA,No,No,Ambuja Cement NAFoundation,,,CSR00001646,,
Youth,Youth,,,,,Karnataka,Hubli and Dharwad,1 year,2.83,2.83,2.83,NA,NA,No,No,Ambuja Cement NAFoundation,,Foundation,CSR00001646,,
Youth,Youth,Livelihood,Livelihood,,,Karnataka,Hubli and Dharwad,1 year,2.83,2.83,2.83,NA,NA,No,,,,,,,
,,Enhancement(i),Enhancement(i),,,,Hubli and Dharwad,1 year,2.83,2.83,,NA,NA,No,,,,,,,
17 Sill Training for,17 Sill Training for,Vocational,Vocational,Yes,Yes,PAN India,Multiple Districts,1year,1.00,1.00,1.00,NA,NA,No,CSC Academy,NA,,,,,
women,women,Training and,Training and,,,,Multiple Districts,1year,1.00,1.00,1.00,NA,NA,No,CSC Academy,NA,,,,,
,,Enhancement,Enhancement,,,,Multiple Districts,1year,1.00,1.00,1.00,NA,NA,No,CSC Academy,NA,,,,,
,,(i),(i),,,,Multiple Districts,1year,1.00,1.00,1.00,NA,NA,No,CSC Academy,NA,,,,,
18 Nursing training,18 Nursing training,Vocational,Vocational,Yes,Yes,Jharkhand,"Ranchi, Chaibasa,Gumla",2years,3.60,3.60,3.60,NA,NA,No,PAN IIT Alumni,CSR00000005,,,,,
Program,Program,Training andLivelihood,Training andLivelihood,,,,"Ranchi, Chaibasa,Gumla",2years,3.60,3.60,,,,,Reach for India,CSR00000005,,,,,
,,Training andLivelihood,Training andLivelihood,,,,,2years,3.60,3.60,,,,,Foundation,CSR00000005,,,,,
,,Enhancement1,Enhancement1,,,,,2years,3.60,3.60,,,,,,CSR00000005,,,,,
19 Livelihood,19 Livelihood,Vocational,Vocational,Yes,Yes,Chhattisgarh,Bastar & Kanker,1 year,0.63,0.63,0.63,NA,NA,No,Professional,CSR00000973,,,,,
Promotion for,Promotion for,Trainingand,Trainingand,,,,Bastar & Kanker,1 year,0.63,0.63,0.63,NA,NA,No,Assistance for,CSR00000973,,,,,
Farmers,Farmers,Livelihood,Livelihood,,,,Bastar & Kanker,1 year,0.63,0.63,0.63,NA,NA,No,Development,CSR00000973,,,,,
,,Enhancement(i),Enhancement(i),,,,Bastar & Kanker,1 year,0.63,0.63,,,,,Action(PRADAN),CSR00000973,,,,,
20 Livelihood,20 Livelihood,Vocational,Vocational,Yes,Yes,Punjab,Bathinda,1 year,1.20,1.20,1.20,NA,NA,No,Care IndiaSolution for,CSR00000786,,,,,
,Promotion for,Training and,Training and,,,,Bathinda,1 year,1.20,1.20,,NA,NA,No,Care IndiaSolution for,CSR00000786,,,,,
,Farmers,Livelihood,Livelihood,,,,Bathinda,1 year,1.20,1.20,,NA,NA,No,,CSR00000786,,,,,
,Farmers,Livelihood,Livelihood,,,,Bathinda,1 year,1.20,1.20,,NA,NA,No,,CSR00000786,,,,,
,Farmers,Livelihood,Livelihood,,,,Bathinda,1 year,1.20,1.20,,NA,NA,No,Sustainable,CSR00000786,,,,,
,,Enhancement(i),Enhancement(i),,,,Bathinda,1 year,1.20,1.20,,,,,Development,CSR00000786,,,,,
21LivelihoodPromotion for,21LivelihoodPromotion for,VocationalTraining and,VocationalTraining and,YesGujarat,YesGujarat,YesGujarat,Chhota Udaipur,1 year,1.00,1.00,1.00,NA,NA,No,Care India,CSR00000786,,,,,
21LivelihoodPromotion for,21LivelihoodPromotion for,VocationalTraining and,VocationalTraining and,YesGujarat,YesGujarat,YesGujarat,Chhota Udaipur,1 year,1.00,1.00,1.00,NA,NA,No,Solution for,CSR00000786,,,,,
Farmers,Farmers,Livelihood,Livelihood,,,,Chhota Udaipur,1 year,1.00,1.00,1.00,NA,NA,,,CSR00000786,,Foundation,CSR00001646,,
,,Enhancement,Enhancement,,,,Chhota Udaipur,1 year,1.00,1.00,1.00,,,,Development,CSR00000786,,,,,
,,(),(),,,,Chhota Udaipur,1 year,1.00,1.00,1.00,,,,Development,CSR00000786,,,,,
22 Livelihood,22 Livelihood,Vocational,Vocational,Yes,Yes,MadhyaPradesh,Damoh,1year,1.51,1.51,1.51,NA,NA,No,Care India,CSR00000786,,,,,
Promotion for,Promotion for,Training and,Training and,,,MadhyaPradesh,Damoh,1year,1.51,1.51,1.51,NA,NA,No,Solution for,CSR00000786,,,,,
Farmers,Farmers,Livelihood,Livelihood,,,MadhyaPradesh,Damoh,1year,1.51,1.51,1.51,NA,NA,No,Sustainable,CSR00000786,,,,,
,,Enhancement,Enhancement,,,MadhyaPradesh,Damoh,1year,1.51,1.51,1.51,,,,Development,CSR00000786,,,,,
,,(,(,,,MadhyaPradesh,Damoh,1year,1.51,1.51,1.51,,,,Development,CSR00000786,,,,,
23Livelihood,23Livelihood,Vocational,Vocational,Yes,Yes,Jharkhand,Dumka & Godda,1year,0.52,0.52,0.52,NA,NA,No,Professional,CSR00000973,,,,,
Promotion for,Promotion for,Training and,Training and,,,,Dumka & Godda,1year,0.52,0.52,0.52,,,,Assistance for,CSR00000973,,,,,
Farmers,Farmers,Livelihood,Livelihood,,,,Dumka & Godda,,0.52,0.52,0.52,,,,Development,CSR00000973,,,,,
,,Enhancement四,Enhancement四,,,,,,0.52,0.52,,,,,Action(PRADAN),CSR00000973,,,,,
24,24Livelihood,Vocational,Vocational,Yes,Yes,Maharashtra,Ratnagiri,1 year,0.26,0.26,0.26,NA,NA,No,The Pride India,CSR00001069,,,,,
,Farmers,Livelihood,Livelihood,,,,,,,,,,,,,CSR00001069,,,,,
,Farmers,Livelihood,Livelihood,,,,,,,,,,,,,CSR00001069,,,,,
,,Enhancement(i),Enhancement(i),,,,,,,,,,,,,CSR00001069,,,,,
25Livelihood,25Livelihood,Vocational,Vocational,Yes,Yes,Rajasthan,Dholpur,1 year,0.81,0.81,0.81,NA,NA,No,Manjari,CSR00000074,,,,,
,,Training and,Training and,,,,,,,,,,,,,CSR00000074,,,,,
Farmers,Farmers,Livelihood,Livelihood,,,,,,,,,,,,,CSR00000074,,,,,
Farmers,Farmers,Livelihood,Livelihood,,,,,,,,,,,,Foundation,CSR00000074,,,,,
,,Enhancement(),Enhancement(),,,,,,,,,,,,Foundation,CSR00000074,,Foundation,CSR00001646,,CSR00000051
,,Enhancement(),Enhancement(),,,,,,,,,,,,,,,,,,
