,As at 31-Mar-21,As at 31-Mar-21,As at 31-Mar-21,As at 31-Mar-21,As at 31-Mar-21,As at 31-Mar-21,As at 31-Mar-21,As at 31-Mar-20,,,,,
SCHEDULE 9 - ADVANCES,,,,,,,,,,,,,
A()Bills purchased and discounted,,,,,,"345,427,765","345,427,765","387,832,198",,,,,
"(ii) Cash credits,overdrafts and loans repayable on demand",,,,,"2,559,778,239","2,559,778,239","2,559,778,239","2,340,489,951",,,,,
(il)y Term loans,,,,,,,"8,423,160,305","7,208,706,632",,,,,
Total,,,,"11,328,366,309","11,328,366,309","11,328,366,309","11,328,366,309","9,937,028,781",,,,,
B(i) Secured by tangible assets*,,,"7,618,839,623393,758,3903,315,768,296","7,618,839,623393,758,3903,315,768,296","7,618,839,623393,758,3903,315,768,296","7,618,839,623393,758,3903,315,768,296","7,618,839,623393,758,3903,315,768,296","7,618,839,623",,,,,
(ii) Covered by bank/ government guarantees,,,"7,618,839,623393,758,3903,315,768,296","7,618,839,623393,758,3903,315,768,296","7,618,839,623393,758,3903,315,768,296","7,618,839,623393,758,3903,315,768,296","7,618,839,623393,758,3903,315,768,296",,,"201,580,178",,,
(ii) Unsecured,,,"3,315,768,296","3,315,768,296","3,315,768,296","3,315,768,296","3,315,768,296","2,922,532,085",,,,,
Total,,,,"11,328,366,309","11,328,366,309","11,328,366,309","11,328,366,309","9,937,028,781",,,,,
* Including advances against book debts,,,,,,,,,,,,,
C-Advances in India,,,,,,,,,,,,,
()Priority sector,"2,574,675,399","2,574,675,399","2,574,675,399","2,574,675,399","2,574,675,399","2,574,675,399","2,574,675,399","2,541,995,300",,,,,
(ii) Public sector,"1,199,082,740","1,199,082,740","1,199,082,740","1,199,082,740","1,199,082,740","1,199,082,740","1,199,082,740","623,353,731",,,,,
(ii) Banks,,,,"85,383,8547,153,125,825","85,383,8547,153,125,825","85,383,8547,153,125,825","85,383,8547,153,125,825","68,550,435",,,,,
(iv Others,,,,"85,383,8547,153,125,825","85,383,8547,153,125,825","85,383,8547,153,125,825","85,383,8547,153,125,825","6,419,015,531",,,,,
Total,"11,012,267,818","11,012,267,818","11,012,267,818","11,012,267,818","11,012,267,818","11,012,267,818","11,012,267,818","9,652,914,997",,,,,
