Sr. SubjectNo.,Sr. SubjectNo.,Sr. SubjectNo.,"March 31, 2021","March 31, 2021","March 31, 2021","March 31, 2021","March 31, 2021","March 31, 2021","March 31, 2021","March 31, 2021","March 31,2020",,,,,,,,,,,,,,,,
,financial year to show fixed and,financial year to show fixed and,"117.73 crore (Fixed*) 29.85 crore (variable pay pertaining tofinancial year ended March 31， 2020, in relation to employees where there was nodeferment of pay)","117.73 crore (Fixed*) 29.85 crore (variable pay pertaining tofinancial year ended March 31， 2020, in relation to employees where there was nodeferment of pay)","117.73 crore (Fixed*) 29.85 crore (variable pay pertaining tofinancial year ended March 31， 2020, in relation to employees where there was nodeferment of pay)","117.73 crore (Fixed*) 29.85 crore (variable pay pertaining tofinancial year ended March 31， 2020, in relation to employees where there was nodeferment of pay)","117.73 crore (Fixed*) 29.85 crore (variable pay pertaining tofinancial year ended March 31， 2020, in relation to employees where there was nodeferment of pay)","117.73 crore (Fixed*) 29.85 crore (variable pay pertaining tofinancial year ended March 31， 2020, in relation to employees where there was nodeferment of pay)","117.73 crore (Fixed*) 29.85 crore (variable pay pertaining tofinancial year ended March 31， 2020, in relation to employees where there was nodeferment of pay)","117.73 crore (Fixed*) 29.85 crore (variable pay pertaining tofinancial year ended March 31， 2020, in relation to employees where there was nodeferment of pay)","67.48 crore (Fixed*)18.89 crore (variable pay pertaining tofinancial year ended March 31,2019,inrelation to employees where there was nodeferment of pay).The approval of the RBl on the variablepay of the Bank's Whole Time Directorsfor the years ended March 31,2018 and2019 has since been received.9.00 crore (variable pay pertaining tofinancial year ended March 31,2018,inrelation to employees where there was adeferment of pay),of which 5.40 crorewas non-deferred variable pay and3.60 crore was deferred variable pay.9.42crore (variable pay pertaining tofinancial year ended March 31,2019 inrelation to employees where there was adeferment of pay),of which 6.36 crorewas non-deferred variable pay and3.06 crore was deferred variable pay.Number of stock options granted duringthe financial year: 59,58,200The approval of the RBl in relation to grantof stock options to the Bank's Whole TimeDirectors for the year ended March 31,2020 is awaited.The approval of the RBl in relation to grantof stock options to the Bank's Whole TimeDirectors for the year ended March 31,2019 has since been received.",,,,,,,,,,,,,,,,
,"variable,deferred and non-","variable,deferred and non-","117.73 crore (Fixed*) 29.85 crore (variable pay pertaining tofinancial year ended March 31， 2020, in relation to employees where there was nodeferment of pay)","117.73 crore (Fixed*) 29.85 crore (variable pay pertaining tofinancial year ended March 31， 2020, in relation to employees where there was nodeferment of pay)","117.73 crore (Fixed*) 29.85 crore (variable pay pertaining tofinancial year ended March 31， 2020, in relation to employees where there was nodeferment of pay)","117.73 crore (Fixed*) 29.85 crore (variable pay pertaining tofinancial year ended March 31， 2020, in relation to employees where there was nodeferment of pay)","117.73 crore (Fixed*) 29.85 crore (variable pay pertaining tofinancial year ended March 31， 2020, in relation to employees where there was nodeferment of pay)","117.73 crore (Fixed*) 29.85 crore (variable pay pertaining tofinancial year ended March 31， 2020, in relation to employees where there was nodeferment of pay)","117.73 crore (Fixed*) 29.85 crore (variable pay pertaining tofinancial year ended March 31， 2020, in relation to employees where there was nodeferment of pay)","117.73 crore (Fixed*) 29.85 crore (variable pay pertaining tofinancial year ended March 31， 2020, in relation to employees where there was nodeferment of pay)","67.48 crore (Fixed*)18.89 crore (variable pay pertaining tofinancial year ended March 31,2019,inrelation to employees where there was nodeferment of pay).The approval of the RBl on the variablepay of the Bank's Whole Time Directorsfor the years ended March 31,2018 and2019 has since been received.9.00 crore (variable pay pertaining tofinancial year ended March 31,2018,inrelation to employees where there was adeferment of pay),of which 5.40 crorewas non-deferred variable pay and3.60 crore was deferred variable pay.9.42crore (variable pay pertaining tofinancial year ended March 31,2019 inrelation to employees where there was adeferment of pay),of which 6.36 crorewas non-deferred variable pay and3.06 crore was deferred variable pay.Number of stock options granted duringthe financial year: 59,58,200The approval of the RBl in relation to grantof stock options to the Bank's Whole TimeDirectors for the year ended March 31,2020 is awaited.The approval of the RBl in relation to grantof stock options to the Bank's Whole TimeDirectors for the year ended March 31,2019 has since been received.",,,,,,,,,,,,,,,,
,deferred,deferred,deferment of pay),deferment of pay),deferment of pay),deferment of pay),deferment of pay),deferment of pay),deferment of pay),deferment of pay),"67.48 crore (Fixed*)18.89 crore (variable pay pertaining tofinancial year ended March 31,2019,inrelation to employees where there was nodeferment of pay).The approval of the RBl on the variablepay of the Bank's Whole Time Directorsfor the years ended March 31,2018 and2019 has since been received.9.00 crore (variable pay pertaining tofinancial year ended March 31,2018,inrelation to employees where there was adeferment of pay),of which 5.40 crorewas non-deferred variable pay and3.60 crore was deferred variable pay.9.42crore (variable pay pertaining tofinancial year ended March 31,2019 inrelation to employees where there was adeferment of pay),of which 6.36 crorewas non-deferred variable pay and3.06 crore was deferred variable pay.Number of stock options granted duringthe financial year: 59,58,200The approval of the RBl in relation to grantof stock options to the Bank's Whole TimeDirectors for the year ended March 31,2020 is awaited.The approval of the RBl in relation to grantof stock options to the Bank's Whole TimeDirectors for the year ended March 31,2019 has since been received.",,,,,,,,,,,,,,,,
,,,,,,,,,,1.67 crore (variable pay pertaining to,1.67 crore (variable pay pertaining to,,,,,,,,,,,,,,,,
,,,,,,,,,,"financial year ended March 31, 2020, in","financial year ended March 31, 2020, in","financial year ended March 31, 2020, in","financial year ended March 31, 2020, in","financial year ended March 31, 2020, in","financial year ended March 31, 2020, in","financial year ended March 31, 2020, in","financial year ended March 31, 2020, in",,,,,,,,,,
,,,,,,,,,,,,"relation to employees where there was adeferment of pay), of which 1.00 crore","relation to employees where there was adeferment of pay), of which 1.00 crore","relation to employees where there was adeferment of pay), of which 1.00 crore","relation to employees where there was adeferment of pay), of which 1.00 crore","relation to employees where there was adeferment of pay), of which 1.00 crore","relation to employees where there was adeferment of pay), of which 1.00 crore","relation to employees where there was adeferment of pay), of which 1.00 crore","relation to employees where there was adeferment of pay), of which 1.00 crore",,,,,,,,
,,,,,,,,,,,,"relation to employees where there was adeferment of pay), of which 1.00 crore","relation to employees where there was adeferment of pay), of which 1.00 crore","relation to employees where there was adeferment of pay), of which 1.00 crore","relation to employees where there was adeferment of pay), of which 1.00 crore","relation to employees where there was adeferment of pay), of which 1.00 crore","relation to employees where there was adeferment of pay), of which 1.00 crore","relation to employees where there was adeferment of pay), of which 1.00 crore","relation to employees where there was adeferment of pay), of which 1.00 crore",,,,,,,,
,,,,,,,,,,,,"relation to employees where there was adeferment of pay), of which 1.00 crore","relation to employees where there was adeferment of pay), of which 1.00 crore","relation to employees where there was adeferment of pay), of which 1.00 crore","relation to employees where there was adeferment of pay), of which 1.00 crore","relation to employees where there was adeferment of pay), of which 1.00 crore","relation to employees where there was adeferment of pay), of which 1.00 crore","relation to employees where there was adeferment of pay), of which 1.00 crore","relation to employees where there was adeferment of pay), of which 1.00 crore","deferment of pay), of which 1.00 crorewas non-deferred variable pay and","deferment of pay), of which 1.00 crorewas non-deferred variable pay and","deferment of pay), of which 1.00 crorewas non-deferred variable pay and","deferment of pay), of which 1.00 crorewas non-deferred variable pay and","deferment of pay), of which 1.00 crorewas non-deferred variable pay and","deferment of pay), of which 1.00 crorewas non-deferred variable pay and","deferment of pay), of which 1.00 crorewas non-deferred variable pay and","deferment of pay), of which 1.00 crorewas non-deferred variable pay and"
,,,,,was non-deferred variable pay and,was non-deferred variable pay and,was non-deferred variable pay and,was non-deferred variable pay and,was non-deferred variable pay and,was non-deferred variable pay and,was non-deferred variable pay and,was non-deferred variable pay and,,,,,,,,,,,,,,,
,,,,,√ 0.67 crore was deferred variable pay.,√ 0.67 crore was deferred variable pay.,√ 0.67 crore was deferred variable pay.,√ 0.67 crore was deferred variable pay.,√ 0.67 crore was deferred variable pay.,√ 0.67 crore was deferred variable pay.,√ 0.67 crore was deferred variable pay.,√ 0.67 crore was deferred variable pay.,,,,,,,,,,,,,,,
,,,,,"The Bank's erstwhile managing director,","The Bank's erstwhile managing director,","The Bank's erstwhile managing director,","The Bank's erstwhile managing director,","The Bank's erstwhile managing director,","The Bank's erstwhile managing director,","The Bank's erstwhile managing director,","The Bank's erstwhile managing director,","tor,",,,,,,,,,,,,,,
,,,,,"Mr. Aditya Puri, was paid a one-time lump","Mr. Aditya Puri, was paid a one-time lump","Mr. Aditya Puri, was paid a one-time lump","Mr. Aditya Puri, was paid a one-time lump","Mr. Aditya Puri, was paid a one-time lump","Mr. Aditya Puri, was paid a one-time lump","Mr. Aditya Puri, was paid a one-time lump",,,,,,,,,,,,,,,,
,,,,,sum payment of 3.50 crore on retirement,sum payment of 3.50 crore on retirement,sum payment of 3.50 crore on retirement,sum payment of 3.50 crore on retirement,sum payment of 3.50 crore on retirement,sum payment of 3.50 crore on retirement,sum payment of 3.50 crore on retirement,,"tor,",,,,,,,,,,,,,,
,,,,,in accordance with the approval received,in accordance with the approval received,in accordance with the approval received,in accordance with the approval received,in accordance with the approval received,in accordance with the approval received,in accordance with the approval received,,,,,,,,,,,,,,,,
,,,from the RBl.,from the RBl.,from the RBl.,from the RBl.,from the RBl.,from the RBl.,from the RBl.,,,,,,,,,,,,,,,,,,
,,,The approval of the RBl on the fixed pay,The approval of the RBl on the fixed pay,The approval of the RBl on the fixed pay,The approval of the RBl on the fixed pay,The approval of the RBl on the fixed pay,The approval of the RBl on the fixed pay,The approval of the RBl on the fixed pay,The approval of the RBl on the fixed pay,The approval of the RBl on the fixed payrevision effective April 1， 2020 and the,The approval of the RBl on the fixed payrevision effective April 1， 2020 and the,The approval of the RBl on the fixed payrevision effective April 1， 2020 and the,The approval of the RBl on the fixed payrevision effective April 1， 2020 and the,,,,,,,,,,,,,
,,,variable pay of the Bank's Whole Time,variable pay of the Bank's Whole Time,variable pay of the Bank's Whole Time,variable pay of the Bank's Whole Time,variable pay of the Bank's Whole Time,variable pay of the Bank's Whole Time,variable pay of the Bank's Whole Time,variable pay of the Bank's Whole Time,,,,,,,,,,,,,,,,,
,,,Directors for the financial year ended,Directors for the financial year ended,Directors for the financial year ended,Directors for the financial year ended,Directors for the financial year ended,Directors for the financial year ended,Directors for the financial year ended,Directors for the financial year ended,,,,,,,,,,,,,,,,,
,,,"March 31, 2020 is awaited.","March 31, 2020 is awaited.","March 31, 2020 is awaited.","March 31, 2020 is awaited.","March 31, 2020 is awaited.","March 31, 2020 is awaited.","March 31, 2020 is awaited.",,defer,,,,,,,,,,,,,,,,
,,,"March 31, 2020 is awaited.","March 31, 2020 is awaited.","March 31, 2020 is awaited.","March 31, 2020 is awaited.","March 31, 2020 is awaited.","March 31, 2020 is awaited.","March 31, 2020 is awaited.","Number of stock options granted duringthe financial year: 85,42,800The approval of the RBl in relation to grant of stock options to the Bank's","Number of stock options granted duringthe financial year: 85,42,800The approval of the RBl in relation to grant of stock options to the Bank's","Number of stock options granted duringthe financial year: 85,42,800The approval of the RBl in relation to grant of stock options to the Bank's","Number of stock options granted duringthe financial year: 85,42,800The approval of the RBl in relation to grant of stock options to the Bank's","Number of stock options granted duringthe financial year: 85,42,800The approval of the RBl in relation to grant of stock options to the Bank's","Number of stock options granted duringthe financial year: 85,42,800The approval of the RBl in relation to grant of stock options to the Bank's","Number of stock options granted duringthe financial year: 85,42,800The approval of the RBl in relation to grant of stock options to the Bank's","Number of stock options granted duringthe financial year: 85,42,800The approval of the RBl in relation to grant of stock options to the Bank's",,,,,,,,,,
,,,optior,,,,,,,,,,,,,,,,,,,,,,,,
,,,alyear:59,,,,,,,,,,,,,,,,,,,,,,,,
,,,grant of stock options to the Bank'sWhole Time Directors for the year ended,grant of stock options to the Bank'sWhole Time Directors for the year ended,grant of stock options to the Bank'sWhole Time Directors for the year ended,grant of stock options to the Bank'sWhole Time Directors for the year ended,grant of stock options to the Bank'sWhole Time Directors for the year ended,grant of stock options to the Bank'sWhole Time Directors for the year ended,grant of stock options to the Bank'sWhole Time Directors for the year ended,grant of stock options to the Bank'sWhole Time Directors for the year ended,"Number of stock options granted duringthe financial year: 85,42,800The approval of the RBl in relation to grant of stock options to the Bank's","Number of stock options granted duringthe financial year: 85,42,800The approval of the RBl in relation to grant of stock options to the Bank's","Number of stock options granted duringthe financial year: 85,42,800The approval of the RBl in relation to grant of stock options to the Bank's","Number of stock options granted duringthe financial year: 85,42,800The approval of the RBl in relation to grant of stock options to the Bank's","Number of stock options granted duringthe financial year: 85,42,800The approval of the RBl in relation to grant of stock options to the Bank's","Number of stock options granted duringthe financial year: 85,42,800The approval of the RBl in relation to grant of stock options to the Bank's","Number of stock options granted duringthe financial year: 85,42,800The approval of the RBl in relation to grant of stock options to the Bank's",,,,,,,,,,
,,,,Whole Time Directors for the year ended,Whole Time Directors for the year ended,Whole Time Directors for the year ended,Whole Time Directors for the year ended,Whole Time Directors for the year ended,Whole Time Directors for the year ended,Whole Time Directors for the year ended,Whole Time Directors for the year ended,"Number of stock options granted duringthe financial year: 85,42,800The approval of the RBl in relation to grant of stock options to the Bank's","Number of stock options granted duringthe financial year: 85,42,800The approval of the RBl in relation to grant of stock options to the Bank's","Number of stock options granted duringthe financial year: 85,42,800The approval of the RBl in relation to grant of stock options to the Bank's","Number of stock options granted duringthe financial year: 85,42,800The approval of the RBl in relation to grant of stock options to the Bank's","Number of stock options granted duringthe financial year: 85,42,800The approval of the RBl in relation to grant of stock options to the Bank's","Number of stock options granted duringthe financial year: 85,42,800The approval of the RBl in relation to grant of stock options to the Bank's",,,,,,,,,,
,,,"March 31, 2020 is awaited.","March 31, 2020 is awaited.","March 31, 2020 is awaited.","March 31, 2020 is awaited.","March 31, 2020 is awaited.","March 31, 2020 is awaited.","March 31, 2020 is awaited.","March 31, 2020 is awaited.","Number of stock options granted duringthe financial year: 85,42,800The approval of the RBl in relation to grant of stock options to the Bank's","Number of stock options granted duringthe financial year: 85,42,800The approval of the RBl in relation to grant of stock options to the Bank's","Number of stock options granted duringthe financial year: 85,42,800The approval of the RBl in relation to grant of stock options to the Bank's","Number of stock options granted duringthe financial year: 85,42,800The approval of the RBl in relation to grant of stock options to the Bank's","Number of stock options granted duringthe financial year: 85,42,800The approval of the RBl in relation to grant of stock options to the Bank's","Number of stock options granted duringthe financial year: 85,42,800The approval of the RBl in relation to grant of stock options to the Bank's","Number of stock options granted duringthe financial year: 85,42,800The approval of the RBl in relation to grant of stock options to the Bank's",,,,,,,,,,
,,,,,,,,,,,"Number of stock options granted duringthe financial year: 85,42,800The approval of the RBl in relation to grant of stock options to the Bank's",,,,,,,,,,,,,,,,
