1) (2),1) (2),1) (2),（3),（3),（4),,,,(5）,(6),（7),（7),(8),（9),（9),（10）,(11),(11),(11),
,,,(i),(i),,"Rajasthan,Jharkhand","Rajasthan,Jharkhand","Rajasthan,Jharkhand","Amravati, Yavatmal,Nainital, Pithoragarh,Dahod,Mayurbhanj,Kalahandi,Sirohi,Dumka",1 year,8.14 8.14 NA No,8.14 8.14 NA No,8.14 8.14 NA No,8.14 8.14 NA No,8.14 8.14 NA No,8.14 8.14 NA No,Tata CSR00003775Education andDevelopmentTrust,Tata CSR00003775Education andDevelopmentTrust,Tata CSR00003775Education andDevelopmentTrust,
27 Livelihood,27 Livelihood,27 Livelihood,Vocational,Vocational,Yes,Rajasthan,Rajasthan,Rajasthan,Sawai Madhopur,1year,1.20,1.20,1.20,NA No,NA No,NA No,Udyogini CSR00001487,Udyogini CSR00001487,Udyogini CSR00001487,
,Promotion for,Promotion for,Training and,Training and,,,,,,,,,,NA No,NA No,NA No,Udyogini CSR00001487,Udyogini CSR00001487,Udyogini CSR00001487,
,Farmers,Farmers,Livelihood,Livelihood,,,,,,,,,,NA No,NA No,NA No,Udyogini CSR00001487,Udyogini CSR00001487,Udyogini CSR00001487,
,Farmers,Farmers,Livelihood,Livelihood,,,,,,,,,,NA No,NA No,NA No,Udyogini CSR00001487,Udyogini CSR00001487,Udyogini CSR00001487,
,,,Enhancement,Enhancement,,,,,,,,,,NA No,NA No,NA No,Udyogini CSR00001487,Udyogini CSR00001487,Udyogini CSR00001487,
,,,(i),(i),,,,,,,,,,NA No,NA No,NA No,Udyogini CSR00001487,Udyogini CSR00001487,Udyogini CSR00001487,
28,28 Livelihood,28 Livelihood,Vocational,Vocational,Yes,Tamil Nadu,Tamil Nadu,Tamil Nadu,"Ramnad,SivagangaPudukkottai",1year,0.36,0.36,0.36,NA No,NA No,NA No,DhanFoundation,DhanFoundation,CSR00000273,
,Promotion for,Promotion for,Training and,Training and,,,,,"Ramnad,SivagangaPudukkottai",1year,0.36,0.36,0.36,NA No,NA No,NA No,DhanFoundation,DhanFoundation,CSR00000273,
,Farmers,Farmers,Livelihood,Livelihood,,,,,"Ramnad,SivagangaPudukkottai",1year,0.36,0.36,0.36,NA No,NA No,NA No,DhanFoundation,DhanFoundation,CSR00000273,
,Farmers,Farmers,Livelihood,Livelihood,,,,,"Ramnad,SivagangaPudukkottai",1year,0.36,0.36,0.36,NA No,NA No,NA No,DhanFoundation,DhanFoundation,CSR00000273,
,,,Enhancement(i),Enhancement(i),,,,,,1year,0.36,0.36,0.36,NA No,NA No,NA No,DhanFoundation,DhanFoundation,CSR00000273,
29,29Green-,29Green-,Vocational,Vocational,Yes,Jharkhand,Jharkhand,Jharkhand,Ranchi,1 year,0.59,0.59,0.59,NA No,NA No,NA No,KGVK,KGVK,CSR00000159,
,promotion,promotion,Livelihood,Livelihood,,,,,,1 year,0.59,0.59,0.59,NA No,NA No,NA No,KGVK,KGVK,CSR00000159,
,promotion,promotion,Livelihood,Livelihood,,,,,,1 year,0.59,0.59,0.59,NA No,NA No,NA No,KGVK,KGVK,CSR00000159,
,,,Enhancement(i),Enhancement(i),,,,,,1 year,0.59,0.59,0.59,NA No,NA No,NA No,KGVK,KGVK,CSR00000159,
30,30 Livelihood,30 Livelihood,Vocational,Vocational,Yes,Rajasthan,Rajasthan,Rajasthan,"Bhilwara, Chittaurgarh &Pratapgarh",1year,1.91,1.91,1.91,NA No,NA No,NA No,Foundationfor EcologicalSupport (FES),Foundationfor EcologicalSupport (FES),CSR00000637,
,Promotion,Promotion,Training and,Training and,,,,,"Bhilwara, Chittaurgarh &Pratapgarh",1year,1.91,1.91,1.91,NA No,NA No,NA No,Foundationfor EcologicalSupport (FES),Foundationfor EcologicalSupport (FES),CSR00000637,
,,,,,,,,,"Bhilwara, Chittaurgarh &Pratapgarh",1year,1.91,1.91,1.91,NA No,NA No,NA No,Foundationfor EcologicalSupport (FES),Foundationfor EcologicalSupport (FES),CSR00000637,
,,,Enhancement,Enhancement,,,,,"Bhilwara, Chittaurgarh &Pratapgarh",1year,1.91,1.91,1.91,NA No,NA No,NA No,Foundationfor EcologicalSupport (FES),Foundationfor EcologicalSupport (FES),CSR00000637,
31,31 Integrated,31 Integrated,Vocational,Vocational,Yes,Meghalaya,Meghalaya,Meghalaya,West Jantia Hills,1year,1.15,1.15,1.15,NA,NA,NA No,NA No,NA No,ArohFoundation,
,Watershed,Watershed,,,,,,,,,,,1.15,,,NA No,NA No,NA No,ArohFoundation,
,Management,Management,Livelihood,Livelihood,,,,,,,,,1.15,,,NA No,NA No,NA No,ArohFoundation,
,Management,Management,Livelihood,Livelihood,,,,,,,,,1.15,,,NA No,NA No,NA No,ArohFoundation,
,Development,Development,,,,,,,,,,,1.15,,,NA No,NA No,NA No,ArohFoundation,
,Development,Development,Enhancement(i),Enhancement(i),,,,,,,,,1.15,,,NA No,NA No,NA No,ArohFoundation,
,Program,Program,Enhancement(i),Enhancement(i),,,,,,,,,1.15,,,NA No,NA No,NA No,ArohFoundation,
32,32 Livelihood,32 Livelihood,Vocational,Vocational,Yes,"Assam,","Assam,","Assam,","Golaghat,Ri-Bhoi,Kda,Darbhanga",1year,0.49,0.49,0.49,NA No,NA No,NA No,Society for,Society for,CSR00000399,
,development,development,Training and,Training and,,"Meghalaya,","Meghalaya,","Meghalaya,","Golaghat,Ri-Bhoi,Kda,Darbhanga",1year,0.49,0.49,0.49,NA No,NA No,NA No,the Upliftmentof Villagers &Developmentof HimalayanAreas(SUVIDHA),the Upliftmentof Villagers &Developmentof HimalayanAreas(SUVIDHA),CSR00000399,
,through Organic,through Organic,Livelihood,Livelihood,,,,,"Golaghat,Ri-Bhoi,Kda,Darbhanga",1year,0.49,0.49,0.49,NA No,NA No,NA No,the Upliftmentof Villagers &Developmentof HimalayanAreas(SUVIDHA),the Upliftmentof Villagers &Developmentof HimalayanAreas(SUVIDHA),CSR00000399,
,Agriculture,Agriculture,Enhancement,Enhancement,,,,,"Golaghat,Ri-Bhoi,Kda,Darbhanga",1year,0.49,0.49,0.49,NA No,NA No,NA No,the Upliftmentof Villagers &Developmentof HimalayanAreas(SUVIDHA),the Upliftmentof Villagers &Developmentof HimalayanAreas(SUVIDHA),CSR00000399,
,,,(i),(i),,,,,"Golaghat,Ri-Bhoi,Kda,Darbhanga",1year,0.49,0.49,0.49,NA No,NA No,NA No,the Upliftmentof Villagers &Developmentof HimalayanAreas(SUVIDHA),the Upliftmentof Villagers &Developmentof HimalayanAreas(SUVIDHA),CSR00000399,
,,,(i),(i),,,,,"Golaghat,Ri-Bhoi,Kda,Darbhanga",1year,0.49,0.49,0.49,NA No,NA No,NA No,the Upliftmentof Villagers &Developmentof HimalayanAreas(SUVIDHA),the Upliftmentof Villagers &Developmentof HimalayanAreas(SUVIDHA),CSR00000399,
33,33 Integrated,33 Integrated,Vocational,Vocational,Yes,Maharashtra,Maharashtra,Maharashtra,Osmanabad,1year,0.43,0.43,0.43,NA,NA,No,BAIF Institute,BAIF Institute,CSR00000259,
,Livestock,Livestock,Training and,Training and,,,,,Osmanabad,1year,0.43,0.43,0.43,NA,NA,No,for SustainableLivelihoods and,for SustainableLivelihoods and,CSR00000259,nable
,Development,Development,Livelihood,Livelihood,,,,,Osmanabad,1year,0.43,0.43,0.43,NA,NA,No,for SustainableLivelihoods and,for SustainableLivelihoods and,CSR00000259,
,,,,,Enhancement(i),Enhancement(i),Enhancement(i),,Osmanabad,1year,0.43,0.43,0.43,,,,,Development(BISLD),Development(BISLD),
34Entre-,34Entre-,34Entre-,Vocational,Vocational,Yes,Kerala &Tamil,Kerala &Tamil,Kerala &Tamil,Thiruvan-,1year,0.27,0.27,0.27,NA No,NA No,NA No,No,No,ICT Academy,
preneurship,preneurship,preneurship,Training and,Training and,,Nadu,Nadu,Nadu,"thapuram, Kollam,",,0.27,0.27,0.27,NA No,NA No,NA No,for Tamil Nadu,for Tamil Nadu,,
Program,Program,Program,Enhancement,Enhancement,,,,,"Kottayam,ldukki,",,0.27,0.27,0.27,NA No,NA No,NA No,,,,
Program,Program,Program,Enhancement,Enhancement,,,,,"Kottayam,ldukki,",,0.27,0.27,0.27,NA No,NA No,NA No,,,,
,,,(i),(i),,,,,"Ernakulam,Thrissur,",,0.27,0.27,0.27,NA No,NA No,NA No,,,,
,,,,,,,,,"Virudhunagar,Vellore,",,0.27,0.27,0.27,NA No,NA No,NA No,,,,
,,,,,,,,,"Chennai,Thiruvallur,",,0.27,0.27,0.27,NA No,NA No,NA No,,,,
,,,,,,,,,"Kanchipurram,Madurai,",,0.27,0.27,0.27,NA No,NA No,NA No,,,,
,,,,,,,,,"Kanchipurram,Madurai,",,0.27,0.27,0.27,NA No,NA No,NA No,,,,
,,,,,,,,,"Tiruppur,Coimbatore,Karur, Namakkal,Salem,",,0.27,0.27,0.27,NA No,NA No,NA No,,,,
,,,,,,,,,"Dindugul,ivaggai",,,,0.27,NA No,NA No,NA No,,,,
,,,,,,,,,,,,,,NA No,NA No,NA No,,,,
,,,,,,,,,Pondicherry Cuddalore,,,,,NA No,NA No,NA No,,,,
,,,,,,,,,Pondicherry Cuddalore,,,,,NA No,NA No,NA No,,,,
35Livelihood,35Livelihood,35Livelihood,Vocational,Vocational,Yes,Rajasthan,Rajasthan,Rajasthan,Jaipur,1year,0.25,0.25,0.25,NA,NA,No,Orion Education CSR00000597,Orion Education CSR00000597,Orion Education CSR00000597,
,,,,,,,,,,,,,,,,,,,Orion Education CSR00000597,
,,,,,,,,,,,,,,,,,Society,Society,Orion Education CSR00000597,
,Program,Program,Livelihood,Livelihood,,,,,,,,,,,,,Society,Society,Orion Education CSR00000597,
,,,,,Enhancement,Enhancement,Enhancement,,,,,,,,,,Society,Society,Orion Education CSR00000597,
,,,(i),(i),,,,,,,,,,,,,Society,Society,Orion Education CSR00000597,
,,,(i),(i),,,,,,,,,,,,,Society,Society,Orion Education CSR00000597,
36 Solid Waste,36 Solid Waste,36 Solid Waste,Sanitation (),Sanitation (),Yes,Goa and,Goa and,Goa and,"Panjim, Rishikesh,",2 years,2.91,2.91,2.91,NA,NA,No,Charities Aid,Charities Aid,NA,
Management,Management,Management,,,,Uttarakhand,Uttarakhand,Uttarakhand,"Haldwani, Dehradun,",,,,,,,,,,NA,
,,,,,,,,,Uttar Kashi,,,,,,,,,,NA,
,,,,,,,,,Uttar Kashi,,,,,,,,Foundation,Foundation,NA,
