(1),（2),（2),（3),（3),（3),（3),（4),（5),（5),（6),（7) （8),（7) （8),（7) （8),,,
,,,Projects (x),Projects (x),Projects (x),Projects (x),,,"Bhilwara, Gandhinagar,Ghadkan, Jamnagar,Mahesana,Mehsana, Morbi,Patan,Rajkot, Sabarkantha,Surat, Surendranagar,Tapi,Valsad Jaipur, Ajmer","Bhilwara, Gandhinagar,Ghadkan, Jamnagar,Mahesana,Mehsana, Morbi,Patan,Rajkot, Sabarkantha,Surat, Surendranagar,Tapi,Valsad Jaipur, Ajmer","Bhilwara, Gandhinagar,Ghadkan, Jamnagar,Mahesana,Mehsana, Morbi,Patan,Rajkot, Sabarkantha,Surat, Surendranagar,Tapi,Valsad Jaipur, Ajmer",Yes Direct NA,Yes Direct NA,,,
,,,,,,,,,"Bhilwara, Gandhinagar,Ghadkan, Jamnagar,Mahesana,Mehsana, Morbi,Patan,Rajkot, Sabarkantha,Surat, Surendranagar,Tapi,Valsad Jaipur, Ajmer","Bhilwara, Gandhinagar,Ghadkan, Jamnagar,Mahesana,Mehsana, Morbi,Patan,Rajkot, Sabarkantha,Surat, Surendranagar,Tapi,Valsad Jaipur, Ajmer","Bhilwara, Gandhinagar,Ghadkan, Jamnagar,Mahesana,Mehsana, Morbi,Patan,Rajkot, Sabarkantha,Surat, Surendranagar,Tapi,Valsad Jaipur, Ajmer",Yes Direct NA,Yes Direct NA,,,
41,Empowerment,Empowerment,RuralDevelopmentProjects (x),RuralDevelopmentProjects (x),RuralDevelopmentProjects (x),RuralDevelopmentProjects (x),Yes,PAN India,Multiple Districts,10.06,Yes Direct NA,Yes Direct NA,Yes Direct NA,,,
,Officers,Officers,RuralDevelopmentProjects (x),RuralDevelopmentProjects (x),RuralDevelopmentProjects (x),RuralDevelopmentProjects (x),Yes,PAN India,Multiple Districts,10.06,Yes Direct NA,Yes Direct NA,Yes Direct NA,,,
,,,RuralDevelopmentProjects (x),RuralDevelopmentProjects (x),RuralDevelopmentProjects (x),RuralDevelopmentProjects (x),Yes,PAN India,Multiple Districts,10.06,Yes Direct NA,Yes Direct NA,Yes Direct NA,,,
42,42Financial Literacy,42Financial Literacy,Rural,Rural,Rural,Rural,Yes,PAN India Multiple Districts,PAN India Multiple Districts,233.31,Yes Direct NA,Yes Direct NA,Yes Direct NA,,,
,,,DevelopmentProjects (x),DevelopmentProjects (x),DevelopmentProjects (x),DevelopmentProjects (x),,PAN India Multiple Districts,PAN India Multiple Districts,233.31,Yes Direct NA,Yes Direct NA,Yes Direct NA,,,
43,43HRDP,43HRDP,Rural,Rural,Rural,Rural,Yes,Uttar Pradesh Varanasi,Uttar Pradesh Varanasi,1.75,No Sahbhagi CSR00000486ShikshanKendra,No Sahbhagi CSR00000486ShikshanKendra,No Sahbhagi CSR00000486ShikshanKendra,,,
,,,DevelopmentProjects (x),DevelopmentProjects (x),DevelopmentProjects (x),DevelopmentProjects (x),,Uttar Pradesh Varanasi,Uttar Pradesh Varanasi,1.75,No Sahbhagi CSR00000486ShikshanKendra,No Sahbhagi CSR00000486ShikshanKendra,No Sahbhagi CSR00000486ShikshanKendra,,,
44,44HRDP,44HRDP,Rural,Rural,Rural,Rural,Yes,Uttar Pradesh,"Uttar Pradesh Fatehpur, Barabanki,Chandauli, Bhadohi","Uttar Pradesh Fatehpur, Barabanki,Chandauli, Bhadohi","Uttar Pradesh Fatehpur, Barabanki,Chandauli, Bhadohi",1.93,1.93,,,
,,,DevelopmentProjects (x),DevelopmentProjects (x),DevelopmentProjects (x),DevelopmentProjects (x),,,"Uttar Pradesh Fatehpur, Barabanki,Chandauli, Bhadohi","Uttar Pradesh Fatehpur, Barabanki,Chandauli, Bhadohi","Uttar Pradesh Fatehpur, Barabanki,Chandauli, Bhadohi",1.93,1.93,,,
,,,DevelopmentProjects (x),DevelopmentProjects (x),DevelopmentProjects (x),DevelopmentProjects (x),,,"Uttar Pradesh Fatehpur, Barabanki,Chandauli, Bhadohi","Uttar Pradesh Fatehpur, Barabanki,Chandauli, Bhadohi","Uttar Pradesh Fatehpur, Barabanki,Chandauli, Bhadohi",1.93,1.93,,,
45HRDP,45HRDP,45HRDP,,Rural,Rural,Rural,Rural,Yes,Uttar Pradesh,"Firozabad, Badaun,","Firozabad, Badaun,",1.78,1.78,,,
45HRDP,45HRDP,45HRDP,DevelopmentProjects (x),DevelopmentProjects (x),DevelopmentProjects (x),DevelopmentProjects (x),,,Uttar Pradesh,Bulandshar,,,,,,
46HRDP,46HRDP,46HRDP,RuralDevelopment,RuralDevelopment,RuralDevelopment,RuralDevelopment,Yes,Uttar Pradesh,"Faizabad,Gonda, Sitapur,Sultanpur",0.61,No Participatory CSR00000125Action forCommunityEmpowerment,No Participatory CSR00000125Action forCommunityEmpowerment,No Participatory CSR00000125Action forCommunityEmpowerment,,,
,,,Projects (x),Projects (x),Projects (x),Projects (x),,Uttar Pradesh,"Faizabad,Gonda, Sitapur,Sultanpur",0.61,No Participatory CSR00000125Action forCommunityEmpowerment,No Participatory CSR00000125Action forCommunityEmpowerment,No Participatory CSR00000125Action forCommunityEmpowerment,,,
47HRDP,47HRDP,47HRDP,RuralDevelopment,RuralDevelopment,RuralDevelopment,RuralDevelopment,Yes,Uttar Pradesh,"Pratapgarh, Allahabad",1.21,No Peoples CSR00000125Action forNationalIntegration,No Peoples CSR00000125Action forNationalIntegration,No Peoples CSR00000125Action forNationalIntegration,,,
47HRDP,47HRDP,47HRDP,RuralDevelopment,RuralDevelopment,RuralDevelopment,RuralDevelopment,,Uttar Pradesh,"Pratapgarh, Allahabad",1.21,No Peoples CSR00000125Action forNationalIntegration,No Peoples CSR00000125Action forNationalIntegration,No Peoples CSR00000125Action forNationalIntegration,,,
,,,Projects (x),Projects (x),Projects (x),Projects (x),,Uttar Pradesh,"Pratapgarh, Allahabad",1.21,No Peoples CSR00000125Action forNationalIntegration,No Peoples CSR00000125Action forNationalIntegration,No Peoples CSR00000125Action forNationalIntegration,,,
48 HRDP,48 HRDP,48 HRDP,RuralDevelopment,RuralDevelopment,RuralDevelopment,RuralDevelopment,Yes,Uttar Pradesh Plibhit,Uttar Pradesh Plibhit,Plibhit,Plibhit,0.37,0.37,,,
48 HRDP,48 HRDP,48 HRDP,RuralDevelopment,RuralDevelopment,RuralDevelopment,RuralDevelopment,Yes,Uttar Pradesh Plibhit,Uttar Pradesh Plibhit,,,,Action for,,,
48 HRDP,,,Projects (x),Projects (x),Projects (x),Projects (x),Yes,Uttar Pradesh Plibhit,Uttar Pradesh Plibhit,,,,,,,
49,49HRDP,49HRDP,Rural,Rural,Rural,Rural,Yes,Madhya Pradesh Katni,Madhya Pradesh Katni,0.43,No Haritika CSR00000516,No Haritika CSR00000516,No Haritika CSR00000516,,,
,,,DevelopmentProjects (x),DevelopmentProjects (x),DevelopmentProjects (x),DevelopmentProjects (x),,Madhya Pradesh Katni,Madhya Pradesh Katni,0.43,No Haritika CSR00000516,No Haritika CSR00000516,No Haritika CSR00000516,,,
50,50HRDP,50HRDP,RuralDevelopment,RuralDevelopment,RuralDevelopment,RuralDevelopment,Yes,Meghalaya Ri-Bhoi,Meghalaya Ri-Bhoi,0.42,No Society for CSR00000283Action inCommunityHealth,No Society for CSR00000283Action inCommunityHealth,No Society for CSR00000283Action inCommunityHealth,,,
,50HRDP,50HRDP,RuralDevelopment,RuralDevelopment,RuralDevelopment,RuralDevelopment,Yes,Meghalaya Ri-Bhoi,Meghalaya Ri-Bhoi,0.42,No Society for CSR00000283Action inCommunityHealth,No Society for CSR00000283Action inCommunityHealth,No Society for CSR00000283Action inCommunityHealth,,,
,,,Projects (x),Projects (x),Projects (x),Projects (x),,Meghalaya Ri-Bhoi,Meghalaya Ri-Bhoi,0.42,No Society for CSR00000283Action inCommunityHealth,No Society for CSR00000283Action inCommunityHealth,No Society for CSR00000283Action inCommunityHealth,,,
51HRDP,51HRDP,51HRDP,RuralDevelopment,RuralDevelopment,RuralDevelopment,RuralDevelopment,Yes,Maharashtra,Pune,0.12,No Krushi Vikas CSR00001360va GraminPrashikshanSanstha,No Krushi Vikas CSR00001360va GraminPrashikshanSanstha,No Krushi Vikas CSR00001360va GraminPrashikshanSanstha,,,
51HRDP,,,Projects (x),Projects (x),Projects (x),Projects (x),Yes,Maharashtra,,,No Krushi Vikas CSR00001360va GraminPrashikshanSanstha,No Krushi Vikas CSR00001360va GraminPrashikshanSanstha,No Krushi Vikas CSR00001360va GraminPrashikshanSanstha,,,
51HRDP,,,Projects (x),Projects (x),Projects (x),Projects (x),Yes,Maharashtra,,,No Krushi Vikas CSR00001360va GraminPrashikshanSanstha,No Krushi Vikas CSR00001360va GraminPrashikshanSanstha,No Krushi Vikas CSR00001360va GraminPrashikshanSanstha,,,
52,52HRDP,52HRDP,Rural,Rural,Rural,Rural,Yes,Maharashtra Ahmednagar,Maharashtra Ahmednagar,Maharashtra,Maharashtra,0.07,0.07,,,
,,,Development,Development,Development,Development,,Maharashtra Ahmednagar,Maharashtra Ahmednagar,,,,,va Gramin,,
,,,Projects (x),Projects (x),Projects (x),Projects (x),,Maharashtra Ahmednagar,Maharashtra Ahmednagar,,,,,,,
