1 (2),1 (2),1 (2),(3),(3),（4),,（5,（6,（7,（8),（9),(10),(11),(11),(11),(11),(11),(11),(11),(11),(11),,,,,,,,,,,,,,,,,,,
71 HRDP,71 HRDP,71 HRDP,DevelopmentProjects (x),DevelopmentProjects (x),,,,,,,,,Rural Support,Rural Support,Rural Support,Rural Support,Rural Support,Rural Support,Rural Support,Rural Support,CSR00004229,CSR00004229,CSR00004229,CSR00004229,CSR00004229,CSR00004229,CSR00004229,,,,,,,,,,,,,
71 HRDP,71 HRDP,71 HRDP,DevelopmentProjects (x),DevelopmentProjects (x),,,,,,,,,Projects (x),Projects (x),CSR00004229,CSR00004229,CSR00004229,CSR00004229,CSR00004229,CSR00004229,CSR00004229,CSR00004229,CSR00004229,CSR00004229,CSR00004229,CSR00004229,CSR00004229,ProgrammeIndia,ProgrammeIndia,CSR00000518,CSR00000518,CSR00000518,CSR00000518,CSR00000518,CSR00000518,CSR00000518,,,,
71 HRDP,71 HRDP,71 HRDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 (2),（3),（4),（4),（4),（4),（5),（5),（5),（5),,(6),（7),（7),（8）,（9),（10）,(11),(11),,,,,,,,,,,,,,,,,,,,,,
SI.Name of the,Item from the,Local,Local,Local,Local,Location of the project,Location of the project,Location of the project,Location of the project,Projectduration,AmountAllocated forthe Project(crore),AmountAllocated forthe Project(crore),Amountspent in,Amount,Mode of,Mode of Implementation-ImplementationThrough ImplementingAgency,Mode of Implementation-ImplementationThrough ImplementingAgency,,,,,,,,,,,,,,,,,,,,,,,
No. Project.,list of activitiesareain schedule VIll(Yes/to the Act. No,list of activitiesareain schedule VIll(Yes/to the Act. No,list of activitiesareain schedule VIll(Yes/to the Act. No,,,,,,,Projectduration,AmountAllocated forthe Project(crore),AmountAllocated forthe Project(crore),Amountspent in,transferred to,Mode of,Mode of Implementation-ImplementationThrough ImplementingAgency,Mode of Implementation-ImplementationThrough ImplementingAgency,,,,,,,,,,,,,,,,,,,,,,,
No. Project.,list of activitiesareain schedule VIll(Yes/to the Act. No,list of activitiesareain schedule VIll(Yes/to the Act. No,list of activitiesareain schedule VIll(Yes/to the Act. No,State,State,District,District,District,District,Projectduration,AmountAllocated forthe Project(crore),AmountAllocated forthe Project(crore),the currentfinancial,Unspent CSRAccount for,-Direct (Yes/No),CSRRegistrationnumber,CSRRegistrationnumber,,,,,,,,,,,,,,,,,,,,,,,
No. Project.,list of activitiesareain schedule VIll(Yes/to the Act. No,list of activitiesareain schedule VIll(Yes/to the Act. No,list of activitiesareain schedule VIll(Yes/to the Act. No,State,State,District,District,District,District,Projectduration,,,Year ( crore),the project asper Section135(6)( crore),,CSRRegistrationnumber,CSRRegistrationnumber,,,,,,,,,,,,,,,,,,,,,,,
72 HRDP,Rural,Yes,Yes,Karnataka,Karnataka,"Gulbarga, Raichur, Bidar","Gulbarga, Raichur, Bidar","Gulbarga, Raichur, Bidar","Gulbarga, Raichur, Bidar",2years,2.63,2.63,2.63,NA,No,Myrada,CSR00001099,,,,,,,,,,,,,,,,,,,,,,,
72 HRDP,DevelopmentProjects (x）),,,,,"Gulbarga, Raichur, Bidar","Gulbarga, Raichur, Bidar","Gulbarga, Raichur, Bidar","Gulbarga, Raichur, Bidar",2years,2.63,2.63,,,No,,CSR00001099,,,,,,,,,,,,,,,,,,,,,,,
73 HRDP,Rural,Yes,Yes,Himachal,Himachal,Kangra,Kangra,Kangra,Kangra,1 year,2.27,2.27,2.27,NA,No,Peoples Action,CSR00000125,,,,,,,,,,,,,,,,,,,,,,,
,DevelopmentProjects (x),,,Pradesh,Pradesh,Kangra,Kangra,Kangra,Kangra,1 year,2.27,2.27,2.27,,,ForNationalIntegration,CSR00000125,,,,,,,,,,,,,,,,,,,,,,,
74 HRDP,Rural,Yes,Yes,Odisha,Odisha,Nayagarh,Nayagarh,Nayagarh,Nayagarh,1year,1.64,1.64,1.64,NA,No,Gram Vikas,CSR00000596,,,,,,,,,,,,,,,,,,,,,,,
74 HRDP,DevelopmentProjects (x),,,,,,,,,,,,,,,,CSR00000596,,,,,,,,,,,,,,,,,,,,,,,
75 HRDP,RuralDevelopment,Yes,Yes,Odisha,Odisha,Rayagada,Rayagada,Rayagada,Rayagada,1year,2.76,2.76,2.76,NA,No,Prayatn Sanstha CSR00000483,Prayatn Sanstha CSR00000483,,,,,,,,,,,,,,,,,,,,,,,
75 HRDP,DevelopmentProjects (x),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76 HRDP,Rural,Yes,Yes,Jharkhand,Jharkhand,Khunti,Khunti,Khunti,Khunti,3years,1.95,1.95,1.95,NA,No,Network For,CSR00002858,,,,,,,,,,,,,,,,,,,,,,,
,Development,,,,,Khunti,Khunti,Khunti,Khunti,3years,1.95,1.95,1.95,NA,,EnterpriseEnhancement,,,,,,,,,,,,,,,,,,,,,,,,
,Projects (x),,,,,Khunti,Khunti,Khunti,Khunti,3years,1.95,1.95,1.95,NA,,EnterpriseEnhancement,,,,,,,,,,,,,,,,,,,,,,,,
,Projects (x),,,,,Khunti,Khunti,Khunti,Khunti,3years,,,,,,AndDevelopmentSupport(NEEDS),,,,,,,,,,,,,,,,,,,,,,,,
77 HRDP,Rural,Yes,Yes,Jharkhand,Jharkhand,Ramgarh,Ramgarh,Ramgarh,Ramgarh,3years,2.37,2.37,2.37,NA,No,KGVK,CSR00000159,,,,,,,,,,,,,,,,,,,,,,,
,DevelopmentProjects (x),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78 HRDP,RuralDevelopment,Yes,Yes,YesJharkhand,YesJharkhand,Dumka,Dumka,Dumka,Dumka,2years,2.42,2.42,2.42,NA,No,Professional,CSR00000973,,,,,,,,,,,,,,,,,,,,,,,
78 HRDP,RuralDevelopment,,,,,,,,,,,,,,,Assistance for,,,,,,,,,,,,,,,,,,,,,,,,
78 HRDP,Projects (x),,,,,,,,,,,,,,,Development,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Action(PRADAN),,,,,,,,,,,,,,,,,,,,,,,
79 HRDP,RuralDevelopmentProjects (x）,Yes,Yes,Assam,Assam,Kamrup,Kamrup,Kamrup,Kamrup,1 year,0.66,0.66,0.66,NA,No,FXB India,CSR00000076,,,,,,,,,,,,,,,,,,,,,,,
79 HRDP,RuralDevelopmentProjects (x）,Yes,Yes,Assam,Assam,Kamrup,Kamrup,Kamrup,Kamrup,1 year,0.66,0.66,0.66,,No,Suraksha,,,,,,,,,,,,,,,,,,,,,,,,
80 HRDP,RuralDevelopmentProjects (x）,Yes,Yes,Assam,Assam,Nalbari,Nalbari,Nalbari,Nalbari,1 year,1.16,1.16,1.16,NA,No,Gramya Vikash(,CSR00000407,,,,,,,,,,,,,,,,,,,,,,,
80 HRDP,RuralDevelopmentProjects (x）,Yes,Yes,Assam,Assam,Nalbari,Nalbari,Nalbari,Nalbari,1 year,1.16,1.16,1.16,,,Mancha,,,,,,,,,,,,,,,,,,,,,,,,
81 HRDP,Rural,Yes,Yes,Meghalaya,Meghalaya,Ri-Bhoi,Ri-Bhoi,Ri-Bhoi,Ri-Bhoi,1year,0.71,0.71,0.71,NA,No,FXB IndiaSuraksha,CSR00000076,,,,,,,,,,,,,,,,,,,,,,,
81 HRDP,DevelopmentProjects (x),,,,,Ri-Bhoi,Ri-Bhoi,Ri-Bhoi,Ri-Bhoi,1year,0.71,0.71,,,No,FXB IndiaSuraksha,CSR00000076,,,,,,,,,,,,,,,,,,,,,,,
82 HRDP,Rural,Yes,Yes,Assam,Assam,Kamrup,Kamrup,Kamrup,Kamrup,1year,2.21,2.21,2.21,NA,No,CitizensFoundation,CSR00000589,,,,,,,,,,,,,,,,,,,,,,,
82 HRDP,DevelopmentProjects (x),,,,,Kamrup,Kamrup,Kamrup,Kamrup,,,,,,No,CitizensFoundation,,,,,,,,,,,,,,,,,,,,,,,,
83 HRDP,RuralDevelopmentProjects (x),Yes,Yes,Meghalaya,Meghalaya,East Khasi,East Khasi,East Khasi,East Khasi,1year,1.71,1.71,1.71,NA,No,ArohFoundation,CSR00000044,,,,,,,,,,,,,,,,,,,,,,,
83 HRDP,RuralDevelopmentProjects (x),Yes,Yes,Meghalaya,Meghalaya,East Khasi,East Khasi,East Khasi,East Khasi,,,,,,No,ArohFoundation,CSR00000044,,,,,,,,,,,,,,,,,,,,,,,
83 HRDP,RuralDevelopmentProjects (x),Yes,Yes,Meghalaya,Meghalaya,East Khasi,East Khasi,East Khasi,East Khasi,,,,,,No,ArohFoundation,CSR00000044,,,,,,,,,,,,,,,,,,,,,,,
83 HRDP,RuralDevelopmentProjects (x),Yes,Yes,Meghalaya,Meghalaya,East Khasi,East Khasi,East Khasi,East Khasi,,,,,,No,ArohFoundation,CSR00000044,,,,,,,,,,,,,,,,,,,,,,,
84 HRDP,Rural,Yes,Yes,Assam,Assam,Vishwanath Chirali,Vishwanath Chirali,Vishwanath Chirali,Vishwanath Chirali,Vishwanath Chirali,Vishwanath Chirali,Vishwanath Chirali,1year,2.08,2.08,2.08,NA,,,,,,,,,,,,,,,,,,,,,,,
,Development,,,,,,,,Vishwanath Chirali,Vishwanath Chirali,Vishwanath Chirali,Vishwanath Chirali,1year,2.08,,,,the Upliftment,,,,,,,,,,,,,,,,,,,,,,
,Projects (x),,,,,,,,Vishwanath Chirali,Vishwanath Chirali,Vishwanath Chirali,Vishwanath Chirali,1year,2.08,,,,,,,CSR00004229,CSR00004229,CSR00004229,CSR00004229,CSR00004229,CSR00004229,CSR00004229,ProgrammeIndia,ProgrammeIndia,CSR00000518,CSR00000518,CSR00000518,CSR00000518,CSR00000518,CSR00000518,CSR00000518,of Villagers&,,,
,Projects (x),,,,,,,,Vishwanath Chirali,Vishwanath Chirali,Vishwanath Chirali,Vishwanath Chirali,1year,2.08,,,,of HimalayanAreas(SUVIDHA),,,,,,,,,,,,,,,,,,,,,,
,Projects (x),,,,,,,,Vishwanath Chirali,Vishwanath Chirali,Vishwanath Chirali,Vishwanath Chirali,1year,2.08,,,,of HimalayanAreas(SUVIDHA),,,,,,,,,,,,,,,,,,,,,,
85HRDP,RuralDevelopmentProjects (x),Yes,Yes,Haryana,Haryana,Mahendragarh,Mahendragarh,Mahendragarh,Mahendragarh,3years,1.51,1.51,1.51,NA,No,S.M. Sehgal,CSR00000262,,,,,,,,,,,,,,,,,,,,,,,
85HRDP,RuralDevelopmentProjects (x),,,,,,,,,,,,,,,Foundation,,,,,,,,,,,,,,,,,,,,,,,,
86 HRDP,RuralDevelopment,Yes,Yes,Haryana,Haryana,Yamuna Nagar,Yamuna Nagar,Yamuna Nagar,Yamuna Nagar,2years,1.65,1.65,1.65,NA,No,Centre forAdvance,CSR00000339,,,,,,,,,,,,,,,,,,,,,,,
86 HRDP,,,,,,,,,,,,,,,No,AdvanceResearch andDevelopment,,,,,,,,,,,,,,,,,,,,,,,,
86 HRDP,Projects (x),,,,,,,,,,,,,,No,AdvanceResearch andDevelopment,,,,,,,,,,,,,,,,,,,,,,,,
87 HRDP,RuralDevelopment,Yes,Yes,MadhyaPradesh,MadhyaPradesh,Khandwa,Khandwa,Khandwa,Khandwa,1 year,0.97,0.97,0.97,NA,No,Indo Global,CSR00001677,,,,,,,,,,,,,,,,,,,,,,,
87 HRDP,Projects (x),,,MadhyaPradesh,MadhyaPradesh,Khandwa,Khandwa,Khandwa,Khandwa,1 year,0.97,0.97,0.97,NA,No,,CSR00001677,,,,,,,,,,,,,,,,,,,,,,,
