Instrument,Instrument,Instrument,Instrument,Instrument,Instrument,Rating,Rating Agency Comments,Rating Agency Comments,Rating Agency Comments,Rating Agency Comments,,,,
,,,,,,,,,Instruments with this rating are considered to have thehighest degree of safety regarding timely servicing offinancial obligations.Such instruments carry the lowestcredit risk.,Instruments with this rating are considered to have thehighest degree of safety regarding timely servicing offinancial obligations.Such instruments carry the lowestcredit risk.,,,,
,,,,,,,,,Instruments with this rating are considered to have thehighest degree of safety regarding timely servicing offinancial obligations.Such instruments carry the lowestcredit risk.,Instruments with this rating are considered to have thehighest degree of safety regarding timely servicing offinancial obligations.Such instruments carry the lowestcredit risk.,cr,,,
,,,,,,CRISIL AAA,CRISIL,CRISIL,Instr,Instruments with this rating are considered to have thehighest degree of safety regarding timely servicing offinancial obligations. Such instruments carry the lowestcredit risk.,,,,
,,,,,,,,,,Instruments with this rating are considered to have thehighest degree of safety regarding timely servicing offinancial obligations. Such instruments carry the lowestcredit risk.,,,,
,,,,,,,,,,Instruments with this rating are considered to have thehighest degree of safety regarding timely servicing offinancial obligations. Such instruments carry the lowestcredit risk.,,,,
Additional Tier I Bonds,Additional Tier I Bonds,Additional Tier I Bonds,Additional Tier I Bonds,Additional Tier I Bonds,Additional Tier I Bonds,CARE AA+,CARE Ratings,CARE Ratings,Instruments with this rating are considered to have highdegree of safety regarding timely servicing of financialobligations. Such instruments carry very low credit risk.,Instruments with this rating are considered to have highdegree of safety regarding timely servicing of financialobligations. Such instruments carry very low credit risk.,,,,
(Under Basel II),(Under Basel II),(Under Basel II),(Under Basel II),(Under Basel II),(Under Basel II),,,,Instruments with this rating are considered to have highdegree of safety regarding timely servicing of financialobligations. Such instruments carry very low credit risk.,Instruments with this rating are considered to have highdegree of safety regarding timely servicing of financialobligations. Such instruments carry very low credit risk.,,,,
,,,,,,,,,Instruments with this rating are considered to have highdegree of safety regarding timely servicing of financialobligations. Such instruments carry very low credit risk.,Instruments with this rating are considered to have highdegree of safety regarding timely servicing of financialobligations. Such instruments carry very low credit risk.,,,,
,,,,,,CRISIL AA+,CRISIL,CRISIL,Instruments with this rating are considered to have highdegree of safety regarding timely servicing of financialobligations. Such instruments carry very low credit risk.,Instruments with this rating are considered to have highdegree of safety regarding timely servicing of financialobligations. Such instruments carry very low credit risk.,,,,
,,,,,,,,,Instruments with this rating are considered to have highdegree of safety regarding timely servicing of financialobligations. Such instruments carry very low credit risk.,Instruments with this rating are considered to have highdegree of safety regarding timely servicing of financialobligations. Such instruments carry very low credit risk.,,,,
,,,,,,,,,Instruments with this rating are considered to have highdegree of safety regarding timely servicing of financialobligations. Such instruments carry very low credit risk.,Instruments with this rating are considered to have highdegree of safety regarding timely servicing of financialobligations. Such instruments carry very low credit risk.,,,,
,,,,,,,,IND AA+,India Ratings,India Ratings,Instruments with this rating are considered to have highdegree of safety regarding timely servicing of financialobligations. Such instruments carry very low credit risk.,Instruments with this rating are considered to have highdegree of safety regarding timely servicing of financialobligations. Such instruments carry very low credit risk.,,
Tier Il Bonds,Tier Il Bonds,Tier Il Bonds,Tier Il Bonds,Tier Il Bonds,Tier Il Bonds,CARE AAA,CARE Ratings,CARE Ratings,Instruments with this rating are considered to have thehighest degree of safety regarding timely servicing offinancial obligations. Such instruments carry the lowestcredit risk.,Instruments with this rating are considered to have thehighest degree of safety regarding timely servicing offinancial obligations. Such instruments carry the lowestcredit risk.,Instruments with this rating are considered to have highdegree of safety regarding timely servicing of financialobligations. Such instruments carry very low credit risk.,Instruments with this rating are considered to have highdegree of safety regarding timely servicing of financialobligations. Such instruments carry very low credit risk.,,
(Under Basel II),(Under Basel II),(Under Basel II),(Under Basel II),(Under Basel II),(Under Basel II),,,,Instruments with this rating are considered to have thehighest degree of safety regarding timely servicing offinancial obligations. Such instruments carry the lowestcredit risk.,Instruments with this rating are considered to have thehighest degree of safety regarding timely servicing offinancial obligations. Such instruments carry the lowestcredit risk.,Instruments with this rating are considered to have highdegree of safety regarding timely servicing of financialobligations. Such instruments carry very low credit risk.,Instruments with this rating are considered to have highdegree of safety regarding timely servicing of financialobligations. Such instruments carry very low credit risk.,,
,,,,,,,,,Instruments with this rating are considered to have thehighest degree of safety regarding timely servicing offinancial obligations. Such instruments carry the lowestcredit risk.,Instruments with this rating are considered to have thehighest degree of safety regarding timely servicing offinancial obligations. Such instruments carry the lowestcredit risk.,,,,
,,,,,,CRISIL AAA,CRISIL,CRISIL,Instruments with this rating are considered to have thehighest degree of safety regarding timely servicing offinancial obligations. Such instruments carry the lowestcredit risk.,Instruments with this rating are considered to have thehighest degree of safety regarding timely servicing offinancial obligations. Such instruments carry the lowestcredit risk.,,,,
,,,,,,,,,,Instruments with this rating are considered to have thehighest degree of safety regarding timely servicing offinancial obligations. Such instruments carry the lowestcredit risk.,,,,
,,,,,,,,,Instruments with this rating are considered to have thehighest degree of safety regarding timely servicing offinancial obligations. Such instruments carry the lowestcredit risk.,Instruments with this rating are considered to have thehighest degree of safety regarding timely servicing offinancial obligations. Such instruments carry the lowestcredit risk.,,,,
,,,,,,,,,Instruments with this rating are considered to have thehighest degree of safety regarding timely servicing offinancial obligations. Such instruments carry the lowestcredit risk.,Instruments with this rating are considered to have thehighest degree of safety regarding timely servicing offinancial obligations. Such instruments carry the lowestcredit risk.,,,,
