1,(2),(2),(3),（4,（5),（5),（5),（6,（7) （8),（7) （8),（7) （8),
23,23Innovation and,23Innovation and,Preventive,Yes,Punjab,Mohali,Mohali,2.00,No Punjab CSR NAAuthority,No Punjab CSR NAAuthority,No Punjab CSR NAAuthority,
,Startup Support,Startup Support,and CurativeHealthcare (i),,,Mohali,Mohali,2.00,No Punjab CSR NAAuthority,No Punjab CSR NAAuthority,No Punjab CSR NAAuthority,
,,,and CurativeHealthcare (i),,,Mohali,Mohali,2.00,No Punjab CSR NAAuthority,No Punjab CSR NAAuthority,No Punjab CSR NAAuthority,
,,,and CurativeHealthcare (i),,,Mohali,Mohali,2.00,No Punjab CSR NAAuthority,No Punjab CSR NAAuthority,No Punjab CSR NAAuthority,
24,24Support to cancer,24Support to cancer,Preventive,Yes,Punjab,Sangrur,Sangrur,3.00,No Tata MemorialNACentre,No Tata MemorialNACentre,No Tata MemorialNACentre,
,patients,patients,and Curative,,Punjab,Sangrur,Sangrur,3.00,No Tata MemorialNACentre,No Tata MemorialNACentre,No Tata MemorialNACentre,
,,,Healthcare (i),,Punjab,Sangrur,Sangrur,3.00,No Tata MemorialNACentre,No Tata MemorialNACentre,No Tata MemorialNACentre,
25,25COVID Relief,25COVID Relief,Preventive,Yes,Maharashtra,Mumbai,Mumbai,0.20,No Taj PublicServiceWelfare Trust,No Taj PublicServiceWelfare Trust,NA,
,,,and CurativeHealthcare,,,,,0.20,No Taj PublicServiceWelfare Trust,No Taj PublicServiceWelfare Trust,NA,
,,,()/DisasterManagement (xii),,,,,0.20,No Taj PublicServiceWelfare Trust,No Taj PublicServiceWelfare Trust,NA,
