1 (2),1 (2),1 (2),1 (2),(3）,(3）,(3）,(3）,（4),,（5),(6),(6),(6),(6),（7),（7),(8),（9）,（10）,(11),,,,,,,
,,,,,,,,,,Gariaband,1year,1year,1year,1year,0.77,0.77,0.77,,,,and YouthDevelopment,,,,,,
108 HRDP,108 HRDP,108 HRDP,108 HRDP,Rural,Rural,Rural,Rural,Yes,Madhya,Burhanpur,1year,1year,1year,1year,0.62,0.62,0.62,NA,No,Aga Khan,,,,,,,
,,,,Development,Development,Development,Development,,Pradesh,Burhanpur,1year,1year,1year,1year,,,,,,Rural Support,,,,,,,
,,,,Projects (x),Projects (x),Projects (x),Projects (x),,,Burhanpur,1year,1year,1year,1year,,,,,,ProgrammeIndia,,,,,,,
109 HRDP,109 HRDP,109 HRDP,109 HRDP,Rural,Rural,Rural,Rural,Yes,Jharkhand,Ranchi,1year,1year,1year,1year,1.04,1.04,1.04,NA,No,Nav Bharat,,,,,,,
,,,,,Projects (x),Projects (x),Projects (x),,,,,,,,,,,,,,,,,,,,
,,,,,Projects (x),Projects (x),Projects (x),,,,,,,,,,,,,Jagriti Kendra,,,,,,,
110 HRDP,110 HRDP,110 HRDP,110 HRDP,,RuralDevelopment,RuralDevelopment,RuralDevelopment,Yes,Haryana,Nuh,1 year,1 year,1 year,1 year,0.68,0.68,0.68,NA,No,S.M.Sehgal,,,,,,,
110 HRDP,110 HRDP,110 HRDP,110 HRDP,DevelopmentProjects (x),DevelopmentProjects (x),DevelopmentProjects (x),DevelopmentProjects (x),,,Nuh,,,,,,,,,,Foundation,,,,,,,
111 HRDP,111 HRDP,111 HRDP,111 HRDP,Rural,Rural,Rural,Rural,Yes,Uttar Pradesh,Bahraich,1year,1year,1year,1year,0.84,0.84,0.84,NA,No,Aga Khan,,,,,,,
,,,,DevelopmentProjects (x),DevelopmentProjects (x),DevelopmentProjects (x),DevelopmentProjects (x),,,Bahraich,1year,1year,1year,1year,0.84,0.84,0.84,,No,Foundation,,,,,,,
112 HRDP,112 HRDP,112 HRDP,112 HRDP,RuralDevelopmentProjects (x),RuralDevelopmentProjects (x),RuralDevelopmentProjects (x),RuralDevelopmentProjects (x),Yes,Rajasthan,Alwar,1 year,1 year,1 year,1 year,0.19,0.19,0.19,NA,No,IBTADA,,,,,,,
112 HRDP,112 HRDP,112 HRDP,112 HRDP,RuralDevelopmentProjects (x),RuralDevelopmentProjects (x),RuralDevelopmentProjects (x),RuralDevelopmentProjects (x),,,,,,,,,,,,,,,,,,,,
113 HRDP,113 HRDP,113 HRDP,113 HRDP,Rural,Rural,Rural,Rural,Yes,Meghalaya,Ri-Bhoi,1year,1year,1year,1year,0.50,0.50,0.50,NA,No,Society For,,,,,,,
,,,,Projects (x),Projects (x),Projects (x),Projects (x),Projects (x),,,,,,,,,,,,,,,,,,,
,,,,Projects (x),Projects (x),Projects (x),Projects (x),Projects (x),,,,,,,,,,,,,,,,,,,
114 HRDP,114 HRDP,114 HRDP,114 HRDP,RuralDevelopmentProjects (x),RuralDevelopmentProjects (x),RuralDevelopmentProjects (x),RuralDevelopmentProjects (x),Yes,Uttarakhand,Almora,1 year,1 year,1 year,1 year,0.24,0.24,0.24,NA,No,Himmotthan,,,,,,,
114 HRDP,114 HRDP,114 HRDP,114 HRDP,RuralDevelopmentProjects (x),RuralDevelopmentProjects (x),RuralDevelopmentProjects (x),RuralDevelopmentProjects (x),Yes,Uttarakhand,Almora,1 year,1 year,1 year,1 year,0.24,0.24,,,,,,,,,,,
114 HRDP,114 HRDP,114 HRDP,114 HRDP,RuralDevelopmentProjects (x),RuralDevelopmentProjects (x),RuralDevelopmentProjects (x),RuralDevelopmentProjects (x),Yes,Uttarakhand,Almora,1 year,1 year,1 year,1 year,0.24,0.24,,,,,,,,,,,
115 HRDP,115 HRDP,115 HRDP,115 HRDP,RuralDevelopment,RuralDevelopment,RuralDevelopment,RuralDevelopment,Yes,MadhyaPradesh,Jhabua,1 year,1 year,1 year,1 year,0.79,0.79,0.79,NA,No,BAIF Institute,,,,,,,
115 HRDP,115 HRDP,115 HRDP,115 HRDP,RuralDevelopment,RuralDevelopment,RuralDevelopment,RuralDevelopment,Yes,MadhyaPradesh,Jhabua,1 year,1 year,1 year,1 year,,,,,,,,,,,,,
,,,,Projects (x),Projects (x),Projects (x),Projects (x),,,Jhabua,1 year,1 year,1 year,1 year,,,,,,,Livelihoods and,,,,,,
,,,,Projects (x),Projects (x),Projects (x),Projects (x),,,Jhabua,1 year,1 year,1 year,1 year,,,,,,,Development,,,,,,
116 HRDP,116 HRDP,116 HRDP,116 HRDP,Rural,Rural,Rural,Rural,Yes,Madhya,Guna,1 year,1 year,1 year,1 year,0.87,0.87,0.87,NA,No,End Poverty,,,,,,,
,,,,DevelopmentProjects (x),DevelopmentProjects (x),DevelopmentProjects (x),DevelopmentProjects (x),,Pradesh,Guna,1 year,1 year,1 year,1 year,0.87,0.87,,,,,,,,,,,
117 HRDP,117 HRDP,117 HRDP,117 HRDP,RuralDevelopment,RuralDevelopment,RuralDevelopment,RuralDevelopment,Yes,Maharashtra,Chandrapur,1year,1year,1year,1year,0.34,0.34,0.34,NA,No,Krushi Vikas,,,,,,,
117 HRDP,117 HRDP,117 HRDP,117 HRDP,RuralDevelopment,RuralDevelopment,RuralDevelopment,RuralDevelopment,Yes,,Chandrapur,1year,1year,1year,1year,0.34,0.34,0.34,,,Va Gramin,,,,,,,
117 HRDP,117 HRDP,117 HRDP,117 HRDP,Projects (x),Projects (x),Projects (x),Projects (x),,,Chandrapur,1year,1year,1year,1year,0.34,0.34,0.34,,,,,,,,,,
117 HRDP,117 HRDP,117 HRDP,117 HRDP,Projects (x),Projects (x),Projects (x),Projects (x),,,Chandrapur,1year,1year,1year,1year,0.34,0.34,0.34,,,,PrashikshanSanstha,,,,,,
118 HRDP,118 HRDP,118 HRDP,118 HRDP,RuralDevelopment,RuralDevelopment,RuralDevelopment,RuralDevelopment,Yes,Haryana,Rewari,1year,1year,1year,1year,0.58,0.58,0.58,NA,No,End Poverty,,,,,,,
118 HRDP,118 HRDP,118 HRDP,118 HRDP,Projects (x),Projects (x),Projects (x),Projects (x),Yes,Haryana,Rewari,1year,1year,1year,1year,,,,,No,End Poverty,,,,,,,
118 HRDP,118 HRDP,118 HRDP,118 HRDP,Projects (x),Projects (x),Projects (x),Projects (x),Yes,Haryana,Rewari,1year,1year,1year,1year,,,,,No,End Poverty,,,,,,,
119 HRDP,119 HRDP,119 HRDP,119 HRDP,RuralDevelopment,RuralDevelopment,RuralDevelopment,RuralDevelopment,Yes,Maharashtra,Hingoli,1 year,1 year,1 year,1 year,0.65,0.65,0.65,NA,No,BAIF Institute,,,,,,,
119 HRDP,119 HRDP,119 HRDP,119 HRDP,RuralDevelopment,RuralDevelopment,RuralDevelopment,RuralDevelopment,Yes,Maharashtra,,,,,,,,,,No,for Sustainable,,,,,,,
,,,,Projects (x),Projects (x),Projects (x),Projects (x),,,,,,,,,,,,No,,,,,,,,
,,,,Projects (x),Projects (x),Projects (x),Projects (x),,,,,,,,,,,,No,,,,,,,,
,,,,Projects (x),Projects (x),Projects (x),Projects (x),,,,,,,,,,,,No,Livelihoods and,,,,,,,
,,,,,,,,,,,,,,,,,,,No,,,,,,,,
,,,,,,,,,,,,,,,,,,,No,,Development,,,,,,
120 HRDP,120 HRDP,120 HRDP,120 HRDP,Rural,Rural,Rural,RuralDevelopmentProjects (x),RuralDevelopmentProjects (x),Yes,Tamil Nadu,Virudhunagar,Virudhunagar,Virudhunagar,Virudhunagar,Virudhunagar,Virudhunagar,1year,0.58,0.58,NA,,,,,,,
,,,,,,,RuralDevelopmentProjects (x),RuralDevelopmentProjects (x),Yes,Tamil Nadu,Virudhunagar,Virudhunagar,Virudhunagar,Virudhunagar,Virudhunagar,Virudhunagar,1year,0.58,0.58,NA,,Foundation,,,,,
121 HRDP,121 HRDP,121 HRDP,121 HRDP,Rural,Rural,Rural,Rural,Yes,Himachal,Hamirpur,1 year,1 year,1 year,1 year,0.49,0.49,0.49,NA,No,Himmotthan,,,,,,,
,,,,DevelopmentProjects (x),DevelopmentProjects (x),DevelopmentProjects (x),DevelopmentProjects (x),,Pradesh,,,,,,,,0.49,,,Society,,,,,,,
122 HRDP,122 HRDP,122 HRDP,122 HRDP,RuralDevelopment,RuralDevelopment,RuralDevelopment,RuralDevelopment,Yes,Karnataka,Koppal,1 year,1 year,1 year,1 year,0.65,0.65,0.65,NA,No,BAIF Institute,,,,,,,
122 HRDP,122 HRDP,122 HRDP,122 HRDP,RuralDevelopment,RuralDevelopment,RuralDevelopment,RuralDevelopment,Yes,Karnataka,Koppal,1 year,1 year,1 year,1 year,0.65,0.65,0.65,NA,,,,,,,,,
122 HRDP,122 HRDP,122 HRDP,122 HRDP,Projects (x),Projects (x),Projects (x),Projects (x),,Karnataka,Koppal,1 year,1 year,1 year,1 year,0.65,0.65,0.65,NA,,,Livelihoods and,,,,,,
122 HRDP,122 HRDP,122 HRDP,122 HRDP,Projects (x),Projects (x),Projects (x),Projects (x),,Karnataka,Koppal,1 year,1 year,1 year,1 year,0.65,0.65,0.65,NA,,,Development,,,,,,
123 HRDP,123 HRDP,123 HRDP,123 HRDP,Rural,Rural,Rural,Rural,Yes,Andhra,Anantapur,1year,1year,1year,1year,0.71,0.71,0.71,NA,No,Foundation,,,,,,,
123 HRDP,123 HRDP,123 HRDP,123 HRDP,,,,,,Pradesh,,,,,,,,,,,For EcologicalSecurity,,,,,,,
123 HRDP,123 HRDP,123 HRDP,123 HRDP,Projects (x),Projects (x),Projects (x),Projects (x),,Pradesh,,,,,,,,,,,For EcologicalSecurity,,,,,,,
