1,（2),（2),（3),（3),（4）,（5),（6,（7) （8,
,,,Preventiveand CurativeHealthcare,Preventiveand CurativeHealthcare,Yes,Gujarat Ahmedabad,0.99,No Yuva CSR00000473Unstoppable,
,,,()/ DisasterManagement (xi),()/ DisasterManagement (xi),,Gujarat Ahmedabad,0.99,No Yuva CSR00000473Unstoppable,
,,,()/ DisasterManagement (xi),()/ DisasterManagement (xi),,Gujarat Ahmedabad,0.99,No Yuva CSR00000473Unstoppable,
33,33COVID Relief,33COVID Relief,Preventive,Preventive,Yes,PAN India Multiple Districts,24.73,Yes Direct NA,
,,,and CurativeHealthcare,and CurativeHealthcare,,PAN India Multiple Districts,24.73,Yes Direct NA,
,,,()/DisasterManagement (ii),()/DisasterManagement (ii),,PAN India Multiple Districts,24.73,Yes Direct NA,
34,34Solar ATMs,34Solar ATMs,Ensuring,Ensuring,Yes,"Maharashtr, Uttar Pradesh, Dhule, Mumbai,Jalgaon,Bihar Banka, Jamui, Bara Banki,Agra,RaiBarell,otsBhagalpur, Muzzafarpur,",0.06,Yes Direct NA,
,,,Environmental,Environmental,,"Maharashtr, Uttar Pradesh, Dhule, Mumbai,Jalgaon,Bihar Banka, Jamui, Bara Banki,Agra,RaiBarell,otsBhagalpur, Muzzafarpur,",0.06,Yes Direct NA,
,,,Sustainabilty (iv),Sustainabilty (iv),,"Maharashtr, Uttar Pradesh, Dhule, Mumbai,Jalgaon,Bihar Banka, Jamui, Bara Banki,Agra,RaiBarell,otsBhagalpur, Muzzafarpur,",0.06,Yes Direct NA,
35,35Solar Lamps,35Solar Lamps,EnsuringEnvironmental,EnsuringEnvironmental,Yes,Uttar Pradesh Kanpur,0.04,No Peoples CSR00000125Action forNationalIntegration,
,,,EnsuringEnvironmental,EnsuringEnvironmental,Yes,Uttar Pradesh Kanpur,0.04,No Peoples CSR00000125Action forNationalIntegration,
,,,Sustainabilit (iv),Sustainabilit (iv),,Uttar Pradesh Kanpur,0.04,No Peoples CSR00000125Action forNationalIntegration,
,,,Sustainabilit (iv),Sustainabilit (iv),,Uttar Pradesh Kanpur,0.04,No Peoples CSR00000125Action forNationalIntegration,
36,36Tree Plantation,36Tree Plantation,EnsuringEnvironmental,EnsuringEnvironmental,Yes,"Sikim, Madhya Pradesh, East Sikim, Harda,BhilwaraRajasthan, Uttarakhand,UtarRajsamand,Pratapgarh,Pradesh,Odisha, Haryana, Alwar, Nanital,Jhansi,uri,Punjab Fatehbad,oga",7.02,Yes Direct NA,
,,,EnsuringEnvironmental,EnsuringEnvironmental,,"Sikim, Madhya Pradesh, East Sikim, Harda,BhilwaraRajasthan, Uttarakhand,UtarRajsamand,Pratapgarh,Pradesh,Odisha, Haryana, Alwar, Nanital,Jhansi,uri,Punjab Fatehbad,oga",7.02,Yes Direct NA,
,,,Sustainability (iv),Sustainability (iv),,"Sikim, Madhya Pradesh, East Sikim, Harda,BhilwaraRajasthan, Uttarakhand,UtarRajsamand,Pratapgarh,Pradesh,Odisha, Haryana, Alwar, Nanital,Jhansi,uri,Punjab Fatehbad,oga",7.02,Yes Direct NA,
,,,,,,"Sikim, Madhya Pradesh, East Sikim, Harda,BhilwaraRajasthan, Uttarakhand,UtarRajsamand,Pratapgarh,Pradesh,Odisha, Haryana, Alwar, Nanital,Jhansi,uri,Punjab Fatehbad,oga",7.02,Yes Direct NA,
37,37Payroll Giving,37Payroll Giving,Eradicating,Eradicating,Yes,PAN India Multiple Districts,0.45,No Give India NA,
,-Employer,-Employer,Poverty (i/,Poverty (i/,,PAN India Multiple Districts,0.45,No Give India NA,
,Contribution,Contribution,,,,PAN India Multiple Districts,0.45,No Give India NA,
,,,,,,PAN India Multiple Districts,0.45,No Give India NA,
,,,PromotingEducation (i)/Gender Equality (i),PromotingEducation (i)/Gender Equality (i),,PAN India Multiple Districts,0.45,No Give India NA,
,,,PromotingEducation (i)/Gender Equality (i),PromotingEducation (i)/Gender Equality (i),,PAN India Multiple Districts,0.45,No Give India NA,
38,38Disaster,38Disaster,Disaster,Disaster,Yes,West Bengal Uttarakhand Multiple Districts,6.00,No State DisasterNADevelopmentAuthority,
,Management and,Management and,Management (ii),Management (ii),,West Bengal Uttarakhand Multiple Districts,6.00,No State DisasterNADevelopmentAuthority,
,Rehabiltation,Rehabiltation,Management (ii),Management (ii),,West Bengal Uttarakhand Multiple Districts,6.00,No State DisasterNADevelopmentAuthority,
