Govt/Jurisdiction	Criminalized Drug Money Laundering	Know-Your-Customer Provisions	Report Suspicious Transactions (YVN)	Maintain Records Over Time	Cross-Border Transportation of Currency	Financial Intelligence Unit is a Member of the Egmont Group of FIUs	Int'l Law Enforcement Cooperation	System for Identifying/Forfeiting Assets	Arrangements for Asset Sharing	Information exchange agreements with non-U.S. govts	States Party to 1988 UN Drug Convention	States Party to UNTOC	States Party to UNCAC
Chile	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
China	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Christmas Island	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Cocos (Keeling) Islands	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Colombia	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
Comoros	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Congo (Brazzaville)	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Congo (Kinshasa)	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Cook Islands	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Costa Rica	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
Cote d'Ivoire	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Croatia	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Cuba	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Curacao	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	N
Cyprus	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Czech Republic	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Denmark	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Djibouti	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Dominica	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Dominican Republic	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
East Timor	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Ecuador	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
Egypt	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
El Salvador	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
Equatorial Guinea	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Eritrea	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Estonia	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Ethiopia	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Falkland Islands (Malvinas)	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Faroe Islands	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Fiji	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Finland	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
France	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
French Guiana	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
French Polynesia	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
French Southern Territories	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
French West Indies	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Gabon	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Gambia	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Georgia	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Germany	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Ghana	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Gibraltar	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Greece	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Greenland	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Grenada	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Guatemala	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
Guinea	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Guinea-Bissau	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Guyana	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Haiti	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Heard Island and McDonald Islands	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Holy See (Vatican City)	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Honduras	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
Hong Kong	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Hungary	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Iceland	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
India	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Indonesia	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Iran (Islamic Republic of)	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Iraq	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Ireland	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Isle of Man	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Israel	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Italy	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Jamaica	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Japan	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Jersey	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Jordan	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Kazakhstan	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Kenya	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Kiribati	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Korea, Democratic People's Republic of	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Korea, Republic of	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Kuwait	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Kyrgyzstan	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Lao People's Democratic Republic	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Latvia	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Lebanon	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Lesotho	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Liberia	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Libyan Arab Jamahiriya	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Liechtenstein	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Lithuania	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Luxembourg	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Macao	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Macedonia, The Former Yugoslav Republic of	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Madagascar	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Malawi	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Malaysia	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Maldives	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Mali	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Malta	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Marshall Islands	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Martinique	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Mauritania	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Mauritius	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Mayotte	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Mexico	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
Moldova, Republic of	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Monaco	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Mongolia	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Montenegro	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Montserrat	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Morocco	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Mozambique	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Myanmar	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Namibia	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Nauru	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Nepal	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Netherlands	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Netherlands Antilles	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	N
New Caledonia	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
New Zealand	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Nicaragua	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
Niger	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Nigeria	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Niue	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Norfolk Island	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Northern Mariana Islands	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Norway	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Oman	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Pakistan	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Palau	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Palestinian Territory, Occupied	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Panama	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
Papua New Guinea	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Paraguay	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Peru	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
Philippines	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Pitcairn	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Poland	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Portugal	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Puerto Rico	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Qatar	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Reunion	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Romania	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Russian Federation	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Rwanda	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Saint Helena	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Saint Kitts and Nevis	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Saint Lucia	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Saint Martin (French part)	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Saint Pierre and Miquelon	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Saint Vincent and the Grenadines	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Samoa	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
San Marino	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Sao Tome and Principe	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Saudi Arabia	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Senegal	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Serbia	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Seychelles	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Sierra Leone	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Singapore	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Sint Maarten (Dutch part)	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Slovakia	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Slovenia	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Solomon Islands	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Somalia	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
South Africa	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
South Georgia and the South Sandwich Islands	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
South Sudan	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Spain	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Sri Lanka	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Sudan	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Suriname	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Svalbard and Jan Mayen	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Swaziland	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Sweden	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Switzerland	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Syrian Arab Republic	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Taiwan, Province of China	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Tajikistan	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Tanzania, United Republic of	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Thailand	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Timor-Leste	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Togo	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Tokelau	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Tonga	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Trinidad and Tobago	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Tunisia	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Turkey	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Turkmenistan	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Turks and Caicos Islands	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Tuvalu	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Uganda	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Ukraine	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
United Arab Emirates	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
United Kingdom	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
United States of America	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Uruguay	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Uzbekistan	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Vanuatu	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Venezuela, Bolivarian Republic of	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Viet Nam	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Virgin Islands (British)	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Virgin Islands (U.S.)	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Wallis and Futuna	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Western Sahara	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Yemen	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Zambia	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Zimbabwe	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
