"Release of vested RSUs,","Release of vested RSUs,","Release of vested RSUs,",,,,,(312),,,(312),,(312),,,
including tax effectsRepurchases of common stock,including tax effectsRepurchases of common stock,including tax effectsRepurchases of common stock,"1,928",,,,(312),,,(312),,(312),,,
including tax effectsRepurchases of common stock,including tax effectsRepurchases of common stock,including tax effectsRepurchases of common stock,"(1,358)",,,,(23),,(472),(495),,(495),,,
Cash dividends declared,Cash dividends declared,Cash dividends declared,,,,,,,"(5,748)","(5,748)",,"(5,748)",,,
"BALANCE ATAUGUST29,2021","BALANCE ATAUGUST29,2021","BALANCE ATAUGUST29,2021","441,825",4,4,4,"7,031","(1,137)","11,666","17,564",514,"18,078",,,
"Net incomeForeign-currency translationadjustment and other, net","Net incomeForeign-currency translationadjustment and other, net","Net incomeForeign-currency translationadjustment and other, net",,,,,,,"5,844","5,844",71,"5,915",,,
"Net incomeForeign-currency translationadjustment and other, net","Net incomeForeign-currency translationadjustment and other, net","Net incomeForeign-currency translationadjustment and other, net",,,,,,(686),,(686),(35),(721),,,
Stock-based compensation,Stock-based compensation,Stock-based compensation,,,,,728,,,728,,728,,,
"Release of vested RSUs,including tax effectsDividend to noncontrollinginterestAcquisition of noncontrollinginterestRepurchases of common stock","Release of vested RSUs,including tax effectsDividend to noncontrollinginterestAcquisition of noncontrollinginterestRepurchases of common stock","Release of vested RSUs,including tax effectsDividend to noncontrollinginterestAcquisition of noncontrollinginterestRepurchases of common stock","1,702",,,,(363),,,(363),,(363),,,
"Release of vested RSUs,including tax effectsDividend to noncontrollinginterestAcquisition of noncontrollinginterestRepurchases of common stock","Release of vested RSUs,including tax effectsDividend to noncontrollinginterestAcquisition of noncontrollinginterestRepurchases of common stock","Release of vested RSUs,including tax effectsDividend to noncontrollinginterestAcquisition of noncontrollinginterestRepurchases of common stock",,,,,,,,,(208),(208),,,
"Release of vested RSUs,including tax effectsDividend to noncontrollinginterestAcquisition of noncontrollinginterestRepurchases of common stock","Release of vested RSUs,including tax effectsDividend to noncontrollinginterestAcquisition of noncontrollinginterestRepurchases of common stock","Release of vested RSUs,including tax effectsDividend to noncontrollinginterestAcquisition of noncontrollinginterestRepurchases of common stock",,,,,(499),(6),一,(505),(337),(842),,,
"Release of vested RSUs,including tax effectsDividend to noncontrollinginterestAcquisition of noncontrollinginterestRepurchases of common stock","Release of vested RSUs,including tax effectsDividend to noncontrollinginterestAcquisition of noncontrollinginterestRepurchases of common stock","Release of vested RSUs,including tax effectsDividend to noncontrollinginterestAcquisition of noncontrollinginterestRepurchases of common stock",(863),,,,(15),,(427),(442),,(442),,,
"Cash dividends declared andotherBALANCE ATAUGUST 28,2022","Cash dividends declared andotherBALANCE ATAUGUST 28,2022","Cash dividends declared andotherBALANCE ATAUGUST 28,2022",,(2),(2),(2),2,,"(1,498)","(1,498)",,"(1,498)",,,
"Cash dividends declared andotherBALANCE ATAUGUST 28,2022","Cash dividends declared andotherBALANCE ATAUGUST 28,2022","Cash dividends declared andotherBALANCE ATAUGUST 28,2022","442,664",$ 2,$ 2,$ 2,"$ 6,884",,,"$ 20,642",$,"5$ 20,647",,,
"Cash dividends declared andotherBALANCE ATAUGUST 28,2022","Cash dividends declared andotherBALANCE ATAUGUST 28,2022","Cash dividends declared andotherBALANCE ATAUGUST 28,2022","442,664",$ 2,$ 2,$ 2,"$ 6,884","$ (1,829)$","15,585","$ 20,642",$,"5$ 20,647",,,
