2.1,2.1,2.1,2.1,"Distribution Agreement between Altria Group, Inc. and Philip Morris International Inc. dated","Distribution Agreement between Altria Group, Inc. and Philip Morris International Inc. dated",,,,,,,,,
,,,,,,,,,"Inc.,dated as of January1, 2008 (incorporated by reference to Exhibit 10.4 to the RegistrationStatement on Form 10 filed March 5, 2008).","Inc.,dated as of January1, 2008 (incorporated by reference to Exhibit 10.4 to the RegistrationStatement on Form 10 filed March 5, 2008).","Inc.,dated as of January1, 2008 (incorporated by reference to Exhibit 10.4 to the RegistrationStatement on Form 10 filed March 5, 2008).","Inc.,dated as of January1, 2008 (incorporated by reference to Exhibit 10.4 to the RegistrationStatement on Form 10 filed March 5, 2008).","Inc.,dated as of January1, 2008 (incorporated by reference to Exhibit 10.4 to the RegistrationStatement on Form 10 filed March 5, 2008).","Inc.,dated as of January1, 2008 (incorporated by reference to Exhibit 10.4 to the RegistrationStatement on Form 10 filed March 5, 2008)."
10.3,10.3,10.3,10.3,"Credit Agreement, dated as of February 12, 2013, among Philip Morris International Inc., thelenders named therein and Citibank Europe PLC, UK Branch (formerly, The Royal Bank ofScotland plc), as Administrative Agent (incorporated by reference to Exhibit 10.1 to the Current","Credit Agreement, dated as of February 12, 2013, among Philip Morris International Inc., thelenders named therein and Citibank Europe PLC, UK Branch (formerly, The Royal Bank ofScotland plc), as Administrative Agent (incorporated by reference to Exhibit 10.1 to the Current","Inc.,dated as of January1, 2008 (incorporated by reference to Exhibit 10.4 to the RegistrationStatement on Form 10 filed March 5, 2008).","Inc.,dated as of January1, 2008 (incorporated by reference to Exhibit 10.4 to the RegistrationStatement on Form 10 filed March 5, 2008).","Inc.,dated as of January1, 2008 (incorporated by reference to Exhibit 10.4 to the RegistrationStatement on Form 10 filed March 5, 2008).",,,,,,
,,,,"Credit Agreement, dated as of February 12, 2013, among Philip Morris International Inc., thelenders named therein and Citibank Europe PLC, UK Branch (formerly, The Royal Bank ofScotland plc), as Administrative Agent (incorporated by reference to Exhibit 10.1 to the Current","Credit Agreement, dated as of February 12, 2013, among Philip Morris International Inc., thelenders named therein and Citibank Europe PLC, UK Branch (formerly, The Royal Bank ofScotland plc), as Administrative Agent (incorporated by reference to Exhibit 10.1 to the Current","Report on Form 8-K filed February15, 2013).","Report on Form 8-K filed February15, 2013).",,,,,,,
10.4,10.4,10.4,10.4,"Credit Agreement, dated as of February 12, 2013, among Philip Morris International Inc., thelenders named therein and Citibank Europe PLC, UK Branch (formerly, The Royal Bank ofScotland plc), as Administrative Agent (incorporated by reference to Exhibit 10.1 to the Current","Credit Agreement, dated as of February 12, 2013, among Philip Morris International Inc., thelenders named therein and Citibank Europe PLC, UK Branch (formerly, The Royal Bank ofScotland plc), as Administrative Agent (incorporated by reference to Exhibit 10.1 to the Current","Extension Agreement, effective February 7,2017, to the Credit Agreement, dated as of February12,2013,among Philip Morrs International Inc.,the lenders party thereto, Citibank Europe PLC,UK Branch (formerly. Citibank International Limited),as administrative agent (incorporated byreference to Exhibit 10.1 to the Current Report on Form 8-K filed January 30, 2017).","Extension Agreement, effective February 7,2017, to the Credit Agreement, dated as of February12,2013,among Philip Morrs International Inc.,the lenders party thereto, Citibank Europe PLC,UK Branch (formerly. Citibank International Limited),as administrative agent (incorporated byreference to Exhibit 10.1 to the Current Report on Form 8-K filed January 30, 2017).",,,,,,,
10.4,10.4,10.4,10.4,,,"Extension Agreement, effective February 7,2017, to the Credit Agreement, dated as of February12,2013,among Philip Morrs International Inc.,the lenders party thereto, Citibank Europe PLC,UK Branch (formerly. Citibank International Limited),as administrative agent (incorporated byreference to Exhibit 10.1 to the Current Report on Form 8-K filed January 30, 2017).","Extension Agreement, effective February 7,2017, to the Credit Agreement, dated as of February12,2013,among Philip Morrs International Inc.,the lenders party thereto, Citibank Europe PLC,UK Branch (formerly. Citibank International Limited),as administrative agent (incorporated byreference to Exhibit 10.1 to the Current Report on Form 8-K filed January 30, 2017).","12,2013,among Philip Morrs International Inc.,the lenders party thereto, Citibank Europe PLC,","12,2013,among Philip Morrs International Inc.,the lenders party thereto, Citibank Europe PLC,",,,,,
10.4,10.4,10.4,10.4,"UK Branch (formerly. Citibank International Limited),as administrative agent (incorporated by","UK Branch (formerly. Citibank International Limited),as administrative agent (incorporated by","Extension Agreement, effective February 7,2017, to the Credit Agreement, dated as of February12,2013,among Philip Morrs International Inc.,the lenders party thereto, Citibank Europe PLC,UK Branch (formerly. Citibank International Limited),as administrative agent (incorporated byreference to Exhibit 10.1 to the Current Report on Form 8-K filed January 30, 2017).","Extension Agreement, effective February 7,2017, to the Credit Agreement, dated as of February12,2013,among Philip Morrs International Inc.,the lenders party thereto, Citibank Europe PLC,UK Branch (formerly. Citibank International Limited),as administrative agent (incorporated byreference to Exhibit 10.1 to the Current Report on Form 8-K filed January 30, 2017).",,,,,,,
10.5,10.5,10.5,10.5,"Extension Agreement, effective January 31, 2014, to Credit Agreement, dated as of February 12,2013,among Philip Morris International Inc., the lenders party thereto and Citibank Europe PLC.","Extension Agreement, effective January 31, 2014, to Credit Agreement, dated as of February 12,2013,among Philip Morris International Inc., the lenders party thereto and Citibank Europe PLC.",,,,,,,,,
,,,,"UK Branch (formerly, The Royal Bank of Scotland plc), as Administrative Agent (incorporated by","UK Branch (formerly, The Royal Bank of Scotland plc), as Administrative Agent (incorporated by",,,,,,,,,
,,,,"reference to Exhibit 10.3 to the Quarterly Report on Form 10-Q for the quarter ended March 31,","reference to Exhibit 10.3 to the Quarterly Report on Form 10-Q for the quarter ended March 31,",,,,,,,,,
,,,,2014).,2014).,,,,,,,,,
10.6,10.6,10.6,10.6,"Extension Agreement, effective as of February 10, 2015, to Credit Agreement dated as of February","Extension Agreement, effective as of February 10, 2015, to Credit Agreement dated as of February",,,,,,,,,
10.6,10.6,10.6,10.6,"12, 2013, among Philip Morris International Inc.,the lenders named therein and Citibank Europe","12, 2013, among Philip Morris International Inc.,the lenders named therein and Citibank Europe",,,,,,,,,
10.6,10.6,10.6,10.6,"PLC, UK Branch (formerly, The Royal Bank of Scotland plc), as Administrative Agent(incorporated by reference to Exhibit 10.1 to the Current Report on Form 8-K filed January 29,","PLC, UK Branch (formerly, The Royal Bank of Scotland plc), as Administrative Agent(incorporated by reference to Exhibit 10.1 to the Current Report on Form 8-K filed January 29,",,,,,,,,,
10.6,10.6,10.6,10.6,2015),2015),,,,,,,,,
10.7,10.7,10.7,10.7,"Amendment No.1, dated as of July 20, 2015,to the Credit Agreement, dated as of February 12.","Amendment No.1, dated as of July 20, 2015,to the Credit Agreement, dated as of February 12.",,,,,,,,,
10.7,10.7,10.7,10.7,,,"2013,among Philip Morris International Inc., the lenders named therein, The Royal Bank of","2013,among Philip Morris International Inc., the lenders named therein, The Royal Bank of",,,,,,,
10.7,10.7,10.7,10.7,,"Scotland plc, as resigning administrative agent, and Citibank Europe PLC, UK Branch (formerly,","Scotland plc, as resigning administrative agent, and Citibank Europe PLC, UK Branch (formerly,",,,,,,,,
10.7,10.7,10.7,10.7,"Citibank International Limited), as successor administrative agent (incorporated by reference to","Citibank International Limited), as successor administrative agent (incorporated by reference to",,,,,,,,,
,,,,"Exhibit 10.52 to the Annual Report on Form 10-K for the year ended December 31, 2015).","Exhibit 10.52 to the Annual Report on Form 10-K for the year ended December 31, 2015).",,,,,,,,,
,,,,"Exhibit 10.52 to the Annual Report on Form 10-K for the year ended December 31, 2015).","Exhibit 10.52 to the Annual Report on Form 10-K for the year ended December 31, 2015).",,,,,,,,,
10.8,10.8,10.8,10.8,"Credit Agreement, dated as of October 1, 2015,among Philip Moris International Inc., the lenders","Credit Agreement, dated as of October 1, 2015,among Philip Moris International Inc., the lenders",,,,,,,,,
10.8,10.8,10.8,10.8,"named therein, Citibank Europe PLC, UK Branch (formerly, Citibank International Limited), as","named therein, Citibank Europe PLC, UK Branch (formerly, Citibank International Limited), as",,,,,,,,,
10.8,10.8,10.8,10.8,"Facility Agent, and Citibank, N.A., as Swingline Agent (incorporated by reference to Exhibit 10.1","Facility Agent, and Citibank, N.A., as Swingline Agent (incorporated by reference to Exhibit 10.1",,,,,,,,,
10.8,10.8,10.8,10.8,"to the Current Report on Form 8-K filed October 5, 2015).","to the Current Report on Form 8-K filed October 5, 2015).",,,,,,,,,
10.9,10.9,10.9,10.9,"Amendment No. 2, efective as of February 9.2016,to the Credit Agreement dated as of February","Amendment No. 2, efective as of February 9.2016,to the Credit Agreement dated as of February",,,,,,,,,
,,,,"12. 2013. with the lenders named therein and Citibank Europe PLC, UK Branch (formerly.","12. 2013. with the lenders named therein and Citibank Europe PLC, UK Branch (formerly.",,,,,,,,,
,,,,"Citibank International Limited), as administrative agent (incorporated by reference to Exhibit 10.1","Citibank International Limited), as administrative agent (incorporated by reference to Exhibit 10.1",,,,,,,,,
,,,,"to the Current Report on Form 8-K filed January 28, 2016).","to the Current Report on Form 8-K filed January 28, 2016).",,,,,,,,,
10.10,10.10,10.10,,"Extension Agreement, effective as of October 1,2016,to the Credit Agreement dated as of October","Extension Agreement, effective as of October 1,2016,to the Credit Agreement dated as of October",,,,,,,,,
,,,,"1, 2015, among Philip Moris International Inc., lenders named therein, Citibank Europe PLC, UK","1, 2015, among Philip Moris International Inc., lenders named therein, Citibank Europe PLC, UK",,,,,,,,,
,,,,"Branch (formerly. Citibank International Limited), as Facility Agent, and Citibank, N.A., as","Branch (formerly. Citibank International Limited), as Facility Agent, and Citibank, N.A., as",,,,,,,,,
,,,,Swingline Agent (incorporated by reference to Exhibit 10.1 to the Current Report on Form 8-K,Swingline Agent (incorporated by reference to Exhibit 10.1 to the Current Report on Form 8-K,,,,,,,,,
,,,,"filed August 31, 2016).","filed August 31, 2016).",,,,,,,,,
10.11,10.11,10.11,10.11,"Extension Agreement, effective as of October 1, 2017, to the Credit Agreement, dated as ofOctober 1, 2015, among Philip Morris International Inc., the lenders party thereto and Citibank","Extension Agreement, effective as of October 1, 2017, to the Credit Agreement, dated as ofOctober 1, 2015, among Philip Morris International Inc., the lenders party thereto and Citibank",,,,,,,,,
,,,,"Europe PLC, UK Branch (formerly. Citibank International Limited), as Facility Agent, and","Europe PLC, UK Branch (formerly. Citibank International Limited), as Facility Agent, and",,,,,,,,,
,,,,Citibank N.A..as Swingline Agent (incorporated by reference to Exhibit 10.1 to the Current Report,Citibank N.A..as Swingline Agent (incorporated by reference to Exhibit 10.1 to the Current Report,,,,,,,,,
,,,,"on Form 8-K filed August 29, 2017).","on Form 8-K filed August 29, 2017).",,,,,,,,,
10.12,10.12,10.12,,"Extension Agreement, effective as of February 6, 2018, to the Credit Agreement, dated as ofFebruary 12, 2013, among Philip Morris International Inc., the lenders named therein, Citibank","Extension Agreement, effective as of February 6, 2018, to the Credit Agreement, dated as ofFebruary 12, 2013, among Philip Morris International Inc., the lenders named therein, Citibank",,,,,,,,,
,,,,"Extension Agreement, effective as of February 6, 2018, to the Credit Agreement, dated as ofFebruary 12, 2013, among Philip Morris International Inc., the lenders named therein, Citibank","Extension Agreement, effective as of February 6, 2018, to the Credit Agreement, dated as ofFebruary 12, 2013, among Philip Morris International Inc., the lenders named therein, Citibank",,,,,,,,,
,,,,"Europe PLC, UK Branch (formerly, Citibank International Limited),as administrative agent(incorporated by reference to Exhibit 10.1 to the Current Report on Form 8-K filed January 29,","Europe PLC, UK Branch (formerly, Citibank International Limited),as administrative agent(incorporated by reference to Exhibit 10.1 to the Current Report on Form 8-K filed January 29,",,,,,,,,,
,,,,2018),2018),,,,,,,,,
10.13,10.13,10.13,10.13,"Extension Agreement, effective as of February 5, 2019, to the Credit Agreement dated as ofFebruary 12, 2013, among Philip Morrs International Inc., the lenders named therein, Citibank","Extension Agreement, effective as of February 5, 2019, to the Credit Agreement dated as ofFebruary 12, 2013, among Philip Morrs International Inc., the lenders named therein, Citibank",,,,,,,,,
10.14,10.14,10.14,10.14,"Amendment and Extension Agreement, effective February 4, 2020, among Philip MorrisInternational Inc. each lender named therein and Citibank Europe PLC, UK Branch (formerly.Citibank International Limited), as administrative agent (incorporated by reference to Exhibit 10.1to the Current Report on Form 8-K filed February 3, 2020).","Amendment and Extension Agreement, effective February 4, 2020, among Philip MorrisInternational Inc. each lender named therein and Citibank Europe PLC, UK Branch (formerly.Citibank International Limited), as administrative agent (incorporated by reference to Exhibit 10.1to the Current Report on Form 8-K filed February 3, 2020).",,,,,,,,,
,,,,"Amendment and Extension Agreement, effective February 4, 2020, among Philip MorrisInternational Inc. each lender named therein and Citibank Europe PLC, UK Branch (formerly.Citibank International Limited), as administrative agent (incorporated by reference to Exhibit 10.1to the Current Report on Form 8-K filed February 3, 2020).","Amendment and Extension Agreement, effective February 4, 2020, among Philip MorrisInternational Inc. each lender named therein and Citibank Europe PLC, UK Branch (formerly.Citibank International Limited), as administrative agent (incorporated by reference to Exhibit 10.1to the Current Report on Form 8-K filed February 3, 2020).","Citibank International Limited), as administrative agent (incorporated by reference to Exhibit 10.1","Citibank International Limited), as administrative agent (incorporated by reference to Exhibit 10.1",,,,,,,
,,,,"Amendment and Extension Agreement, effective February 4, 2020, among Philip MorrisInternational Inc. each lender named therein and Citibank Europe PLC, UK Branch (formerly.Citibank International Limited), as administrative agent (incorporated by reference to Exhibit 10.1to the Current Report on Form 8-K filed February 3, 2020).","Amendment and Extension Agreement, effective February 4, 2020, among Philip MorrisInternational Inc. each lender named therein and Citibank Europe PLC, UK Branch (formerly.Citibank International Limited), as administrative agent (incorporated by reference to Exhibit 10.1to the Current Report on Form 8-K filed February 3, 2020).","to the Current Report on Form 8-K filed February 3, 2020).","to the Current Report on Form 8-K filed February 3, 2020).",,,,,,,
10.15,10.15,10.15,10.15,"Credit Agreement, dated as of February 10, 2020, among Philip Morris International Inc., thelenders named therein, Citibank Europe PLC, UK Branch, as Facility Agent, and Citibank, N.A., as","Credit Agreement, dated as of February 10, 2020, among Philip Morris International Inc., thelenders named therein, Citibank Europe PLC, UK Branch, as Facility Agent, and Citibank, N.A., as",,,,,,,,,
,,,,"Credit Agreement, dated as of February 10, 2020, among Philip Morris International Inc., thelenders named therein, Citibank Europe PLC, UK Branch, as Facility Agent, and Citibank, N.A., as","Credit Agreement, dated as of February 10, 2020, among Philip Morris International Inc., thelenders named therein, Citibank Europe PLC, UK Branch, as Facility Agent, and Citibank, N.A., as",,,,,,,,,
,,,,"Swingline Agent (incorporated by reference to Exhibit 10.1 to the Current Report on Form 8-Kfiled February 11, 2020).","Swingline Agent (incorporated by reference to Exhibit 10.1 to the Current Report on Form 8-Kfiled February 11, 2020).",,,,,,,,,
