OptumOptum(in millions) UnitedHealthcare OptumHealth OptumInsight OptumRx EliminationsOptum,OptumOptum(in millions) UnitedHealthcare OptumHealth OptumInsight OptumRx EliminationsOptum,OptumOptum(in millions) UnitedHealthcare OptumHealth OptumInsight OptumRx EliminationsOptum,OptumOptum(in millions) UnitedHealthcare OptumHealth OptumInsight OptumRx EliminationsOptum,OptumOptum(in millions) UnitedHealthcare OptumHealth OptumInsight OptumRx EliminationsOptum,OptumOptum(in millions) UnitedHealthcare OptumHealth OptumInsight OptumRx EliminationsOptum,OptumOptum(in millions) UnitedHealthcare OptumHealth OptumInsight OptumRx EliminationsOptum,OptumOptum(in millions) UnitedHealthcare OptumHealth OptumInsight OptumRx EliminationsOptum,OptumOptum(in millions) UnitedHealthcare OptumHealth OptumInsight OptumRx EliminationsOptum,OptumOptum(in millions) UnitedHealthcare OptumHealth OptumInsight OptumRx EliminationsOptum,OptumOptum(in millions) UnitedHealthcare OptumHealth OptumInsight OptumRx EliminationsOptum,Corporate andEliminations,Corporate andEliminations,Corporate andEliminations,Consolidated,,,,,,,,,,,,
Total assets,Total assets,Total assets,"$ 98,229","$ 98,229","$ 98,229","$ 52,073","$ 15,425","$39,280",$,"$106,778","(7,718) $","(7,718) $","(7,718) $","197,289",,,,,,,,,,,,
"Purchases of property,equipmentand capitalized software","Purchases of property,equipmentand capitalized software","Purchases of property,equipmentand capitalized software",687,687,687,715,461,188,,"1,364",,,,2.051,,,,,,,,,,,,
Depreciation and amortization,Depreciation and amortization,Depreciation and amortization,920,920,920,703,670,598,,"1,971",,,,"2,891",,,,,,,,,,,,
2019,2019,2019,,,,,,,,,,,,,,,,,,,,,,,,
Revenues - unaffiliatedcustomers:,Revenues - unaffiliatedcustomers:,Revenues - unaffiliatedcustomers:,,,,,,,,,,,,,,,,,,,,,,,,
Revenues - unaffiliatedcustomers:,Revenues - unaffiliatedcustomers:,Revenues - unaffiliatedcustomers:,,,,,customers:,customers:,,,,,,,,,,,,,,,,,,
Premiums,Premiums,Premiums,"$ 183,783$","$ 183,783$","$ 183,783$","5,916 $",,$,$,"$ 5,916 $",,,,"$ 189,699",,,,,,,,,,,,
ProductsServices,ProductsServices,ProductsServices,"8.,922","8.,922","8.,922",,"315,732","1163,630","31,450689",,"31,59710,051",,,,,,,,,,,,,,,
Total revenues unaffiliatedcustomersTotal revenues-affiliatedcustomersInvestment and other income,Total revenues unaffiliatedcustomersTotal revenues-affiliatedcustomersInvestment and other income,Total revenues unaffiliatedcustomersTotal revenues-affiliatedcustomersInvestment and other income,"192,705","192,705","192,705","11,679","3,746","32,139",,"47,564",,,,"240,269",,,,,,,,,,,,
Total revenues unaffiliatedcustomersTotal revenues-affiliatedcustomersInvestment and other income,Total revenues unaffiliatedcustomersTotal revenues-affiliatedcustomersInvestment and other income,Total revenues unaffiliatedcustomersTotal revenues-affiliatedcustomersInvestment and other income,,,,,,,,,,,,,,,,,,,,,,,,
Total revenues unaffiliatedcustomersTotal revenues-affiliatedcustomersInvestment and other income,Total revenues unaffiliatedcustomersTotal revenues-affiliatedcustomersInvestment and other income,Total revenues unaffiliatedcustomersTotal revenues-affiliatedcustomersInvestment and other income,,,,"17,966","6,239",42.093,"(1,661)","64,637","(64,637)","(64,637)","(64,637)",,,,,,,,,,,,,
Total revenues unaffiliatedcustomersTotal revenues-affiliatedcustomersInvestment and other income,Total revenues unaffiliatedcustomersTotal revenues-affiliatedcustomersInvestment and other income,Total revenues unaffiliatedcustomersTotal revenues-affiliatedcustomersInvestment and other income,"1,137","1,137","1,137",672,21,56,,749,,,,"1,886",,,,,,,,,,,,
Total revenuesEarnings from operations,Total revenuesEarnings from operations,Total revenuesEarnings from operations,"$ 193,842","$ 193,842","$ 193,842","$ 30,317","$ 10,006","$74,288","$ (1,661)",$112.950,"$ (64,637)","$ (64,637)","$ (64,637)","$ 242,155",,,,,,,,,,,,
Total revenuesEarnings from operations,Total revenuesEarnings from operations,Total revenuesEarnings from operations,"$ 10,326","$ 10,326","$ 10,326","$ 2,963","$ 2,494","$ 3,902",$,"$ 9,359",$,$,$,"$ 19,685",,,,,,,,,,,,
Interest expense,Interest expense,Interest expense,,,,,,,,,"(1,704)","(1,704)","(1,704)","(1,704)",,,,,,,,,,,,
Earnings before income taxes,Earnings before income taxes,Earnings before income taxes,$ 10.326,$ 10.326,$ 10.326,$ 2.963,"$ 2,494","$ 3,902",$,"$ 9,359","$ (1,704)","$ (1,704)","$ (1,704)","$ 17,981",,,,,,,,,,,,
Total assets...,Total assets...,Total assets...,"88,250","88,250","88,250","$ 40,444","$ 15,181",$36.346,$,"91,971","$ (6,332) $","$ (6,332) $","$ (6,332) $","173,889",,,,,,,,,,,,
"Purchases of property,equipmentand capitalized software","Purchases of property,equipmentand capitalized software","Purchases of property,equipmentand capitalized software",841,841,841,573,495,162,,"1,230",,,,2.071,,,,,,,,,,,,
Depreciation and amortization .,Depreciation and amortization .,Depreciation and amortization .,926,926,926,565,672,557,,"1,794",,,,"2,720",,,,,,,,,,,,
2018,2018,2018,,,,,,,,,,,,,,,,,,,,,,,,
Revenues - unaffiliatedcustomers:,Revenues - unaffiliatedcustomers:,Revenues - unaffiliatedcustomers:,,,,,,,,,,,,,,,,,,,,,,,,
Revenues - unaffiliatedcustomers:,Revenues - unaffiliatedcustomers:,Revenues - unaffiliatedcustomers:,,,,,,,,,,,,,,,,,,,,,,,,
PremiumsProducts,PremiumsProducts,PremiumsProducts,"174,282 $","174,282 $","174,282 $","3,805$",,$,$,"$ 3,805 $",,,,"$ 178,087",,,,,,,,,,,,
PremiumsProducts,PremiumsProducts,PremiumsProducts,"174,282 $","174,282 $","174,282 $","8,366","8,366","8,366","524,925","1113,280","29,438612",,"29,6018,817",,,,"29,60117,183",,,,,,,,,
Services,Services,Services,,,,,,,,,,,,,,,,,,,,,,,,
Total revenues — unafiliatedcustomers.........,Total revenues — unafiliatedcustomers.........,Total revenues — unafiliatedcustomers.........,182.648,182.648,182.648,"8,366","8,366","8,366","524,925","1113,280","29,438612",,"29,6018,817",,,,"29,60117,183","8,782","3,391","30,050",,"42,223",,,,"224,871"
Total revenues — unafiliatedcustomers.........,Total revenues — unafiliatedcustomers.........,Total revenues — unafiliatedcustomers.........,182.648,182.648,182.648,customers.........Total revenues —affiliatedcustomers.......Investment and other income,customers.........Total revenues —affiliatedcustomers.......Investment and other income,customers.........Total revenues —affiliatedcustomers.......Investment and other income,custon,custon,,,,,,,,,,,,,,,,
,,,,,,customers.........Total revenues —affiliatedcustomers.......Investment and other income,customers.........Total revenues —affiliatedcustomers.......Investment and other income,customers.........Total revenues —affiliatedcustomers.......Investment and other income,,"58,509","(58,509)","(58,509)","(58,509)",,,,,,,,,,,,,
,,,"14,882","5,596","39,440",customers.........Total revenues —affiliatedcustomers.......Investment and other income,customers.........Total revenues —affiliatedcustomers.......Investment and other income,customers.........Total revenues —affiliatedcustomers.......Investment and other income,"(1,409)","58,509","(58,509)","(58,509)","(58,509)",,,,,,,,,,,,,
828,828,828,481,21,46,customers.........Total revenues —affiliatedcustomers.......Investment and other income,customers.........Total revenues —affiliatedcustomers.......Investment and other income,customers.........Total revenues —affiliatedcustomers.......Investment and other income,,548,,,,"1,376",,,,,,,,,,,,
Total revenues.......Earnings from operations,Total revenues.......Earnings from operations,Total revenues.......Earnings from operations,"$ 183,476","$ 183,476","$ 183,476","$ 24,145","$ 9,008","$69,536$","$ (1,409)","(1,409)$101,280","$ (58,509) $","$ (58,509) $","$ (58,509) $","226,247",,,,,,,,,,,,
Total revenues.......Earnings from operations,Total revenues.......Earnings from operations,Total revenues.......Earnings from operations,"9,113 $","9,113 $","9,113 $","2,430","$ 2,243","$ 3,558",$,"$ 8,231",$,$,$,"$ 17,344",,,,,,,,,,,,
Interest expense,Interest expense,Interest expense,,,,,,,,,"(1,400)","(1,400)","(1,400)","(1,400)",,,,,,,,,,,,
Earnings before income taxes ....Total assets...........,Earnings before income taxes ....Total assets...........,Earnings before income taxes ....Total assets...........,"9,113","9,113","9,113","$ 2,430",$ 2.243,"$ 3,558",$1,"$ 8,231","$ (1,400) $","$ (1,400) $","$ (1,400) $","15,944",,,,,,,,,,,,
Earnings before income taxes ....Total assets...........,Earnings before income taxes ....Total assets...........,Earnings before income taxes ....Total assets...........,82.938,82.938,82.938,"$ 29,837","$ 11,039","$33,912",$,"$74,788","$ (5,505) $","$ (5,505) $","$ (5,505) $","152,221",,,,,,,,,,,,
"Purchases of property,equipmentand capitalized software","Purchases of property,equipmentand capitalized software","Purchases of property,equipmentand capitalized software",761,761,761,593,517,192,,"1,302",,,,"2,0632.428",,,,,,,,,,,,
Depreciation and amortization.... 845,Depreciation and amortization.... 845,Depreciation and amortization.... 845,Depreciation and amortization.... 845,Depreciation and amortization.... 845,Depreciation and amortization.... 845,845,439,654,490,,,,,"2,0632.428","1,583",,,,,,,,,,,
