2.375% notes due October 2022,2.375% notes due October 2022,October2022...............．,900,900,897,897,897,,935,900,900,896,896,896,911,,,,,,
0.000% notes due November 2022,0.000% notes due November 2022,15 14,15 14,15 14,15 14,15 14,15 14,,14,15,15,13,13,13,14,,,,,,
2.750%notesdue,2.750%notesdue,625 644,625 644,625 644,625 644,625 644,625 644,,654,625,625,624,624,624,638,,,,,,
2.875% notes due,2.875% notes due,March2023..................,750 789,750 789,750 789,750 789,750 789,750 789,793,750,750,770,770,770,770,,,,,,
3.500% notes due June 2023,3.500% notes due June 2023,,750 748,750 748,750 748,750 748,750 748,750 748,809,750,750,747,747,747,786,,,,,,
3.500%,notesdue,February2024...............．,750 747,750 747,750 747,750 747,750 747,750 747,821,750,750,746,746,746,792,,,,,,
2.375%,notesdue,August2024................．,750 747,750 747,750 747,750 747,750 747,750 747,799,750,750,747,747,760,760,,,,,,
3.750%,notesdue,,"2,000 1,992","2,000 1,992","2,000 1,992","2,000 1,992","2,000 1,992","2,000 1,992","2,279","2,000","2,000","1,990","1,990","2,161","2,161",,,,,,
3.700%,notesdue,December2025..............．,300 298,300 298,300 298,300 298,300 298,300 298,344,300,300,298 325,298 325,298 325,298 325,,,,,,
1.250%,notesdue,January2026................．,500 496,500 496,500 496,500 496,500 496,500 496,515,,,,,,,,,,,,
3.100%,notesdue,,"1,000","1,000","1,000","1,000",997,997,"1,121","1,000","1,000",,"996 1,048","996 1,048","996 1,048",,,,,,
3.450%,notesdue,January2027................．,750,750,750,,747,747,859,750,750,,746,,804,,,,,,
3.375%,notesdue,April2027..................．,625,625,625,,620,620,714,,625,,620,,667,,,,,,
2.950%,notesdue,,950,950,950,,940,940,"1,067",,950,,939,,988,,,,,,
3.850%,notesdue,June2028..................．,"1,150","1,150","1,150",,"1,143","1,143","1,367","1,150","1,150","1,142","1,142",,"1,269",,,,,,
3.875%,notes due,December2028..............．,850,850,850,844,844,844,"1,019",850,850,,843,843,941,,,,,,
2.875%,notesdue,August2029................．,"1,000","1,000","1,000","1,086","1,086","1,086","1,137","1,000","1,000",993,993,993,"1,029",,,,,,
2.000%,notesdue,May2030...................,"1,250","1,250","1,250","1,234","1,234","1,234","1,326",,,,,,"1,029",,,,,,
4.625%,notesdue,July2035...................,"1,000","1,000","1,000",992,992,992,"1,340","1,000","1,000",992,992,,"1,215",,,,,,
5.800%,notesdue,,850,850,850,839,839,839,"1,271",850,850,838,838,,"1,129",,,,,,
6.500%,notesdue,June2037...................,500,500,500,492,492,492,800,500,500,492,492,,712,,,,,,
6.625%,notes due,November2037.............．,650,650,650,641,641,641,"1,044",650,650,641,641,,940,,,,,,
6.875%,notesdue,,"1,100","1,100","1,100","1,077","1,077","1,077","1,802","1,100","1,100","1,076","1,076",,"1,631",,,,,,
3.500%,notesdue,,"1,250","1,250","1,250","1,241","1,241","1,241","1,487","1,250","1,250","1,241","1,241",,"1,313",,,,,,
2.750%,notes due,May2040...................,"1,000 964","1,000 964","1,000 964","1,000 964","1,000 964","1,000 964","1,085",,,,,,,,,,,,
5.700%,notesdue,October2040...............．,300,300,300,296,296,296,451,300,300,296,296,,396,,,,,,
5.950%,notesdue,,350,350,350,346,346,346,540,350,350,345,345,,475,,,,,,
4.625%,notesdue,November2041.............．,600,600,600,589,589,589,820,600,600,589,589,716,716,,,,,,
4.375%,notesdue,March2042..................,502,502,,485,485,485,661,502,502,484,484,,580,,,,,,
3.950%,notesdue,October2042...............．,625,625,,608,608,608,790,625,625,607,607,,688,,,,,,
4.250%,notesdue,March2043..................,750,750,,735,735,735,982,750,750,735,735,,856,,,,,,
4.750%,notesdue,July2045...................,"2,000","2,000","2,000","1,974","1,974","1,974","2,814","2,000","2,000","1,973","1,973","2,463","2,463",,,,,,
4.200%,notesdue,JanuarY2047................，,750,750,750,738,738,738,991,750,750,738,738,861,861,,,,,,
4.250%,notes due,Aptrilb20474711111111,725,725,725,717,717,717,963,725,725,717,717,839,839,,,,,,
3.750%,notesdue,Aptrilb20474711111111,950,950,950,934,934,934,"1,180",950,950,934,934,"1,023","1,023",,,,,,
4.250%,notesdue,June2048..................．,"1,350","1,350","1,350","1,330","1,330",,"1,803","1,50","1,50","1,330","1,330","1,569","1,569",,,,,,
4.450%,notesdue,December2048..............．,December2048..............．,"1,100","1,100","1,086","1,086",,"1,517","1,100","1,100","1,086","1,086","1,316","1,316",,,,,,
3.700%,notesdue,,,"1,250 1,235","1,250 1,235","1,250 1,235","1,250 1,235",,"1,567","1,250","1,250","1,235","1,235","1,344","1,344",,,,,,
2.900%,notes due,,,"1,250 1,208","1,250 1,208","1,250 1,208","1,250 1,208",,"1,384",,,,,,,,,,,,
3.875%,notesdue,"1,250 1,228 1,618 1,250 1,228 1,3501,000 965 1,161","1,250 1,228 1,618 1,250 1,228 1,3501,000 965 1,161","1,250 1,228 1,618 1,250 1,228 1,3501,000 965 1,161","1,250 1,228 1,618 1,250 1,228 1,3501,000 965 1,161","1,250 1,228 1,618 1,250 1,228 1,3501,000 965 1,161","1,250 1,228 1,618 1,250 1,228 1,3501,000 965 1,161","1,250 1,228 1,618 1,250 1,228 1,3501,000 965 1,161","1,250 1,228 1,618 1,250 1,228 1,3501,000 965 1,161","1,250 1,228 1,618 1,250 1,228 1,3501,000 965 1,161","1,250 1,228 1,618 1,250 1,228 1,3501,000 965 1,161","1,250 1,228 1,618 1,250 1,228 1,3501,000 965 1,161","1,250 1,228 1,618 1,250 1,228 1,3501,000 965 1,161","1,250 1,228 1,618 1,250 1,228 1,3501,000 965 1,161","1,250 1,228 1,618 1,250 1,228 1,3501,000 965 1,161",,,,,,
3.125%,notesdue,"1,250 1,228 1,618 1,250 1,228 1,3501,000 965 1,161","1,250 1,228 1,618 1,250 1,228 1,3501,000 965 1,161","1,250 1,228 1,618 1,250 1,228 1,3501,000 965 1,161","1,250 1,228 1,618 1,250 1,228 1,3501,000 965 1,161","1,250 1,228 1,618 1,250 1,228 1,3501,000 965 1,161","1,250 1,228 1,618 1,250 1,228 1,3501,000 965 1,161","1,250 1,228 1,618 1,250 1,228 1,3501,000 965 1,161","1,250 1,228 1,618 1,250 1,228 1,3501,000 965 1,161","1,250 1,228 1,618 1,250 1,228 1,3501,000 965 1,161","1,250 1,228 1,618 1,250 1,228 1,3501,000 965 1,161","1,250 1,228 1,618 1,250 1,228 1,3501,000 965 1,161","1,250 1,228 1,618 1,250 1,228 1,3501,000 965 1,161","1,250 1,228 1,618 1,250 1,228 1,3501,000 965 1,161","1,250 1,228 1,618 1,250 1,228 1,3501,000 965 1,161",,,,,,
"Total short-term borrowings and long-term debt .... $42,563 $42,280$51,301 $39,817$39,474$44,234","Total short-term borrowings and long-term debt .... $42,563 $42,280$51,301 $39,817$39,474$44,234","Total short-term borrowings and long-term debt .... $42,563 $42,280$51,301 $39,817$39,474$44,234","Total short-term borrowings and long-term debt .... $42,563 $42,280$51,301 $39,817$39,474$44,234","Total short-term borrowings and long-term debt .... $42,563 $42,280$51,301 $39,817$39,474$44,234","Total short-term borrowings and long-term debt .... $42,563 $42,280$51,301 $39,817$39,474$44,234","Total short-term borrowings and long-term debt .... $42,563 $42,280$51,301 $39,817$39,474$44,234","Total short-term borrowings and long-term debt .... $42,563 $42,280$51,301 $39,817$39,474$44,234","Total short-term borrowings and long-term debt .... $42,563 $42,280$51,301 $39,817$39,474$44,234","Total short-term borrowings and long-term debt .... $42,563 $42,280$51,301 $39,817$39,474$44,234","Total short-term borrowings and long-term debt .... $42,563 $42,280$51,301 $39,817$39,474$44,234","Total short-term borrowings and long-term debt .... $42,563 $42,280$51,301 $39,817$39,474$44,234","Total short-term borrowings and long-term debt .... $42,563 $42,280$51,301 $39,817$39,474$44,234","Total short-term borrowings and long-term debt .... $42,563 $42,280$51,301 $39,817$39,474$44,234","Total short-term borrowings and long-term debt .... $42,563 $42,280$51,301 $39,817$39,474$44,234","Total short-term borrowings and long-term debt .... $42,563 $42,280$51,301 $39,817$39,474$44,234",,,,,,
