Exhibit Number,Description of Document
4.9,"F-1 (File No.333-227656),as amended, initially filed with the SEC on October 2,2018) English translationofEquityInterest Pledge Agreement among BejingTencent Music,XizangQiming(cuentlyknownasGuangxi Hexian)and BeijingZhizhengdated March10,2021(incorporated hereinbyreference toExhibit 4.9 totheannualreport for the"
4.10,"fiscal year ended December 31,2020 filed with the SEC on April 9,2021). Englishtranslationof Exclusive Option Agreement among BeijingTencent Music,XizangQiming(currently known as Guangxi Hexian)andBeijingZhizhengdatedMarch10,2021(incorporatedhereinbyreferencetoExhibit4.10totheannualreportforthe fiscal year ended December 31,2020 filed with the SEC on April 9,2021)"
4.11,"Englishtranslationof Power of AtorneygantedbyBeijingZhizheng,shareholderof XizangQiming(currently kown as Guangxi Hexian)dated March10,2021(incorporated hereinbyreference toExhibit 4.11to theannual report forthefiscal year ended December 31,2020 filed with the SEC on April 9,2021)"
4.12,"English translationofLoan Agreement between Beijing Tencent Music and Beijing Zhizheng dated March 10,2021(incorporated herein byreference toExhibit 412tothe anualreportforthefiscalyearended December31,2020filed withthe SECon April9, 2021)."
4.13,"English translationof Debt Assignment and Offset Agreement among Beijing Zhizheng,Beijing Tencent Music and Mr.Qihu Yang dated March102021(incorporated hereinbyreferencetoExhibit 4.13tothe anualreportforthefiscal year ended December31, 2020 filed with the SEC on April 9, 2021)"
4.14,"English translation of Debt Assignment and Ofset Agreement amongBeijing Zhizheng,Beijing Tencent Music and Mr. Dejun Gu dated March10,2021(incorporated hereinbyreference toExhibit 4.14to the annual reportforthe fiscalyearendedDecember31, 2020 filed with the SEC on April 9,2021)."
4.15,"English translationof Debt Assignment and Offset Agreement among Ms.Min Hu,Mr.Dejun Gu and Beijing Tencent Music dated September 12,2019(incorporated hereinbyreference toExhibit4.34to theannualreportfor thefiscal year ended December31, 2019 filed with the SEC on March 25,2020)"
4.16,"English translationof EquityInterest PledgeAgreement among BeijingTencent Music,Guangzhou Kugou and the shareholdersof Guangzhou Kugou dated August 5,2020(incorporated herein byreference toExhibit 4.16tothe annualreportforthe fiscal year ended December 31,2020 filed with the SEC on April 9,2021)."
4.17,"Englishtranslation of Exclusive Qption Agreement among Beijing Tencent Music,Guangzhou Kugouand the shareholders of Guangzhou Kugou dated August 5,2020(incorporated herein byreference toExhibit 4.17tothe annualreportfor thefiscalyear ended December 31,2020 filed with the SEC on April 9,2021)."
4.18,"English translation of Exclusive Technical Service Agreement betwe Beijing Tencent Music and Guangzhou Kugou dated March26,201(icopratedereinbeferencetoExhibit10.35tothergistratiostatementonForF-1(FileNo.-2656), as amended,initially filed with the SEC on October 2,2018)"
4.19,"English translationof VotingTrustAgreementgranted bythe shareholdersofGuangzhou Kugoudated August5,2020(incorporated hereinbyreference toExhibit 4.19to the anualreportforthefiscalyearended December31,2020filed withthe SEConApril9, 2021)"
4.20,"English translation of Loan Agreement among Mr. Guomin Xie,Mr. Xiaotao Chen and Ocean Interactive (Beijing)Information TechnologyCo.Ltd.(urentlkowasBeijingTencent usic)datedApril212014(incorporated hereinbyeferencetoEhibit 10.37totheregistrtionsatemetonForF-(FileNo-2266)aamedd,tialydiththeSCoOctober)"
4.21,"English translationof Debt Assignment and Oset Agreement among Mr. Xiaotao Chen,Mr. Zhongwei Qiuand OceanInteractive (Beijig)InformatonTechoogyCotd(uretloasBejingTencentMusic)datedApri7inoporatedreinby referencetoExhibit.38totheegistratiostatementonForF-1(FileNo-22656),asamended,intiallfiledwithheEC on October 2,2018)."
4.22,"English translationof Debt Asignment and Ofset Agreementamong Ms. Meiqi Wang,Mr. Guomin Xieand Beijing Tencent Music datedMay_11,2020(incorporatedhereinbyreferencetoExhibit 4.22totheannualreport forthefiscalyearendedDecember31, 2020 filed with the SEC on April 9,2021)."
4.23,"Englishtranslationof Spousal Consent grantedbythe spouse of Ms. Meiqi Wang dated August 5,2020(incorporated herein by. reference toExhibit 4.23to theannual reportforthe fiscal year ended December31,2020filed with the SECon April9,2021)"
4.24,"Englishtranslationof Spousal Consent grantedbythe spouse ofMr.Liang Tang dated July_25,2018 (incorporated hereinby. reference toExhibit0.40tothregistratiostatementonForF-1(FileNo-656)samended,iitiallfiledwihheEC on October 2,2018)."
4.25,"Englishtranslationof Spousal Consent granted bythe spouse of Mr. Hanjie Xudated March 26,2018(incorporated hereinby reference toExhibit10.41totheegistrationstatementonForF-1(FileNo-22656),asamended,initiallfiledwithheEC on October 2,2018)."
4.26,"English translationof Spousal Consent grantedbythe spouseof Mr.JianmingDongdated July_26,2018(incorporated hereinby. reference toEhbit0.42tothregistratistatementonForF-1(FileNo3-22766)smeded,tialyediththeSC on October 2,2018)."
4.27,"English translationof Spousal Consent grantedbythespouseof Mr. Zhongwei Qiudated March262018(incorporatedhereinby. reference toExhbit0.43totheregistrationstatementonForF-1(FileNo-7656),smended,tiallfdwihtheSEC on October 2, 2018)"
4.28,"Englishtranslationof Spousal Consent grantedbythespouseofMs.HuanHudatedJuly26,2018(incorporated hereinbyreference to Exhibit 10.44totheregistrationstatementonFomF-1(FileNo33-22766),asamended,initiallfiled withthe SECon October 2,2018)"
4.29,"English translationof Spousal Consent grantedbythe spouse of Ms.YapingGaodated November 29,2018(incorporated hereinby. reference toExhibit4.47tothe annualreportforthefiscalyear endedDecember31,2019 filed withthe SECon March 25,2020)"
4.30,"Englishtranslation ofEquity Interest Pledge Agreement among Yeelion Online,Beijing Kuwo and the shareholders of Beijing Kuwo dated October 1,2019 (incorporated herein byreference to Exhibit 4.48 to the annual reportfor the fiscal year ended"
4.31,"December 31,2019 filed with the SEC on March 25,2020) English translation of Exclusive Option Agreement among Yeelion Online,Beijing Kuwo and the shareholders of Beijing Kuwo dated October1,2019(incorporated hereinbyreferencetoExhibit 4.49 totheannualreportfor thefiscal year ended December31, 2019 filed with the SEC on March 25,2020)"
4.32,"English translationof Exclusive Technical Service Agreement between Yeelion Online andBeijingKuwo dated July12,2016 (incorporated hereinbyreference toExhibit 10.47totheregistrationstatementonFormF-1(FileNo.333-227656),asamended, initially filed with the SEC on October 2,2018)"
4.33,"Englishtranslation of Voting Trust Agreement granted bythe shareholders of Beijing Kuwo dated October1,2019(incorporated hereinbyreference to Exhibit 4.51tothe annual report for thefiscal year ended December 31,2019 filed withthe SEC on March 25,2020)."
4.34,"English translation of Loan Agreement among Yeelion Online,Mr. Guomin Xie and Mr.Lixue Shi dated July_12,2016 (incorporatedhereinbyreferencetoExhibit10.49 totheregistrationstatementonFormF-1(FileNo.33-227656)，asamended, initially filed with the SEC on October 2,2018)"
4.35*+,"English translation of Debt Assignment and Ofset Agreement amongMr. Guomin Xie,Ms. Meiqi Wang and Yeion Online dated August 20,2019"
4.36,"Englishtranslationof SpousalConsent granted by_thespouseof Ms.Meiqi Wangdated October1,2019(incorporated hereinby. reference toExhibit4.54tothe annual reportforthefiscalyearendedDecember31,2019 filed with theSECon March 25,2020)"
4.37*+,"English translation of Equity Interest Pledge Agreement among BeijingTencent Music,Qianhai Daizheng,and Shenzhen Ultimate Music dated November 19,2021"
4.38*+,"English translation of Exclusive Option Agreement among Beijing Tencent Music,Qianhai Daizheng,and Shenzhen Ultimate Music dated November 19,2021"
4.39*+,"Englishtranslation of Exclusive BusinessCooperation Agreement between Beijing Tencent Music and Shenzhen Ultimate Music dated November 19,2021"
4.40*+,"English translation of Loan Agreement between Beijing Tencent Music andQianhai Daizheng dated November 19,2021"
4.41*,"English translation of Power of Attorney_granted by_Qianhai Daizheng dated November 19,2021"
4.42,"English translation of Exclusive Business Cooperation Agreement between Beijing Tencent Music and Beijing Gongse dated June 22,2020(incorporated hereinbyreferencetoExhibit4.51totheanualreportforthefiscalyearended December31,2020 filed with the SEC on April 9,2021)"
4.43,"Englishtranslationof Exclusive Option Agreement among Beijing Tencent Music,BeijingGongse andthe shareholders of Bejing Gongse dated June 22,2020(incorporated herein byreference toExhibit 4.52 to theannual reportfor thefiscal year ended December 31,2020 filed with the SEC on April 9,2021)"
4.44*+,"English translation of Exclusive Qption Agreement among Beijing Tencent Music,Beijing Gongse and Ms.Yueting Luo dated November 25,2021"
4.45,"English translationofEquityInterest PledgeAgreement among BeijingTencent Music,Beijing Gongseand shareholdersof Beijing Gongse dated June 22,2020(incorporated herein byreference to Exhibit 4.53 to theannual reportfor thefiscal year ended December 31,2020 filed with the SEC on April 9,2021)."
4.46*+,"English translationof Equity Interest PledgeAgreement amongBejingTencent Music,BeijingGongse and Ms. YuetingLuo dated November 25,2021"
4.47,"English translation of each Loan Agreement between Mr. Qihu Yang,Mr. Dejun Gu,Mr. Jie Zhou,Ms. Xing Chen,Mr. Yunheng Liangand BeijingTencent MusicdatedJune22,2020(incorporatedhereinbyreferencetoExhibit 4.54toteanualreportforthe fiscal year ended December 31,2020 filed with the SEC on April 9,2021)"
4.48*+,"English translation of Loan Agreement between Ms. Yueting Luo and Beijing Tencent Music dated November 25, 2021"
4.49,"English translation of each Power of Atorney_granted byMr.Qihu Yang,Mr. Dejun Gu,Mr.Jie Zhou,Ms. XingChen and Mr.YunhengLiang,asshareholderof BeijingGongsedated June 22,2020(incorporated hereinbyreference toExhibit 4.55 tothe annual report for the fiscal year ended December 31,2020 filed with the SEC on April 9,2021)."
4.50*+,Englishtranslationof Powerof AtorneygrantedbyMs.YuetingLuoasashareholderofBeijingGongsedatedNovember 252021
4.51,"Englishtranslation of Exclusive Business Cooperation Agreement between Beijing Tencent Music and Beijing Shangin dated July14,020(incorporated hereinbyreference toExhibit 4.56totheannual reportforthefiscal year ended December31,2020 filed with the SEC on April 9,2021)."
4.52,"Englishtranslation of Exclusive Qption Agreement amongBeijingTencent Music,Beijing Shanggin and the partners of Beijing Shangin datedJuly14,2020(incorporated hereinbyreferencetoExhibit 4.57tothe annual report forthefiscal year ended"
4.53*+,"December 31,2020 filed with the SEC on April 9,2021) English translation of Exclusive Option Agreement amongBeijing Tencent Music,Beijing Shangginand Ms. YuetingLuo dated November 29,2021"
4.54,"English translation of Shareof PropertyPledgeAgreement among Beijing Tencent Music,Beijing Shangginand thepartners of BeijingShangidatedJuly14202(incorporated hereinbyreferencetoExhibit4.58toteaualreportforthfiscalyearended December 31,2020 filed with the SEC on April 9,2021)."
4.55*+,"English translation of Partnership Interest Pledge Agreement among BeijingTencent Music,BeijingShangqinand Ms. Yueting Luo dated November 29,2021"
4.56,"Englishtranslation of each Loan Agreementbetween Beijing Gongse,Mr. Qihu Yang,Mr. Dejun Gu,Mr. Jie Zhou,Ms. XingChen and Mr. YunhengLiangand Beijing Tencent Music dated July14,2020 (incorporated herein byreference toExhibit4.59 to the annual report for the fiscal year ended December 31,2020 filed with the SEC on April 9, 2021)"
4.57*+,"English translation of Loan Agreement between Ms. Yueting Luo and Beijing Tencent Music dated November 29,2021"
4.58,"Englishtranslation ofeach Powerof Attorney_granted by Beijing Gongse,Mr.Qihu Yang,Mr.Dejun Gu,Mr.Jie Zhou,Ms. Xing Chen andMr.YunhengLiang,aspartner ofBeijing Shangqindated July14,2020(incorporated herein byreference toExhibit 4.60 to the annual report for the fiscal year ended December 31,2020 filed with the SEC on April 9,2021)"
4.59*+,"Englishtranslationof Powerof Attorney_grantedbyMs. YuetingLuo,aspartnerof Beijing Shanggindated November 29,2021"
4.60,"English translation of Exclusive BusinessCooperation Agreement between Beijing Tencent Music and Beijing Yuzhong dated July14,020(incorporated hereinbyreference toExhibit 4.61totheannual reportforthefiscal year ended December31,2020 filed with the SEC on April 9,2021)."
4.61,"Englishtranslation of Exclusive Option Agreement among Beijing Tencent Music,Beijing Yuzhongand thepartners of Beijing Yuzhong dated July14,2020(incorporated hereinbyreference toExhibit 4.62 tothe annual report forthefiscalyear nded December 31,2020 filed with the SEC on April 9,2021)"
4.62*+,"English translation of Exclusive Option Agreement among Beijing Tencent Music,Beijing Yuzhongand Ms.Yueting Luodated November 29,2021"
4.63,"English translationof Shareof PropertyPledgeAgreement amongBejingTencent Music,Beijing Yuzhongandthepartners of Beijing YuzhongdatedJuly14,2020(incorporatedhereinbyreferencetoExhibit4.63totheannual reportforthefiscal yearended December 31,2020 filed with the SEC on April9,2021)."
4.64*+,"English translationof Partnership Interest PledgeAgreement among Beijing Tencent Music,Beijing Yuzhong and Ms. Yueting Luo dated November 29,2021"
4.65,"Englishtranslationof each Loan Agreementbetween Beijing Gongse,Mr.Qihu Yang,Mr. Dejun Gu,Mr. Jie Zhou,Ms. XingChen, Mr YunhengLiangand BejingTencent Music dated July14,2020(incorporated hereinbyreference toExhibit 4.64 tothe anual report for the fiscal year ended December 31,2020 filed with the SEC on April 9,2021)"
4.66*+ 4.67,"English translation of Loan Agreement between Ms. Yueting Luo and Beijing Tencent Music dated November 29,2021 Englishtranslationof each Powerof Attorney_granted byBeijing Gongse,Mr. Qihu Yang,Mr. Dejun Gu,Mr.Jie Zhou,Ms. Xing"
,"Chen and Mr. YunhengLiang,asparterofBeijing Yuzhongdated July14,2020(incorporated hereinbyreferenceto Exhibit 4.65 to the annual report for the fiscal year ended December 31,2020 filed with the SEC on April 9,2021)"
4.68*+ 4.69,"Englishtranslationof Powerof Atormeygranted byMs.YuetingLuo,aspartnerof Beijing Yuzhongdated November 29,2021 English translation of Exclusive Business Cooperation Agreement between Beijing Tencent Music and Beijing Zhizheng dated"
,"July_28,2020(ncorporated hereinbyreference toExhibit 4.66totheannual reportforthefiscalyear endedDecember31,2020 filed with the SEC on April 9,2021). English translation of Exclusive Qption Agreement among Bejing Tencent Music,Beijing Zhizheng and the shareholders of"
4.71,"English translationof EquityInterest PledgeAgreement amongBeijingTencent Music,Beijing Zhizhengandthe shareholdersof BeijingZhizhengdatedJuly28,2020(incorporated hereinbyreferencetoExhbit 4.68toteanualreportforthfiscalyearended December 31,2020 filed with the SEC on April 9,2021)."
4.72,"Englishtranslationof eachLoan Agreementbetween BeijingShangqin,Beijing YuzhongandBeijingTencent Musicdated July28, 2020(incorporated hereinbyreferencetoExhibit 4.69 tothe annual reportforthefiscalyear ended December 31,2020filed with the SEC on April 9,2021)"
4.73,"English translation of each Powerof Atorney_grantedbyBeijing Shangginand Beijing Yuzhong,asshareholderof Beijing Zhizhengdated July28,2020(incorporated hereinbyreference toExhibit 4.70tothe annual reportforthe fiscal yearnded"
4.74*+,"December 31,2020 filed with the SEC on April 9,2021). English translation of Exclusive BusinessCooperation Agreement between Beijing Tencent Music and Guangxi Qingse dated"
4.75*+,"September 8,2020 Englishtranslationof Exclusive Option Agreement among Beijing Tencent Music,Beijing Zhizheng and Guangxi Qingse dated September 8,2020"
4.76*+,"English translation of Equity Interest Pledge Agreement among BeijingTencent Music,Bejing Zhizheng and Guangxi Qingse dated September 8,2020"
4.77*+,"English translation of Loan Agreement between Beijing Zhizheng and Beijing Tencent Music dated September 8, 2020"
4.78*,"English translation of Power of Atorney_granted by Beijing Zhizheng dated September 8, 2020"
4.79*+,"Englishtranslationof Exclusive Business Cooperation Agreement between Beijing Tencent Music and Qianhai Daizheng dated September 25,2020"
4.80*+,"English translation of Exclusive Qption Agreement amongBejingTencent Music,Beijing Zhizheng andQianai Daizheng dated September 25,2020"
4.81*+,"Englishtranslationof Equity Interest Pledge Agreement among Beijing Tencent Music,Beijing Zhizheng andQianai Daizheng dated September 25,2020"
4.82*+,"Englishtranslation of Loan Agreement between Beijing Zhizheng and Beijing Tencent Music dated September 25,2020"
4.83*,"English translation of Power of Attorney_granted by_Beijing Zhizheng dated September 25, 2020"
4.84,"Englishtranslationof Master Business Cooperation Agreement betweencertain afiliates of Tencent andthe Registrant dated July12,201(icopatedeinyefercetEhibit.57toeistratistatementonFoF-(FleNo-656) amended,initially filed with the SEC on October 2,2018)."
4.85,"Registration Rights Agreement among the Registrant,the shareholders of the Registrantand certain otherparties named therein dated November 16,2018(incorporated herein byreference to Exhibit 10.59 tothe registration statementonFormF-1(File No. 333-227656),as amended,initially filed with the SEC on October 2,2018)"
4.86,"Form of Indenture betweenthe Registrant and The Bank of New York Mellon,as tustee (incorporated herein byreference to Exhibit4.1totheregistration statementon FormF-3(File No.33-248253)filed bythe Registrant withthe Securities and"
4.87,"First Supplemental Indenture,dated asof September 3,2020,between the Registrantand The Bank of NewYork Mellon (incorporated hereinbyreference to Exhibit 4.1tothecurrntreportonForm6-K(FileNo.O0-38751)furishedtothe SECon"
4.88,"September 4,2020). Form of US$300,000,000 1.375% Notes due 2025 (included in Exhibit 4.74)"
4.89,"Form of US$500,000,000 2.000% Notes due 2030(included in Exhibit 4.74)"
8.1*,"Significant Subsidiaries, VIEs and Subsidiaries of VIEs of the Registrant"
11.1,Codeofusiness ConductandEthicsoftheRegistrant(incorporated hereinbyreferencetoExhibit 9.1totheregistrationstatement
,"on Form F-1(File No.333-227656),as amended,initially filed with the SEC on October2,2018) Certification by Principal Executive Oficer Pursuant to Section 302 of the Sarbanes-Oxley_Act of 2002"
12.1* 12.2*,Certification by Principal Financial Officer Pursuant to Section 302 of the Sarbanes-Oxley_Act of 2002
13.1**,Certification by Principal Executive Oficer Pursuant to Section 906 of the Sarbanes-Oxley_Act of 2002
13.2**,Certification by Principal Financial Officer Pursuant to Section 906 of the Sarbanes-Oxley_Act of 2002
15.1*,
15.2*,Consent of Han Kun Law Offices Consent of Maples and Calder (Hong Kong) LLP
15.3*,"Consent of PricewaterhouseCoopers Zhong Tian LLP, Independent Registered Public Accounting Firm"
101.INS,Inline XBRL Instance Document-the instance document does not appear inthe Interactive DataFile becauseits XBRL tags are
101.SCH,embedded within the Inline XBRL document. Inline XBRL Taxonomy Extension Schema Document
101.CAL,Inline XBRL Taxonomy Extension Calculation Linkbase Document
101.DEF,Inline XBRL Taxonomy Extension Definition Linkbase Document
101.LAB,Inline XBRL Taxonomy Extension Label Linkbase Document
101.PRE,Inline XBRL Taxonomy Extension Presentation Linkbase Document
104,Cover Page Interactive Data File (formatted as inline XBRL and contained in Exhibit 101)
