Heated power outside mirrors Power tilt/slide moonroof,Heated power outside mirrors Power tilt/slide moonroof,P,S,S,P,,S,S,,P,P,,S,S
Power tilt/slide moonroof and dualsunvisors with sliding,Power tilt/slide moonroof and dualsunvisors with sliding,,,,,,,,,,,,o,。
extensions and illuminated vanity mirrors,extensions and illuminated vanity mirrors,0,,,0,,,,,o,0,,,
Panoramic glass roof with front power tilt/slide moonroof,Panoramic glass roof with front power tilt/slide moonroof,,。,s,,,。,s,,,,,,
Blind Spot Monitor (BSM)34 with Rear Cross-Traffic Alert (RCTA)35 Two-tone exterior color (color-keyed body with black roof)39_,Blind Spot Monitor (BSM)34 with Rear Cross-Traffic Alert (RCTA)35 Two-tone exterior color (color-keyed body with black roof)39_,。,,,0,0,,,,0,0,o,,
includes black window trim and sideview mirror caps,includes black window trim and sideview mirror caps,,,,,,。,0,。,,,,,0
Adaptive Headlights 一 LED headlights with level control and auto on/off feature,Adaptive Headlights 一 LED headlights with level control and auto on/off feature,,,,,,,,,,,,0,
All-season tires,All-season tires,s,s,s,s,s,s,s,s,s,s,s,s,s
Summer tires,Summer tires,,,,,,,,0,,,,,
,,LE,XLE,XLEV6,SE,SE Nightshade,XSE,XSEV6,TRD,LE Hybrid,SE Hybrid,SE Hybrid Nightshade,XLE Hybrid,XSE Hybrid
Mechanical/Performance,Mechanical/Performance,,,,,,,,,,,,,
ENGINE 2.5-Liter Dynamic Force 4-Cylinder DOHC D-4S Injection Dual Variable,ENGINE 2.5-Liter Dynamic Force 4-Cylinder DOHC D-4S Injection Dual Variable,,,,,,,,,,,,,
"Valve Timing with intelligence (VVT-i) and Eco, Normal and Sport drive modes;203 hp@ 6800 rpm; 184 lb.-ft. @ 5000 rpm","Valve Timing with intelligence (VVT-i) and Eco, Normal and Sport drive modes;203 hp@ 6800 rpm; 184 lb.-ft. @ 5000 rpm",,s,,s,S,,,,,,,,
"2.5-Liter Dynamic Force 4-Cylinder DOHC D-4S Injection Dual Variable Valve Timing with intelligence (VVT-i) and Eco, Normal and Sport drive","2.5-Liter Dynamic Force 4-Cylinder DOHC D-4S Injection Dual Variable Valve Timing with intelligence (VVT-i) and Eco, Normal and Sport drive",s,,,,,,,,,,,,
"modes;206 hp @ 6800 rpm; 186 lb.-ft.@ 5000 rpm 3.5-Liter V6 DOHC D-4S Injection Dual Variable Valve Timing with intelligence (vvt-i) and Eco, Normal and Sport drive modes","modes;206 hp @ 6800 rpm; 186 lb.-ft.@ 5000 rpm 3.5-Liter V6 DOHC D-4S Injection Dual Variable Valve Timing with intelligence (vvt-i) and Eco, Normal and Sport drive modes",,,,,,S,,,,,,,
301 hp @ 6600 rpm; 267 lb.-ft. @ 4700 rpm 208 net system hp,301 hp @ 6600 rpm; 267 lb.-ft. @ 4700 rpm 208 net system hp,,,S,,,,S,s,,,,S,S
"Hybrid engine: 2.5-Liter Dynamic Force 4-Cylinder DOHC D-4S Injection DualVariable Valve Timing with intelligence (VvT-i) with Eco, Normal, Sport and EV40 drive modes;","Hybrid engine: 2.5-Liter Dynamic Force 4-Cylinder DOHC D-4S Injection DualVariable Valve Timing with intelligence (VvT-i) with Eco, Normal, Sport and EV40 drive modes;",,,,,,,,,,,,,
176 hp @ 5700 rpm; 163 lb.-ft. @ 5200 rpm 2.5-Liter Dynamic Force 4-Cylinder DOHC D-4S Injection Dual Variable ValveTimingwithintelligence(VVT-i),176 hp @ 5700 rpm; 163 lb.-ft. @ 5200 rpm 2.5-Liter Dynamic Force 4-Cylinder DOHC D-4S Injection Dual Variable ValveTimingwithintelligence(VVT-i),,,,,,,,,S,s,s,s,S
"and Eco, Normal and Sport drive modes;202 hp @ 6600 rpm; 182lb.-ft.@ 4400 rpm 2.5-Liter Dynamic Force 4-Cylinder DOHC D-4S Injection Dual Variable","and Eco, Normal and Sport drive modes;202 hp @ 6600 rpm; 182lb.-ft.@ 4400 rpm 2.5-Liter Dynamic Force 4-Cylinder DOHC D-4S Injection Dual Variable",0,0,,0,0,,,,,,,,
"Valve Timing with intelligence (VVT-i) and Eco, Normal and Sport drive modes;205 hp @ 6600 rpm; 185 lb.-ft.@ 4600 rpm","Valve Timing with intelligence (VVT-i) and Eco, Normal and Sport drive modes;205 hp @ 6600 rpm; 185 lb.-ft.@ 4600 rpm",,,,,,,,,,,,,
COMPRESSION RATIO,COMPRESSION RATIO,13.0:1,13.0:1,,,,。,,,,,,,
EMISSION RATING Super Ultra Low Emission,EMISSION RATING Super Ultra Low Emission,,,11.8 :1,13.0:1,13.0:1,13.0:1,11.8: 1,11.8:1,14.0 :1,14.0 :1,14.0 : 1,14.0 :1,14.0 :1
Vehicle (SULEV),Vehicle (SULEV),,,,,,,,,,,,,
Ultra Low Emission Vehicle (ULEV),Ultra Low Emission Vehicle (ULEV),s,s,,s,s,s,,,s,s,s,S,s
,,S (AWD),S (AWD),S,S (AWD),S (AWD),S (AWD),S,S,,,,,
ELECTRIC MOTOR,ELECTRIC MOTOR,,,,,,,,,,,,,
Power output,Power output,,,,,,,,,,,,,
,,,,,,,,,,118 HP,118 HP,118 HP,118 HP,118 HP
,,,,,,,,,,(88 kW),(88 kW),(88 kW),(88 kW),(88 kW)
Torque,Torque,,,,,,,,,,149 lb.-ft.,,,149 lb.-ft.
,,,,,,,,,,149 lb.-ft.,,149 lb.-ft.,149 lb.-ft.,
,,,,,,,,,,(202 N·m),(202 N·m),(202 N·m),(202 N·m),(202 N·m)
Voltage,Voltage,,,,,,,,,650V,650V,650V,650V,650V
,,,,,,,,,,(max sys.),(max sys.),(max sys.),(max sys.),(max sys.)
Hybrid system net power,Hybrid system net power,,,,,,,,,208 HP,208 HP,208 HP,208 HP,208 HP
TRACTION BATTERY,TRACTION BATTERY,,,,,,,,,s,s,s,s,s
Sealed Lithium-ion (LI),Sealed Lithium-ion (LI),Sealed Lithium-ion (LI),Sealed Lithium-ion (LI),Sealed Lithium-ion (LI),Sealed Lithium-ion (LI),Sealed Lithium-ion (LI),Sealed Lithium-ion (LI),Sealed Lithium-ion (LI),Sealed Lithium-ion (LI),Sealed Lithium-ion (LI),Sealed Lithium-ion (LI),Sealed Lithium-ion (LI),Sealed Lithium-ion (LI),Sealed Lithium-ion (LI)
TRANSMISSION Direct Shift-8AT 8-speed,TRANSMISSION Direct Shift-8AT 8-speed,,,,,,,,,,,,,
Electronically Controlled automatic Transmission with intelligence (ECT-i) with sequential shift mode,Electronically Controlled automatic Transmission with intelligence (ECT-i) with sequential shift mode,,,,,,,,,,,,,
Electronically controlled Continuously Variable Transmission,Electronically controlled Continuously Variable Transmission,s,s,s,s,s,s,s,s,,,,,
(ECVT) with sequential shift mode DRIVETRAIN,(ECVT) with sequential shift mode DRIVETRAIN,,,,,,,,,S,S,S,S,S
Front-Wheel Drive (FWD),Front-Wheel Drive (FWD),s,s,s,s,s,s,s,s,s,s,s,s,s
All-Wheel Drive (AWD),All-Wheel Drive (AWD),0,0,,0,0,0,,,,,,,
BODY CONSTRUCTION Unitized body with front and rear,BODY CONSTRUCTION Unitized body with front and rear,,,,,,,,,,,,,
anti-vibration sub-frames Increased-thickness underbody braces and added rear-seat V-bracing,anti-vibration sub-frames Increased-thickness underbody braces and added rear-seat V-bracing,s,s,s,s,s,s,s,s,s,s,S,s,s
SUSPENSION Independent MacPherson strut front suspension with gas-filled shock absorbers and stabilizer bar; multi-link,SUSPENSION Independent MacPherson strut front suspension with gas-filled shock absorbers and stabilizer bar; multi-link,,,,,,,,S,,,,,
"rear suspension with gas-filled shock absorbers and stabilizer bar,and front strut tower bracing Independent MacPherson strut front suspension with gas-filled shock absorbers and stabilizer bar;","rear suspension with gas-filled shock absorbers and stabilizer bar,and front strut tower bracing Independent MacPherson strut front suspension with gas-filled shock absorbers and stabilizer bar;",s,s,s,,,,,,s,,,S,
"multi-link rear suspension with gasiled shockabsorbersand stabilizer bar,sport-tuned shock absorbers and springs,and front strut tower bracing","multi-link rear suspension with gasiled shockabsorbersand stabilizer bar,sport-tuned shock absorbers and springs,and front strut tower bracing",,,,,,,,,,,,,
Independent MacPherson strut front suspension; multi-link rear suspension; front strut tower bracing;,Independent MacPherson strut front suspension; multi-link rear suspension; front strut tower bracing;,,,,S,S,S,S,,,S,S,,S
"TRD track-tuned front and rear coil springs, shock absorbers and stabilizer bars","TRD track-tuned front and rear coil springs, shock absorbers and stabilizer bars",,,,,,,,,,,,,
STEERING Electric Power Steering (EPS);,STEERING Electric Power Steering (EPS);,,,,,,,,s,,,,,
"power-assisted rack-and-pinion Turning circle diameter, curb to curb (ft.)","power-assisted rack-and-pinion Turning circle diameter, curb to curb (ft.)",S,S,S,S,S,,,,,,,,S
"Turning circle diameter, curb to curb (ft.) (AWD-equipped)","Turning circle diameter, curb to curb (ft.) (AWD-equipped)",37.4,38.0,38.0,,,S,S,S,S,S,S,S,
BRAKES,BRAKES,38.7,39.3,,38.0,38.0,38.0,38.0,38.0,37.4,38.0,38.0,38.0,38.0
Power-assisted ventilated 12-in.,Power-assisted ventilated 12-in.,,,,39.3,39.3,39.3,,,,,,,
front disc brakes; solid 11.06-in. rear disc brakes with hydraulic brake,front disc brakes; solid 11.06-in. rear disc brakes with hydraulic brake,,,,,,,,,,,,,
"booster, Electronically Controlled","booster, Electronically Controlled",,,,,,,,,,,,,
Braking (ECB) system and,Braking (ECB) system and,,,,,,,,,,,,,
Star Safety SystemTM,Star Safety SystemTM,,,,,,,,,,,,,
Power-assisted ventilated 12-in.,Power-assisted ventilated 12-in.,s,s,s,s,,s,s,,,,,,
,,,,,,s,,,,,,,,
front disc brakes;solid 11.06-in.,front disc brakes;solid 11.06-in.,,,,,,,,,,,,,
rear disc brakes with hydraulic,rear disc brakes with hydraulic,,,,,,,,,,,,,
"brake booster, Electronically","brake booster, Electronically",,,,,,,,,,,,,
"Controlled Braking (ECB) system,","Controlled Braking (ECB) system,",,,,,,,,,,,,,
integrated regenerative braking,integrated regenerative braking,,,,,,,,,,,,,
and Star Safety SystemTM Power-assisted ventilated 12.9-in.,and Star Safety SystemTM Power-assisted ventilated 12.9-in.,and Star Safety SystemTM Power-assisted ventilated 12.9-in.,and Star Safety SystemTM Power-assisted ventilated 12.9-in.,and Star Safety SystemTM Power-assisted ventilated 12.9-in.,and Star Safety SystemTM Power-assisted ventilated 12.9-in.,and Star Safety SystemTM Power-assisted ventilated 12.9-in.,and Star Safety SystemTM Power-assisted ventilated 12.9-in.,and Star Safety SystemTM Power-assisted ventilated 12.9-in.,and Star Safety SystemTM Power-assisted ventilated 12.9-in.,and Star Safety SystemTM Power-assisted ventilated 12.9-in.,and Star Safety SystemTM Power-assisted ventilated 12.9-in.,and Star Safety SystemTM Power-assisted ventilated 12.9-in.,and Star Safety SystemTM Power-assisted ventilated 12.9-in.,and Star Safety SystemTM Power-assisted ventilated 12.9-in.
Dimensions,Dimensions,,,,,,,,,,,,,
EXTERIOR DIMENSIONS (in.),EXTERIOR DIMENSIONS (in.),,,,,,,,,,,,,
Overall height/AWD-equipped,Overall height/AWD-equipped,56.9/57.1,56.9/57.1,56.9,56.9/57.1,56.9/57.1,56.9/57.1,56.9,56.3,56.9,56.9,56.9,56.9,56.9
Overall width,Overall width,72.4,72.4,72.4,72.4,72.4,72.4,72.4,73.1,72.4,72.4,72.4,72.4,72.4
Overall length,Overall length,192.1,192.1,192.1,192.7,192.7,192.7,192.7,194.6,192.1,192.7,192.7,192.1,192.7
Wheelbase,Wheelbase,111.2,111.2,111.2,111.2,111.2,1112,111.2,111.2,111.2,1112,111.2,111.2,111.2
Ground clearance,Ground clearance,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7
Track (front/rear),Track (front/rear),62.6/62.8,62.2/62.6,62.2/62.6,62.2/62.6,62.2/62.6,62.2/62.6,62.6/62.6,62.2/63.0,63.0/63.2,62.2/62.6,62.2/62.6,62.2/62.6,62.2/62.6
Track (front/rear) (AWD-equipped),Track (front/rear) (AWD-equipped),62.6/63.0,62.2/62.8,,62.2/63.2,62.2/63.2,62.2/62.8,,,,,,,
INTERIOR DIMENSIONS (in.) Head room front/rear without,INTERIOR DIMENSIONS (in.) Head room front/rear without,,,,38.3/38.0,,,,,,38.3/37.6,38.3/37.6,38.3/37.6,38.3/37.6
moonroof (with moonroof) Head room front/rear,moonroof (with moonroof) Head room front/rear,38.3/38.0,38.3/38.0,,(37.5/38.0) (37.5/38.0) (37.5/38.0) (37.5/38.0),38.3/38.0,38.3/38.0 (37.5/38.0) (37.5/38.0),,38.3/38.0,38.3/37.6,,(37.5/37.6) (37.5/37.6) (37.5/37.6) (37.5/37.6) (37.5/37.6),,
without moonroof (with moonroof) (AWD-equipped),without moonroof (with moonroof) (AWD-equipped),38.3/37.6 (37.5/37.6),38.3/37.6 (37.5/37.6),,38.3/37.6,38.3/37.6,38.3/37.6,,,,,,,
Shoulder room,Shoulder room,57.7/55.7,57.7/55.7,57.7/55.7,(37.5/37.6) 57.7/55.7,(37.5/37.6) 57.7/55.7,(37.5/37.6) 57.7/55.7,57.7/55.7,57.7/55.7,57.7/55.7,57.7/55.7,57.7/55.7,57.7/55.7,57.7/55.7
Hip room Leg room,Hip room Leg room,55.4/54.7,55.4/54.7,55.4/54.7,55.4/54.7,55.4/54.7,55.4/54.7,55.4/54.7,55.4/54.7,55.4/54.6,55.4/54.6,55.4/54.6,55.4/54.6,55.4/54.6
,,42.1/38.0,42.1/38.0,42.1/38.0,42.1/38.0,42.1/38.0,42.1/38.0,42.1/38.0,42.1/38.0,42.1/38.0,42.1/38.0,42.1/38.0,42.1/38.0,42.1/38.0
Weights and Capacities,Weights and Capacities,,,,,,,,,,,,,
Curb weight (lb.)/ AWD-equipped,Curb weight (lb.)/ AWD-equipped,3310/3475 3380/3540,,3595,3340/35303350/3530 3425/3580,,,3585,3575,3480,3535,3545,3565,3580
EPA passenger volume (cu.ft.) without moonroof/AWD-equipped 100.4/99.9100.4/99.9,EPA passenger volume (cu.ft.) without moonroof/AWD-equipped 100.4/99.9100.4/99.9,,,,100.4/99.9100.4/99.9100.4/99.9,,,,100.4,99.9,99.9,99.9,99.9,99.9
EPA passenger volume (cu.ft.) with moonroof/AWD-equipped,EPA passenger volume (cu.ft.) with moonroof/AWD-equipped,99.3/98.8,99.3/98.8,99.3,99.3/98.8,99.3/98.8,99.3/98.8,99.3,,98.8,98.8,98.8,98.8,98.8
"Cargo volume,42 rear seatbacks up (cu.ft.)","Cargo volume,42 rear seatbacks up (cu.ft.)",15.1,15.1,15.1,15.1,,,,,,,,,15.1
Fuel tank (gal.)/AWD-equipped,Fuel tank (gal.)/AWD-equipped,15.8/14.4,15.8/14.4,15.8,15.8/14.4,15.1 15.8/14.4,15.1 15.8/14.4,15.1 15.8,15.1 15.8,15.1 13.2,15.1 13.2,15.1 13.2,15.1 13.2,13.2
Seating capacity,Seating capacity,5,5,5,5,5,5,5,5,5,5,5,5,5
TIRES,TIRES,,,,,,,,,,,,,
All-season,All-season,s,s,s,s,s,s,s,s,s,s,s,s,s
Summer,Summer,,,,,,,,。,,,,,
Spare: Temporary,Spare: Temporary,s,s,s,s,s,s,s,s,s,s,s,s,s
Mileage Estimates (mpgcity/highway/combined),Mileage Estimates (mpgcity/highway/combined),,,,,,,,,,,,,
Front-Wheel Drive (FWD),Front-Wheel Drive (FWD),,,,,,,,,,,,,
,,28/39/32,27/38/31,,22/33/2628/39/32,28/39/32,27/38/3122/32/2622/31/25,,,51/53/52,,44/47/4644/47/4644/47/4644/47/46,,
All-Wheel Drive (AWD),All-Wheel Drive (AWD),25/34/29,25/34/28,,25/34/29,25/34/29,25/34/28,,,,,,,
